"",,,,,CENTRAL,,,EASTERN,,NORTHERN,,WESTERN
Commodity,,,Kalerwe,Masaka,Kiboga Nakasero Nakawa,Owino,Iganga,Jinja Kapch',Soroti,Arua Lira,Hoima,Kasese Kisoro
Apple Bananas,1Kg,Retail,1000,500,450 1500 1000,320,350,300 500,400,800,1000,600 400
"",,Wholesale,800,400,300 1000 700,280,250,250 400,350,600,400,600 300
"Cassava, Dry farmented",1Kg,Retail,,,,420,350,400,400,600 400,,
"",,Wholesale,,,,400,250,300,360,600 300,,
"Cassava, Flour",1Kg,Retail,800,600,600 1000 700,600,600,700,600,800 1200,600,700 1000
"",,Wholesale,650,450,400 800 540,530,500,600,500,670 800,500,650 800
"Cassava, Fresh",1Kg,Retail,500,,300 700 430,450,500,300,300,450 1000,250,250 400
"",,Wholesale,330,,200 500 400,400,350,250,250,400 500,190,200 300
"Cassava, Sun dried",1Kg,Retail,,,350 700,420,400,400,400,600 350,500,
"",,Wholesale,,,250 540,380,300,300,350,600 300,450,
Cattle Steak,1Kg,Retail,5000,5000,4000 5500 4500,4500,4500,5000 4000,4000,4500 4500,4000,4000 4000
"",,Wholesale,4500,,3200 5000 3800,3800,4300,4500 3500,3800,4500 4500,,4000 3700
Cavendish (Bogoya),1Kg,Retail,1500,1200,500 2000 1000,700,350,500 600,450,900 2000,1000,800 400
"",,Wholesale,1000,700,450 1500 800,500,250,400 500,400,700 1500,400,750 300
Chicken (Exotic),bird,Retail,5000,7500,6000 7000 6000,7000,,8000 15000,7500,6800,5000,7000
"",,Wholesale,4500,6000,5000 6000 5000,5500,,7000 10000,7000,6200,4500,6500
Chicken (Local),bird,Retail,12000,12000,10500 10000,,,10000,8000,13000 15000,10000,11000 9000
"",,Wholesale,10000,8000,8500 9000 9000,,,8000,7500,9500 7500,8000,10000 6500
Coffee (Unprocessed),1Kg,Retail,,800,1100,1200,,1200,3000,,,1000
"",,Wholesale,,500,800,1100,,1100,2800,,,700
Cotton (Unprocessed),1Kg,Retail,,,,1200,,,800,,,
"",,Wholesale,,,,1100,,,700,,,
Cow Peas,1Kg,Retail,1800,,2000 5000 1400,2600,1600,2200,1000,1800 2500,3000,2200 2000
"",,Wholesale,1500,,1700 4000 1200,2300,1450,2000,800,1700 2000,,2200 1900
"Dried Beans, Agwede",1Kg,Retail,,,1800 1200,1500,,1400 1200,1100,1200 900,,
"",,Wholesale,,,1400 1000,1400,,1200 1000,1000,1100 800,,
"Dried Beans, Nambale",1Kg,Retail,1800,1500,1200 1500,1300,1400,1500,1300,1200 1000,,1500 1000
"",,Wholesale,1700,1300,900 1300,1200,1300,1400,1250,1100 900,,1500 900
"Dried Beans, Others",1Kg,Retail,1800,1400,1400 1600 1500,1100,1400,1300 1200,1300,1200 900,1000,1500 1400
"",,Wholesale,1700,1200,1200 1300 1250,950,1250,1200 1000,1200,1000 800,800,1500 1300
"Dried Beans, Yellow",1Kg,Retail,1900,1400,1500 1800 1600,1500,,1400,1500,1300 1100,1000,1700 1000
"",,Wholesale,1800,1200,1300 1400 1300,1300,,1200,1400,1200 1000,800,1600 900
"Eggs, Exotic",tray,Retail,5500,6000,5800 10000 6000,4700,6500,6000 6000,5700,7500 6500,6000,6000 6000
"",,Wholesale,4500,4500,5000 9000 4900,4200,5000,5000 5000,5500,6000 6000,5500,5500 5400
"Eggs, Local",tray,Retail,11000,7000,8000 10000 9000,12000,7500,8000 7000,7500,7500 10000,9000,7500 7500
"",,Wholesale,9500,6500,6500 9000 7500,9000,6000,7000 6000,7300,8000,7500,7000 6000
Fish - Nile Perch,1Kg,Retail,5500,,4000 7000 600,,5000,6000,6500,4500 6500,,
"",,Wholesale,5000,,3300 6000 5000,,4000,5000,6000,4000 5000,,
Fish - Tilapia,whole,Retail,4500,3500,3000 9000 4000,,4000,5000,7500,3500 8500,6000,3000 6000
"",,Wholesale,4000,2500,2500 8000 3500,,3000,4500,7000,3200 7000,,3000 5000
Goat Meat,1Kg,Retail,6000,5000,4000 6000,6000,5000,6000 5000,4500,5000 5000,4500,5000 5000
"",,Wholesale,5000,4500,3000 5500,4500,4600,5000 4500,4300,5000 5000,,5000 3800
"Groundnuts, unpounded",1Kg,Retail,2500,,2200 3000 2500,2000,800,2500 2000,1700,2500 2500,2200,2400 2500
"",,Wholesale,2300,,2000 2500 2100,1900,600,2000 1800,1600,2200 2000,2000,2300 2300
Commodity,KalerweMasaka,Kiboga,Nakasero Nakawa,Owino,IgangaJinjaKapch'SorotiArua,Lira,HoimaKaseseKisoro,,,,,,,,,,
Honey (Processed),1Kg,Retail,8000,8000,6500,,7000,,5900,,,6000,4200,3800,,,7000
"",,Wholesale,7500,6000,6000,,5000,,5600,,,5800,4000,3500,,,6000
Honey [Unprocessed],1Kg,Retail,7500,,,,,,2450,,,2500,,3000,,11000,3500
"",,Wholesale,7000,,,,,,2250,,,2300,,3000,,10000,3100
Irish Potatoes,1Kg,Retail,500,700,800,800,500,420,600,650,,,1300,900,800,350,300
"",,Wholesale,450,500,700,600,420,380,500,550,,,1200,800,650,300,250
Maize Flour,1Kg,Retail,1300,,1400,1200,1300,1200,1000,1000,1000,1200,1400,1500,1200,1100,1200
"",,Wholesale,1100,,1200,1000,1150,1000,850,800,900,1000,1300,1000,1000,1050,1000
Maize Grain,1Kg,Retail,1000,,650,1700,850,650,550,650,500,500,800,450,650,,700
"",,Wholesale,850,,500,1400,700,640,450,600,400,450,500,400,600,,650
Matooke,1Kg,Retail,250,212,550,1500,430,350,400,300,1500,350,650,550,183,250,150
"",,Wholesale,230,200,450,1500,390,320,300,280,1200,300,550,500,150,200,100
Matooke (Bunch),Bunch,Retail,,8500,6000,,9500,12000,,16000,6000,13000,7500,8500,,7000,5000
"",,Wholesale,,8000,4500,,8500,10000,,15000,5500,12000,6500,7500,,6500,4000
Milk (One Litre),Ltrs,Retail,800,800,800,800,800,900,350,700,500,700,1200,500,600,700,600
"",,Wholesale,700,450,500,700,600,700,250,600,400,650,1000,400,400,700,425
Millet Flour,1Kg,Retail,2000,1900,1600,1800,1800,1800,1550,1500,,1350,1600,1800,2000,1300,1400
"",,Wholesale,1400,1500,1400,1500,1400,1400,1350,1300,,1250,1500,1500,,1300,1300
Millet Grain,1Kg,Retail,1600,1300,1200,1700,900,850,1000,900,1050,750,1200,700,1200,1100,1000
"",,Wholesale,1400,1000,900,1600,700,800,900,850,1000,700,1100,600,,1100,900
Rice (Kayiso),1Kg,Retail,1700,2400,2000,,1800,1700,1500,1500,1600,1700,2000,2000,,1800,1800
"",,Wholesale,1600,2000,1800,,1500,1550,1300,1300,1400,1600,1900,1800,,1800,1700
Rice (Super),1Kg,Retail,2000,1800,2300,2000,2100,2000,,2000,2000,1800,2200,2000,1800,2000,2800
"",,Wholesale,1900,1600,2000,1800,1900,1700,,1800,1800,1700,2000,1900,1600,2000,2500
Simsim,1Kg,Retail,4000,,3500,4000,3000,2500,2300,2500,,2100,2600,2000,2600,2100,
"",,Wholesale,3800,,3100,3500,2600,2000,2100,2200,,2000,2400,1800,,2000,
Sorghum Flour,1Kg,Retail,1200,,,,1000,1000,1000,1000,700,600,1500,1200,,1300,800
"",,Wholesale,900,,,,700,800,900,800,500,550,1400,1000,,1300,700
Sorghum Grain,1Kg,Retail,1200,,700,2000,800,620,700,800,,500,1000,450,,1100,650
"",,Wholesale,900,,550,1800,500,570,600,700,,450,1000,400,,1100,600
Soya Beans,1Kg,Retail,2500,,1500,2500,1800,1100,1100,1800,,1200,1200,1000,1400,2200,1800
"",,Wholesale,2300,,1000,2000,1400,900,950,1600,,1000,1000,800,,2100,1600
Sunflower,1Kg,Retail,,,2000,5000,,550,,,,400,,550,,,
"",,Wholesale,,,1800,4800,,450,,,,350,,500,,,
Sweet Potatoes,1Kg,Retail,500,1000,600,900,300,420,600,400,300,250,400,500,500,250,150
"",,Wholesale,250,800,450,700,250,400,500,350,225,200,300,500,300,200,100
Tea (Unprocessed),1Kg,Retail,,,,,,400,,,,500,,,,,
"",,Wholesale,,,,,,350,,,,400,,,,,
Turkey (Bird),bird,Retail,,,27000,30000,28000,,23000,25000,,23000,,20000,,,
"",,Wholesale,,,23000,25000,22000,,21000,20000,,21000,,17000,,,
Upland Rice,1Kg,Retail,1600,2000,1800,,,1600,,1500,,1750,,1800,,1800,1800
"",,Wholesale,1500,1800,1500,,,1500,,1400,,1700,,1800,,1800,1700
Vanilla (Unprocessed),1Kg,Retail,,,1800,,,2500,,,,2700,,,,,
