"",,,,Central,,,,Eastern,,,Northern,,,Western,,,
Commodity,Wet.,,Kalerwe,Masaka Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Lira Arua,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,650 1000,600,,170,500,350,300,1000,1000,1100,600,400,,667
"",,Wholesale,800,500 700,550,,150,400,300,280,900,500,800,550,300,,518
"Cassava, Dry Fermented",Kg,Retail,,,400,450,340,,,350,300 600,450,,,,,413
"",,Wholesale,,,370,350,310,,,300,300 550,,,,,,363
"Cassava, Flour",Kg,Retail,800,650 800,600,700,530,,900,600,700 700,525,1000,600,1000,800,727
"",,Wholesale,700,400 650,500,500,480,,700,500,700 650,375,750,600,800,700,600
"Cassava, Fresh",Kg,Retail,500,800 460,700,450,160,,700,250,500 550,375,800,340,400,,499
"",,Wholesale,400,500 430,600,400,140,,600,200,400 500,210,550,310,300,,396
"Cassava, Sun dried",Kg,Retail,,800,400,450,350,,700,350,400 600,550,,,,700,530
"",,Wholesale,,650,380,350,330,,600,300,450 530,350,,,,700,464
Cattle Steak,Kg,Retail,5000,6500 5000,4500,5000,5000,5000,4500,4500,5500 5000,4000,3500,4000,5000,4000,4750
"",,Wholesale,4500,3800,3800,4500,4000,4500,4500,4300,5000 5000,,,4000,4500,3700,4315
Cavendish (Bogoya),Kg,Retail,700,650 1000,800,600,460,600,600,450,1000,1000,800,700,400,2000,784
"",,Wholesale,600,50 800,600,500,440,500,500,400,900,500,550,600,300,1500,583
Chicken (Exotic),bird,Retail,7000,8000 6000,8000,8000,7500,,6000,8500,9000,6000,8000,11000,,7000,7692
"",,Wholesale,6500,7000 5000,6000,6000,7000,,6000,7000,8500,5000,6500,7000,,6000,6423
Chicken (Local),bird,Retail,15000,13000,16000,13000,15000,,15000,10000,16000 14000,13000,12000,12000,18000,15000,14071
"",,Wholesale,13000,11000 12000,13000,10000,13500,,12000,9500,14000 13000,10000,9500,11000,13000,12000,11767
Coffee (Unprocessed),Kg,Retail,,,1200,1650,1200,,2800,,,,,,1600,,1690
"",,Wholesale,,,1100,1400,1100,,2300,,,1000,,,1400,,1383
Cotton (Unprocessed),Kg,Retail,,,1200,,,,,,450,,,,,,825
"",,Wholesale,,,1100,,,,800,,400,,,,,,767
Cow Peas,Kg,Retail,1800,1800 1200,2500,1650,2200,,1600,1000,2000 1800,2050,2000,2000,1100,2400,1807
"",,Wholesale,1500,1500 1000,2000,1500,2000,,1300,900,1800 1600,,1750,2000,1000,2200,1575
"Dried Beans, Agwede",Kg,Retail,,1200,800,1350,1000,,,1200,750,1150,,,1000,,1056
"",,Wholesale,,1000,700,1250,900,,,1100,700,,,,900,,936
"Dried Beans, Nambale",Kg,Retail,1500,1400 1500,1100,1300,1200,1200,1000,1400,850 1200,1100,1500,1100,1200,1000,1222
"",,Wholesale,1300,1100 1000,950,1200,1100,1000,800,1250,800,950,1250,1000,1100,900,1047
"Dried Beans, Others",Kg,Retail,1500,1400 1500,1100,1400,1100,1200,1000,1200,700 1000,1100,1400,2000,1200,1200,1250
"",,Wholesale,1300,1100 1000,1000,1250,950,1000,750,1100,700 900,950,1100,2000,1000,1100,1075
"Dried Beans, Yellow",Kg,Retail,1600,1400 1600,1300,1400,1300,,1400,1500,1100 1300,1150,1500,1200,1000,1300,1337
"",,Wholesale,1400,1100 1250,1100,1200,1150,,1200,1400,1000 1100,1000,1200,1100,900,1200,1153
"Eggs, Exotic",tray,Retail,5000,6000 6000,4800,6000,5200,,7500,5800,7000 7500,6000,6500,6500,6000,6000,6120
"",,Wholesale,4500,4500 5000,4300,4800,4800,,5600,5400,7000 6000,5500,6000,5500,5500,5700,5340
"Eggs, Local",tray,Retail,10000,7000 9000,11000,7200,6500,9000,10500,7000,9000 7500,9000,8000,7000,9000,8000,8419
"",,Wholesale,7000,6000 7000,9000,6000,6000,7000,9000,6800,8500,7500,7000,6500,7500,6000,7120
Fish ‐ Nile Perch,Kg,Retail,5000,6000,6000,5000,5000,,2500,5000,4000 5000,5000,,,,7000,5045
"",,Wholesale,4700,5000,4500,4000,4500,,2300,4700,4000 5000,,,,,5000,4370
Fish ‐ Tilapia,whole,Retail,4000,5000 4500,14000,5500,7000,,5000,5000,6000 4000,6000,6000,3000,6000,5000,5733
"",,Wholesale,3600,4000 4000,12000,4500,6000,,4700,4600,5500 3500,,5200,3000,3500,4500,4900
Goat Meat,Kg,Retail,7000,6000 6000,6000,5500,6000,6000,5500,5000,6300 5500,4500,6000,5800,6000,5000,5756
"",,Wholesale,6000,5000 5000,4500,5000,5000,5500,5500,4800,6000 5500,,5200,5600,5000,4500,5207
"Groundnuts, unpounded",Kg,Retail,2500,1800 2500,2300,2000,2300,2000,1900,1800,1800 2000,2100,2400,2300,2500,2400,2163
"",,Wholesale,2300,1700 2100,1950,1700,1950,1800,1500,1700,1500 1700,1900,2100,2200,2300,2300,1919
Honey (Processed),Kg,Retail,,8000 8000,,6700,9000,,9000,6000,4000 4500,,7000,,3500,12000,7064
"",,Wholesale,,6000 7000,,6000,8000,,7000,5800,3800 4000,,6000,,3100,10000,6064
Commodity,Wet.,,Kalerwe,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Lira,Arua,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Honey (Unprocessed),Kg,Retail,7600,,,,2700,8000,,3000,2600,4500,,,5000,,,,4771
"",,Wholesale,7100,,,,2450,7000,,2500,2400,4000,,,4000,,,,4207
Irish Potatoes,Kg,Retail,500,800,500,600,600,800,,600,800,1500,1300,500,380,220,416,1500,734
"",,Wholesale,450,700,400,500,530,700,,500,700,1400,1000,450,350,200,375,1000,617
Maize Flour,Kg,Retail,1400,1400,1300,1100,1250,1300,1200,1200,1200,1500,1500,1200,,1000,1300,1200,1270
"",,Wholesale,1100,1200,1100,1050,1050,1200,1000,1000,1000,1200,1400,1100,,1000,1000,1100,1100
Maize Grain,Kg,Retail,1000,1000,950,550,700,630,600,600,500,600,550,725,1100,,1000,1000,767
"",,Wholesale,900,600,750,530,600,520,500,500,450,550,500,450,950,,900,800,633
Matooke,Kg,Retail,300,212,410,300,450,190,300,450,350,,450,300,400,200,400,1500,414
"",,Wholesale,215,188,360,270,380,170,200,350,300,,400,,320,180,350,1000,335
Matooke (Bunch),Bunch,Retail,5500,8500,9000,11000,15000,9500,6000,12000,10000,16000,11000,7000,9000,6000,16000,8000,9969
"",,Wholesale,4500,7500,8000,9000,13000,8500,4000,10000,9500,12000,10000,5000,7500,5500,14000,7000,8438
Milk (One Litre),Ltrs,Retail,800,800,900,700,600,800,500,800,800,800,1000,700,500,700,700,500,725
"",,Wholesale,700,400,800,600,450,700,400,600,700,750,800,500,450,700,500,400,591
Millet Flour,Kg,Retail,,1900,1900,1800,1500,1500,,1500,1400,1000,1500,1500,,1200,1500,1800,1538
"",,Wholesale,,1400,1400,1400,1300,1200,,1200,130,1000,1400,,,1100,1400,1600,1211
Millet Grain,Kg,Retail,1200,1400,950,900,1250,1200,1050,1200,850,600,1000,925,,1100,1200,1400,1082
"",,Wholesale,900,1200,750,800,1100,1100,1000,900,750,550,700,700,,1000,1100,1300,923
Rice (Kayiso),Kg,Retail,1700,2400,1800,1700,1700,1700,1800,1700,1700,2500,2000,2000,,1800,2800,,1950
"",,Wholesale,1600,2000,1600,1500,1500,1600,1600,1400,1600,2300,1600,,,1800,2500,,1738
Rice (Super),Kg,Retail,2000,1800,2400,2200,2000,2000,2000,2200,1800,2500,2200,2000,2000,2000,2000,3000,2131
"",,Wholesale,1900,1600,1950,1800,1800,1850,1800,2000,1700,2300,1900,,1850,2000,1800,2800,1937
Simsim,Kg,Retail,3000,,3000,2500,1900,1800,,3000,2400,2200,2500,2600,,2000,,2500,2450
"",,Wholesale,2800,,2500,1800,1600,1700,,2700,2200,2000,2000,2000,,2000,,2500,2150
Sorghum Flour,Kg,Retail,1600,,1000,1000,1000,1000,700,700,600,1000,1500,1750,1500,1200,1000,1400,1130
"",,Wholesale,1400,,700,800,900,900,500,600,500,1000,1100,,1200,1100,900,1400,929
Sorghum Grain,Kg,Retail,2000,,800,600,800,800,,600,500,600,900,600,,1000,1000,1200,877
"",,Wholesale,1400,,500,550,650,700,,400,450,650,800,500,,1000,900,1000,731
Soya Beans,Kg,Retail,2500,1500,1400,1100,1100,1200,1500,1700,1500,1200,1200,1950,1600,,1600,2500,1570
"",,Wholesale,2300,1400,1000,900,900,950,1350,1400,1350,1000,1000,1800,1450,,1400,2400,1373
Sunflower,Kg,Retail,,,,420,900,,,600,400,450,,,1800,,1800,,910
"",,Wholesale,,,,380,800,,,500,350,400,,,1600,,1700,,819
Sweet Potatoes,Kg,Retail,500,1200,300,450,600,180,200,500,200,700,400,500,200,330,150,1500,494
"",,Wholesale,260,800,250,420,500,170,150,300,150,600,300,350,140,300,100,800,349
Tea (Unprocessed),Kg,Retail,,,,400,,,,,,,,,,,,,400
"",,Wholesale,,,,350,,,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,,40000,43000,26000,33000,,35000,40000,27000,,,,,,38000,35250
"",,Wholesale,,,35000,35000,24000,28000,,25000,36000,25000,,,,,,,29714
Upland Rice,Kg,Retail,1600,2000,1800,1600,1600,1700,,,1800,2100,,1600,1800,1800,1800,,1767
"",,Wholesale,1500,1800,1600,1450,1400,1600,,,1700,2000,,1400,1700,1800,1700,,1638
Vanilla (Unprocessed),Kg,Retail,,,,2900,,,,,,,,,,,,,2900
"",,Wholesale,,,,2300,,,,,,,,,,,,,2300
