"",,,,,CENTRAL,,,,EASTERN,,NORTHERN,,,WESTERN,,
Commodity,Weight,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Kapch' Jinja,Soroti,Arua Lira,Hoima,Kabale,Kasese Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1200,450,600,1000,600,700,500 180,350,600 1000,1000,1100,600 400,1200,718
"",,Wholesale,1000,300,450,700,550,500,400 150,300,500 900,,550,550 300,1000,543
Beef,Kg,Retail,5000,4000,5000,5000,5000,5000,5000 5000,4500,5000,4000,4000,4000 5000,4000,4633
"",,Wholesale,4500,3400,4500,4800,4500,4500,4500 4500,4300,4500,,3400,4000 4500,3500,4243
"Cassava, Dry Fermented",Kg,Retail,,,,,400,500,400,400,700 400,,,,,467
"",,Wholesale,,,,,380,400,370,350,650 375,,,,,421
"Cassava, Flour",Kg,Retail,800,800,650,800,600,800,800,650,800 1200,550,1000,600 1000,800,790
"",,Wholesale,700,600,400,650,500,600,700,550,750 1100,500,750,600 800,700,660
"Cassava, Fresh",Kg,Retail,620,500,800,400,650,700,260,250,450 800,500,800,340 400,1500,598
"",,Wholesale,560,350,500,340,600,500,230,200,400 500,200,500,310 300,1100,439
"Cassava, Sun dried",Kg,Retail,,400,,800,800,450,350,400,700 500,450,,,700,555
"",,Wholesale,,300,,650,380,350,300,350,650 500,400,,,700,458
Cavendish (Bogoya),Kg,Retail,900,500,1000,1000,800,800,600 500,450,700,1000,750,700 400,2000,807
"",,Wholesale,700,350,700,800,600,600,500 480,350,500,,600,600 300,1600,620
"Chicken, Exotic",bird,Retail,7500,7000,7000,6000,8000,7000,7000,8500,9250,7000,7500,11000,7000,7673
"",,Wholesale,7000,5500,6000,5000,6000,5000,6500,8000,7750,6000,6000,7000,6000,6288
"Chicken, Local",bird,Retail,15000,10000,13000,,16000,11000,8000 8300,9500,11000 18500,13000,9000,12000 18000,10000,12153
"",,Wholesale,13000,8500,10000,9000,13000,8000,6000 7300,9000,10000 16000,10000,6800,11000 13000,8000,9913
Coffee (Unprocessed),Kg,Retail,,1400,700,,1100,1750,1200,,2500,,,700 1600,,1369
"",,Wholesale,,1200,500,,1000,1550,1100,,,,,700 1400,,1064
Cotton (Unprocessed),Kg,Retail,,,,,1200,,,,450,,,,,825
"",,Wholesale,,,,,1100,,,,400,1000,,,,833
Cow Peas,Kg,Retail,1800,2200,,1400,,1800,2200,1000,1600 2000,3000,1800,2000 1100,2400,1869
"",,Wholesale,1500,2000,,1200,,1600,2000,900,1400 1800,,1650,2000 1000,2000,1588
"Dried Beans, Agwede",Kg,Retail,,,,1200,800,1350,1100,1200,800,,,1000,,1064
"",,Wholesale,,,,1000,700,1250,1000,1100,750,,,900,,957
"Dried Beans, Nambale",Kg,Retail,1400,1100,1400,1500,1100,1300,1000 1300,1400,1200 1000,1100,1000,1100 1000,1000,1181
"",,Wholesale,1300,900,1200,1000,950,1200,800 1200,1350,1100 950,1000,850,1000 900,900,1038
"Dried Beans, Others",Kg,Retail,1500,1500,1400,1500,1100,1400,1000 1200,1200,1100 925,1000,1000,2000 1000,1200,1252
"",,Wholesale,1300,1300,1200,1000,1000,1250,800 1100,1100,900 850,900,850,2000 900,1100,1097
"Dried Beans, Yellow",Kg,Retail,1600,1300,1400,1600,,1400,1400,1500,1200 1000,1200,,1200,1300,1342
"",,Wholesale,1400,1100,1200,1250,,1250,1250,1400,1100 1000,1100,,1100,1200,1196
"Eggs, Exotic",tray,Retail,5500,6300,6000,6000,4700,6200,7000 5000,5700,7500 7000,6000,6000,6500 6000,6000,6088
"",,Wholesale,5000,5800,4500,5200,4400,5000,6000 4800,5500,6000 7000,5000,500,5500 5500,4800,5031
"Eggs, Local",tray,Retail,10000,8000,7500,9000,11000,7200,9000 7200,7000,9000,9000,7500,7000 9000,9000,8427
"",,Wholesale,7500,6500,6000,7000,9000,6000,7000 6800,6700,8500,7500,6500,6500 7500,7500,7100
"Fish, Nile Perch",Kg,Retail,5500,5000,,6000,6000,5500,5000,4800,5000 6500,,,,7000,5630
"",,Wholesale,5000,4500,,5000,4500,4500,4000,4500,5000 5750,,,,4000,4675
"Fish, Tilapia",whole,Retail,4500,4200,5000,4500,6000,6000,7500,4800,3500 5250,6000,,5000,6000,5250
"",,Wholesale,4000,3700,3500,4000,5500,5000,6500,4500,3000 4500,,,3000,5000,4350
Goat Meat,Kg,Retail,6000,4500,5500,6000,6000,5500,6000 6000,5000,5000,5000,6000,5800 6000,5000,5553
