"",,,,CENTRAL,,,EASTERN,,NORTHERN,,WESTERN,,,,,
Commodity,,,Kalerwe Kiboga,Masaka Nakawa Owino,Iganga,Jinja,Kapch' Mbale,Soroti,Arua Lira,Hoima,Kabale Kisoro,Mb'ra,Min,Max,Avg,Trend
Apple Bananas,Kg Retail,,1000 500,356 800 650,700,200,500 450,350,800 1500,1000,900 400,,200,1500,674,
"",Wholesale,,800 400,238 500 600,500,1850,400 350,300,700 1200,500,550 300,,238,1850,613,
Beef,Kg Retail,,4500 4000,5000 5000 5000,5000,7000,4500,5000,5000,4000,4000 5000,4000,4000,7000,4786,
"",Wholesale,,4000 3400,4500 3700 4500,4500,6500,4500,4800,5000,,4500,3500,3400,6500,4450,
"Cassava, Dry Fermented",Kg Retail,,800,450,500,360,,400,700 500,,,400,360,800,514,
"",Wholesale,,700,420,400,340,,350,650 500,,,350,340,700,464,
"Cassava, Flour",Kg Retail,,400 800,650 800 700,800,800,900,650,800 1400,550,950 1000,900,400,1400,807,
"",Wholesale,,350 600,400 650 600,600,700,700,550,750 1200,500,700 800,750,350,1200,657,
"Cassava, Fresh",Kg Retail,,500,800 465 750,600,260,700,250,600 800,500,650 400,,250,800,560,
"",Wholesale,,350,500 430 700,450,230,600,200,500 500,200,500 300,,200,700,420,
"Cassava, Sun dried",Kg Retail,,400,800 450,450,350,700,400,700 500,450,450,700,350,800,529,
"",Wholesale,,300,650 400,350,320,600,350,680 500,400,,700,300,700,477,
Cavendish (Bogoya),Kg Retail,,1250 400,1000 800 900,900,540,600 600,450,800,1000,800 400,,400,1250,746,
"",Wholesale,,1000 300,700 600 800,700,520,500 500,400,800,500,600 300,,300,1000,587,
"Chicken, Exotic",bird Retail,,7000 7000,7000 6000 8000,7000,7000,6000,8500,10000,8000,7500,7000,6000,10000,7385,
"",Wholesale,,6500 5500,6000 5000 6000,5500,6500,6000,8000,8000,6000,6000,6000,5000,8000,6231,
"Chicken, Local",bird Retail,,15000 16000,13000 16000,12000,10000,8000 12000,9500,12000,17000,8000 15000,10000,8000,17000,12393,
"",Wholesale,,13000 13000,10000 9000 13000,8500,8500,6000 10000,9000,10000,10000,6800 13000,8000,6000,13000,9853,
Coffee (Unprocessed),Kg Retail,,1200,1200,1850,1200,,,,,1600,,1200,1850,1410,
"",Wholesale,,1000,1100,1650,1100,,,,1000,1400,,1000,1650,1208,
Cotton (Unprocessed),Kg Retail,,,1200,,,800,,500,,,,500,1200,833,
"",Wholesale,,,1100,,,600,,400,600,,,400,1100,675,
Cow Peas,Kg Retail,,1800 2200,1400 2500,1900,2000,1800,1000,1900 2000,,1800 1500,2400,1000,2500,1862,
"",Wholesale,,1500 2000,1200 1900,1700,1800,1500,900,1400 1800,,1650 1300,2300,900,2300,1612,
"Dried Beans, Agwede",Kg Retail,,,1400 800,1400,2000,,1200,1200 800,,1000,,800,2000,1225,
"",Wholesale,,,1125 700,1250,1800,,1000,750,,900,,700,1800,1075,
"Dried Beans, Nambale",Kg Retail,,1400 1200,1400 1500 1100,1200,1200,1200 1300,1400,1200 1000,1100,900 1400,1000,900,1500,1219,
"",Wholesale,,1300 1000,1200 1000 1000,1100,1100,1000 1000,1300,1100 950,950,680 1300,900,680,1300,1055,
"Dried Beans, Others",Kg Retail,,1400 1400,1400 1500 1250,1250,1200,1200 1200,1200,1100 900,900,900,1100,900,1500,1193,
"",Wholesale,,1300 1200,1200 1000 1100,1100,1100,1000 1000,1000,900 850,750,700,1000,700,1300,1013,
"Dried Beans, Yellow",Kg Retail,,1600 1300,1250,1400,1400,1500,1500,1300 1400,,900,1200,900,1600,1341,
"",Wholesale,,1400 1100,1150,1250,1300,1200,1400,1100 1200,,800,1100,800,1400,1182,
"Eggs, Exotic",tray Retail,,5500 6300,6000 6000 4800,6200,5200,7000 7500,5700,7500 7000,6000,6000 6000,6000,4800,7500,6169,
"",Wholesale,,5000 5800,4500 5200 4400,5200,5000,6000 5700,5400,6000 7000,5500,5000 5500,5000,4400,7000,5388,
"Eggs, Local",tray Retail,,10000 8000,7500 9000 11000,7500,7000,10500,7200,7500 9000,12000,7500 7500,9500,7000,12000,8713,
"",Wholesale,,8000 6500,6000 7000 9000,6200,6500,9000,6800,8500,8000,6500 6000,9000,6000,9000,7357,
"Fish, Nile Perch",Kg Retail,,6000 5000,6000 6000,5500,5000,,3500,5000 8000,,,8000,3500,8000,5800,
"",Wholesale,,5000 4500,5000 4500,4500,4500,,3300,5000 6500,,,5000,3300,6500,4780,
"Fish, Tilapia",whole Retail,,4000 4500,4000 4500,6000,9000,6000,5500,3500 6000,6000,5000,7000,3500,9000,5462,
"",Wholesale,,3500 4000,3500 4000,5000,8000,5000,5000,3000 5000,,3000,6000,3000,8000,4583,
Goat Meat,Kg Retail,,6000 4500,5000 6000 6000,5500,6000,5000 5000,5000,5500 2000,5000,6000 6000,5500,2000,6000,5250,
"",Wholesale,,5000 3500,4500 4800 4500,5000,5500,4500 5000,4800,5500 1800,,5000,5000,1800,5500,4600,
"Groundnuts, Unpounded",Kg Retail,,2500 2300,2100 2500 2400,2400,2300,2000 2000,1900,2500,1750,2500 2500,2500,1750,2500,2277,
"",Wholesale,,2300 2100,1950 2000 1950,2100,2100,1800 1700,1750,1900,1700,2250 2300,2400,1700,2400,2020,
"Honey, Processed",Kg Retail,,8000,8000 8000,,,9000,6400,4000,,7000 7000,,4000,9000,7175,
"",Wholesale,,7500,6000 7000,,,7000,6000,3500,,6500 6000,,3500,7500,6188,
"Honey, Unprocessed",Kg Retail,,7500 7000,,2700,,3000,2600,3000,,4500 3500,10000,2600,10000,4867,
"",Wholesale,,7000 6000,,2450,,2500,2400,,,3500 3100,8000,2400,8000,4369,
Irish Potatoes,Kg Retail,,490 800,700 410 520,650,700,400 600,900,1300 1400,500,320 316,,316,1400,667,
"",Wholesale,,420 600,550 345 500,530,600,300 500,750,1200 1200,450,290 291,,290,1200,568,
Commodity,,,Kalerwe Kiboga,Masaka,Nakawa Owino,Iganga,Jinja,Kapch' Mbale,Soroti,Arua Lira,,Hoima,Kabale,Kisoro,Mb'ra,Min,Max Avg,,Trend
Maize Flour,Kg Retail,,1400 1500,1400,1300 1200,1200,1200,900 1200,1200,1400 2000,,1200,1300,1000,1300,900,2000 1294,,
"",Wholesale,,1200 1250,1200,1100 1020,1000,1100,750 1000,1000,1320 1500,,1100,1150,700,1200,700,1500 1099,,
Maize Grain,Kg Retail,,1000,1000,950 500,650,650,800,600,650 1200,,430,800,600,,430,1200 756,,
"",Wholesale,,900,700,750 480,550,600,600,500,500 1000,,400,620,500,,400,1000 623,,
Matooke,Kg Retail,,380,,390 330,400,270,300 450,350,450,,300,300,250,,250,450 348,,
"",Wholesale,,280,,340 320,320,260,200 350,300,400,,,275,200,,200,400 295,,
Matooke (Bunch),BunchRetail,,5000 6500,8500,8500 10000,14000,14000,6000 11000,9500,9000 15000,,6000,8000,10000,11000,5000,15000 9500,,
"",Wholesale,,4000 4500,7000,7500 7500,12000,13000,4000 9000,9000,8000 10000,,,6500,8000,10000,4000,13000 8000,,
Milk,Ltrs Retail,,800 700,800,900 700,800,800,500,800,1000 1000,,800,500,700,500,500,1000 753,,
"",Wholesale,,700 500,400,800 600,600,700,400,700,900 1000,,600,450,500,400,400,1000 617,,
Millet Flour,Kg Retail,,1200 1600,1900,1900 1800,1500,1500,1500,1400,1500 1000,,2000,1700,1500,1500,1000,2000 1567,,
"",Wholesale,,900 1400,1400,1500 1500,1200,1200,1200,1300,1500 1000,,,1350,1400,1200,900,1500 1289,,
Millet Grain,Kg Retail,,1200 1200,1400,1000 900,1000,1100,1050 1200,850,1000 600,,700,1250,1200,1200,600,1400 1053,,
"",Wholesale,,900 800,1200,850 850,900,950,1000 1000,750,900 500,,600,950,1100,1000,500,1200 891,,
Pineapple,whole Retail,,1200 1200,1000,1000 1000,1800,1700,1300 1500,1500,1700 1500,,1500,,,1000,1000,1800 1350,,
"",Wholesale,,800 1000,800,700 600,1400,1300,1000 1000,1300,1200 1500,,,,,500,500,1500 1008,,
Pork,Kg Retail,,5000 4000,4000,5000 4800,,5000,4000,4000,5000,,5000,5500,5000,,4000,5500 4692,,
"",Wholesale,,4500,3500,3500 3800,,4500,4000,3800,5000,,,3800,4500,,3500,5000 4090,,
Rice (Kayiso),Kg Retail,,1700 2000,2400,1800 1600,1600,1700,1800 1700,1700,2000 2500,,,,2800,2500,1600,2800 1986,,
"",Wholesale,,1600 1800,2000,1600 1450,1400,1600,1800 1500,1600,1800 2200,,,,2500,2250,1400,2500 1793,,
Rice (Super),Kg Retail,,2000 2300,1800,2400 2200,1900,2000,2000 2000,1900,2200 2500,,2000,2200,2000,2200,1800,2500 2100,,
"",Wholesale,,1900 2000,1600,1950 1800,1700,1900,1800 1800,1800,1900 2200,,,2000,1800,1800,1600,2200 1863,,
Rice (Upland),Kg Retail,,1600 1800,1800,1800 1700,1600,1700,,,1800 2200,,1700,2000,1800,2000,1600,2200 1808,,
"",Wholesale,,1500 1700,1600,1600 1500,1400,1600,,,2000,,1500,1850,1700,1700,1400,2000 1638,,
Simsim,Kg Retail,,,,3000 2500,2200,2000,2500,2300,2200 2000,,,4000,,2550,2000,4000 2525,,
"",Wholesale,,,,2400 1800,1800,1800,2000,2100,1800 1800,,,,,2500,1800,2500 2000,,
Sorghum Flour,Kg Retail,,,,1000 1000,1100,800,700 1000,600,1500 800,,700,,1000,,600,1500 927,,
"",Wholesale,,,,700 870,900,700,500 800,550,1300 600,,500,,900,,500,1300 756,,
Sorghum Grain,Kg Retail,,800,,800 500,800,700,800,500,1000 600,,,,1000,,500,1000 750,,
"",Wholesale,,600,,500 470,700,650,500,450,800 500,,,,900,,450,900 607,,
Soya Beans,Kg Retail,,2500 1500,1500,1100,1100,,1500 1300,1400,1200,,1400,1200,1600,2500,1100,2500 1523,,
"",Wholesale,,2300 1000,1400,900,900,,1350 1000,1200,1000,,800,900,1400,2400,800,2400 1273,,
Sunflower,Kg Retail,,1600,,400,1000,,,,450,,,,,,400,1600 863,,
"",Wholesale,,1300,,370,850,,,,400,,,,,,370,1300 730,,
Sweet Potatoes,Kg Retail,,700,1000,500,700,300,200 500,400,400 1400,,500,230,150,,150,1400 537,,
"",Wholesale,,500,700,450,500,280,150 250,350,350 1200,,250,140,100,,100,1200 402,,
Tea (Unprocessed),Kg Retail,,330,,400,,,,,,,,,,,330,400 365,,
"",Wholesale,,270,,350,,,,,,,,,,,270,350 310,,
Turkey,bird Retail,,25000,,35000 35000,25000,27000,25000,30000,35000,,,,,38000,25000,38000 30556,,
"",Wholesale,,21000,,30000 30000,23000,25000,20000,27000,30000,,,,,,20000,30000 25750,,
Vanilla (Unprocessed),Kg Retail,,3000,,2700,,,,,,,,,,4000,2700,4000 3233,,
"",Wholesale,,2500,,2300,,,,,,,,,,2000,2000,2500 2267,,
