"",,,,,Central,,,,Eastern,,Northern,,,Western,,,,,
Commodity,,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Soroti,Gulu Arua,Lira,Kabale,Kasese Kisoro,Mbarara,Min,Max,Avg,Trend
Apple Bananas Kg,,Retail,1000,,500,800,700,800,220,350,800,,900,550 400,,220,1000,638,
"",,Wholesale,800,,300,500,600,600,200,300,700,,550,500 300,,200,800,486,
Beef Kg,,Retail,4500,4000,5000,5000,5000,5000,7000,5000,5000,,4000,4000 5000,4000,4000,7000,4808,
"",,Wholesale,4000,3400,4500,3800,4500,4500,6500,4800,5000,,,4000 4500,3500,3400,6500,4417,
"Cassava, Dry Fermented Kg",,Retail,,,,,450,500,350,400,650 680,500,,,,350,680,504,
"",,Wholesale,,,,,420,400,330,350,500 650,500,,,,330,650,450,
"Cassava, Flour Kg",,Retail,800,800,650,800,700,800,800,700,650 750,,950,600 1000,900,600,1000,779,
"",,Wholesale,700,600,400,640,600,600,700,550,500 690,,700,570 800,850,400,850,636,
"Cassava, Fresh Kg",,Retail,380,500,700,600,750,600,240,250,600 700,800,650,350 400,,240,800,537,
"",,Wholesale,300,400,400,530,700,400,210,200,500 500,500,500,310 300,,200,700,411,
"Cassava, Sun dried Kg",,Retail,,400,,800,450,450,340,400,700 680,500,450,,900,340,900,552,
"",,Wholesale,,300,,640,400,350,320,350,500 650,500,,,700,300,700,471,
Cavendish (Bogoya) Kg,,Retail,1000,400,1000,1000,900,1000,550,450,900,,800,700 400,,400,1000,758,
"",,Wholesale,750,300,700,800,800,800,540,400,800,,600,700 300,,300,800,624,
"Chicken, Exotic bird",,Retail,8000,7000,7000,6000,8000,7500,7000,8500,8000,10000,7500,7500,7000,6000,10000,7615,
"",,Wholesale,7000,5500,6000,5000,6000,6000,6500,8000,6500,8000,6000,7000,6000,5000,8000,6423,
"Chicken, Local bird",,Retail,15000,10000,13000,,16000,11000,9000,9000,14000 12000,20000,8000,12000 15000,10000,8000,20000,12429,
"",,Wholesale,13000,8000,10000,9000,13000,8000,8000,8500,12500 10000,17000,6800,11500 13000,8000,6800,17000,10420,
Coffee (Unprocessed) Kg,,Retail,,1200,1000,,1200,1850,1300,,,,,1200 1600,,1000,1850,1336,
"",,Wholesale,,1100,800,,1100,1650,1100,,,,,1100 1400,,800,1650,1179,
Cotton (Unprocessed) Kg,,Retail,,,,,1200,,800,,,,,650,,650,1200,883,
"",,Wholesale,,,,,1100,,700,,,,,600,,600,1100,800,
Cow Peas Kg,,Retail,1800,2200,,1400,2500,1800,2000,,1800,2000,1800,2000 1400,2400,1400,2500,1925,
"",,Wholesale,1500,2000,,1200,1900,1600,1800,,1400,1800,1650,2000 1300,2300,1200,2300,1704,
"Dried Beans, Agwede Kg",,Retail,,,,1200,1025,1400,1200,1200,800 1400,800,,,,800,1400,1128,
"",,Wholesale,,,,1000,925,1250,1100,1000,700,750,,,,700,1250,961,
"Dried Beans, Nambale Kg",,Retail,1400,1200,1000,1500,1100,1300,1400,1400,1400 1300,1000,1100,1200 1100,1000,1000,1500,1227,
"",,Wholesale,1300,1000,900,1000,1000,1150,1200,1300,1200,950,800,1100 1000,900,800,1300,1057,
"Dried Beans, Others Kg",,Retail,1600,1400,1100,1500,1150,1250,1400,1200,900 1300,900,1000,1200 900,1200,900,1600,1200,
"",,Wholesale,1400,1200,900,1000,1100,1100,1200,1100,800,850,700,1100 800,1000,700,1400,1018,
"Dried Beans, Yellow Kg",,Retail,1500,1300,1100,1600,,1400,1500,,1200 1400,1000,,1300 700,1200,700,1600,1267,
"",,Wholesale,1400,1100,900,1250,,1250,1300,,1000,1000,,1300 600,1100,600,1400,1109,
"Eggs, Exotic tray",,Retail,5500,6300,6000,6000,4800,6200,5000,5800,6000 7500,7000,6000,7500 6000,6000,4800,7500,6107,
"",,Wholesale,5000,5800,4500,5200,4400,5200,4800,5500,5700 6000,7000,5000,7000 5500,5000,4400,7000,5440,
"Eggs, Local tray",,Retail,10000,8000,7500,9000,11000,7500,7000,7000,7500,9000,7500,7500 7500,9500,7000,11000,8250,
"",,Wholesale,8000,6500,6000,7000,9000,6200,6500,6700,,8500,6500,7000 6000,9000,6000,9000,7146,
"Fish, Nile Perch Kg",,Retail,6000,4500,,6000,,6000,5000,3500,4500 5000,8000,,,8000,3500,8000,5650,
"",,Wholesale,5000,4000,,5000,,4500,4500,3300,4000 5000,6500,,,5000,3300,6500,4680,
"Fish, Tilapia whole",,Retail,4000,4500,4000,4500,,6500,,5500,4500 3000,6000,,3300 5000,7000,3000,7000,4817,
"",,Wholesale,3500,4000,3500,4000,,5200,,5000,4000 2500,5000,,3000 3000,6000,2500,6000,4058,
Goat Meat Kg,,Retail,6000,4500,5500,6000,6000,5500,6000,5000,6000 5500,,5000,6000 6000,5500,4500,6000,5607,
"",,Wholesale,5000,3500,4500,5000,4500,5000,5000,4800,5700 5500,,4000,6000 5000,5000,3500,6000,4893,
"Groundnuts, Unpounded Kg",,Retail,2500,2300,1800,2500,2400,2400,2200,1900,2200 2500,2000,2400,2000 2500,2500,1800,2500,2273,
"",,Wholesale,2300,2100,1700,2000,1950,2100,2000,1750,2000 2000,1800,2250,2000 2300,2400,1700,2400,2043,
"Honey, Processed Kg",,Retail,7500,,,8000,,6400,,,4000,3800,4500,7000,,3800,8000,5886,
"",,Wholesale,7000,,,7000,,5800,,,3500,3800,3500,6000,,3500,7000,5229,
"Honey, Unprocessed Kg",,Retail,6500,7000,,,,2700,,4500,,4500,7000,3500,,2700,7000,5100,
"",,Wholesale,6000,6000,,,,2450,,4150,,4000,6500,3100,,2450,6500,4600,
Commodity,,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Soroti,Gulu,Arua,Lira,Kabale,Kasese,Kisoro,Mbarara,Min,Max,Avg,Trend
Irish Potatoes,Kg,Retail,500,800,,520,520,600,700,900,1000,1300,1400,320,340,333,,320,1400,710,
"",,Wholesale,420,600,,440,500,500,600,700,900,1200,1200,290,300,316,,290,1200,613,
Maize Flour,Kg,Retail,1400,1500,1100,1300,1200,1200,1200,1200,1400,1400,2000,1300,1000,1000,1100,1000,2000,1287,
"",,Wholesale,1200,1250,970,1000,1020,1000,950,1000,1200,1320,1500,1150,900,700,1000,700,1500,1077,
Maize Grain,Kg,Retail,1000,450,800,800,500,650,650,600,700,650,1200,800,,500,,450,1200,715,
"",,Wholesale,900,350,600,700,480,550,600,500,600,500,1000,620,,400,,350,1000,600,
Matooke,Kg,Retail,390,500,200,390,330,400,280,350,,450,,295,207,250,,200,500,337,
"",,Wholesale,320,400,175,340,300,330,240,300,,400,,265,190,200,,175,400,288,
Matooke (Bunch),Bunch,Retail,7000,,8000,8500,10000,13000,14000,9000,16000,8000,12000,7500,5500,10000,11000,5500,16000,9964,
"",,Wholesale,5500,,7000,7500,7500,11000,12000,8500,14000,7500,8000,6500,5000,8000,10000,5000,14000,8429,
Milk,Ltrs,Retail,800,,800,900,800,800,800,800,1000,1000,1000,500,700,700,500,500,1000,793,
"",,Wholesale,700,,400,800,650,600,700,700,800,800,1000,450,700,500,400,400,1000,657,
Millet Flour,Kg,Retail,1200,1600,1900,1900,1800,1500,1500,1400,700,1500,1000,1700,1200,1200,1200,700,1900,1420,
"",,Wholesale,900,1400,1400,1500,1500,1200,1200,1300,600,1400,1000,1350,1100,1100,1000,600,1500,1197,
Millet Grain,Kg,Retail,1200,1200,1400,1000,900,1000,800,900,1100,1000,600,,1100,1100,1200,600,1400,1036,
"",,Wholesale,900,800,1200,850,850,850,700,750,900,900,500,950,1000,1000,1000,500,1200,877,
Pineapple,whole,Retail,1000,2000,1000,,1000,2000,1000,1500,1800,1500,1500,,900,,1000,900,2000,1350,
"",,Wholesale,700,1000,800,,600,1500,1700,1300,1500,1200,1500,,800,,500,500,1700,1092,
Pork,Kg,Retail,5000,4000,4000,5000,4800,,5000,4000,4500,5000,,5500,,5000,,4000,5500,4709,
"",,Wholesale,4500,,3500,3500,3800,,4500,3800,4200,5000,,,,4500,,3500,5000,4144,
Rice (Kayiso),Kg,Retail,1700,2000,2400,1800,1600,1600,1700,1700,1800,2000,2500,,1800,2800,2500,1600,2800,1993,
"",,Wholesale,1600,1800,2000,1600,1450,1400,1600,1600,1600,1800,2200,,1500,2500,2250,1400,2500,1779,
Rice (Super),Kg,Retail,1900,2200,1800,2400,2200,1900,2000,1900,2000,2200,2500,2200,2000,2000,2200,1800,2500,2093,
"",,Wholesale,1800,2000,1600,1900,1800,1700,1800,1750,1800,1900,2200,2000,2000,1800,1800,1600,2200,1857,
Rice (Upland),Kg,Retail,1600,1800,2000,1800,1700,1600,1700,,1800,1800,2200,2000,1800,1800,2000,1600,2200,1829,
"",,Wholesale,1500,1700,1800,1600,1500,1400,1600,,1650,,2000,1850,1700,1700,1700,1400,2000,1669,
Simsim,Kg,Retail,,,,3000,2500,,2000,2300,2200,2200,2000,4000,2200,,2550,2000,4000,2495,
"",,Wholesale,,,,2400,1800,,1800,2000,2000,1800,1800,3200,1800,,2500,1800,3200,2110,
Sorghum Flour,Kg,Retail,,,,1000,1000,,800,600,500,,800,,1200,800,,500,1200,838,
"",,Wholesale,,,,700,870,,700,550,450,,600,,1025,700,,450,1025,699,
Sorghum Grain,Kg,Retail,,800,,800,500,,700,500,500,1000,500,,1000,1000,1200,500,1200,773,
"",,Wholesale,,600,,500,470,,600,450,450,800,450,,900,900,1000,450,1000,647,
Soya Beans,Kg,Retail,,1500,1400,1500,1100,,1800,1400,,,1200,1300,1550,,,1100,1800,1417,
"",,Wholesale,,1000,1300,1000,900,,1600,1250,,,1000,900,1450,,,900,1600,1156,
Sunflower,Kg,Retail,,1600,,,400,1000,,400,,,450,,,,,400,1600,770,
"",,Wholesale,,1300,,,370,850,,350,,,400,,,,,350,1300,654,
Sweet Potatoes,Kg,Retail,,600,700,300,500,700,270,250,600,400,1400,250,370,150,,150,1400,499,
"",,Wholesale,,400,500,250,450,550,240,200,500,350,1200,150,350,100,,100,1200,403,
Tea (Unprocessed),Kg,Retail,350,,,,400,,,,,,,,,,,350,400,375,
"",,Wholesale,260,,,,350,,,,,,,,,,,260,350,305,
Turkey,bird,Retail,,25000,,35000,35000,25000,28000,29000,,,35000,,,,38000,25000,38000,31250,
"",,Wholesale,,21000,,30000,25000,23000,26000,28000,,,30000,,,,,21000,30000,26143,
Vanilla (Unprocessed),Kg,Retail,,3000,,,2700,,,,,,,,,,,2700,3000,2850,
"",,Wholesale,,2500,,,2300,,,,,,,,,,,2300,2500,2400,
