"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
Commodity,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,700,500,,800,850,230,500,400,700,,1000,1000,900,550,400,1000,230,1000,702
"",,Wholesale,600,500,300,,500,650,200,400,300,600,,1000,500,550,500,300,800,200,1000,513
Beef,Kg,Retail,5000,4500,5000,5000,5000,4500,7000,,5000,5000,6000,,4000,4000,4100,5000,4000,4000,7000,4873
"",,Wholesale,4500,4500,4500,4500,3800,4000,6500,,4800,5000,5800,,Weigh,3200,4000,4500,3500,3200,6500,4507
"Cassava, Dry Fermented",Kg,Retail,,,,,,600,320,,400,680,600,400,,,460,,,320,680,494
"",,Wholesale,,,,,,500,300,,350,650,500,400,,,450,,,300,650,450
"Cassava, Flour",Kg,Retail,800,800,,900,800,850,700,,650,750,600,1200,550,950,700,1000,900,550,1200,810
"",,Wholesale,700,700,,800,620,650,600,,550,700,500,1000,500,700,680,800,850,500,1000,690
"Cassava, Fresh",Kg,Retail,450,1000,650,450,400,800,210,,250,600,,600,500,600,1000,400,800,210,1000,581
"",,Wholesale,350,650,400,400,350,600,200,,150,500,,500,210,500,800,300,500,150,800,427
"Cassava, Sun dried",Kg,Retail,,500,,,800,500,310,,400,700,,400,Ka5le0r0,e,480,,900,310,900,549
"",,Wholesale,,450,,,620,400,290,,350,600,,400,450,,460,,700,290,700,472
Cavendish (Bogoya),Kg,Retail,1300,1300,1000,650,1000,1000,520,600,450,800,,1000,1000,800,1000,400,,400,1300,855
"",,Wholesale,1000,1100,700,600,800,850,500,500,400,600,,1000,Lu5w0e0r,600,900,300,,300,1100,690
"Chicken, Exotic",bird,Retail,11000,7500,7000,8000,6000,8000,6500,,8000,,8500,9000,8000,9000,5800,,7000,5800,11000,7807
"",,Wholesale,9000,6500,6000,6500,5000,6500,6000,,7500,,7000,7000,7000,,5500,,6000,5000,9000,6577
"Chicken, Local",bird,Retail,16000,14000,13000,1000,,12000,8500,8000,9000,11000,15000,9000,1M50as0a0,a11000,10000,13000,10000,1000,16000,10969
"",,Wholesale,13000,12500,12000,9500,8500,9000,8000,6000,8500,10000,14000,7000,12000,,9000,10000,8000,6000,14000,9813
Coffee (Unprocessed),Kg,Retail,,1300,1000,4500,,1800,1300,,,,,,,,2500,2000,,1000,4500,2057
