"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,
Commodity,,,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,700,800,500,550,800,650,850,260,500,450,700,600,1200,1000,600,500,400,600,666,260,1200
"",,Wholesale,800,400,500,300,500,500,600,650,230,400,400,600,450,1000,600,500,450,300,400,504,230,1000
Beef,Kg,Retail,4500,4000,4500,5000,5000,,5000,4500,6000,,5000,5000,6000,5000,4000,4000,4100,5000,4000,4741,4000,6000
"",,Wholesale,4500,3400,4000,4500,4500,,4500,4000,5000,,4800,5000,5800,4500,,3500,4000,4500,3500,4375,3400,5800
"Cassava, Dry Fermented",Kg,Retail,,,,,,5000,500,510,,,400,650,600,,,,460,,,1160,400,5000
"",,Wholesale,,,,,,3800,480,410,,,360,600,500,,,,450,,,943,360,3800
"Cassava, Flour",Kg,Retail,800,800,700,650,900,800,700,750,270,,700,750,500,1200,550,900,700,1000,800,748,270,1200
"",,Wholesale,700,600,500,400,800,600,620,600,240,,650,700,450,1000,500,750,680,800,600,622,240,1000
"Cassava, Fresh",Kg,Retail,600,500,1000,700,450,550,550,650,240,,350,800,650,800,500,600,900,400,600,602,240,1000
"",,Wholesale,450,300,650,500,400,500,520,500,220,,300,750,500,50K0,lerw2e00,500,700,300,400,455,200,750
"Cassava, Sun dried",Kg,Retail,,400,500,,,800,500,500,250,,,650,550,500,480,,480,,700,526,250,800
"",,Wholesale,,300,500,,,600,480,400,210,,,600,450,300,450,,460,,500,438,210,600
Cavendish (Bogoya),Kg,Retail,1500,,1200,1000,650,800,1000,1100,570,600,450,600,,1200,1000,2000,900,400,1800,986,400,2000
"",,Wholesale,1200,,1000,700,600,600,900,900,540,500,400,550,,1000,500,1500,700,300,1300,776,300,1500
"Chicken, Exotic",bird,Retail,8000,7500,7000,10000,7500,6500,6500,6500,7500,,10000,,8500,6000,8000,10000,6400,,6500,7650,6000,10000
"",,Wholesale,7000,5500,6000,8000,6500,5500,5500,5500,6500,,9500,,8000,6000,7000,9000,6000,,5500,6688,5500,9500
"Chicken, Local",bird,Retail,15000,10000,13500,13000,12000,11000,15000,14000,12000,8000,10000,12000,,9000,15000,12000,1000,13000,8500,11333,1000,15000
"",,Wholesale,13000,8500,12000,10000,9500,,13000,11000,9000,6000,9000,10500,,8000,13000,10000,9400,10000,7000,9935,6000,13000
Coffee (Unprocessed),Kg,Retail,,1100,1200,1000,4500,,,1650,,,,,,,,,2500,2000,,1993,1000,4500
"",,Wholesale,,1000,1000,800,4000,,,1450,,,,,,,,,2400,1600,,1750,800,4000
Cotton (Unprocessed),Kg,Retail,,,,,,,,,,,,,,400,,,,,,400,400,400
"",,Wholesale,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2200,1400,1600,2500,1400,2500,1500,,,1200,1600,,1500,3000,1500,2100,1400,1200,1788,1200,3000
"",,Wholesale,1800,2000,1200,1400,2000,1200,2200,1650,,,900,1500,,1400,,1400,2000,1300,1000,1530,900,2200
"Dried Beans, Agwede",Kg,Retail,,,1300,1400,,1200,800,1400,,,1200,1200,850,700,,,,,,1117,700,1400
"",,Wholesale,,,1200,1200,,1000,700,1250,,,1100,,750,500,,,,,,963,500,1250
"Dried Beans, Nambale",Kg,Retail,1400,1100,1400,1200,2000,1500,1100,1250,,1200,1400,1400,1300,1000,1000,1300,1100,,800,1262,800,2000
"",,Wholesale,1300,900,1200,1000,1700,1200,1000,1050,,1000,1300,1300,1250,800,900,900,1000,,600,1082,600,1700
"Dried Beans, Others",Kg,Retail,1600,1300,1500,1200,2000,1500,1150,1400,,1200,1200,1400,900,1200,1000,900,1300,1100,1000,1269,900,2000
"",,Wholesale,1400,1100,1200,1000,1700,1100,1050,1300,,1000,1100,1300,850,1000,900,850,1200,900,800,1097,800,1700
"Dried Beans, Yellow",Kg,Retail,1500,1300,1400,1200,2000,1600,1450,1400,,,1500,1500,1300,1500,1150,1300,1200,800,5500,1624,800,5500
"",,Wholesale,1400,1100,1200,1000,1700,1300,1400,1250,,,1400,1400,1250,1300,1000,900,1100,700,4500,1406,700,4500
"Eggs, Exotic",tray,Retail,5000,6000,4800,6000,5800,6000,4700,6400,,9000,5800,7500,6000,600J0i,ja6000,6000,5500,6000,5000,5972,4700,9000
