"",,,,Central,Eastern,NorthernWestern,,,,,,,,,,,,,,,
"",CommodityWeightKalerweKiboga LuweroMasakaNakaseroOwinoIgangaJinjaKapchor SorotiAruaGuluLiraHoimaKabaleKisoro Mbarara,Avg,,,,,,,,,,,,,,,,,,,
"",Apple Bananas,Kg,Retail,1500,600,900,500,550,750,800,250,500,500,700,700,1000,1000,650,400,600,700
"",,,Wholesale,1200,400,800,300,500,700,700,220,400,450,600,600,1000,500,600,300,400,569
"",Beef,Kg,Retail,5000,4200,5000,5000,5500,5500,4500,7500,,5000,5000,6000,5000,4000,4000,5000,4500,5044
"",,,Wholesale,4500,3600,5000,4500,4500,5000,4000,7000,,4800,5000,5800,4000,,3500,4500,4000,4647
"","Cassava, Dry Fermented",Kg,Retail,,,,,,500,500,250,,,1000,600,500,,,,,558
"",,,Wholesale,,,,,,480,380,220,,,1000,500,400,,,,,497
"","Cassava, Flour",Kg,Retail,800,650,700,650,1000,700,800,1000,,800,1100,900,900,800,1100,1000,650,847
"",,,Wholesale,700,450,600,400,800,620,650,800,,700,1000,800,800,700,750,800,400,686
"","Cassava, Fresh",Kg,Retail,650,500,1000,700,350,520,700,250,,400,800,800,800,500,600,400,800,611
"",,,Wholesale,500,300,650,500,300,500,600,230,,350,700,700,500,300,500,300,500,464
"","Cassava, Sun dried",Kg,Retail,,400,650,,,500,480,230,,750,1000,,500,600,,,700,581
"",,,Wholesale,,300,500,,,480,360,200,,650,1000,,500,500,,,500,499
"",Cavendish (Bogoya),Kg,Retail,2000,500,1200,1000,650,1100,1200,600,600,500,700,,1200,1000,1100,400,,917
"",,,Wholesale,1500,300,1000,700,600,1000,1000,550,500,450,600,,1000,500,900,300,,727
"","Chicken, Exotic",bird,Retail,9000,9000,12000,9000,8000,9000,6500,8000,,10000,,11000,6000,,9500,,6500,8731
"",,,Wholesale,8000,6500,10000,7000,7500,6500,5500,7000,,9500,,9500,6000,,8000,,5000,7385
"","Chicken, Local",bird,Retail,20000,11000,17000,13000,14000,16000,14000,14000,8000,10500,16000,16000,10000,18000,14000,15000,8500,13824
"",,,Wholesale,16000,9000,15000,10000,12000,13000,12000,12000,6000,10000,15000,15500,8000,14000,11000,13000,7500,11706
"",Coffee (Unprocessed),Kg,Retail,,1100,1250,1000,,,1700,1300,,,,,,,,2000,,1392
"",,,Wholesale,,1000,1100,800,,,1500,1200,,,,,,,,1600,,1200
"",Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,,800
"",,,Wholesale,,,,,,,,700,,,,,,,,,,700
"",Cow Peas,Kg,Retail,2000,2300,1500,1600,,2500,1800,2300,,1200,1600,1400,1600,,1500,1500,,1754
"",,,Wholesale,1800,2000,1400,1400,,2200,1650,2200,,1000,1200,1350,1400,,1400,1400,,1569
"","Dried Beans, Agwede",Kg,Retail,,,1300,1400,,800,1400,1200,,1200,1200,900,400,,,,,1089
"",,,Wholesale,,,1200,1200,,700,1300,1100,,1100,,850,400,,,,,981
"","Dried Beans, Nambale",Kg,Retail,1400,1000,1500,1200,2000,1200,1300,1500,1300,1500,1300,1500,800,1000,1300,,600,1275
"",,,Wholesale,1300,800,1400,1000,1700,1150,1100,1400,1200,1400,1200,1400,600,,900,,400,1130
"","Dried Beans, Others",Kg,Retail,1600,1200,1300,1200,2000,1100,1300,1300,1300,1200,1400,1300,1200,1000,1000,1100,900,1259
"",,,Wholesale,1400,1000,1300,1000,1700,1000,1200,1200,1200,1100,1300,1200,1000,900,850,900,700,1115
"","Dried Beans, Yellow",Kg,Retail,1500,1300,1500,1200,2000,1400,1400,1600,,1500,1600,1500,1600,1200,1200,900,900,1394
