"",,,,,,Central,,,,Eastern,Northern,,,,Western,,
Commodity,,,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja KapchorwaSoroti Arua,,Gulu Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg Retail,,1000,500,700,800 500,800,800,1000,250 500 500 900,,800,1000,700,600,400,1000
"",Wholesale,,900,400,600,500 450,500,700,700,230 400 450 700,,700,600,600,550,300,900
Beef,Kg Retail,,5000,4000,4500,5000 5500,5000,5000,4500,6000 5000 5000,,6000 5000,4000,4000,4400,5000,4000
"",Wholesale,,4500,3500,4500,4500 4500,3800,4500,4000,5000 4800 5000,,5800 4500,,3500,4200,4500,3800
"Cassava, Dry Fermented",Kg Retail,,,,,,,500,,270 750,,850 700,,,4400,,
"",Wholesale,,,,,,,480,,250 650,,700 500,,,4200,,
"Cassava, Flour",Kg Retail,,800,800,1200,650 1000,1100,700,900,1000 850 1100,,950,1200,1100,900,1000,1000
"",Wholesale,,700,600,900,400 900,900,630,800,800 750 950,,800,900,750,800,800,900
"Cassava, Fresh",Kg Retail,,600,500,700,700 400,325,550,800,250 450 700,,1200,500,550,800,400,1000
"",Wholesale,,490,300,500,500 350,275,500,700,230 400 650,,1000,220,450,700,300,800
"Cassava, Sun dried",Kg Retail,,,400,650,,1100,500,500,800 750 900,,800 700,850,,650,,700
"",Wholesale,,,300,600,,900,480,400,700 700 850,,700 500,800,,620,,500
Cavendish (Bogoya),Kg Retail,,1500,500,1100,1100 550,800,1100,1500,540 600 500,,700,1000,1100,1000,400,
"",Wholesale,,1200,300,1000,800 500,600,1000,1200,500 500 450,,500,500,900,800,300,
"Chicken, Exotic",bird Retail,,5500,8000,7500,7500 9000,6000,8000,6500,8000 9000,,9500 7000,7000,9000,6400,,6500
"",Wholesale,,5000,6000,700,6000 8000,5000,6000,5000,7500 8000,,8500 6000,6000,8000,6000,,5000
"Chicken, Local",bird Retail,,16000,10000,13000,10000 14000,,15000,12000,11000 7000 9000 12000,,14000 8000,10000,12000,16000,15000,8500
"",Wholesale,,13500,9000,12000,8000 12000,11500,13000,9000,10000 5000 8500 11000,,12500 7000,8000,9000,15000,13000,7500
Coffee (Unprocessed),Kg Retail,,,1850,1250,5000,,,1800,1200,,,,,,2000,
"",Wholesale,,,1750,1150,4500,,,1600,1100,,,,,,1600,
Cotton (Unprocessed),Kg Retail,,,,,,,,,800,,,,,,,
"",Wholesale,,,,,,,,,700,,,,,,,
Cow Peas,Kg Retail,,2000,2250,,2500 2500,1500,2500,1900,2000 1800 1300 1800,,2000,3000,1800,,1500,1500
"",Wholesale,,1800,2050,,2300 2000,1300,2200,1700,1800 1700 1200 1500,,1800,,1500,,1400,1000
"Dried Beans, Agwede",Kg Retail,,,,2000,1400,1200,,1400,1100 1300 1200,,1000 1200,,,,,
"",Wholesale,,,,1800,1200,1000,,1300,1000 1200,,900 1000,,,,,
"Dried Beans, Nambale",Kg Retail,,1500,1000,1800,1200 2000,1600,1400,1300,1300 1200 1500 1300,,1600 1200,1300,1300,,,1100
"",Wholesale,,1300,800,1700,1000 1800,1300,1300,1150,1200 1100 1400 1200,,1480 1000,1200,900,,,1000
"Dried Beans, Others",Kg Retail,,1600,1200,,1200 2000,1700,1300,1300,1200 1200 1400,,1400 1500,1400,1000,1400,1500,1300
"",Wholesale,,1400,1000,,1000 1800,1400,1200,1200,1000 1100 1300,,1350 1300,1300,850,1200,1400,1000
"Dried Beans, Yellow",Kg Retail,,1600,1250,,1200 2000,1700,1650,1400,1500 1600 1500,,1600 1500,1600,1200,1000,900,900
"",Wholesale,,1400,1050,,1000 1800,1400,1550,1300,1400 1450 1450,,1500 1300,1400,900,900,800,800
"Eggs, Exotic",tray Retail,,5000,6000,,6500 6000,6000,4800,6000,5300 9000 5700 7500,,6000 6000,6000,6500,5500,6500,6300
"",Wholesale,,4500,5500,,4700 5800,5000,4500,5000,5000 7000 5600 6000,,5700 5000,5000,5500,5000,5500,6000
"Eggs, Local",tray Retail,,10000,8500,5500,9000 14000,9000,11000,8500,7000 7000 7500,,7000,9000,9000,7200,9900,8000
"",Wholesale,,9000,7000,5200,7500 12500,7000,9000,6600,6500 6800,,6000,6000,7500,7000,9000,7500
"Fish, Nile Perch",Kg Retail,,6500,5500,,,7000,7000,5000,6000 4000 5000,,4500 5000,,,,,5000
"",Wholesale,,6000,4700,,,6000,6000,4000,5000 3600 5000,,4000 4500,,,,,4500
"Fish, Tilapia",wholeRetail,,3500,4700,,3500 5500,4000,5000,6000,9000 2200 5000 5500,,4500 4000,7000,7000,3500,5000,6000
"",Wholesale,,3000,4000,,3000 5000,3500,4000,4500,8500 2100 4500 5000,,4200 3500,,6500,3000,3000,5000
Goat Meat,Kg Retail,,6500,4500,5000,5500 6000,6000,6000,6000,6000 5000 5000 5500,,6000 6000,5000,5000,5800,6000,5500
"",Wholesale,,6000,3600,5000,4500 5500,4800,4500,4500,5000 4800 4800 5500,,5800 5000,,4500,5400,5000,4800
"Groundnuts, Unpounded",Kg Retail,,2500,2400,2800,2200 3000,2500,2600,2500,2700 2400 2200 2500,,2500 3000,2700,2300,2400,2500,2500
"",Wholesale,,2300,2100,2500,2000 2500,2300,2150,2300,2500 2300 2000 2200,,2300 2800,2400,2200,2300,2300,2400
"Honey, Processed",Kg Retail,,7500,10000,3500,8800 8000,8000,,7500,6000 6400 3000,,4500 5000,8000,,,7000,
"",Wholesale,,7000,8000,3500,6800 7500,7000,,6200,5000 6000 2700,,4000 4500,,,,6000,
"Honey, Unprocessed",Kg Retail,,6500,7500,2500,5000,6500,,4000,4000 3000 2300,,3800 5000,4000,,,3500,
"",Wholesale,,6000,6500,2200,4500,6000,,3500,3000 2800 2100,,3500 4500,2500,,,3100,
Irish Potatoes,Kg Retail,,600,1000,1100,1000,850,600,550,850,800,800,1100 1000,,1000 1000,,650,550,600,500,
"",Wholesale,,533,800,850,700,800,500,520,700,700,700,950 900,,900 800,,580,450,500,458,
Maize Flour,Kg Retail,,1500,1500,1400,1300,1500,1500,1300,1400,1300,1400,1500 1500,,1500 1300,,1400,1000,1300,1800,1100
"",Wholesale,,1300,1250,1200,1100,1400,1280,1200,1250,1200,1300,1400 1360,,1400 1100,,1200,620,1200,800,1000
Maize Grain,Kg Retail,,1000,670,1000,1000,1100,850,700,730,680,800,800 850,,900 1000,,800,1000,1000,500,1000
"",Wholesale,,900,550,900,700,1000,750,680,620,670,750,750 750,,800 800,,750,620,900,450,800
Matooke,Kg Retail,,380,500,1200,175,450,540,350,420,260,400,500 400,,1000,,500,440,600,250,1000
"",Wholesale,,300,400,700,150,400,400,320,380,240,300,450 350,,800,,,400,500,225,800
Matooke (Bunch),BunchRetail,,9000,8700,15000,7000,11000,12000,11000,14500,13000,8000,9500 10000,,15500 10000,,7000,14000,12000,10000,6000
"",Wholesale,,7400,5000,10000,6000,9000,10000,9000,12500,12000,6000,8500 9000,,14800 8000,,,8500,10000,9000,5000
Milk,Ltrs Retail,,800,800,600,700,800,800,800,900,800,500,800 1000,,1000 1200,,700,600,750,700,600
"",Wholesale,,700,600,500,4500,700,700,700,750,700,450,750 800,,800 1000,,600,500,700,500,500
Millet Flour,Kg Retail,,1200,1600,1300,1500,1800,2000,2000,1500,1500,,1450 1600,,1300 750,,3000,1500,1400,1300,1500
"",Wholesale,,900,1400,1200,1300,1500,1600,1700,1200,1300,,1350 1500,,1000 600,,,1200,1350,1200,1200
Millet Grain,Kg Retail,,1200,1200,900,1400,1300,1200,1100,1100,1100,1050,1100 1300,,1300 400,,1800,1200,1300,1200,1300
"",Wholesale,,900,800,700,1200,1250,1000,1050,1000,950,1000,1000 1000,,1200 350,,1000,950,1200,1100,1000
Pineapple,wholeRetail,,1300,2100,1000,800,2500,1300,1200,2500,,,1500,,1700 2000,,,,1200,800,1000
"",Wholesale,,1000,1200,850,700,2300,1000,800,2000,,,1400,,1500 1800,,,,1000,500,800
Pork,Kg Retail,,5000,3700,4300,4000,,5000,5000,,3750,,4000,,4500 4500,,5000,4800,5000,5000,6000
"",Wholesale,,4500,2800,4000,3500,,3500,4200,,3100,,3800,,4300 4000,,,3800,4800,4500,5500
Rice (Kayiso),Kg Retail,,2400,2450,2400,2400,2400,2400,2200,2200,2200,2200,2200 2400,,2200 2000,,,2700,,2800,2500
"",Wholesale,,2200,2200,2300,2000,2200,2200,2100,1900,2000,2100,2000 2300,,1900 1800,,,2200,,2500,2300
Rice (Super),Kg Retail,,2600,2700,2500,2000,2550,2800,2500,2600,2700,2400,2400 2500,,2600 2500,,2800,,2200,2200,2600
"",Wholesale,,2400,2500,2250,1800,2350,2600,2300,2300,2500,2300,2200 2400,,2400 2300,,,,2100,2000,2400
Rice (Upland),Kg Retail,,2300,2300,2200,2000,2550,2400,2200,2200,2300,,2400,,2300 2000,,2200,2500,1540,2000,1800
"",Wholesale,,2100,2100,2000,1800,2400,2200,2100,1900,2200,,2000,,2200 1800,,2000,1850,1530,1800,1500
Simsim,Kg Retail,,3000,3000,2700,,,2500,2500,2300,2100,2500,2600 2200,,2550 2000,,3000,2500,2100,,4000
"",Wholesale,,2800,2500,2500,,,2200,1900,2100,1900,2400,2400 1800,,2350 1800,,,1850,2000,,3800
Sorghum Flour,Kg Retail,,1000,,1400,,,1000,1000,950,1000,900,800 1500,,860 900,,,1700,1400,1000,1000
"",Wholesale,,700,,1300,,,700,800,750,800,700,750 1400,,750 700,,,1400,1300,900,800
Sorghum Grain,Kg Retail,,700,700,1300,,1800,800,650,700,800,,650 1200,,750 450,,,1400,1300,900,1500
"",Wholesale,,500,500,1000,,1700,500,620,600,700,,550 1000,,650 400,,,1100,1200,800,1400
Soya Beans,Kg Retail,,2500,1500,1800,1400,1500,1700,1100,1300,2300,1800,1500 1500,,1500,,900,1800,1200,1000,1450
"",Wholesale,,2300,1200,1500,1300,1400,1200,900,1150,2100,1700,1400 1200,,1200,,800,1450,1000,800,1400
Sunflower,Kg Retail,,,,,,3000,,400,,,,,,,,,,,,
"",Wholesale,,,,,,2500,,370,,,,,,,,,,,,
Sweet Potatoes,Kg Retail,,600,600,1200,800,350,350,500,1000,250,,450 700,,1200 1200,,600,250,1300,200,
"",Wholesale,,500,400,800,500,300,300,450,800,230,,450 550,,1000 1000,,400,150,1200,150,
Tea (Unprocessed),Kg Retail,,,,,,,,400,,,,,,,,,,,,
"",Wholesale,,,,,,,,350,,,,,,,,,,,,
Turkey,bird Retail,,,27000,30000,,30000,35000,34000,29000,33000,,29000,,,,,,,,38000
"",Wholesale,,,24000,25000,,25000,30000,28000,27000,31000,,28000,,,,,,,,35000
Vanilla (Unprocessed),Kg Retail,,,3000,,,5500,,2700,,,,,,,,,,,,3500
"",Wholesale,,,2500,,,5000,,2300,,,,,,,,,,,,1500
