"",,,,,,Central,,,,,Eastern,,,Northern,,,Western,,,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kasese Kisoro,,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,500,650,800 550,800,800,1000,230,500,500,800,900,1000,700,700 400,,1000,713
"",,Wholesale,600,400,500,500 500,500,700,700,200,400,400,750,800,600,600,650 300,,900,556
Beef,Kg,Retail,5000,4000,4500,5000 5500,5000,5000,4800,6500,,5000,5000,5000 5000,4000,4000,4400 5000,,4000,4817
"",,Wholesale,4500,3500,4500,4500 4500,3800,4500,4200,5500,,4800,5000,4800 4500,,3500,4200 4500,,3800,4388
"Cassava, Dry Fermented",Kg,Retail,,,,,,520,500,250,,750,900,1100 700,,,600,,,665
"",,Wholesale,,,,,,500,400,230,,700,880,900 500,,,550,,,583
"Cassava, Flour",Kg,Retail,800,800,1200,650 1000,1100,950,900,1000,,900,1000,1100 700,1200,1100,1000 1000,,1200,978
"",,Wholesale,700,600,900,400 900,900,850,800,800,,800,930,900 500,1000,750,900 800,,1000,802
"Cassava, Fresh",Kg,Retail,530,500,700,700 400,450,650,800,240,,500,800,1200 1200,500,550,800 400,,1000,662
"",,Wholesale,450,300,500,500 350,400,550,700,200,,400,700,900 1000,230,450,700 300,,800,524
"Cassava, Sun dried",Kg,Retail,,400,650,,1100,520,500,800,,800,900,900 700,,,,,700,725
"",,Wholesale,,300,600,,900,500,400,650,,700,880,800 500,,,,,500,612
Cavendish (Bogoya),Kg,Retail,,500,1000,1000 600,1000,1100,,500,600,500,800,,1000,1100,1000 400,,,793
"",,Wholesale,,300,800,800 550,800,1000,,480,500,450,700,,600,900,900 300,,,649
"Chicken, Exotic",bird,Retail,7500,8000,7500,9000,6000,8000,6500,7500,,9000,,10000 8000,7000,9000,6400,,6500,7727
"",,Wholesale,7000,6000,7000,8500,5000,6000,5000,7000,,8500,,8000 7000,6000,8000,6000,,5000,6667
"Chicken, Local",bird,Retail,16500,10000,13000,14000,,15000,12000 12000,,7000,9000 14000,,14000 8000,12000,12000,16000 15000,,6500,12118
"",,Wholesale,15000,9000,12000,12000,11500,13000,9000 10000,,5000,8500 13000,,13000 6000,9000,9000,15000 13000,,5000,10444
Coffee (Unprocessed),Kg,Retail,,,1250,,,,,1200,,,,,,,2600 2000,,,1763
"",,Wholesale,,,1150,,,,,1100,,,,,,,2500 1600,,,1588
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,,800
"",,Wholesale,,,,,,,,700,,,,,,,,,,700
Cow Peas,Kg,Retail,2000,2300,2000,2500 2500,1500,2500,1900,1800,1800,1400,1800,2000,3000,1800,2200 1500,,1550,2003
"",,Wholesale,1800,2000,1800,2300 2000,1300,2200,1700,1650,1700,1300,1500,1800,,1500,2100 1400,,1200,1721
"Dried Beans, Agwede",Kg,Retail,,,1300,1200,1200,800,1400,1200,,1300,1200,1000 1200,,,,,,1180
"",,Wholesale,,,1200,1000,1000,700,1300,1000,,1200,,900 1000,,,,,,1033
"Dried Beans, Nambale",Kg,Retail,1500,1000,1800,1200 2000,1600,1300,1300,1300,1200,1550,1500,1500 1200,1300,1300,1400,,1100,1392
"",,Wholesale,1300,800,1700,1000 1800,1300,1250,1150,1150,1100,1450,1400,1400 1000,1200,900,1350,,1000,1236
"Dried Beans, Others",Kg,Retail,1600,1200,1400,1200 2000,1600,1300,1400,1200,1200,1300,1300,1400 1500,1400,1000,1400 1100,,1300,1358
"",,Wholesale,1400,1000,1300,1000 1800,1300,1200,1250,1000,1100,1200,1200,1250 1200,1200,850,1200 1000,,1000,1182
"Dried Beans, Yellow",Kg,Retail,1600,1250,1800,1200 2000,1700,1650,1400,1500,,1600,1700,1550 1500,1600,1200,1000 900,,900,1447
"",,Wholesale,1400,1050,1700,1000 1800,1400,1500,1300,1400,,1450,1600,1450 1200,1300,900,900 800,,800,1275
"Eggs, Exotic",tray,Retail,5000,6000,5000,6500 6000,6000,,6000,5200,9000,5800,7500,6000 6000,6000,6500,5500 6500,,6300,6156
"",,Wholesale,4500,5500,4800,4700 5500,5000,,5000,5000,7000,5600,6000,5800 5000,5000,5500,5000 5500,,6000,5356
"Eggs, Local",tray,Retail,10000,8500,5500,9000 14000,9000,11000,8500,7000,,7000,7500,7000,9000,9000,7200 9900,,8000,8653
"",,Wholesale,8000,7000,5200,7500 12500,7000,9000,6600,6500,,6900,,6000,6000,7500,7000 9000,,7500,7450
"Fish, Nile Perch",Kg,Retail,6500,5500,5000,,7000,5000,5000,6000,,4000,5000,4800 5000,,,,,5000,5317
"",,Wholesale,5500,4700,4000,,6000,4000,4000,5000,,3500,5000,4500 4500,,,,,4500,4600
"Fish, Tilapia",whole,Retail,3500,4500,3500,3000 5500,4000,7000,6000,9000,2200,5300,,4500 4000,,7000,3500 5000,,6000,4912
"",,Wholesale,3000,4000,3000,2500 5000,3500,6000,4500,8000,2100,5000,,4000 3500,,6500,3000 3000,,5000,4212
Goat Meat,Kg,Retail,6500,4500,5000,5500 6000,6000,6000,5000,6000,5000,5000,5500,6000 6000,4000,5000,5800 6000,,5500,5489
"",,Wholesale,6000,3600,5000,4500 5500,4800,4500,4500,5000,4800,4800,5500,5800 5000,,4500,5400 5000,,4800,4944
"Groundnuts, Unpounded",Kg,Retail,2500,2400,2800,2300 3000,2500,2600,2500,2600,2400,2100,2500,2500 3000,3000,2300,2400 2500,,2500,2547
"",,Wholesale,2300,2100,2500,2100 2500,2300,2250,2300,2500,2300,2000,2200,2400 2800,2400,2200,2300 2300,,2400,2324
"Honey, Processed",Kg,Retail,7500,10000,3500,8800 8500,8000,,7300,5000,,6400,3000,4500 5000,8000,,12000 7000,,,6967
"",,Wholesale,7000,8000,3500,6800 7500,7000,,6300,4000,,6000,2700,4200 4500,,,10000 6000,,,5964
"Honey, Unprocessed",Kg,Retail,6500,7500,2500,5000,6500,,4000,4000,,3000,2500,3500 5000,4000,,3500,,,4423
"",,Wholesale,6000,6500,2200,4500,6000,,3500,3000,,2800,2100,3200 4500,2500,,3100,,,3838
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga Jinja,,Kapchorwa,Soroti Arua,,Gulu Lira,,Hoima,Kabale,Kasese Kisoro,,Mbarara,Avg
Irish Potatoes,Kg,Retail,600,1000,1100,1000,850,600,650,850 800,,800,1100 1000,,1000 1000,,,600,600 500,,,826
"",,Wholesale,500,800,850,700,800,500,620,700 700,,750,950 900,,800 800,,,450,500 458,,,693
Maize Flour,Kg,Retail,1500,1500,1400,1300,1500,1500,1300,1400 1300,,1400,1500 1500,,1450 1200,,,1200,1200 1200,,1100,1358
"",,Wholesale,1300,1250,1200,1100,1400,1280,1200,1250 1200,,1300,1400 1360,,1350 1000,,,1150,1100 900,,1000,1208
Maize Grain,Kg,Retail,1000,700,1000,1000,1100,850,710,730 700,,800,800 850,,780 1000,,,1000,1000 600,,1000,868
"",,Wholesale,900,550,900,700,1000,750,700,620 680,,750,750 750,,900 800,,,620,900 500,,800,754
Matooke,Kg,Retail,370,500,1000,175,500,540,350,450 270,,400,500 400,,1000,,500,440,600 250,,,485
"",,Wholesale,300,400,800,150,450,450,320,400 250,,300,450 350,,800,,,400,500 225,,,409
Matooke (Bunch),Bunch,Retail,8000,8500,15000,7000,13000,12000,11000,15000 13500,,8000,9000 13000,,15000 10000,,7500,15000,12000 10000,,6500,11000
"",,Wholesale,7000,5000,10000,6000,11000,10000,9000,13000 12500,,6000,8500 11000,,14000 7000,,,8500,10000 9000,,5500,9056
Milk,Ltrs,Retail,800,800,600,700,800,800,800,900 800,,500,800 1000,,1000 1200,,700,,750 700,,600,792
"",,Wholesale,700,600,500,400,700,700,700,750 700,,450,700 800,,800 1000,,600,,700 500,,500,656
Millet Flour,Kg,Retail,1200,1600,1300,1500,,2000,2000,1500 1500,,,1450 1600,,1400 1500,,3000,1500,1400 1300,,1500,1603
"",,Wholesale,900,1400,1200,1300,,1600,1700,1200 1300,,,1350 1500,,1250 1200,,,1200,1350 1200,,1200,1303
Millet Grain,Kg,Retail,1200,1200,900,1400,1300,1200,1100,1100 1100,,,1100 1300,,1100 400,,1800,1200,1300 1200,,1300,1178
"",,Wholesale,900,800,700,1200,1250,1000,1050,1000 1000,,,1000 1000,,1000 350,,,950,1200 1100,,1000,971
Pineapple,whole,Retail,1000,2100,1000,800,2500,1300,1200,2800 1500,,,1550 2500,,1600 2500,,2000,500,1200 800,,,1579
"",,Wholesale,1000,1200,850,700,2300,1000,800,2300 1300,,,1400,,1300 1800,,1200,350,1000 500,,,1188
Pork,Kg,Retail,5000,,4300,4000,,5000,4800,6000,,,4000,,4500 4500,,5000,4800,5000 5000,,5500,4814
"",,Wholesale,4500,,4000,3500,,3500,4000,5000,,,3800,,4300 4000,,,3800,4800 4500,,4000,4131
Rice (Kayiso),Kg,Retail,2400,2500,2400,2400,2400,2400,2400,2200 2200,,2200,2400 2400,,2200 2200,,,2700,2800,,2500,2394
"",,Wholesale,2200,2250,2300,2000,2200,2200,2200,1900 2000,,2100,2000 2300,,2000 2000,,,2200,2500,,2300,2156
Rice (Super),Kg,Retail,2600,2700,2500,2000,2600,2800,2500,2600 2700,,2400,2400 2500,,2600 2500,,2800,,2200 2200,,2600,2511
"",,Wholesale,2400,2500,2250,1800,2400,2600,2300,2300 2500,,2300,2200 2400,,2500 2200,,,,2100 2000,,2400,2303
Rice (Upland),Kg,Retail,2300,2300,2200,2000,2500,2400,2300,2200 2300,,,2400,,2300 2000,,2200,2500,1540 2000,,1800,2191
"",,Wholesale,2100,2100,2000,1800,2400,2200,2100,1900 2100,,,2000,,2100 1800,,2000,1850,1530 1800,,1500,1958
Simsim,Kg,Retail,3000,3000,2700,3000,5000,2500,2500,2300 2000,,2500,2500 2200,,2500 2500,,3000,3800,2100,,4000,2839
"",,Wholesale,2800,2500,2500,2700,4500,2200,1900,2100 1800,,2400,2400 1800,,2400 2000,,,2800,2000,,3800,2506
Sorghum Flour,Kg,Retail,1000,,1400,,,1000,1000,950 1000,,,900 1500,,1000 900,,,1700,1400 1000,,1000,1125
"",,Wholesale,700,,1300,,,700,800,750 800,,,800 1400,,800 600,,,1400,1300 900,,800,932
Sorghum Grain,Kg,Retail,700,700,1300,,1500,800,650,700 800,,,650 1200,,900 450,,,1400,1300 900,,1500,966
"",,Wholesale,500,500,1000,,1400,500,620,600 700,,,550 1000,,750 400,,,1100,1200 800,,1400,814
Soya Beans,Kg,Retail,2500,1500,1800,1400,1500,1700,1100,1350 2000,,1800,1500 1500,,1500,,1000,1800,1200 1000,,1450,1533
"",,Wholesale,2300,1200,1500,1300,1400,1200,900,1200 1800,,1700,1400 1200,,1200,,800,1450,1000 800,,1400,1319
Sunflower,Kg,Retail,,,,,,,400,,,,400,,,,,,,,,400
"",,Wholesale,,,,,,,370,,,,350,,,,,,,,,360
Sweet Potatoes,Kg,Retail,515,500,1200,800,350,350,500,1000 260,,,450 800,,1200 1400,,600,250,1200 200,,1600,732
"",,Wholesale,456,400,800,500,300,300,480,800 240,,,450 700,,900 1000,,400,150,1200 150,,1100,574
Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,,,5000
"",,Wholesale,,,,,4500,,,,,,,,,,,,,,,4500
Turkey,bird,Retail,,27000,30000,,30000,35000,34000,29000 35000,,,30000,,35000,,,,,,38000,32300
"",,Wholesale,,24000,25000,,25000,30000,28000,27000 33000,,,28000,,32000,,,,,,35000,28700
Vanilla (Unprocessed),Kg,Retail,,3000,,,6000,,2700,,,,,,,,,,,,3500,3800
"",,Wholesale,,2500,,,5500,,2300,,,,,,,,,,,,1500,2950
