"",Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
"",Apple Bananas,Kg,Retail,850,450,850,800,550,700,800,1000,,500,1000,550,600,900,,1000,700,400,1000
"",,,Wholesale,650,300,750,500,500,400,700,700,,400,800,450,550,750,,500,600,300,800
"",Beef,Kg,Retail,5000,4000,4500,5000,5500,5000,5000,5000,5000,5000,4500,5000,5000,,5000,4000,4000,5000,4000
"",,,Wholesale,4500,3500,4500,4500,4500,3800,4500,4500,4500,4500,4300,4800,5000,,4500,,3500,4500,3800
"","Cassava, Dry Fermented",Kg,Retail,,,,,,,720,500,280,,1000,800,1100,800,900,,,,
"",,,Wholesale,,,,,,,700,420,260,,800,750,1000,750,850,,,,
"","Cassava, Flour",Kg,Retail,800,800,1250,650,1000,1100,1000,1000,1000,800,1000,1000,1100,1200,1200,1200,1100,1000,1200
"",,,Wholesale,700,650,1000,400,900,850,900,900,800,700,900,900,1050,1000,1000,850,750,800,1000
"","Cassava, Fresh",Kg,Retail,700,500,1000,700,400,450,650,800,260,500,1000,450,600,1000,1200,500,600,400,1000
"",,,Wholesale,600,300,800,500,350,400,550,600,230,400,,400,550,800,800,260,450,300,700
"","Cassava, Sun dried",Kg,Retail,,500,900,,,1100,710,500,800,,900,800,1100,1000,650,800,,,700
"",,,Wholesale,,300,750,,,850,700,400,700,,800,750,1000,900,600,700,,,500
"",Cavendish (Bogoya),Kg,Retail,,500,1200,1000,600,800,1300,2200,540,600,,500,700,,2500,1000,,,
"",,,Wholesale,,300,1100,800,550,600,1200,1500,520,500,,450,600,,1800,,,,
"","Chicken, Exotic",bird,Retail,8500,8000,6500,7500,9000,6000,8000,6500,8000,,6500,9500,,9000,6000,7000,9000,,6500
"",,,Wholesale,7500,6000,6000,6000,8500,5000,6000,5000,7000,,5500,9000,,8000,5000,6000,8000,,5000
"","Chicken, Local",bird,Retail,12000,10000,12000,,14000,,15000,12000,14000,8000,10000,9500,9000,14500,10000,10000,11000,15000,6500
"",,,Wholesale,14000,9000,11500,,12000,11500,13000,9000,13000,5000,8000,9000,8500,12500,9000,8000,9000,13000,5500
"",Coffee (Unprocessed),Kg,Retail,,1100,1250,1000,5000,,,1900,1200,,2200,,,,,,,2000,
"",,,Wholesale,,1000,1150,800,4500,,,1700,1100,,2000,,,,,,,1600,
"",Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,,Wholesale,,,,,,,,,700,,,,,,,,,,
"",Cow Peas,Kg,Retail,2000,2300,2000,2500,2500,1500,2500,1800,2500,1800,1700,1400,1800,1400,2200,3000,1700,1700,1300
"",,,Wholesale,1800,2000,1800,2300,2000,1300,2200,1700,2400,1700,1600,1300,1600,1350,2000,,1500,1600,1000
"","Dried Beans, Agwede",Kg,Retail,,,1400,1400,,1200,800,1500,1300,,,1300,1500,1100,1200,,,,
"",,,Wholesale,,,1300,1200,,1000,700,1200,1200,,,1200,1300,1000,1000,,,,
"","Dried Beans, Nambale",Kg,Retail,1600,1000,1900,1200,2000,1800,1300,1300,1400,1200,1300,1500,1600,1900,1200,1400,1300,,
"",,,Wholesale,1400,800,1800,1000,1800,1500,1200,1150,1300,1100,1100,1350,1500,1800,1000,1300,900,,
"","Dried Beans, Others",Kg,Retail,1600,1200,1400,1200,2000,1800,1200,1300,1100,,1200,1300,,1400,1500,1600,,1100,1300
"",,,Wholesale,1400,1000,1300,1000,1800,1500,1100,1150,1000,,1100,1200,,1250,1200,1300,850,1000,1000
"","Dried Beans, Yellow",Kg,Retail,1600,1200,1700,1200,2000,2000,1600,1300,1600,,,1500,1800,2000,1500,1600,1200,900,900
"",,,Wholesale,1400,1000,1600,1000,1800,1700,1550,1200,1500,,,1400,1700,1800,1200,1400,900,800,800
"","Eggs, Exotic",tray,Retail,5000,8000,5000,6500,6000,6000,4800,6800,5300,6000,6000,5700,7500,6000,6000,6000,6500,6500,6500
"",,,Wholesale,4500,6000,4800,4700,5500,5000,4500,5500,5000,5500,5500,5600,5900,5700,5800,5500,5500,6000,6000
"","Eggs, Local",tray,Retail,10000,10000,5500,9000,15000,9000,11000,8500,7000,,9000,7100,7500,,6500,9000,9000,9000,7500
"",,,Wholesale,9000,9000,5200,7500,14000,7000,9000,6600,6500,,6000,6900,,,6000,,7500,7500,7000
"","Fish, Nile Perch",Kg,Retail,6000,5500,4500,,,7000,7000,5500,6000,,3000,4000,5000,4600,5000,,,,5500
"",,,Wholesale,5000,4500,4000,,,6000,6000,4200,5000,,2500,3500,,4200,4500,,,,5000
"","Fish, Tilapia",whole,Retail,4000,4500,3500,3500,5500,4000,5000,6000,8000,2200,,5500,5000,4800,4500,6000,7500,6000,6000
"",,,Wholesale,3500,4000,3000,3000,5000,3400,4000,4500,7500,2100,,5000,,4500,4000,,6500,4500,5000
"",Goat Meat,Kg,Retail,6000,4500,5000,5500,6000,6000,6000,5200,6000,5000,4800,5000,5500,6000,6000,5000,5000,6000,5000
"",,,Wholesale,5500,3600,4800,4500,5500,4900,4500,4800,5000,4500,4500,4800,5500,5800,5500,,4500,5000,4500
"","Groundnuts, Unpounded",Kg,Retail,2800,2400,2700,2200,3000,2800,2600,2400,2600,2800,2200,2100,2500,2600,3000,3500,2300,2500,2500
"",,,Wholesale,2700,2100,2500,2000,2500,2300,2300,2200,2500,2700,2100,2000,2200,2500,2800,2500,2200,2300,2400
"","Honey, Processed",ltr,Retail,7500,10000,3500,8800,8000,8000,,7300,5000,,,6400,3500,4500,4000,8000,4000,7000,10000
"",,,Wholesale,7000,8000,3500,6800,7500,7000,,6300,4000,,,6100,2900,4000,3500,,3400,6000,9000
"","Honey, Unprocessed",ltr,Retail,6500,7500,2500,,5000,7000,,4000,3500,,,3000,,4000,4000,,7000,,10000
"",,,Wholesale,6000,6500,2200,,4500,6500,,3500,3000,,,2800,,3800,3500,,6500,,9000
"",Irish Potatoes,Kg,Retail,750,900,1200,1000,900,700,600,800,1000,,550,1000,1500,1100,1000,700,,541,
"",,Wholesale,620,700,900,700,800,600,550,680,900,,500,950,1300,1000,800,600,,516,,
"",Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarar
"",Maize Flour,Kg,Retail,1500,1500,1600,1300,1500,,1400,1400,1300,1400,1500,1500,1600,1300,1300,1500,1200,1400,1100
"",,,Wholesale,1400,1250,1400,1100,1500,,1300,1250,1400,1300,1300,1300,1500,1200,1000,1300,1150,1000,1000
