"",,,,Central,,,Eastern,Northern,,Western
Commodity,,Pricetype,Kalerwe,Kiboga Luwero Masaka,Nakasero Nakawa,Iganga Jinja,KapchorwaMbale,Soroti Arua Lira,Hoima,Kabale Kasese Kisoro Mbarara
Apple Bananas,Kg,Retail,850,450 800 800,550 700,1000 230,500 1000,550 700,1000,750 550 400 100
"",,Wholesale,650,300 700 500,500 400,700 200,400 700,450 650,500,600 500 300 90
Beef,Kg,Retail,5000,4000 4500 5000,5500 5000,5000 5000,5000 4500,5000 5000 5000,4000,4000 4200 5000 400
"",,Wholesale,4500,3500 4500 4500,4500 3800,4500 4500,4800 4300,4800 5000 4500,,3500 4000 4500 380
"Cassava, Dry Fermented",Kg,Retail,,,,550 300,1000,800 1100 900,,
"",,Wholesale,,,,450 280,900,700 1050 850,,
"Cassava, Flour",Kg,Retail,800,1000 1250 650,1000 1100,1000 1000,800 1000,1000 1100 1200,1200,1100 800 1000 100
"",,Wholesale,700,700 1000 400,900 900,900 800,700 900,900 1050 1000,,750 750 800 90
"Cassava, Fresh",Kg,Retail,700,500 1000 700,400 450,800 270,500,450 600 1200,500,600 1000 400 100
"",,Wholesale,600,300 800 500,350 400,600 250,400,400 550 1000,300,450 800 300 80
"Cassava, Sun dried",Kg,Retail,,400 900,1100,500 900,900,800 1100 700,800,600 70
"",,Wholesale,,300 750,850,400 800,800,700 1000 650,700,500 50
Cavendish (Bogoya),Kg,Retail,,500 1200 1000,600 800,2200 580,600,500 700 2500,1000,
"",,Wholesale,,300 1100 800,550 600,1500 550,500,450 600 1800,,
"Chicken, Exotic",bird,Retail,8500,8000 6500 7500,9000 6000,6500 8000,6500,9000 6000,8000,8500 6400 650
"",,Wholesale,7500,6000 6000 6000,8500 5000,5000 7000,5500,8500 5000,7000,8000 6000 500
"Chicken, Local",bird,Retail,12000,10000 12000,14000,15000 14000,8000,9500 9500 10000,12000,11000 12000 15000 650
"",,Wholesale,14000,9000 11500,12000 11500,12000 13000,5000,9000 8500 9000,10000,9000 11000 13000 550
Coffee (Unprocessed),Kg,Retail,,1100 1250,,1900 1200,2200,,,2600 2000
"",,Wholesale,,1000 1150,,1700 1100,2000,,,2500 1600
Cotton (Unprocessed),Kg,Retail,,,,800,,,,
"",,Wholesale,,,,700,,,,
Cow Peas,Kg,Retail,2000,2300 2000 2500,2500 1500,1700 2500,1800 1700,1400 1800 2200,,1700 2200 1700 150
"",,Wholesale,1800,2000 1800 2300,2000 1300,1500 2400,1700 1600,1300 1600 2000,,1500 2100 1600 100
"Dried Beans, Agwede",Kg,Retail,,1400 1400,1200,1500 1300,,1300 1500 1200,,
"",,Wholesale,,1300 1200,1000,1300 1200,,1200 1300 1000,,
"Dried Beans, Nambale",Kg,Retail,1600,1000 1900 1200,2000 1800,1250 1500,1200 1500,1500 1600 1200,1400,1200 1400
"",,Wholesale,1400,800 1800 1000,1800 1500,1150 1400,1100 1300,1350 1500 1000,1200,900 1200
"Dried Beans, Others",Kg,Retail,1600,1200 1400 1200,2000 1800,1300 1100,1200,1300 1500,1600,1400 1100 130
"",,Wholesale,1400,1000 1300 1000,1800 1500,1150 1000,1100,1200 1200,1300,850 1200 1000 100
"Dried Beans, Yellow",Kg,Retail,1600,1200 1700 1200,2000 2000,1600 1700,,1500 1800 1500,1600,1200 1000 900 90
"",,Wholesale,1400,1000 1600 1000,1800 1700,1350 1600,,1400 1700 1200,1400,900 900 800 80
"Eggs, Exotic",tray,Retail,5000,6000 5000 6500,6000 6000,6800 5300,6000 6000,5800 7500 6000,6000,6500 5500 6500 600
"",,Wholesale,4500,5500 4800 4700,5500 5000,5500 5000,5500 5500,5600 5900 5800,5500,5500 5000 6000 550
"Eggs, Local",tray,Retail,10000,8500 5500 9000,15000 9000,8500 7000,,7000 7500 6500,9000,9000 7200 9000 900
"",,Wholesale,9000,7000 5200 7500,14000 7000,6600 6500,,6900 6000,7500,7500 7000 7500 850
"Fish, Nile Perch",Kg,Retail,6000,5500 4500,7000,5500 6000,3000,4000 5000,,500
"",,Wholesale,5000,4500 4000,6000,4200 5000,2500,3500 4500,,450
"Fish, Tilapia",whole,Retail,4000,4500 3500 3500,5500 4000,6000 8000,2200,5000 4500,7000,7500 3500 6500 600
"",,Wholesale,3500,4000 3000 3000,5000 3500,4500 7500,2100,4500 4000,,6500 3000 5000 500
Goat Meat,Kg,Retail,6000,4500 5000 5500,6000 6000,5200 6000,5000 4800,5000 5500 6000,5000,5000 6000 6000 550
"",,Wholesale,5500,3600 4800 4500,5500 5000,4800 5000,4500 4500,4800 5500 5500,,4500 5800 5000 480
"Groundnuts, Unpounded",Kg,Retail,2800,2400 3000 2200,3000 2800,2400 2600,2800 2200,2100 2500 3000,3500,2300 2300 2500 250
"",,Wholesale,2700,2100 2500 2000,2500 2300,2200 2500,2700 2100,2000 2200 2800,2500,2200 2200 2300 240
"Honey, Processed",ltr,Retail,7500,10000 3500 8800,8000 8000,7500 5000,,6400 3500 4000,8000,4000 7000
"",,Wholesale,7000,8000 3500 6800,7500 7000,6400 4000,,6100 2900 3500,,3400 6000
"Honey, Unprocessed",ltr,Retail,6500,7500 2500,5000 7000,4000 3500,,3000 4000,,7000 10000
"",,Wholesale,6000,6500 2200,4500 6500,3500 3000,,2800 3500,,6500 8500
Irish Potatoes,Kg,Retail,650,900 1200 1000,900 700,900 1000,700 480,1000 1500 1000,700,800 416
"",,Wholesale,580,700 900 700,800 600,700 900,600 450,900 1300 800,600,700 375
Wholesale,450,280,900,700,1050,850
"",,Wholesale,1000,1150,1700,1100,2000,2500,1600
Cotton (Unprocessed),Kg,Retail,,,,800,,,
"",,Wholesale,,,,700,,,
Wholesale,1400,1000,1600,1000,1800,1700,1350,1600,1400,1700,1200,1400,900,900,800,800
Wholesale,4500,5500,4800,4700,5500,5000,5500,5000,5500,5500,5600,5900,5800,5500,5500,5000,6000,5500
Wholesale,7000,8000,3500,6800,7500,7000,6400,4000,6100,2900,3500,3400,6000
Commodity,,Pricetype,Kalerwe,Kiboga Luwero Masaka,Nakasero Nakawa,Iganga Jinja,KapchorwaMbale,Soroti Arua,Lira,Hoima,Kabale Kasese,Kisoro Mbarara
Maize Flour,Kg,Retail,1500,1500 1600 1300,1500,1500 1300,1400 1500,1500 1600,1300,1400,1200 1200,1400 110
"",,Wholesale,1400,1250 1400 1100,1500,1300 1400,1300 1300,1300 1500,1000,1300,1150 1100,1000 100
Maize Grain,Kg,Retail,1000,700 1150 1000,1100 1100,850 830,800 1000,800 850,1200,,1000 1000,800 100
"",,Wholesale,900,630 950 700,1100 1000,700 780,770 800,750 750,1000,,620 900,700 80
Matooke,Kg,Retail,310,500 1200,500 420,450 240,400,500 400,1200,500,440 1000,250
"",,Wholesale,230,400 700,450 360,380 240,300,450 350,1000,,400 800,225
Matooke (Bunch),Bunch,Retail,7500,8000 15000 7000,13000 9000,16000 12000,8000 13000,9500 9500,9000,7000,9500,10000 600
"",,Wholesale,6500,4600 10000 6000,12000 8000,13500 9500,6000 10000,9000 9000,7000,,8500 8500,9000 500
Milk,Ltrs,Retail,800,800 600 700,800 800,1000 800,400 800,800 1000,,700,600 750,700 50
"",,Wholesale,700,600 500 400,800 700,800 700,350 650,700 900,,600,500 700,500 40
Millet Flour,Kg,Retail,1200,1600 1600 1500,1800 2000,1500 1600,1800 1700,1450 1600,1500,2500,1500 1400,1500 180
"",,Wholesale,900,1400 1500 1300,1800 1600,1250 1500,1700 1500,1350 1500,1300,,1200 1350,1400 150
Millet Grain,Kg,Retail,1200,1200 900 1400,1300 1100,1100 1300,1300 1200,1100 1450,900,1200,1200 1300,1400 130
"",,Wholesale,900,800 700 1200,1300 1000,1000 1200,1200 1000,950 1200,800,1100,950 1200,1300 100
Pineapple,whole,Retail,1000,2300 1200 800,2500 1000,2200 2000,1300,1550 1500,2300,1500,500 1200,800 80
"",,Wholesale,800,1200 900 700,2300 700,1800 1800,1000,1400 1300,1800,800,350 1000,500 100
Pork,Kg,Retail,5000,4000 4000 4000,5000,6000,4000 4000,4000,4500,5000,4800 4600,5000
"",,Wholesale,4500,2900 3800 3500,3500,5000,3600 3500,3800,4000,,3800 4500,4500
Rice (Kayiso),Kg,Retail,2400,2500 2400 2400,2400,2200 2300,2200 2200,2200 2400,2200,2800,2700,2800 250
"",,Wholesale,2200,2300 2300 2000,2200,1900 2000,2100 2100,2000 2300,2000,,2200,2500 230
Rice (Super),Kg,Retail,2600,2700 2500 2000,2600 2800,2400 2500,2400 2600,2400 2500,2500,,2600 2400,2300 250
"",,Wholesale,2500,2500 2250 1800,2500 2600,2200 2400,2300 2300,2200,2300,,2300 2300,2100 240
Rice (Upland),Kg,Retail,2300,2300 2200 2000,2500,2200 2500,,2400,2200,2800,2500 1540,2200 180
"",,Wholesale,2100,2100 2000 1800,2400,1900 2300,,2000,2000,,1850 1530,2000 150
Simsim,Kg,Retail,3000,3000 2700 3000,5000 3000,2200 2400,2500 2600,2600 2500,2500,,3800 2100,
"",,Wholesale,2800,2500 2500 2700,4500 2500,2000 2200,2400 2400,2400 2200,2300,,2800 2000,
Sorghum Flour,Kg,Retail,1000,1400,1200,1000 1000,800 1000,1000 1500,800,,1800 1400,1000 110
"",,Wholesale,700,1300,900,800 900,700 900,900 1400,600,,1550 1300,900 100
Sorghum Grain,Kg,Retail,,700 1100,1800 1000,700 900,700,650 1000,,,1400 1200,900
"",,Wholesale,,500 900,1700 700,600 800,650,580 800,,,1100 1100,800
Soya Beans,Kg,Retail,2000,1500 1800 1400,1500 1500,1350 2500,1800 1800,1400,1200,900,1800 1200,1000 145
"",,Wholesale,1800,1200 1500 1300,1400 1300,1200 2300,1700 1300,1250,1000,800,1450 1000,800 140
Sunflower,Kg,Retail,,,,,,400,,,,
"",,Wholesale,,,,,,350,,,,
Sweet Potatoes,Kg,Retail,600,650 1200 800,350 350,1200 300,300,450 700,1200,600,260 1000,150
"",,Wholesale,500,450 800 500,300 300,1000 290,200,400 600,1000,400,170 800,100
Tea (Unprocessed),Kg,Retail,,,5000,,,,,,,
"",,Wholesale,,,4500,,,,,,,
Turkey,bird,Retail,,27000 28000,30000 35000,30000 38000,6000 25000,31000,,,,3800
"",,Wholesale,,24000 25000,25000 30000,28000 37000,5500 20000,29000,,,,3500
Vanilla (Unprocessed),Kg,Retail,,3000,6000,,,,,,,
"",,Wholesale,,2500,5500,,,,,,,
Wholesale,900,1400,1500,1300,1800,1600,1250,1500,1700,1500,1350,1500,1300,1200,1350,1400,1500
Wholesale,2800,2500,2500,2700,4500,2500,2000,2200,2400,2400,2400,2200,2300,2800,2000
Wholesale,500,450,800,500,300,300,1000,290,200,400,600,1000,400,170,800,100
