"",Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarar
Apple Bananas,Kg,Retail,1000,400,900,800,600,600,800,1000,300,1000,500,800,850,,1000,750,500,500,1000
"",,Wholesale,900,300,800,500,550,300,700,700,280,800,500,700,700,,500,600,400,300,800
Beef,Kg,Retail,4600,5000,4500,5000,5000,5000,5000,4000,5000,4500,5000,5000,6000,4500,4000,4200,4200,4000,4000
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,3800,4500,4300,4800,5000,5800,4000,,4000,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,710,550,1000,,800,1000,800,900,,,,,
"",,Wholesale,,,,,,,700,450,900,,750,950,750,700,,,,,
"Cassava, Flour",Kg,Retail,800,1000,1250,550,1100,1100,1000,1000,290,1000,1100,1100,1250,1400,1000,1100,800,1100,1200
"",,Wholesale,700,800,1000,450,1000,850,900,900,280,950,900,950,1100,1200,,750,750,700,1000
"Cassava, Fresh",Kg,Retail,500,400,1000,700,400,450,600,800,250,220,450,600,1000,,500,600,1200,450,1000
"",,Wholesale,415,300,800,500,350,400,550,600,230,200,400,550,900,,330,450,1000,400,700
"Cassava, Sun dried",Kg,Retail,,,900,,,,720,500,280,900,800,1000,1000,900,750,,650,400,700
"",,Wholesale,,,750,,,,700,400,260,850,750,950,900,700,700,,600,300,500
Cavendish (Bogoya),Kg,Retail,1300,400,1200,1000,650,800,1300,2200,600,1500,550,800,,900,1000,1300,1000,500,
"",,Wholesale,1100,300,1100,800,600,600,1200,1500,500,1000,500,750,,800,500,1000,900,300,
"Chicken, Exotic",bird,Retail,8000,,6500,7500,8500,6500,8000,6500,7500,6000,9500,8000,9500,6000,7000,8500,6400,8000,6500
"",,Wholesale,7000,,6000,6000,8000,5500,6000,5000,7000,5000,9000,,8500,5500,6000,8000,6000,6000,5000
"Chicken, Local",bird,Retail,12000,15000,12000,16000,14500,,15000,15000,14000,6500,10000,12000,14500,9000,12000,9500,18000,10000,6500
"",,Wholesale,10000,13000,11500,13000,13500,11500,13000,10000,12000,5500,9000,11500,13500,8000,10000,8500,16000,9000,5500
Coffee (Unprocessed),Kg,Retail,,2000,1250,,,,,1900,1200,2450,,,,,,,,970,
"",,Wholesale,,1600,1150,,,,,1700,1100,2350,,,,,,,,900,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1700,2000,2500,3000,1500,2500,1750,2400,2000,1400,1800,1400,2500,,1700,2000,2200,1400
"",,Wholesale,1800,1600,1800,2300,2500,1300,2200,1550,2300,1800,1300,1600,1350,2000,,1500,1800,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1600,,,,900,,1200,,,1500,,,,,,,
"",,Wholesale,,,1400,,,,800,,110,,,1300,,,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,1900,1200,2200,1600,1100,1300,1500,1500,,1600,,1400,1300,1200,1300,1000,1300
"",,Wholesale,1400,,1800,1000,2000,1400,1050,1200,1400,1300,,1500,,1200,1100,900,1200,800,1000
"Dried Beans, Others",Kg,Retail,,1000,1400,1200,2200,35000,1300,1500,1250,1200,,,,1500,1300,,,1200,1300
"",,Wholesale,,900,1300,1000,2000,30000,1150,1300,1150,1100,,,,1200,1100,,,1000,1000
"Dried Beans, Yellow",Kg,Retail,1600,800,1800,1200,2500,2000,1500,1600,1600,,,1800,,1600,1400,1200,1000,1200,900
"",,Wholesale,1400,700,1650,1000,2300,1700,1400,1350,1500,,,1700,,1300,1200,900,900,1000,800
"Eggs, Exotic",tray,Retail,5000,6500,5000,6500,6000,6000,4800,6800,5200,5500,5800,7500,6000,6500,6000,600,5500,6000,6500
"",,Wholesale,4500,6000,4800,4700,5800,5000,4500,5500,5000,5200,5700,6000,5800,6000,4500,5500,5000,5500,6000
"Eggs, Local",tray,Retail,10000,9000,5500,9000,15000,7500,11000,8500,7500,12000,,7500,,6200,9000,6000,7200,8500,7500
"",,Wholesale,9000,7500,5200,7500,14000,5500,9000,6600,7000,9000,,,,6000,7500,5500,7000,7000,7000
"Fish, Nile Perch",Kg,Retail,6000,,4500,,,,7000,5500,6000,4800,4000,5000,4800,4000,,,,,
"",,Wholesale,5500,,4000,,,,6000,4200,5000,4500,3600,5000,4500,3500,,,,,
"Fish, Tilapia",whole,Retail,3500,6500,4000,3000,5000,4000,5000,6000,9000,4000,5000,5000,4800,3500,6000,6500,4000,4500,6000
"",,Wholesale,3000,5000,3500,2500,4000,3500,4000,4500,8000,3500,4800,,4500,3000,,5500,3500,4000,5000
Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,6000,5000,6000,5000,5000,5500,6000,5500,5000,5500,6000,4500,5000
"",,Wholesale,5500,5000,4800,4500,5500,5000,4500,4000,5000,4500,4800,5500,5800,5500,,4500,5800,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,2300,3000,2600,2600,2400,2600,2300,2100,2500,2600,3000,3000,2400,2300,2400,2500
"",,Wholesale,2700,2300,2300,2100,2500,2300,2400,2200,2450,2200,2000,,2500,2800,2500,2200,2200,2100,2400
"Honey, Processed",ltr,Retail,7500,7000,3500,8800,3000,6500,,7500,4000,,6400,3500,4500,,,7000,,10000,10000
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarar
"Honey, Unprocessed",ltr,Retail,,3500,,,5000,,,4000,2500,,3000,,4000,4000,8000,4000,,7500,
"",,Wholesale,,3100,,,4500,,,3500,2000,,2900,,3800,3500,,3000,,6500,
Irish Potatoes,Kg,Retail,700,416,1200,1000,1000,600,600,900,1000,400,1000,1500,1000,1000,500,500,700,900,
"",,Wholesale,580,375,1000,700,800,500,550,700,800,350,900,1300,900,800,400,450,600,700,
Maize Flour,Kg,Retail,1500,1400,1700,1300,1500,1300,1500,1500,1500,1500,1500,1600,1300,1400,1500,1400,1200,1600,1100
"",,Wholesale,1300,1000,1500,1100,1300,1100,1400,1300,1300,1300,1400,1500,1250,1200,1300,1150,1100,1300,1000
Maize Grain,Kg,Retail,1000,800,1150,1000,1300,1100,700,850,850,1000,800,900,900,800,750,1200,1000,700,1200
"",,Wholesale,900,700,950,700,1100,1000,680,700,800,850,750,850,850,700,700,620,900,630,1000
Matooke,Kg,Retail,300,250,1000,150,450,390,350,400,240,,500,400,3800,1200,500,400,1200,500,900
"",,Wholesale,250,225,600,138,400,340,320,350,200,,460,350,3200,1000,,400,800,400,800
Matooke (Bunch),Bunch,Retail,7000,10000,15000,6000,11000,8500,10000,14000,12000,12000,10000,12000,13800,10000,8000,11000,14000,8000,5500
"",,Wholesale,6000,9000,10000,5500,10000,7500,9000,12500,10000,10000,9500,11000,12500,8000,,8500,12000,4800,5000
Milk,Ltrs,Retail,800,700,600,700,800,800,800,1000,800,800,800,1000,1000,1200,700,600,750,800,500
"",,Wholesale,700,500,500,400,700,700,700,800,700,700,700,800,800,1000,600,500,700,600,400
Millet Flour,Kg,Retail,1200,1500,1600,1500,1700,1200,2000,1500,1600,1700,1450,1600,1300,1500,3000,1600,1400,1600,1800
"",,Wholesale,900,1400,1500,1300,1500,1600,1700,1250,1400,1500,1350,1500,1200,1200,,1200,1350,1400,1500
Millet Grain,Kg,Retail,1200,1400,900,1400,1500,1200,1150,1100,1250,1200,1100,1450,1200,1200,1000,1400,1300,1200,1500
"",,Wholesale,900,1300,700,1200,1400,1000,1050,1000,1100,1000,950,1300,1000,1000,800,950,1200,800,1000
Pineapple,whole,Retail,1000,800,1300,800,1500,1000,1200,2000,2000,1000,1600,1600,1400,2200,1000,500,1200,2100,900
"",,Wholesale,800,500,1000,700,1000,700,800,1500,1800,800,1400,1400,1000,1800,700,350,1000,1200,700
Pork,Kg,Retail,4500,5000,4000,,,,5000,,6000,4500,4000,5000,4500,4500,5000,4800,4600,4000,
"",,Wholesale,4000,4500,3800,,,,4000,,5000,4000,3800,5000,4300,4000,,3800,4500,3000,
Rice (Kayiso),Kg,Retail,2400,2800,2400,2400,,2400,2400,2200,2300,2200,2200,2400,2300,,,2700,,2500,2500
"",,Wholesale,2200,2500,2300,2000,,2200,2300,1900,1950,2100,2100,2300,2100,,,2200,,2400,2300
Rice (Super),Kg,Retail,2600,2300,2500,2000,2500,2600,2700,2400,2600,2600,2400,2500,2600,2500,2800,2600,2400,2600,2500
"",,Wholesale,2500,2100,2250,1800,2200,2400,2500,2200,2350,2300,2200,,2500,2300,,,2300,2500,2400
Rice (Upland),Kg,Retail,2300,2200,2200,2000,2500,2400,2200,2000,2400,,,2500,2400,2400,2200,2500,1540,2300,2000
"",,Wholesale,2100,2000,2000,1800,2300,2200,2100,1800,2250,,,,2200,2200,2000,1850,1530,2100,1800
Simsim,Kg,Retail,3000,,2700,3000,4000,3000,2500,2200,2500,2400,2500,2500,2500,,,3800,2100,3000,
"",,Wholesale,2800,,2500,2700,3500,2500,2000,2000,2400,2100,2300,2300,2350,,,2800,2000,2500,
Sorghum Flour,Kg,Retail,1000,1000,1400,,1800,,1000,1100,1000,900,1000,1500,1400,,,1800,1300,,1100
"",,Wholesale,700,900,1300,,1500,,800,850,800,800,950,1400,1300,,,1400,1200,,1000
Sorghum Grain,Kg,Retail,700,900,1100,,1600,,670,750,800,800,650,1000,1100,,,1400,1100,700,1500
"",,Wholesale,500,800,900,,1400,,620,650,700,700,550,800,1000,,,1100,1000,500,1400
Soya Beans,Kg,Retail,2000,1000,1800,1400,,1500,1400,1200,2000,1400,1400,2000,1600,1200,900,1700,1300,1500,1500
"",,Wholesale,1800,800,1500,1300,,1000,1100,1150,1800,1200,1300,,1500,1000,800,1450,1100,1200,1400
Sweet Potatoes,Kg,Retail,500,150,,800,,350,550,1200,300,210,450,600,1000,1200,600,260,1200,650,
"",,Wholesale,425,100,,500,,300,500,1000,280,195,400,550,800,1000,400,170,1000,450,
Turkey,bird,Retail,,,28000,,,,30000,32000,42000,25000,30000,,,,,,,27000,
"",,Wholesale,,,25000,,,,25000,28000,39000,20000,28000,,,,,,,24000,
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,3000,
