"",,,,,,,,,,,,,,,,,,,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,900,600,700,800,1200,280,500,1000,550,650,1000,,1200,750,500,1000
"",,Wholesale,900,300,800,550,400,700,900,260,400,800,500,600,800,,600,600,300,800
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,4500,5000,5000,4500,5000,5000,6000,4300,4000,4000,4000,4000
"",,Wholesale,4500,4500,4500,4500,3800,4500,4000,4500,4800,4200,4900,5000,5800,4000,,3500,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,720,570,270,,,800,1000,900,,,,,
"",,Wholesale,,,,,,700,470,240,,,700,950,850,,,,,
"Cassava, Flour",Kg,Retail,800,1000,1300,1100,1100,1000,1100,270,800,1000,1000,1100,1200,1400,1000,1100,1100,1300
"",,Wholesale,700,800,1000,1000,900,900,1000,240,700,900,900,950,1000,1200,900,750,700,1100
"Cassava, Fresh",Kg,Retail,470,400,800,400,450,400,900,240,500,180,450,800,1000,1200,500,600,550,1000
"",,Wholesale,400,300,500,350,400,350,700,210,400,170,400,700,900,1000,270,450,400,700
"Cassava, Sun dried",Kg,Retail,,,650,,1100,720,550,270,,900,,1000,1000,900,750,,500,700
"",,Wholesale,,,450,,900,700,450,250,,800,,950,800,700,700,,350,500
Cavendish (Bogoya),Kg,Retail,1250,400,1200,650,800,1300,2200,580,600,1500,550,800,,900,1200,1300,500,1500
"",,Wholesale,1000,300,1100,600,600,1200,1500,500,500,1300,500,700,,800,600,1000,300,1300
"Chicken, Exotic",bird,Retail,7500,,5500,8500,6000,8000,7000,7500,,6500,9000,,9500,5000,7000,8500,8000,8000
"",,Wholesale,7000,,5000,8000,5000,6000,5500,6800,,5500,8500,,8500,4500,6000,8000,6000,7000
"Chicken, Local",bird,Retail,,15000,11000,14500,,15000,13000,15000,8000,8000,9500,9500,14000,8000,13000,9500,10000,10000
"",,Wholesale,,13000,10000,13500,11500,13000,9000,13500,5500,6500,8500,9000,13500,7000,10000,8500,9000,8000
Coffee (Unprocessed),Kg,Retail,,,1400,,,,1800,,,,,,,,,,970,
"",,Wholesale,,,1200,,,,1650,,,,,,,,,,900,
Cow Peas,Kg,Retail,2000,1700,2500,3000,2200,2500,1800,2500,1800,1400,2000,2000,,1800,,1700,2200,1400
"",,Wholesale,1800,1600,2100,2500,1800,2200,1600,2300,1700,1200,1850,1800,,1600,,1500,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1700,,1200,800,1500,1100,,,1300,,,1200,,,,
"",,Wholesale,,,1500,,1000,700,1300,1000,,,1250,,,1000,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,2200,1800,1100,1400,1400,1200,1400,1500,1600,,1200,1200,1200,1000,1300
"",,Wholesale,1400,,1800,2000,1400,1000,1300,1200,1100,1200,1400,1500,,1000,1000,900,900,1000
"Dried Beans, Others",Kg,Retail,,900,1400,2200,1700,1200,1500,1200,,1000,,,,1200,1200,1000,1300,1300
"",,Wholesale,,800,1300,2000,1400,1100,1300,1100,,900,,,,1000,1000,800,1100,1000
"Dried Beans, Yellow",Kg,Retail,1600,700,2200,2500,1900,1500,1600,1500,,1400,2500,1800,,1500,1400,1100,1350,900
"",,Wholesale,1400,600,2000,2300,1500,1400,1350,1400,,1300,2300,1650,,1300,1300,900,1100,800
"Eggs, Exotic",tray,Retail,5000,6500,5000,6000,6000,4800,6800,5200,6000,5500,5800,7500,6000,6000,6000,6500,6000,6500
"",,Wholesale,4500,6000,4800,5800,5000,4500,5500,4800,5500,5300,5600,6000,5800,5800,5000,5500,5500,6000
"Eggs, Local",tray,Retail,10000,9000,4500,15000,7500,11000,8500,7000,,12000,7100,7500,,6200,9000,8500,8500,7500
"",,Wholesale,9000,7500,4000,14000,5500,9000,6600,6500,,9000,6800,,,6000,7500,7500,7000,7000
"Fish, Nile Perch",Kg,Retail,6000,,4500,,7000,7000,,,,4700,4500,,4800,4000,,,5500,
"",,Wholesale,5500,,4000,,6000,6000,,,,4500,4000,,4200,3500,,,4500,
"Fish, Tilapia",whole,Retail,3500,6500,4000,5000,4000,5000,6500,8000,2200,4500,6000,,4800,4000,7000,6500,4500,
"",,Wholesale,3000,5000,3500,4000,3500,4000,5000,7000,2100,4000,5500,,4500,3500,,5500,4000,
Goat Meat,Kg,Retail,7000,6000,5000,6000,6000,6000,5500,6000,5000,5000,5000,5500,6000,5500,5000,5500,4500,5000
"",,Wholesale,6000,5000,4800,5500,5000,4500,4500,5000,4800,4700,4800,5500,5800,5000,,4500,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,3000,2800,2600,2500,2600,2800,2100,2100,2500,2500,3000,3000,2500,2500,2500
"",,Wholesale,2700,2300,2300,2500,2400,2300,2250,2500,2700,2000,2000,,2400,2800,2400,2200,2300,2400
"Honey, Processed",ltr,Retail,7500,7000,3500,8000,8000,,7500,4000,,,6400,3500,4000,,8000,7000,,
"",,Wholesale,7000,6000,3500,7500,7000,,6400,3000,,,6100,3050,3500,,,6500,,
"Honey, Unprocessed",ltr,Retail,,3500,2500,5000,7000,,4000,2500,,,3000,,5000,,,3500,,
"",,Wholesale,,3100,2200,4500,6500,,3500,2000,,,2800,,4500,,,3000,,
Irish Potatoes,Kg,Retail,750,458,1200,850,600,550,900,900,500,400,1000,1500,1000,1000,600,480,900,1200
"",,Wholesale,620,416,1000,800,500,480,700,800,400,350,950,1300,900,800,400,450,700,1000
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1400,1700,1700,1500,1500,1500,1500,1400,1200,1500,1600,1500,1400,1500,1700,1600,1000
"",,Wholesale,1400,1200,1500,1500,1350,1400,1350,1300,1300,1100,1350,1500,1350,1200,1300,1500,1300,800
Maize Grain,Kg,Retail,1000,850,700,1300,1000,700,850,770,800,700,800,900,1000,1000,650,900,700,1200
"",,Wholesale,900,750,620,1100,900,680,700,750,750,600,750,850,900,800,600,620,630,1100
Matooke,Kg,Retail,330,175,1000,450,310,320,420,220,400,,500,400,,1000,500,400,500,900
"",,Wholesale,250,150,600,400,300,300,360,180,300,,450,350,,800,,370,400,800
Matooke (Bunch),Bunch,Retail,5500,7000,13000,11000,8000,9000,15000,11000,8000,13000,10000,10000,15000,9000,8000,11000,8000,5500
"",,Wholesale,4500,6000,10000,10000,7000,7500,13000,9000,6000,10000,9500,9000,13500,7000,,8500,4800,5000
Milk,Ltrs,Retail,800,700,600,800,800,800,1000,800,400,800,800,1000,1000,1200,700,600,800,500
"",,Wholesale,700,500,400,700,700,700,800,700,350,650,700,1000,800,1000,600,500,600,400
Millet Flour,Kg,Retail,1200,1500,1600,2000,2000,2000,1600,1600,1800,1700,1400,1600,1400,1400,,1600,1600,1800
"",,Wholesale,900,1400,1500,1800,1600,1700,1300,1400,1700,1500,1350,1500,1200,1200,,1200,1400,1500
Millet Grain,Kg,Retail,1200,1400,1000,1500,1200,1150,1150,1200,1300,1200,1100,1350,1300,1000,1200,1300,1200,1200
"",,Wholesale,900,1300,800,1400,1000,1100,1050,1000,1200,1100,950,1300,1200,800,1000,1050,800,900
Pineapple,whole,Retail,1000,800,1300,1700,1500,1200,1800,1800,,1000,1550,1500,1200,2500,1000,500,2100,1200
"",,Wholesale,900,500,1000,1200,1200,800,1200,1700,,750,1350,1200,800,2000,700,350,1200,1000
Pork,Kg,Retail,5000,5000,4000,,,5000,,6000,,,4000,,,4500,5000,,4000,5000
"",,Wholesale,4000,4500,3800,,,4100,,5000,,,3800,,,4000,,,3000,4000
Rice (Kayiso),Kg,Retail,2400,2800,3000,,,2400,2200,2200,,2000,2200,2400,2400,2200,,2700,2500,2500
"",,Wholesale,2300,2500,2500,,,2300,1900,1900,,1900,2100,2200,2300,2000,,2200,2400,2300
Rice (Super),Kg,Retail,2600,2500,2500,2500,2500,2600,2500,2500,2500,2600,2400,2500,2700,2600,2800,2600,2500,2500
"",,Wholesale,2400,2300,2250,2200,2300,2500,2300,2400,2400,2300,2200,,2600,2400,,,2400,2400
Rice (Upland),Kg,Retail,2300,2200,2200,2500,2300,2300,2000,2400,,,,2400,2500,2200,2400,2500,2300,2000
"",,Wholesale,2100,2000,2000,2300,2100,2200,1800,2200,,,,2200,2300,2000,2100,1850,2100,1800
Simsim,Kg,Retail,3000,,2700,4000,3000,2500,2200,2400,2500,2500,2500,2500,2500,2200,,3800,3000,4000
"",,Wholesale,2800,,2500,3500,2500,2000,2000,2200,2400,2400,2300,,2300,2000,,2800,2500,3800
Sorghum Flour,Kg,Retail,1000,1000,1400,1800,1200,1000,1100,1000,900,800,1000,1600,1000,,2000,1600,,
"",,Wholesale,700,900,1300,1500,900,750,850,900,700,700,850,1500,900,,,1400,,
Sorghum Grain,Kg,Retail,700,900,1200,1600,1000,650,750,800,,700,650,1000,900,400,1200,1300,700,
"",,Wholesale,500,800,1000,1400,700,620,650,700,,650,550,900,850,300,800,1100,500,
Soya Beans,Kg,Retail,2000,1400,1800,1700,1500,1400,1200,2200,1800,1400,1400,,1650,1500,900,1700,1500,1500
"",,Wholesale,1800,1200,1500,1500,1200,1100,1150,2000,1700,1200,1200,,1500,1200,800,1450,1200,1400
Sunflower,Kg,Retail,,,,,,400,,,,,400,,,,,,,
"",,Wholesale,,,,,,370,,,,,350,,,,,,,
Sweet Potatoes,Kg,Retail,560,150,400,400,350,500,1300,280,400,150,450,650,950,1200,600,260,650,
"",,Wholesale,400,100,350,350,300,450,1100,270,300,143,400,600,800,1000,400,170,450,
Tea (Unprocessed),Kg,Retail,,,,,,400,,,,,,,,,,,,
