Commodity,,,Kalerwe,Kibog,Luwero,Masaka,Nakaser,Nakaw,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarar
Apple Bananas,Kg,Retail,1000,,850,800,600,,800,1500,240,500,1000,550,1000,800,,1500,750,600,400,1000
"",,Wholesale,850,,800,500,550,,700,1000,200,400,800,500,850,700,,,600,500,300,800
Beef,Kg,Retail,4600,5000,4500,5000,5000,5000,5000,4500,5000,5000,4500,5000,5000,6000,5000,4000,4000,4200,4000,4000
"",,Wholesale,4000,4500,4500,4500,4700,3800,4500,4000,4500,4800,4300,4800,5000,5800,4000,,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,720,570,240,,,800,1000,1000,900,,,750,,
"",,Wholesale,,,,,,,700,470,220,,,750,950,800,600,,,700,,
"Cassava, Flour",Kg,Retail,800,1000,1300,550,1100,1500,1000,1000,1000,800,900,1000,1200,1100,1600,1000,1100,1000,1100,1300
"",,Wholesale,700,800,1000,450,1000,1350,900,900,900,700,850,850,1000,900,1400,800,750,950,700,1100
"Cassava, Fresh",Kg,Retail,500,400,800,700,400,500,550,900,240,500,180,450,900,900,1000,600,600,1200,550,1000
"",,Wholesale,450,300,500,500,350,400,500,700,200,400,170,400,800,600,800,400,450,1000,400,700
"Cassava, Sun dried",Kg,Retail,,,650,,,1100,720,550,,,850,800,1000,900,700,675,,880,500,700
"",,Wholesale,,,450,,,900,700,450,,,750,750,950,750,600,600,,930,350,500
Cavendish (Bogoya),Kg,Retail,1200,400,1200,1100,650,800,1300,2500,550,600,,550,800,,1200,1200,1300,1000,500,
"",,Wholesale,1000,300,1100,800,600,600,1200,1800,500,500,,500,700,,1000,600,1000,900,300,
"Chicken, Exotic",bird,Retail,7500,,5500,7500,9500,6000,8000,7000,8000,,7000,9000,8000,8000,6000,7000,8500,6800,9000,8000
"",,Wholesale,7000,,5000,6000,9000,5000,6000,5500,7000,,6500,8500,,7000,5500,6000,8000,6500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,11000,16000,14500,,15000,13000,14000,6000,7500,9500,12000,14000,10000,12000,12000,15500,10000,10000
"",,Wholesale,10000,13000,10000,13000,13500,11500,13000,9000,13000,5800,6500,9000,10000,12000,7000,9000,9000,15000,9000,8000
Coffee (Unprocessed),Kg,Retail,,,1400,100,,,,1800,,,2450,,,,,,,2600,1000,
"",,Wholesale,,,1200,800,,,,1650,,,2350,,,,,,,2500,930,
Cow Peas,Kg,Retail,2000,1700,2500,2500,3000,2000,2500,1800,2500,1800,1400,2000,2500,1500,2500,3000,1700,2200,2200,1400
"",,Wholesale,1800,1600,2100,2300,2500,1500,2200,1600,2300,1700,1200,1800,,1400,2000,,1500,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1700,1400,,1200,800,1500,1100,,,1300,1500,,1500,,,,,
"",,Wholesale,,,1500,1200,,1000,700,1300,1000,,,1200,1300,,1400,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,1200,2200,1500,1150,1400,1400,1800,1200,1500,1600,1850,1200,1200,1100,1400,1000,1300
"",,Wholesale,1400,,1800,1000,2000,1200,1050,1300,1300,1700,1000,1400,1500,1700,1000,1100,900,1300,900,1000
"Dried Beans, Others",Kg,Retail,,900,,,2200,1600,1200,1500,1400,,1100,,,,1500,1200,1000,,1300,1300
"",,Wholesale,,800,,,2000,1450,1150,1300,1300,,900,,,,1200,1100,800,,1100,1000
"Dried Beans, Yellow",Kg,Retail,1600,700,2200,1200,2500,1800,1500,1600,1500,,1200,1500,1700,1600,1700,1500,1100,1600,1350,900
"",,Wholesale,1400,600,2000,1000,2300,1500,1350,1350,1400,,1100,1400,1650,1450,1300,1300,900,1500,1100,800
"Eggs, Exotic",tray,Retail,5000,6500,5000,6500,6500,6000,4800,6500,5200,6000,5500,5800,7500,6000,6000,6000,6500,,6000,6500
"",,Wholesale,4500,6000,4800,1700,6000,5000,4500,5200,5000,5500,5300,5700,6000,5800,6000,4500,5500,,5500,6000
"Eggs, Local",tray,Retail,10000,9000,5500,9000,15000,7500,11000,8500,7000,,12000,7100,7500,,6500,9000,8500,9000,8500,7500
"",,Wholesale,9000,7500,5200,7500,14000,5500,9000,6600,5600,,9000,6900,,,6000,7000,7500,8800,7000,7000
"Fish, Nile Perch",Kg,Retail,6000,,5250,1400,,7000,6000,,6000,,,4500,5000,4200,4000,3500,,,5500,
"",,Wholesale,5500,,4750,1200,,6200,4500,,5000,,,4000,5000,3800,4000,,,,4500,
"Fish, Tilapia",whole,Retail,3500,6500,4000,3500,6000,4000,6000,7000,8000,2200,5000,5500,6000,4200,4000,5000,6500,4500,4500,
"",,Wholesale,3000,5000,3500,3000,5500,3500,4000,5500,7000,2100,4800,5000,,3800,3500,,5500,4000,4000,
Goat Meat,Kg,Retail,6500,6000,5000,5500,6000,6000,6000,5500,6000,5000,5000,5000,5500,6000,6000,5000,5000,6000,4500,5000
"",,Wholesale,6000,5000,4800,4500,5500,4800,4500,4500,5000,4500,4800,4800,5500,5800,5500,,4500,5800,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,2100,3000,2800,2400,2500,2500,2800,1800,2100,3000,2500,3000,3000,2500,3000,2600,2500
"",,Wholesale,2700,2300,2300,2000,2500,2400,2050,2250,2300,2700,1600,2000,,2300,2800,2500,2200,2800,2300,2400
"Honey, Processed",ltr,Retail,7500,7000,3500,8800,8000,8000,,7500,2500,,,6400,3500,4000,4000,8000,7000,,7500,
"",,Wholesale,7000,6000,3500,6800,7500,7000,,6400,2000,,,6200,3050,3500,3500,,6500,,6500,
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4000,4000,,,3000,,4500,,,4500,14500,7500,
"",,Wholesale,,3100,2200,,4500,6000,,3500,3000,,,2800,,3800,,,3000,14000,6500,
Irish Potatoes,Kg,Retail,670,458,1200,1000,850,650,650,900,900,300,350,900,1500,1000,,600,450,800,800,
"",,Wholesale,600,416,1000,700,800,550,570,700,800,250,300,750,1300,800,,400,420,700,650,
Maize Flour,Kg,Retail,1500,1400,1700,1300,1700,1500,1400,1500,1500,1400,1100,1450,1600,1500,1500,1500,1400,1400,1600,1000
"",CommodityKalerwe Kiboga Luwero MasakaNakaseroNakawaOwino Iganga JinjaKapchorwMbaleSoroti AruaGuluLiraHoima Kabale KaseseKisoro Mbarar,,,,,,,,,,,,,,,,,,,,,,
"",Maize Grain,Kg,Retail,1100,750,700,1000,1300,1000,650,850,680,800,700,800,900,850,1400,650,900,1000,700,1200
"",,,Wholesale,1000,650,620,700,1100,900,620,700,650,700,650,700,850,780,1200,600,620,900,630,1000
"",Matooke,Kg,Retail,300,150,1000,175,400,360,300,420,200,400,,450,400,,1200,600,400,700,,1300
"",,,Wholesale,230,100,600,150,350,320,280,360,160,300,,400,350,,1000,,370,650,,1000
"",Matooke (Bunch),Bunch,Retail,6500,6000,13000,7000,10000,8000,9000,14000,10000,8000,12000,10000,10000,14500,9000,7500,11000,14000,8000,6000
"",,,Wholesale,5500,4000,10000,6000,9000,7000,6500,12000,8000,6000,10000,9000,9500,13500,7000,,8500,13500,4800,5500
"",Milk,Ltrs,Retail,800,700,600,700,800,800,800,1000,800,400,800,800,1000,1000,1200,700,600,750,800,500
"",,,Wholesale,700,500,400,400,700,700,700,800,700,350,650,700,1000,800,1000,600,500,700,600,400
"",Millet Flour,Kg,Retail,1200,1500,1600,1500,2000,2000,2000,1600,1600,1800,1700,1400,1800,1350,1000,3000,1600,1200,1600,1800
"",,,Wholesale,900,1400,1500,1300,1800,1600,1700,1300,1400,1700,1500,1350,1700,1250,800,,1200,1100,1400,1500
"",Millet Grain,Kg,Retail,1200,1400,1000,1500,1500,1100,1150,1150,1100,1300,1300,1100,1400,1200,1500,1200,1300,1000,1200,1200
"",,,Wholesale,900,1300,800,1200,1400,1000,1050,1050,1000,1200,900,950,1300,900,1200,1000,1050,900,800,900
"",Pineapple,whole,Retail,1000,800,1300,800,1700,1500,1200,1500,1800,,1300,1500,1700,1400,2500,1000,500,1600,2100,1200
"",,,Wholesale,900,500,1000,700,1400,1200,800,1000,1500,,900,1350,1500,1000,1800,800,350,1500,1200,1000
"",Pork,Kg,Retail,4500,5000,4000,4000,,5000,5000,,6000,4000,4500,4000,5000,4500,4500,5000,4000,4800,4000,4500
"",,,Wholesale,4000,4500,3800,3500,,3500,4000,,5000,3600,4000,3800,5000,4300,4000,,3800,4500,3000,4000
"",Rice (Kayiso),Kg,Retail,2400,2800,2400,2400,,2300,2400,,2100,2200,,2200,2400,2400,2200,,2700,,2500,2500
"",,,Wholesale,2300,2500,2300,2000,,2100,2200,,1800,2100,,2200,2200,2000,2000,,2200,,2400,2300
"",Rice (Super),Kg,Retail,2600,2500,2500,2000,2500,2500,2700,2600,2500,2400,2500,2400,2500,2700,2500,2800,2600,2500,2600,2500
"",,,Wholesale,2500,2300,2250,1800,2200,2300,2500,2400,2300,2300,2200,2200,2200,2500,2300,,,2400,2500,2400
"",Rice (Upland),Kg,Retail,2300,2200,2200,2000,2500,2300,2300,2100,2100,,,,2400,2200,2200,2200,2500,1700,,
"",,,Wholesale,2100,2000,2000,1800,2300,2100,2100,1900,2000,,,,2200,2150,2000,2000,1850,1600,,
"",Simsim,Kg,Retail,3000,,2700,3000,4500,3000,2500,2200,2500,2500,2400,2500,2500,2400,2200,,3800,3100,3000,4000
"",,,Wholesale,2800,,2500,2700,4000,2500,2000,2000,2200,2400,2300,2300,,2250,2000,,2800,3000,2500,3800
"",Sorghum Flour,Kg,Retail,1000,1000,1400,,1800,1200,900,1200,1000,900,800,1000,1600,1200,400,,1600,,,
"",,,Wholesale,700,900,1300,,1500,900,800,900,900,700,700,800,1500,1150,350,,1400,,,
"",Sorghum Grain,Kg,Retail,700,900,1200,,1600,1000,650,800,800,,700,650,1000,1000,400,,1300,1100,700,
"",,,Wholesale,500,800,1000,,1400,700,600,700,700,,650,600,900,900,300,,1100,1000,500,
"",Soya Beans,Kg,Retail,2000,1400,1800,1400,1700,1800,1400,1300,2200,1800,1400,1400,1700,1500,1200,900,1700,1400,1500,1500
"",,,Wholesale,1800,1200,1500,1300,1500,1500,1100,1200,1700,1700,1200,1200,,1450,1000,800,1450,1300,1200,1400
"",Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,,Wholesale,,,,,,,350,,,,,,,,,,,,,
"",Sweet Potatoes,Kg,Retail,470,150,1100,800,400,480,500,1300,260,400,150,450,700,900,1200,600,260,1200,650,
"",,,Wholesale,410,100,900,500,350,400,450,1100,240,300,140,400,630,700,1000,400,170,1000,450,
"",Turkey,bird,Retail,,,,,30000,33000,34000,33000,42000,,25000,32000,,,,,,,27000,
"",,,Wholesale,,,,,25000,28000,25000,30000,40000,,20000,31000,,,,,,,24000,
"",Vanilla (Unprocessed),Kg,Retail,,,,,6000,,2700,,,,,,,,,,,,,
