"",Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakaser,Nakawa,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
"",Apple Bananas,Kg,Retail,1000,400,800,800,550,600,800,,200,500,1000,550,1000,800,,1000,1000,550,400,
"",,,Wholesale,870,300,750,500,500,300,700,,180,400,700,500,900,600,,,800,500,300,
"",Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,5000,5000,4500,5000,5000,5000,5500,4000,4000,4200,4000,4000
"",,,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,4500,4800,4300,4800,5000,4800,5000,,3600,4000,3500,3800
"","Cassava, Dry Fermented",Kg,Retail,,,,,,,720,570,260,,,,1000,900,,,,700,,
"",,,Wholesale,,,,,,,700,470,230,,,,910,700,,,,650,,
"","Cassava, Flour",Kg,Retail,800,1000,1200,550,1200,1100,1000,1000,1000,900,750,1000,1000,1300,600,1000,800,900,1200,1300
"",,,Wholesale,700,800,1000,450,1100,880,950,800,900,700,700,800,940,1200,400,800,750,800,700,1200
"","Cassava, Fresh",Kg,Retail,,400,700,700,450,580,600,800,260,500,140,500,700,900,1200,600,650,1100,600,1000
"",,,Wholesale,,300,500,500,400,460,550,600,240,400,130,450,650,800,1000,400,450,1000,430,700
"","Cassava, Sun dried",Kg,Retail,,,650,,,1100,720,550,260,,650,750,1000,1200,1200,1000,,750,500,700
"",,,Wholesale,,,450,,,880,700,450,250,,500,700,910,900,1000,600,,700,350,500
"",Cavendish (Bogoya),Kg,Retail,1200,400,1100,1100,650,800,1400,2400,600,600,2700,550,800,2300,1600,1000,1200,900,500,1500
"",,,Wholesale,1100,300,1000,800,600,600,1300,2000,500,500,2500,450,700,1800,1400,600,1000,850,300,1300
"","Chicken, Exotic",bird,Retail,7000,,4500,7500,9000,6000,8000,6500,7500,,6500,9500,,9000,6000,7000,8500,6500,8000,8000
"",,,Wholesale,6500,,4000,6000,8500,5000,6000,5000,7000,,5500,8500,,7000,5000,6000,8000,6000,6000,7000
"","Chicken, Local",bird,Retail,12000,15000,11000,15000,15000,,15000,13000,14000,8000,8500,10000,10000,14000,8000,13000,11000,13500,10000,10000
"",,,Wholesale,10000,13000,10000,13000,13500,11500,13000,9000,12000,5500,7500,9500,9500,13500,7000,10000,9000,12000,9000,8000
"",Coffee (Unprocessed),Kg,Retail,,2000,1400,,,,,1900,1200,,2450,,,,,,,2600,,
"",,,Wholesale,,1600,1200,,,,,1700,1000,,2350,,,,,,,2500,,
"",Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,,Wholesale,,,,,,,,,700,,,,,,,,,,,
"",Cow Peas,Kg,Retail,2000,1600,2300,2500,2500,1800,2500,1800,2200,1800,1800,1600,2500,1400,2000,,1800,2200,2100,1400
"",,,Wholesale,1800,1500,2000,2300,2000,1400,2000,1600,2000,1700,1700,1600,,1300,1800,,1550,2100,2000,1200
"","Dried Beans, Agwede",Kg,Retail,,,1800,1400,,1200,,1400,1100,,,,1400,,1600,,,,,
"",,,Wholesale,,,1650,1200,,1000,,1200,1000,,,,1300,,1400,,,,,
"","Dried Beans, Nambale",Kg,Retail,1600,,2000,1200,1900,1500,1100,1400,1400,1000,900,1400,1500,1800,1400,3000,1250,,1100,1000
"",,,Wholesale,1400,,1800,1000,1800,1200,1000,1200,1300,900,800,1350,1350,1600,1200,,900,,1000,900
"","Dried Beans, Yellow",Kg,Retail,1800,700,2200,1200,2000,1800,1500,1500,1500,,1400,1450,1700,1600,1600,1400,1250,1500,1400,800
"",,,Wholesale,1600,600,2000,1000,1800,1400,1400,1300,1300,,1200,1400,1500,1400,1400,1000,900,1400,1100,750
"","Eggs, Exotic",tray,Retail,5000,6500,5000,6500,6500,6000,4800,6800,5000,6000,5500,5700,6500,6000,6000,6000,6000,7500,6000,6500
"",,,Wholesale,4500,6000,4800,4700,5800,5000,4500,5400,4800,5500,5300,5600,6000,5700,5800,5000,5500,7000,5500,6000
"","Eggs, Local",tray,Retail,10000,9000,5700,9000,15000,7500,11000,8800,7000,,9000,7100,7500,,6200,9000,9000,9000,8500,7500
"",,,Wholesale,9000,7500,5200,7500,13500,5500,9000,6800,6500,,7500,6900,,,6000,7000,7500,8500,7000,7000
"","Fish, Nile Perch",Kg,Retail,5500,,4500,5000,,7000,7000,5500,6000,,4800,4500,5000,3500,6000,4000,,,5500,
"",,,Wholesale,5000,,4000,4500,,6000,6000,4000,5000,,4500,4000,4500,3200,5000,,,,4500,
"","Fish, Tilapia",whole,Retail,3500,6500,4500,3500,5500,5500,5000,5500,8500,2200,5500,5000,5000,4000,5500,6000,,4000,4500,
"",,,Wholesale,3000,5000,4000,3000,5000,3000,4000,4500,8000,2100,,4500,,3500,4500,,,3500,4000,
"",Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,5000,5500,6000,5000,5500,5000,5500,6000,5000,5000,5000,6000,4500,5000
"",,,Wholesale,5500,5000,4800,4500,5500,4800,4000,4500,5000,4500,4500,4800,5500,5700,4500,,4500,5800,3600,4500
"","Groundnuts, Unpounded",Kg,Retail,2800,2500,2600,2300,3000,2300,2400,2300,2500,2800,2000,2000,3000,2400,3000,3000,2400,2500,2500,2500
"",,,Wholesale,2700,2300,2300,2100,2500,2000,2050,2100,2200,2700,1800,1800,2700,2200,2700,2000,2200,2400,2300,2400
"","Honey, Processed",ltr,Retail,7500,7000,3500,9300,8000,8000,,8000,4000,,,6400,3600,,,8000,7000,,,10000
"",,,Wholesale,7000,6000,3500,7300,7500,7000,,6800,3000,,,6100,3250,,,,6500,,,8000
"","Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4200,2500,,,3000,,3500,,,4500,,,100000
"",,,Wholesale,,3100,2200,,4500,6000,,3800,2000,,,2800,,2800,,,3000,,,8000
"",Irish Potatoes,Kg,Retail,650,458,1200,1000,1000,640,550,850,800,250,280,850,1000,1400,,500,380,600,,2000
"",Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakaser,Nakawa,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
"",Maize Flour,Kg,Retail,1500,1400,1700,1400,1700,1500,1400,1200,1500,1400,1000,1450,1600,1400,1700,1500,1300,1400,1600,1000
"",,,Wholesale,1400,1200,1500,1200,1500,1300,1300,1000,1300,1300,800,1350,1440,1200,1400,1300,1150,1300,1300,800
"",Maize Grain,Kg,Retail,1100,800,700,1000,1300,1100,650,700,570,800,800,800,1000,800,850,600,900,1000,650,1200
"",,,Wholesale,1000,750,620,700,1000,1000,630,600,560,700,700,750,900,780,750,550,620,900,600,1100
"",Matooke,Kg,Retail,280,150,800,,450,340,300,400,,400,1000,500,450,,,600,280,450,500,800
"",,,Wholesale,210,100,600,,400,280,270,350,,300,800,450,400,,,550,255,400,400,700
"",Matooke (Bunch),Bunch,Retail,5500,6000,13000,8000,12000,7500,8500,13000,8000,8000,12000,10000,12000,14800,8000,8000,8200,11000,9000,4500
"",,,Wholesale,5000,4000,10000,6000,11000,6500,6500,10000,6500,6000,10000,9500,11500,13500,6000,,6500,10000,5000,4000
"",Milk,Ltrs,Retail,800,800,700,800,800,900,800,1000,800,400,800,850,1000,1000,1200,700,600,750,800,600
"",,,Wholesale,700,700,500,700,700,800,700,800,700,350,700,700,800,800,1000,600,500,700,600,450
"",Millet Flour,Kg,Retail,1200,1500,1600,1500,2000,2000,2000,1600,1500,1800,1700,1450,1800,1400,1200,,1600,1400,1600,1800
"",,,Wholesale,900,1400,1500,1300,1800,1600,1700,1300,1300,1700,1500,1350,1700,1200,1000,,1200,1350,1400,1500
"",Millet Grain,Kg,Retail,1200,1300,1000,1400,1500,1100,1150,1100,1100,1300,1200,1000,1400,1200,1000,1200,1300,1100,1200,1200
"",,,Wholesale,900,1200,800,1200,1400,1000,1050,950,1000,1200,1100,900,1300,1000,800,1000,1050,1000,850,900
"",Pineapple,whole,Retail,1000,800,1200,800,2000,1000,1200,1600,1400,,1200,1450,1600,2300,2500,,,1500,2000,1200
"",,,Wholesale,900,500,1000,600,1500,700,800,1000,1300,,1000,1350,1500,1800,2000,,,1300,1200,1000
"",Pork,Kg,Retail,4500,5000,5000,4500,,4000,5000,,6000,4000,3500,4000,5000,4500,5000,5000,4500,5800,4000,5500
"",,,Wholesale,4000,4500,4500,3500,,3500,4100,,5000,3600,3000,3800,5000,4300,4500,,3800,4500,,4000
"",Rice (Kayiso),Kg,Retail,2200,2800,2400,2400,,2200,2400,1800,2000,2200,1700,2200,,2300,2400,,2600,,2500,2400
"",,,Wholesale,2000,2500,2300,2000,,2000,2200,1600,1600,2100,1500,2100,,2200,2200,,2200,,2400,2300
"",Rice (Super),Kg,Retail,2400,2500,2400,2300,2500,2500,2600,2300,2500,2400,2300,2400,2600,2600,2700,2800,2500,2500,2600,2500
"",,,Wholesale,2200,2300,2250,1800,2200,2300,2400,2100,2000,2300,2000,2200,2000,2480,2500,,,2400,2500,2400
"",Rice (Upland),Kg,Retail,2000,2200,2100,2300,2500,2200,2300,1900,2000,,,,2400,2400,2200,2200,2500,1700,2300,2000
"",,,Wholesale,1900,2000,1900,1800,2300,2000,2100,1700,1400,,,,2200,2280,2000,1800,1850,1600,2100,1800
"",Simsim,Kg,Retail,3000,,2700,3000,4000,3000,2500,2200,2000,22500,2500,2400,2500,2400,2700,,,,3000,4000
"",,,Wholesale,2800,,2500,2700,3500,2500,2000,2000,1700,2400,2400,2300,,2200,2500,,,,2500,3800
"",Sorghum Flour,Kg,Retail,1000,1000,1400,,1800,1200,1000,1000,1000,900,700,1000,2800,1200,1000,1800,1600,1400,,1500
"",,,Wholesale,700,900,1300,,1500,900,800,800,900,700,600,800,1500,1000,800,,1400,1300,,1400
"",Sorghum Grain,Kg,Retail,700,900,1200,,1600,1000,650,700,800,,500,650,1100,900,650,,1300,1100,1500,1000
"",,,Wholesale,500,800,1000,,1400,700,600,600,700,,450,600,1000,780,600,,1100,1000,1300,800
"",Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1600,1400,1300,1400,1800,1400,1400,1500,1550,1400,900,1700,,1500,1500
"",,,Wholesale,1800,1200,1500,1300,1500,1300,1100,1200,1200,1700,1200,1200,,1400,1200,800,1450,,1300,1400
"",Sunflower,Kg,Retail,,,,,,,400,,,,,450,,,,,,,,
