Apple Bananas,Kg,Retail,1000,400,650,800,500,700,900,1600,200,500,1500,500,800,900,,1500,900,650,500,800
"",,Wholesale,900,300,600,500,450,400,800,1100,175,400,1200,450,700,700,,,800,600,350,500
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4500,6000,5000,4800,5000,4000,4000,4200,4000,4000
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4300,5800,5000,4500,4800,,3600,4000,3500,3800
"Cassava, Dry Fermente",Kg,Retail,,,,,,,650,500,300,,,750,1000,1000,800,,,700,,
"",,Wholesale,,,,,,,600,420,280,,,700,900,800,600,,,650,,
"Cassava, Flour",Kg,Retail,800,1200,1300,1000,1200,1100,1000,1000,1000,900,900,1000,1000,1500,1000,1200,800,900,1200,1300
"",,Wholesale,700,1000,1100,850,1100,900,850,800,900,700,800,850,880,1300,800,850,750,800,800,1200
"Cassava, Fresh",Kg,Retail,650,400,1000,700,550,500,600,800,240,500,170,450,650,1000,1200,600,600,,600,1000
"",,Wholesale,590,300,1000,500,500,420,550,600,200,400,160,400,600,800,1000,400,450,,450,700
"Cassava, Sun dried",Kg,Retail,,,650,,,1100,650,500,480,,750,800,1000,1400,800,1200,,750,500,1000
"",,Wholesale,,,450,,,900,600,400,400,,700,700,900,1200,600,,,700,400,700
Cavendish (Bogoya),Kg,Retail,1300,400,1200,1100,750,1000,1500,2600,520,600,2500,550,750,,1200,1500,1000,800,400,2000
"",,Wholesale,1250,300,1000,800,700,800,1400,1700,470,500,2000,500,650,,1000,,850,700,300,1500
"Chicken, Exotic",bird,Retail,8000,,45000,7500,9000,6000,8000,6200,8000,,7000,9000,,7500,5000,7000,8200,7000,8000,8000
"",,Wholesale,7500,,4000,6000,8500,5000,6000,4800,7000,,6000,8500,,6500,4000,6000,6900,6500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,4500,14000,15000,,18000,12500,15000,8000,15000,10000,10000,14500,8000,12000,12000,12500,10000,14000
"",,Wholesale,10000,13000,4000,12000,14000,12000,15000,9000,14000,6000,12000,9000,9500,13000,6000,10000,9000,11000,9000,12000
Coffee (Unprocessed),Kg,Retail,,2000,1400,1000,,,,1700,1200,,2450,,,,,,,2600,900,
"",,Wholesale,,1600,1200,800,,,,1550,1100,,2400,,,,,,,2500,800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2000,2300,2500,2500,1800,2700,1800,2000,1800,2000,1500,2500,1600,1400,3000,1600,2200,2100,1400
"",,Wholesale,1800,1600,2000,2300,2000,1400,2400,1600,1800,1700,1700,1350,,1450,1200,,1550,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1800,1400,,1200,1100,1350,1200,,,1300,1300,,1200,,,,,
"",,Wholesale,,,1650,1200,,1000,1000,1180,1100,,,1200,,,1000,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,1300,2000,1700,1350,1300,1500,1000,1300,1500,130N0,ka2s2er0o0,1200,1200,1200,1300,1200,1200
"",,Wholesale,1400,,1800,1100,1800,1450,1250,1170,1400,900,1150,1400,,1900,1000,1000,900,1200,1100,1100
"Dried Beans, Others",Kg,Retail,,1700,1400,1200,1800,1700,1250,1350,1400,,1200,,,1900,1200,1400,,2200,,1000
"",,Wholesale,,1600,1300,1000,1700,1400,1150,1250,1300,,1150,,N,kaw17a00,1000,1200,,2100,,800
"Dried Beans, Yellow",Kg,Retail,1800,700,2200,1200,2000,1900,1650,1500,1600,,1600,1500,1400,2300,1400,1400,1100,1500,1400,1000
"",,Wholesale,1600,600,2000,1000,1900,1600,1600,1300,1500,,1400,1400,1350,2000,1200,1200,900,1400,1200,800
"Eggs, Exotic",tray,Retail,5200,6500,5500,6500,6500,6000,4800,6800,5200,6000,6000,5900,750O0,in6o000,6000,6000,6000,6000,6000,6500
"",,Wholesale,4500,6000,5000,4700,6000,5000,4500,5400,5000,5500,5500,5700,5800,5800,5800,5000,5500,5800,5500,6000
"Eggs, Local",tray,Retail,6000,6500,6000,9000,15000,7500,11000,8800,8000,,5500,7200,7500,,6500,9000,8500,9000,8500,7000
"",,Wholesale,5500,6000,5500,7500,14500,5500,9000,6800,7000,,5300,7000,Ig,nga,6000,,7500,8500,7000,6500
"Fish, Nile Perch",Kg,Retail,6000,,5000,5000,,7000,7000,5000,6000,,9000,4500,5000,4300,6000,,,,5500,6000
"",,Wholesale,5500,,4500,4500,,6000,6000,3800,5000,,7500,4000,5000,3500,5000,,,,4500,5500
"Fish, Tilapia",whol,Retail,4000,6000,3500,4500,4500,4500,5500,6000,9000,,5000,6000,7500,4600,4500,6000,,3000,4500,5500
"",,Wholesale,3500,4500,3000,3500,4500,4000,4500,4500,8000,,4500,5500,,3800,4000,,,2800,4000,5000
Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,6000,5500,6000,5000,5000,5000,5000,6000,5000,5000,5000,6000,4500,6000
"",,Wholesale,5500,5000,4800,4500,5500,4800,4500,4500,5000,4500,4800,4800,5000,5500,5000,,4500,5800,4000,5500
"Groundnuts, Unpound",Kg,Retail,2700,2400,2500,2100,3000,2600,2400,2200,2000,2500,2100,2000,3000,2600,3000,2500,2500,2500,2400,2700
"",,Wholesale,2600,2200,2200,2000,2500,2300,1950,2000,1800,2400,1800,1800,,2450,2500,1950,2200,2400,2200,2500
"Honey, Processed",ltr,Retail,7500,7000,3500,6000,8000,8000,,8200,35000,,,6400,3600,4500,,1200,7000,,10000,6000
"",,Wholesale,7000,6000,3500,5000,7500,7000,,6900,25000,,,6100,3300,4000,,,6500,,8000,5000
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4500,25000,,,3100,,,,,4500,15000,7500,5000
"",,Wholesale,,3100,2200,,4500,6000,,4000,20000,,,2900,,,,,3000,14000,6500,4000
Irish Potatoes,Kg,Retail,670,500,1200,1000,1000,600,600,800,800,250,350,500,900,1600,1200,800,350,650,900,1200
"",,Wholesale,530,458,1000,700,900,500,550,700,700,220,300,450,800,1400,1000,600,350,600,750,800
Maize Flour,Kg,Retail,1500,1400,1400,1400,1700,1500,1300,1250,1300,1400,1200,1400,1600,1500,1300,1500,1400,1400,1600,1600
"",,Wholesale,1400,1200,1250,1200,1500,1350,1100,1100,1200,1300,1000,1350,1500,1350,1000,1300,1150,1300,1300,1400
Maize Grain,Kg,Retail,1100,650,800,1000,1000,1000,660,650,660,800,700,800,800,980,800,650,700,1000,620,1200
CommodityName,,,,,,,,,,,,,,,,,,,,,,
Matooke,Kg,Retail,250,150,1000,225,450,410,300,320,160,400,700,500,400,,1200,500,250,700,600,700
"",,Wholesale,195,100,800,170,400,360,280,280,140,300,670,450,350,,1000,,220,600,450,500
Matooke (Bunch),Bun,Retail,5700,6000,10000,9000,13000,9000,10000,11500,8000,8000,12000,9000,11000,15500,,8000,7000,13000,,6000
"",,Wholesale,5000,4000,8500,7000,10000,8000,8000,8500,7000,6000,10000,8500,10000,13000,,,6000,12000,5500,4000
Milk,Ltrs,Retail,1000,800,700,1000,800,1000,1000,1000,800,550,800,800,1000,1000,1000,800,600,750,800,700
"",,Wholesale,900,700,550,800,700,900,900,800,700,300,700,700,900,800,800,600,500,700,600,500
Millet Flour,Kg,Retail,1200,1400,1600,1500,1100,2000,2000,1400,1500,1800,1800,1450,1800,1400,,2400,1600,1400,1600,1800
"",,Wholesale,900,1300,1500,1300,1000,1600,1700,1100,1400,1700,1600,1400,1700,1300,,,1300,1350,1400,1600
Millet Grain,Kg,Retail,1200,1300,1000,1400,1700,1200,1300,1050,1200,1300,1200,1000,1450,1300,1400,1200,1250,1100,1250,1400
"",,Wholesale,900,1200,800,1200,1600,1000,1250,880,1100,1200,1100,900,1400,1100,1200,1000,1050,1000,850,1200
Pineapple,whol,Retail,1000,800,1300,800,1800,1500,1000,1800,2200,,1000,1500,2000,2600,3000,,500,1400,2200,800
"",,Wholesale,750,500,900,600,1400,1200,800,1400,2000,,800,1350,,2000,1500,,350,1300,1200,500
Pork,Kg,Retail,4700,5000,5000,4500,,5000,4800,,6000,4000,4000,4000,5000,4500,4000,5000,4000,4800,4000,7000
"",,Wholesale,4000,4500,4500,3500,,3500,4000,,5000,3600,3500,3800,5000,4000,3500,,3500,4500,3000,6000
Rice (Kayiso),Kg,Retail,2000,2800,2400,2400,,2000,2400,1600,1700,2200,1800,2200,2300,2500,2200,,2400,,2500,2500
"",,Wholesale,1800,2500,2300,2000,,1800,2200,1400,1600,2100,1600,2000,,2300,2100,,2200,,2400,2300
Rice (Super),Kg,Retail,2400,2500,2400,2300,2500,2400,2600,2100,2000,2400,2400,2400,2400,3000,2500,2500,2300,1700,2600,2500
"",,Wholesale,2200,2300,2250,1800,2200,2000,2400,1900,1800,2300,2200,2300,2120,2900,2300,,,1600,2500,2400
Rice (Upland),Kg,Retail,2000,2200,2100,2300,2500,2000,2300,1700,1800,,,,2300,2500,2200,2000,2400,,2300,2200
"",,Wholesale,1800,2000,1900,1800,2200,1800,2100,1450,1700,,,,2120,2400,2100,1850,1850,,2100,2000
Simsim,Kg,Retail,3000,,2700,3300,4500,2800,2500,2050,2800,2500,,2600,3200,2400,2500,,,,3000,3800
"",,Wholesale,2800,,2500,2900,4000,2400,2000,1900,2600,2400,2500,2400,,2300,2100,,,,2500,3500
Sorghum Flour,Kg,Retail,1000,900,1400,,1600,1200,1000,1000,1000,900,,1000,1600,1250,2000,,1500,1400,,850
"",,Wholesale,700,800,1300,,1500,900,800,800,900,700,2500,850,1500,1100,1500,,1400,1300,,500
Sorghum Grain,Kg,Retail,2000,800,1200,,1600,1000,670,850,700,,,800,1200,1150,800,,1100,1100,800,1100
"",,Wholesale,1800,700,1000,,1400,700,620,680,650,,650,700,1000,900,600,,850,1000,600,1000
Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1700,1300,1250,1200,1800,,1100,2000,1600,800,900,1450,,1600,1500
"",,Wholesale,1800,1200,1500,1300,1500,1400,1050,1150,1100,1700,1200,1000,,a1k4a5s0e,"o600",,1400,,1300,1400
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,650,1500,1000,1000,500,500,600,1000,320,300,1600,,500,ak9a0w0,1200,1000,200,1000,650,800
"",,Wholesale,560,100,1000,600,450,400,550,800,300,200,150,,450,700,1000,600,170,900,450,700
Tea (Unprocessed),Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,,,,,,,,wino,,,,,,
Turkey,bird,Retail,,,28000,,40000,45000,35000,34000,45000,,25000,33000,,,,,,,29000,
"",,Wholesale,,,25000,,30000,35000,25000,31000,42000,,20000,32000,,,,,,,26000,
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,ganga,,,,,,3000
"",,Wholesale,,,,,,,2300,,,,,,,,,,,,,2000
