CentralEasternNorthernWestern,,,,,,,,,,,,,,,,,,,,,,
Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarar
Apple Bananas,Kg,Retail,1000,400,650,800,650,700,800,1300,210,500,,550,900,900,,1000,1000,650,400,800
"",,Wholesale,900,300,600,500,600,400,700,800,180,400,,500,850,750,,,800,600,300,500
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,5000,4500,6000,5000,4500,5000,5000,6000,5000,4000,4000,4200,4000,3800
"",,Wholesale,4500,4500,4500,4500,4500,3800,4500,4000,5000,4500,4300,4800,5000,5800,4500,,3600,4000,3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,,720,500,330,,,750,1000,1000,600,,,700,,
"",,Wholesale,,,,,,,700,420,300,,,700,900,900,500,,,650,,
"Cassava, Flour",Kg,Retail,800,1000,1200,550,1200,1100,1000,1000,1000,900,1000,1000,1100,1400,800,1200,800,900,1200,1300
"",,Wholesale,700,800,1000,450,1100,900,950,800,900,700,900,800,920,1200,750,1000,750,800,800,1200
"Cassava, Fresh",Kg,Retail,500,400,1000,700,450,500,650,800,290,500,800,450,800,1000,1200,500,650,1000,600,1000
"",,Wholesale,420,300,800,500,400,450,600,600,280,400,700,450,700,800,1000,,450,900,400,700
"Cassava, Sun dried",Kg,Retail,,,650,,,,720,500,500,,900,800,1000,1000,900,1000,,750,500,1000
"",,Wholesale,,,450,,,,700,400,400,,750,700,900,900,700,750,,700,350,700
Cavendish (Bogoya),Kg,Retail,,400,1100,1100,650,800,,2500,580,600,2500,550,900,2500,1500,1000,1100,1000,400,1200
"",,Wholesale,,300,1000,800,600,600,,1500,560,500,2000,500,700,2000,1300,,850,900,300,1000
"Chicken, Exotic",bird,Retail,7500,,4500,7500,9000,6000,8000,6200,9000,,7500,8500,,8500,6000,7000,8000,7000,8000,8000
"",,Wholesale,7000,,4000,6000,8000,5000,6000,4800,8500,,6500,8000,,7500,5000,6000,6900,6500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,11000,15000,15000,,15000,12500,16000,8000,8500,9500,10000,14500,9000,13000,11000,13500,10000,10000
"",,Wholesale,10000,13000,10000,13000,14000,12000,13000,9000,15000,6000,7500,9000,8500,12500,7000,9000,8700,12000,9000,8000
Coffee (Unprocessed),Kg,Retail,,2000,1400,,,,,1900,,,2450,,,,,,,2600,,
"",,Wholesale,,1600,1200,,,,,1700,,,2300,,,,,,,2500,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1500,2300,2500,2500,1800,2700,1800,,1800,1700,1500,2500,1450,1500,3000,1700,2200,2100,1400
"",,Wholesale,1800,1400,2000,2300,2000,1400,2300,1600,,1700,1500,1400,,1300,1300,,1550,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1800,1400,,1200,,1300,1400,,,1300,1400,,1200,,,,,
