Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,550,800,550,700,800,1400,220,500,,550,900,900,,1200,1000,600,400,800
"",,Wholesale,900,300,500,500,500,400,700,900,200,400,,450,850,800,,,800,550,300,500
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4400,5000,5000,5000,5000,4000,4000,4200,4000,4000
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4200,4800,5000,4000,4500,,3600,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,750,500,340,,,800,1000,1000,,,,700,,
"",,Wholesale,,,,,,,700,420,300,,,750,900,800,,,,650,,
"Cassava, Flour",Kg,Retail,800,1000,1200,1000,1200,1100,1100,1000,1000,900,1000,1000,1000,1000,1000,1200,800,900,1200,1300
"",,Wholesale,700,800,1000,850,1100,900,950,800,900,700,950,800,900,800,800,1000,750,800,800,1200
"Cassava, Fresh",Kg,Retail,500,400,1000,700,450,500,650,800,270,500,800,450,800,1000,1200,500,650,1000,600,1000
"",,Wholesale,400,300,800,500,400,460,600,600,250,400,700,400,700,800,1000,260,450,900,450,700
"Cassava, Sun dried",Kg,Retail,,,650,,,,750,500,500,,950,800,1000,1000,1200,800,,750,500,1000
"",,Wholesale,,,450,,,,700,400,450,,800,750,900,900,1000,750,,700,400,700
Cavendish (Bogoya),Kg,Retail,1300,400,1000,1100,650,800,1400,,600,600,750,550,900,,1500,1200,1100,900,400,1200
"",,Wholesale,1200,300,900,800,600,600,1300,,580,500,650,500,700,,1300,,850,850,300,1000
"Chicken, Exotic",bird,Retail,12000,,4500,7500,9000,6000,8000,6200,9000,,6500,9000,,9000,8000,7000,8000,7500,8000,8000
"",,Wholesale,10000,,4000,6000,8500,5000,6500,4800,8000,,5500,8000,,8000,7000,6000,6900,6500,6000,7000
"Chicken, Local",bird,Retail,7500,15000,11000,15000,15000,,15000,12500,15500,8000,10000,9500,11000,14500,10000,13000,11000,13000,10000,14000
"",,Wholesale,7000,13000,10000,13000,14000,12000,13000,9000,13500,6000,8500,8500,10000,13000,8000,9000,8700,12500,9000,12000
Coffee (Unprocessed),Kg,Retail,,2000,1400,,,,,1900,,,2400,,,,,,,2700,,
"",,Wholesale,,1600,1200,,,,,1700,,,2300,,,,,,,2500,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1500,2300,2500,3000,1800,2700,1800,1400,1800,1700,1500,2500,1600,1600,3000,1700,2200,2100,1400
"",,Wholesale,1800,1400,2000,2300,2500,1400,2400,1600,2300,1700,1500,1400,,1400,1500,,1550,2100,2000,1200
