Commodity Name,Weight Pricetype,Kalerwe Kiboga Masaka Nakawa Owino Iganga Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima Kasese Kisoro,Mbarara
Apple Bananas,Kg Retail,1000 400 800 700 900 1600 150,500 1000,550,650,800,,1500 500,1000
"",Wholesale,900 300 500 400 800 1100 130,400 800,500,600,700,,450 350,800
Beef,Kg Retail,4500 5000 5000 5000 5000 4400 6000,5000 4500,6000,5000,5500,5000,4000 4200 4000,4000
"",Wholesale,4000 4500 4500 3800 4500 3900 5000,4500 4300,5800,5000,4500,4800,4000 3500,3800
"Cassava, Dry Fermented",Kg Retail,650 520 300,,800,860,1000,1000,700,
"",Wholesale,620 430 280,,700,750,900,800,650,
"Cassava, Flour",Kg Retail,800 1200 1000 1100 1000 950 1000,900 1000,800,860,1400,1000,1200 900 1200,1350
"",Wholesale,700 1000 850 900 850 780 900,700 800,700,750,1200,800,800 800,1220
"Cassava, Fresh",Kg Retail,700 400 1000 500 600 850 280,500 160,450,630,1000,1000,600 600,1000
"",Wholesale,550 300 700 420 550 650 260,400 150,400,570,800,800,300 450,700
"Cassava, Sun dried",Kg Retail,1100 650 520 480,800,800,860,1000,800,1500 750 500,1000
"",Wholesale,900 600 420 470,700,750,750,900,600,700 400,700
Cavendish (Bogoya),Kg Retail,1350 400 1100 1000 1500 2600 480,600 1500,550,750,,1200,1500 800 600,2000
"",Wholesale,1200 300 800 800 1300 1700 450,500 1000,500,650,,1000,700 300,1500
"Chicken, Exotic",bird Retail,8000 7500 6000 8000 6500 8000,6500,9000,,8000,5000,7000 7000 800,9000
"",Wholesale,7500 6000 5000 6000 5000 7500,5500,8000,,7000,4500,6000 6500 6000,7000
"Chicken, Local",bird Retail,12000 15000 14000 18000 13000 15000,8000 6500,10000,12000,13000,8000,13000 13000 10000,14000
"",Wholesale,10000 13000 12000 12000 15000 9500 14000,6000 5000,9000,11000,12000,5000,10000 12000 9000,12000
Coffee (Unprocessed),Kg Retail,2000 1000 1700 1200,2500,,,,,2700 900,
"",Wholesale,1600 800 1550 1100,2400,,,,,2500 800,
Cotton (Unprocessed),Kg Retail,800,,,,,,,
"",Wholesale,700,,,,,,,
Cow Peas,Kg Retail,2000 1700 2500 1800 2700 1800 2000,1800 2000,1600,2500,1600,1600,3000 2200 2100,1400
"",Wholesale,1800 1600 2300 1400 2400 1600 1800,1700 1700,1450,,1400,1200,2100 2000,1200
"Dried Beans, Agwede",Kg Retail,1200 1200 1350 1350,,1500,,,1400,,
"",Wholesale,1000 1000 1180 1250,,1200,,,1200,,
"Dried Beans, Nambale",Kg Retail,1600 1400 1700 1500 1300 2000,1000 1300,1500,1300,1900,1400,1200 1300 1200,1200
"",Wholesale,1400 1200 1400 1300 1170 1400,900 1200,1400,,1700,1200,1000 1250 1100,1100
"Dried Beans, Yellow",Kg Retail,1800 900 1200 1800 1750 1500 1400,1400,1500,1400,1900,1500,1400 1500 1400,1000
"",Wholesale,1600 800 1000 1500 1650 1300 1500,1300,1400,1350,1700,1300,1200 1400 1200,800
"Eggs, Exotic",tray Retail,5200 6500 6500 6000 4800 6800 5500,6000 12000,5700,7500,,6200,6000 6000 6000,6500
"",Wholesale,4500 6000 4700 5000 4500 5400 5200,5500 9000,5600,5800,,6000,5500 5800 5500,6000
"Eggs, Local",tray Retail,10000 9000 9000 7500 11000 8800 8000,5500,7200,7500,14000,6200,9000 9000 8500,8000
"",Wholesale,9000 7500 7500 5500 9000 6800 7000,5300,7100,,13000,6000,7500 8500 7000,7000
"Fish, Nile Perch",Kg Retail,6000 5000 7000 7000 5000 6000,5500,4500,5000,4500,4500,5500,6000
"",Wholesale,5500 4500 6000 6000 4000 5000,5200,4000,5000,3800,4000,4500,5500
