"",,,,,Central,,,Eastern,,,Northern,,,Western,
Commodity,,,Kalerwe,Kiboga,Luwero Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1200,400,800 800 800 900,1500,150,500 1200,600,670,800,1500,900,600 600,1000
"",,Wholesale,1000,300,700 500 500 800,1000,130,400 900,550,600,700,800,800,550 350,800
Beef,Kg,Retail,4500,5000,4500 5000 5000 5000,4400,6000,5000 4500,4200,5000,5500 5000,4000,4000,4200 4000,3800
"",,Wholesale,4000,4500,4500 4500 3800 4500,3900,5000,4500 4300,4000,5000,4500 4800,,3600,4000 3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,620,520,300,,700,1000,1000 1000,,,700,
"",,Wholesale,,,600,430,290,,650,870,700 800,,,650,
"Cassava, Flour",Kg,Retail,900,1200,1300 1000 1100 1000,950,1000,900 950,900,1000,1350 1000,1200,800,900 1200,
"",,Wholesale,700,1000,1200 850 900 850,780,900,700 800,800,870,1200 800,1000,750,800 800,
"Cassava, Fresh",Kg,Retail,1050,400,1000 1000 500 650,850,320,500 170,1200,650,1000 1000,500,600,1200 700,
"",,Wholesale,900,300,1000 700 400 600,650,290,400 160,1000,600,800 800,300,450,1000 450,
"Cassava, Sun dried",Kg,Retail,,,650 1100 620,520,490,800,750,1000,1000 800,700,,700 500,1000
"",,Wholesale,,,450 900 600,420,480,700,700,880,900 600,600,,700 400,700
Cavendish (Bogoya),Kg,Retail,1450,400,1500 1100 1000 1500,2600,550,600 2000,800,750,1200,1500,1100,800 500,
"",,Wholesale,1300,300,1200 800 800 1400,1700,530,500 1500,750,650,1000,1000,850,750 300,
"Chicken, Exotic",bird,Retail,7500,,6500 7500 6000 8000,6500,8500,6500,7500,,8000 4500,7000,8000,7500 8000,9000
"",,Wholesale,7000,,6000 6000 5000 6000,5000,8000,5500,7300,,6500 4000,6500,6900,7300 6000,7000
"Chicken, Local",bird,Retail,12000,15000,13000 14000 18000,13000,15000,10000 7500,11000,12000,13500 8000,12000,10000,11000 10000,14000
"",,Wholesale,10000,13000,10000 12000 12000 15000,9500,14000,8000 6000,10000,11000,12000 7000,9000,8600,10000 9000,9000
Coffee (Unprocessed),Kg,Retail,,2000,1400 1000,1750,1200,2500,,,,,,2700,
"",,Wholesale,,1600,1200 800,1600,1100,2450,,,,,,2500,
Cotton (Unprocessed),Kg,Retail,,,,,800,,,,,,,,
"",,Wholesale,,,,,700,,,,,,,,
Cow Peas,Kg,Retail,2000,1700,2300 2500 1900 2700,1800,2500,1800 2000,2200,2500,1500,,1600,2200 2100,1400
"",,Wholesale,1800,1600,2000 2300 1500 2400,1600,2300,1700 1800,2100,,1200,,1550,2100 2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1800 1200 1300,1350,1400,,,,1400,,,,
"",,Wholesale,,,1650 1000 1100,1180,1300,,,,1200,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000 1400 1800 1500,1300,1600,1000 1500,1400,1500,1900 1400,1600,1000,1400 1300,1200
"",,Wholesale,1400,,1800 1200 1500 1400,1170,1500,900 1400,1300,,1700 1200,1500,900,1300 1100,1100
"Dried Beans, Others",Kg,Retail,,,1400,1350,1400,,,,,,,1400,1100
"",,Wholesale,,,1300,1250,1300,,,,,,,1350,900
"Dried Beans, Yellow",Kg,Retail,1800,900,2000 1200 1900 1700,1500,1600,1600,1600,1600,1900 1500,1800,900,1600 1400,1000
"",,Wholesale,1600,800,1800 1000 1750 1600,1300,1500,1500,1500,1500,1700 1200,1600,880,1500 1200,800
"Eggs, Exotic",tray,Retail,5000,6500,5500 6500 6000 5200,6800,5300,6000 5500,6000,7500,6000,6000,6000,6000 6000,6500
"",,Wholesale,4500,6000,5000 4700 5000 4700,5400,5000,5500 5300,5800,5800,5700,5500,5500,5800 5500,6000
"Eggs, Local",tray,Retail,100000,9000,6000 9000 7000 11000,8800,7500,9000,9000,,14000 6500,9000,8500,9000 8500,8000
"",,Wholesale,9000,7500,5500 7500 6000 9000,6800,7000,7500,8500,,13000 6000,,7500,8500 7000,7000
"Fish, Nile Perch",Kg,Retail,6000,,6000 5000 7000 7000,5000,6000,5000,,,4600 6000,,,5500,6000
"",,Wholesale,5500,,5000 4500 6000 6000,4000,5000,4800,,,3800 5000,,,4500,5500
"Fish, Tilapia",whole,Retail,4000,5000,4300 5500 4500 5500,6200,8500,4500,4000,8000,4800 5000,,,4000 4500,5500
"",,Wholesale,3500,4000,4000 4000 4000 4500,4600,8000,4000,3400,,4200 4500,,,3400 4000,5000
Goat Meat,Kg,Retail,6000,6000,5000 5500 6000 6000,5600,6000,5000 5000,6000,5500,6000 5000,5000,5000,6000 4500,6000
"",,Wholesale,5500,5000,5000 4500 4800 4500,4700,5000,4500 4500,5800,5500,5500 5000,,4500,5800 3600,5500
"Groundnuts, Unpounded",Kg,Retail,2700,2400,2800 2100 2500 2500,2200,2400,2200,,3000,2600 3000,2500,2500,2400,2500
"",,Wholesale,2600,2200,2300 2000 2200 2100,2000,2200,2000,2400,2800,2300 2500,2100,2200,2400 2200,2450
"Honey, Processed",ltr,Retail,7500,7000,3500 7000 8000,8200,4000,,,3600,,,7000,10000,6000
"",,Wholesale,7000,6000,3500 5000 7000,6900,3000,,,3300,,,6500,8000,5000
"Honey, Unprocessed",ltr,Retail,,3500,2500 6500,4500,2500,,,,,,4500,7500,
"",,Wholesale,,3100,2200 6000,4000,2000,,,,,,3000,6500,
Irish Potatoes,Kg,Retail,620,458,1000 1000 700 550,800,900,250 300,800,1000,1300 1400,700,410,800 1000,
"",,Wholesale,550,416,1000 700 600 520,700,800,220 250,600,900,1250 1200,550,350,600 800,
Commodity,,,Kalerwe,Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1400,1500,1400 1500 1300,1300,1400,1300 1100,1400,1600,1400,1200,1400,1400,1400,1600,160
"",,Wholesale,1400,1200,1200,1200 1350 1100,1150,1300,1100 1000,1300,1500,1250,900,1300,1150,1300,1300,140
Maize Grain,Kg,Retail,1100,650,800,1000 1000 600,680,620,700 550,1000,800,1000,800,570,700,1000,620,120
"",,Wholesale,1000,600,750,700 900 580,580,600,600 500,900,700,850,700,550,620,900,530,110
Matooke,Kg,Retail,350,175,1000,200 450 300,350,200,700 1000,750,450,,1200,500,700,750,700,70
"",,Wholesale,290,125,1000,150 365 280,300,180,600 800,750,400,,1000,,620,750,500,50
Matooke (Bunch),Bunch,Retail,8000,7000,12000,8000 9000 10000,13000,10000,8000 10000,13500,15000,13500,,8000,6800,13500,11000,600
"",,Wholesale,7000,5000,10000,6000 8000 8500,9500,9000,6000 8000,13000,14000,12500,,,6000,13000,6000,400
Milk,Ltrs,Retail,1200,800,700,1000 1000 1200,1000,800,550 800,750,1000,1000,700,800,600,750,800,100
"",,Wholesale,1000,700,600,800 900 1100,900,700,300 700,700,900,800,600,600,500,700,600,90
Millet Flour,Kg,Retail,1200,1400,1500,1500 2000 2000,1400,1500,1800 1800,1400,1000,1000,,2500,1600,1400,1600,180
"",,Wholesale,900,1300,1400,1300 1650 1700,1100,1400,1700 1600,1350,1700,900,,,1300,1350,1400,160
Millet Grain,Kg,Retail,1200,1300,1000,1400 1200 1300,1050,1300,1300 1350,1100,1500,1000,,1200,1250,1100,1250,150
"",,Wholesale,900,1200,800,1200 1000 1200,880,1200,1200 1000,1000,1300,900,,1000,1050,1000,900,130
Pineapple,whole,Retail,1000,800,1000,800 800 1400,,2500,1300,1500,5000,2400,,,,1500,2200,80
"",,Wholesale,850,500,800,600 500 1000,,2300,1000,1400,5000,1800,1000,,,1400,1200,50
Pork,Kg,Retail,4700,5000,5000,4500 5000 5000,,6000,4000 3500,4800,5000,4500,4000,,4000,4800,4000,700
"",,Wholesale,4000,4500,4500,3500 3500 4100,,5000,3600 3000,4500,5000,4000,3500,,3500,4500,3000,600
Rice (Kayiso),Kg,Retail,2000,2800,2400,2400 2000 2200,1700,1700,2200 1800,,2300,2500,2200,,2400,,2500,250
"",,Wholesale,1800,2500,2300,2000 1800 2000,1500,1600,2100 1700,,,2300,2100,,2200,,2400,230
Rice (Super),Kg,Retail,2400,2500,2400,2300 2400 2400,2200,2000,2400 2400,2500,2300,2800,2500,2700,2300,2500,2600,250
"",,Wholesale,2200,2300,2300,1800 2100 2200,2000,1800,2300 2200,2400,2120,2600,2300,,,2400,2400,240
Rice (Upland),Kg,Retail,2000,2200,2000,2300 2000 2200,1700,1700,,1700,2300,2600,2200,2000,2400,1700,2300,220
"",,Wholesale,1800,2000,1900,1800 1800 2000,1450,1600,,1600,2120,2400,2100,1900,1850,1600,2100,200
Simsim,Kg,Retail,3000,,2700,3300 2800 3000,2000,3000,2500 2400,2000,3200,2500,2500,,,,3000,380
"",,Wholesale,2800,,2500,2900 2400 2300,1800,2800,2400 2300,1800,2500,2400,2200,,,,2500,350
Sorghum Flour,Kg,Retail,1000,700,1400,1200 1000,1000,1000,900,1400,1600,1350,,,1400,1400,,110
"",,Wholesale,700,600,1300,900 800,800,900,700,1300,1500,1100,,,1400,1300,,100
Sorghum Grain,Kg,Retail,700,600,1000,1000 700,850,800,,1100,1200,1200,,,1100,1100,800,85
"",,Wholesale,500,500,800,700 650,680,700,,1000,1000,900,,,800,1000,600,50
Soya Beans,Kg,Retail,2000,1400,2000,1400 1700 1300,1300,1400,1800 1200,,2000,1650,,1000,1500,,1500,150
"",,Wholesale,1800,1200,1500,1300 1300 1100,1200,1300,1700 1100,,,1500,,900,1380,,1300,140
Sunflower,Kg,Retail,,,,400,,,,,,,,,,,,
"",,Wholesale,,,,370,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,590,150,1000,1000 550 620,1100,360,300 220,2700,500,900,1000,1000,200,1000,700,70
"",,Wholesale,500,100,1000,600 450 600,900,340,200 210,900,430,700,800,600,170,900,500,50
Turkey,bird,Retail,,,28000,45000 39000,34000,47000,25000,,,,,,,,29000,3200
"",,Wholesale,,,25000,35000 35000,31000,44000,20000,,,,,,,,26000,3000
Vanilla (Unprocessed),Kg,Retail,,,,2700,,,,,,,,,,,3500,300
"",,Wholesale,,,,3200,,,,,,,,,,,3000,200
