"",,,,,,Central,,,,Eastern,,,Northern,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja Mbale,Soroti,Arua,Gulu Lira,Hoima,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1300,400,850,800 500,1000,1000,,180 1000,550,1000,900,1500,700 650,100
"",,Wholesale,1000,300,800,500 450,800,900,,160 700,500,900,800,,650 400,80
Beef,Kg,Retail,4500,5000,4500,5000 5000,5000,5000,4500,6000 4800,6000,5000,5000 5000,4000,4200 4000,380
"",,Wholesale,4000,4500,4500,4500 4500,3800,4500,4000,5000 4400,5800,5000,4800 5000,,4000 350,350
"Cassava, Dry Fermented",Kg,Retail,,,,,,650,520,300,650,850,850 1000,,700,
"",,Wholesale,,,,,,600,430,280,550,800,600 800,,650,
"Cassava, Flour",Kg,Retail,800,1200,1300,1000 900,1100,1000,950,1200 1000,1000,900,1400 600,1200,900 1200,135
"",,Wholesale,700,1000,1200,850 700,900,850,780,1000 900,800,850,1200 400,,800 800,122
"Cassava, Fresh",Kg,Retail,535,400,1000,1100 900,400,650,900,270 200,500,630,1000 500,500,1000 700,100
"",,Wholesale,470,300,1000,800 700,340,600,700,260 190,450,600,800 300,300,800 500,70
"Cassava, Sun dried",Kg,Retail,,,650,,1100,650,520,500 750,700,850,800 700,700,750 500,100
"",,Wholesale,,,450,,900,600,420,470 700,600,800,600 500,600,700 400,70
Cavendish (Bogoya),Kg,Retail,1500,500,1200,1000 750,1000,1500,2500,600,550,830,,1500,800 550,
"",,Wholesale,1300,400,1000,800 700,800,1400,1600,570,500,750,,,750 350,
"Chicken, Exotic",bird,Retail,7500,,15000,7500 9000,6000,8000,5800,8000 7000,9000,,8500 5000,8000,7500 6000,900
"",,Wholesale,7000,,13000,6000 8500,5000,6000,4500,7000 6000,8000,,7500 4500,6000,7000 5500,700
"Chicken, Local",bird,Retail,12000,15000,8000,14000 12000,,18000,12000,16000 8000,9500,9000,14000 10000,14000,13500 10000,1500
"",,Wholesale,10000,13000,7500,12000 10000,11000,15000,9000,15000 6500,9000,8000,13000 7000,10000,13000 9000,900
Coffee (Unprocessed),Kg,Retail,,2000,1400,1000,,,1750,1200 2500,,,,,2700 900,
"",,Wholesale,,1600,1200,800,,,1600,1100 2400,,,,,2500 800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,
"",,Wholesale,,,,,,,,700,,,,,,
Cow Peas,Kg,Retail,2000,1600,2000,2500 2500,1800,2700,1700,2100 2000,1600,2500,1450 1000,3000,2200 2100,140
"",,Wholesale,1800,1500,1800,2300 200,1500,2400,1550,1900 1800,1450,,1250 800,,2100 2000,120
"Dried Beans, Agwede",Kg,Retail,,,1500,1400,1400,1300,1450,1400,1300,,1400,,1600,
"",,Wholesale,,,1400,1200,1200,1200,1250,1300,1200,,1300,,1500,
"Dried Beans, Nambale",Kg,Retail,1600,,1700,1300 2000,2000,1600,1450,1500 1700,1500,,1700 1400,2000,1500 1600,120
"",,Wholesale,1400,,1600,1100 1800,1800,1500,1250,1400 1550,1400,,1500 1300,1600,1400 1350,110
"Dried Beans, Yellow",Kg,Retail,1800,1000,1700,1200 2200,2200,2000,1600,1500 1800,1500,1600,1800 1700,2200,1800 1600,160
"",,Wholesale,1600,900,1600,1000 2000,2000,1800,1400,1400 1700,1400,1500,1600 1500,1800,1700 1400,130
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500 9000,6000,5000,6600,5500 5500,5800,7500,6000 6000,9000,6000 66000,650
"",,Wholesale,4500,6000,5500,4700 8000,5000,4500,5200,5000 5300,5600,5900,5800 5500,7000,5800 5500,600
"Eggs, Local",tray,Retail,10000,9000,6500,9000 15000,7500,11000,8800,7000 9000,7100,,6500,6000,9000 10000,700
"",,Wholesale,9000,7500,6000,7500 14500,6000,9000,6800,6700 7500,7000,,6000,5500,8500 9000,650
"Fish, Nile Perch",Kg,Retail,6000,,6000,6500,7000,7000,5000,6000 5000,,,4200 7000,,5500,600
"",,Wholesale,5500,,6000,5500,6000,6000,4000,5000 4800,,,3000 6000,,4500,550
"Fish, Tilapia",whole,Retail,3500,5500,4500,5500 4500,4500,6000,5000,8000 4500,5000,7000,4800 6000,,3800,550
"",,Wholesale,3000,4500,4000,4000 4000,4000,5000,4000,7000 4000,4000,,4000 5500,,3500,500
Goat Meat,Kg,Retail,6000,6000,5000,5500 6000,6000,6000,5200,6000 5000,5000,5500,6000 6000,5000,6000 4500,550
"",,Wholesale,5500,5000,5000,4500 5500,4800,4500,4400,5000 4800,4700,5500,5800 6000,,5800 3600,500
"Groundnuts, Unpounded",Kg,Retail,2700,2400,2600,2100 3000,2600,2600,2250,2300 2400,2000,3200,2600 3000,3000,2600 2600,260
"",,Wholesale,2600,2200,2200,2000 2500,2300,2200,2050,2200 2300,1800,,2400 2500,2200,2500 2400,240
"Honey, Processed",ltr,Retail,7500,7000,3500,6500 8000,8000,,8500,4000,,4000,,,10000,600
"",,Wholesale,7000,6000,3500,4500 7500,7000,,7000,3000,,3500,,,8000,500
"Honey, Unprocessed",ltr,Retail,,3500,2500,8000,6500,,4700,2500,4850,,,,7500,
"",,Wholesale,,3100,2200,7500,6000,,4200,2000,4700,,,,6500,
Irish Potatoes,Kg,Retail,690,500,1000,1500 1000,700,600,700,900 500,600,,1500 1400,800,900 1000,
"",,Wholesale,610,458,800,1200 900,580,550,600,800 450,500,,1400 1200,650,800 800,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1400,1500,1400,1700,1500,1300,1300,1400,1000,1400,1100,1350,1200,1400,1400,1600,160
"",,Wholesale,1400,1200,1200,1200,1500,1300,1100,1100,1200,900,1300,1000,1200,1000,1200,1300,1300,140
Maize Grain,Kg,Retail,1100,900,800,1000,1100,1000,650,650,570,530,700,1600,800,700,530,1000,680,
"",,Wholesale,1000,800,800,700,1000,900,590,580,550,500,600,1360,750,600,500,900,550,
Matooke,Kg,Retail,350,200,1000,200,700,500,350,400,240,1500,550,450,,1200,700,700,700,65
"",,Wholesale,275,150,1000,175,600,400,320,330,2200,1200,500,400,,1000,,650,500,50
Matooke (Bunch),Bunch,Retail,8000,8000,8000,8000,13000,12000,12000,14000,12000,13000,10000,15500,14500,13000,12000,13500,10000,750
"",,Wholesale,7000,6000,8000,7000,12000,10000,10000,10000,11000,12000,8500,14000,13000,5000,,13000,6700,500
Milk,Ltrs,Retail,1200,900,750,1200,1200,1200,1200,1100,800,900,800,1000,1000,800,1000,800,900,90
"",,Wholesale,1000,800,700,1000,900,1000,1100,900,700,800,700,1000,800,600,800,750,650,70
Millet Flour,Kg,Retail,1200,1400,1300,1500,2000,2000,2000,1300,1400,1800,1500,1800,1400,,1000,1400,1600,180
"",,Wholesale,900,1300,1200,1300,1800,1600,1700,1050,1300,1600,1400,1700,1200,,,1350,1400,160
Millet Grain,Kg,Retail,1200,1300,1000,1400,1700,1200,1150,1000,1200,1100,1000,1600,1200,,1400,1100,1250,150
"",,Wholesale,900,1200,800,1200,1600,1000,1000,850,1100,1000,900,1300,1100,,1200,1000,900,130
Pineapple,whole,Retail,1200,5000,1500,800,1000,1500,1400,2000,2700,1000,1500,1800,2500,3000,,1400,2000,80
"",,Wholesale,1000,4500,1100,600,800,1200,1000,1500,2500,800,1400,1500,1800,1000,,1300,1100,50
Pork,Kg,Retail,4700,5000,5000,4500,,5000,5000,,6000,4000,4000,5000,4500,4000,,,4000,700
"",,Wholesale,4000,4500,4500,3500,,3500,4000,,5000,3700,3800,5000,4300,3500,,,3000,600
Rice (Kayiso),Kg,Retail,2000,2800,2400,2400,,2000,2400,1700,1700,1900,,2300,2500,2200,,,2500,250
"",,Wholesale,1800,2500,2300,2000,,1800,2000,1500,1600,1800,,,2250,2100,,,2400,230
Rice (Super),Kg,Retail,2500,2500,2400,2300,2500,2400,2600,2200,2000,2400,2400,2300,2700,2400,2500,2500,2600,250
"",,Wholesale,2200,2300,2300,1800,2200,2100,2200,2000,1900,2200,2200,2100,2500,2200,,2400,2400,240
Rice (Upland),Kg,Retail,2000,2200,2000,2300,2700,2000,2300,1800,1700,,,2300,2500,2200,,2000,2300,220
"",,Wholesale,1800,2000,1900,1800,2400,1800,2000,1500,1600,,,2100,2400,2100,,1800,2100,200
Simsim,Kg,Retail,3000,,2700,3300,4500,3000,3000,2100,2800,2500,2500,3300,2400,2500,,,3000,380
"",,Wholesale,2800,,2500,2900,4000,2500,2300,1900,2700,2400,2350,,2200,2200,,,2500,350
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,950,1000,800,1000,1600,1100,,,1400,,110
"",,Wholesale,700,800,1200,,1500,900,800,750,900,700,800,1500,800,,,1300,,100
Sorghum Grain,Kg,Retail,700,800,1000,,1600,1000,700,800,800,600,700,1000,900,,,1100,800,85
"",,Wholesale,500,700,800,,1400,700,650,600,700,500,600,850,700,,,1000,600,50
Soya Beans,Kg,Retail,2000,1400,1800,1400,1650,1800,1200,1400,1300,1400,,2000,,,2000,,1500,150
"",,Wholesale,1800,1200,1500,1300,1600,1400,950,1250,1200,1250,,,,,1000,,1300,140
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,560,150,1000,1000,800,500,600,1200,370,200,500,450,900,700,1000,1200,700,70
"",,Wholesale,470,100,1000,600,700,400,550,950,350,190,450,400,700,500,550,1000,500,50
Turkey,bird,Retail,,,29000,,40000,42000,45000,35000,47000,,34000,,,,,,29000,3200
"",,Wholesale,,,28000,,30000,35000,40000,32000,45000,,32000,,,,,,26000,3000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,3500,300
