Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1100,400,950,900,650,800,1100,2000,200,500,2000,550,700,800,,1500,800,650,600,1000
"",,Wholesale,1000,300,900,600,450,500,1000,1500,180,400,1500,500,600,650,,1000,700,600,400,800
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4500,6000,5000,5000,5000,4000,4000,4200,4000,4000
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4200,5800,5000,4500,5000,,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,620,530,,,,650,725,900,1200,,,700,,800
"",,Wholesale,,,,,,,600,440,,,,600,700,700,1000,,,650,,700
"Cassava, Flour",Kg,Retail,900,1200,1200,1000,900,1000,850,1050,1200,900,1000,1000,900,1150,1000,1200,1400,900,1200,1350
"",,Wholesale,700,1000,1000,850,700,850,720,850,1100,700,800,800,780,1050,800,,1000,800,800,1220
"Cassava, Fresh",Kg,Retail,550,400,1000,1100,650,500,600,1000,260,450,200,500,600,1000,800,400,1200,,700,1000
"",,Wholesale,450,300,1000,800,600,440,550,800,230,350,190,450,550,700,700,300,950,,500,800
"Cassava, Sun dried",Kg,Retail,,,500,,,1000,620,520,450,,880,700,750,1000,1000,700,,750,500,1000
"",,Wholesale,,,400,,,850,600,420,400,,750,600,700,800,800,,,700,400,700
Cavendish (Bogoya),Kg,Retail,1300,500,1500,,750,1000,1600,2500,580,600,3000,550,650,,2000,1500,,1400,550,
"",,Wholesale,1200,400,1300,,700,800,1500,1600,560,500,2500,500,575,,1500,1000,,1300,350,
"Chicken, Exotic",bird,Retail,7500,,,9500,9000,6000,8000,5800,7500,,7500,8500,7000,9000,5000,7500,12000,8000,8000,9000
"",,Wholesale,7000,,,8000,8500,5000,6000,4500,6500,,6000,8000,,8000,4000,6000,5500,7500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,15000,18000,12000,,18000,11000,15000,10000,8500,9000,9000,13500,9000,13000,15000,15000,10000,14000
"",,Wholesale,10000,13000,13000,16000,10000,11500,15000,8000,13500,8000,7500,8000,8000,12500,7000,10000,12000,14500,9000,12000
Coffee (Unprocessed),Kg,Retail,,,1400,,,,,1850,,,,,,,,,,,,
"",,Wholesale,,,1200,,,,,1700,,,,,,,,,,,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2000,2000,2500,2500,2000,2700,1800,2200,1800,1800,3000,2500,1500,2000,5000,,2200,2100,1400
"",,Wholesale,1800,1600,1800,2300,2000,1500,2400,1600,2000,1700,1600,2800,,1250,1800,,,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1500,1400,,1400,1300,1700,2000,,,1450,,,1800,,,,,
"",,Wholesale,,,1400,1200,,1200,1200,1500,1800,,,1350,,,1500,,,,,
"Dried Beans, Nambale",Kg,Retail,2400,,1500,1300,2000,2100,1800,1600,2200,1200,1700,1550,1600,1900,1800,2200,1600,1600,1700,1700
"",,Wholesale,2200,,1400,1050,1800,1900,1650,1400,2000,1000,1500,1450,,1700,1500,1800,1400,1500,1400,1500
"Dried Beans, Yellow",Kg,Retail,2400,1200,1700,1200,2200,2400,2000,1900,2500,,2000,1600,1700,1600,1900,2200,1500,2000,2000,1000
"",,Wholesale,2200,1100,1600,1000,2000,2100,1750,1750,2400,,1800,1500,1500,1450,1700,1800,1300,1800,1500,800
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500,6000,6000,5000,6600,5000,6000,5500,5800,7500,6000,6000,6000,8500,6000,8000,6500
"",,Wholesale,4500,6000,5500,4700,5800,5000,4500,5200,4800,5500,5300,5600,6000,5700,5700,5500,7000,5800,5500,6000
