CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,500,600,1000 1200 1300,1200,260,600,800,550,600,1500,,700,700,600,1100,836
"",,Wholesale,800,400,500,800 900 1200,800,240,500,700,450,500,,,600,650,400,1000,653
Beef,Kg,Retail,5000,5000,5000,5000 5000 5000,5000,6000,5000,4400,4000,5000,5000,5000,4000,4200,4000,3500,4728
"",,Wholesale,4500,4500,5000,4500 3800 4500,4500,5000,4500,4300,3700,5000,4500,5000,3500,4000,3500,3300,4311
"Cassava, Dry Fermented",Kg,Retail,,,,650,510,270,,,550,800,1500,1200,,700,,1000,798
"",,Wholesale,,,,600,410,250,,,450,780,1300,1000,,650,,800,693
"Cassava, Flour",Kg,Retail,800,1200,1300,1100 1000 900,1050,1100,1000,900,1000,900,2000,1000,1200,900,1000,1300,1092
"",,Wholesale,700,1000,1200,800 860 800,860,1000,900,750,750,760,1800,900,1000,850,700,1220,936
"Cassava, Fresh",Kg,Retail,480,400,1000,1100 400 620,520,230,500,1700,400,550,1200,1000,1800,1200,650,800,808
"",,Wholesale,400,300,1000,800 350 570,420,200,400,1500,380,450,1000,800,1500,1000,4480,700,903
"Cassava, Sun dried",Kg,Retail,,,550,1000 650,,740,,650,550,800,1300,1000,,750,500,1100,799
"",,Wholesale,,,450,860 600,,700,,600,450,780,1100,800,,700,400,1000,703
Cavendish (Bogoya),Kg,Retail,1300,600,1500,900 1200 1700,2400,750,1000,2000,550,600,2500,2000,2500,1400,500,1300,1372
"",,Wholesale,1150,500,1300,700 1000 1600,1600,730,800,1500,450,550,2000,1800,2300,1200,350,1000,1141
"Chicken, Exotic",bird,Retail,7000,,10000,8500 7000 8000,6000,7500,,6500,9000,,8500,5000,9000,8000,8000,12000,8000
"",,Wholesale,6000,,9500,7500 6000 6000,5000,7000,,5000,7500,,7500,4500,7000,7500,6000,10000,6800
"Chicken, Local",bird,Retail,10000,16000,18000,17000 15000,13500,14000,10000,7000,10000,14000,14500,9000,12000,17000,10000,11000,12824
"",,Wholesale,8500,14000,15000,15000 12000 13000,11500,13000,8000,5500,8500,12500,13000,7000,9000,16500,9000,10000,11167
Coffee (Unprocessed),Kg,Retail,,2100,1400,1000,1950,1100,,,,,,,,,,,1510
"",,Wholesale,,1700,1200,800,1740,1000,,,,,,,,,,,1288
Cotton (Unprocessed),Kg,Retail,,,950,,,800,,,,,,,,,,,875
"",,Wholesale,,,900,,,700,,,,,,,,,,,800
Cow Peas,Kg,Retail,2000,1900,2000,2600 1800 2800,1800,2000,1800,1700,1400,2500,,,,2100,2200,1400,2000
"",,Wholesale,1800,1800,1800,2400 1400 2500,1600,1800,1200,1500,1000,,,,,2000,2000,1200,1714
"Dried Beans, Agwede",Kg,Retail,,,1600,1600 1200 1100,1500,1500,,,1350,,,1300,,,,,1394
"",,Wholesale,,,1500,1300 1000 1000,1400,1300,,,1200,,,1200,,,,,1238
"Dried Beans, Nambale",Kg,Retail,1800,,2000,2700 1400 1000,1550,1500,1200,1200,1400,1500,1500,1300,1400,1300,1650,1500,1524
"",,Wholesale,1600,,1800,2200 1000 900,1450,1300,1000,1000,1250,1400,1400,1200,1300,1250,1550,1400,1353
"Dried Beans, Others",Kg,Retail,,1500,1800,1800 1500,1600,,,1200,,,1400,1300,,1300,,1400,1480
"",,Wholesale,,1400,1700,1000 1200,1500,,,1000,,,1200,1200,,1350,,1300,1285
"Dried Beans, Yellow",Kg,Retail,1800,1400,2000,1200 1500 1400,1500,1800,,1800,1450,1600,1600,1400,1500,1500,1800,1650,1582
"",,Wholesale,1600,1300,1800,900 1300 1250,1400,1700,,1500,1300,1500,1500,1300,1400,1400,1700,1500,1432
"Eggs, Exotic",tray,Retail,5000,6500,6000,5700 6000 5000,6000,6500,6000,5500,5900,7500,8500,6000,8000,5800,6000,5000,6161
"",,Wholesale,4500,6000,5500,4500 5200 4500,4900,6000,5500,5300,5700,6000,7000,5700,6500,5500,5500,4800,5478
"Eggs, Local",tray,Retail,8000,9000,6500,9000 9000 11000,8300,7000,7000,9000,7200,,7200,6500,9000,8800,10000,9000,8324
"",,Wholesale,7000,8400,6000,7500 7000 9000,6500,6500,6500,7500,7000,,5800,6000,7500,8500,9000,8000,7276
