"",Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,650,1000,800,1300,1500,270,600,800,500,650,1500,,700,900,500,800
"",,Wholesale,700,400,600,900,500,1200,1000,250,500,600,450,600,1300,,600,800,320,700
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,4500,6000,5000,4500,4500,5000,5000,5000,4000,4200,4000,4000
"",,Wholesale,4500,4500,4500,4500,3800,4500,4000,5000,4800,4300,4000,5000,4500,5000,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,650,510,270,,,550,750,1600,1200,,700,,1000
"",,Wholesale,,,,,,600,410,250,,,500,680,1400,1000,,680,,800
"Cassava, Flour",Kg,Retail,800,1200,1300,1300,1000,850,1050,1000,1000,800,1000,850,2500,900,1200,900,1000,1000
"",,Wholesale,700,1000,1000,1000,800,750,810,900,900,700,750,750,2300,800,1000,800,700,800
"Cassava, Fresh",Kg,Retail,450,400,1000,400,400,650,950,270,500,130,450,550,1400,1000,1000,1200,600,800
"",,Wholesale,380,300,1000,350,350,600,750,250,400,120,400,500,1200,800,900,1000,400,700
"Cassava, Sun dried",Kg,Retail,,,600,,1000,650,500,760,,650,600,750,1500,700,,750,500,1100
"",,Wholesale,,,500,,800,600,400,750,,600,550,700,1300,600,,700,400,1000
Cavendish (Bogoya),Kg,Retail,1250,600,1200,1000,800,1700,2500,850,1000,1500,600,650,2200,2000,2500,1500,500,1000
"",,Wholesale,1150,500,1000,800,600,1600,1700,820,800,1000,500,600,1800,1700,2000,1400,350,800
"Chicken, Exotic",bird,Retail,7000,,10000,8000,6000,8000,6500,7000,,7500,10000,,8500,4500,10000,8500,9000,12000
"",,Wholesale,6500,,8000,7000,5000,6000,5500,6500,,6000,8000,,6500,4000,8000,7800,7000,9000
"Chicken, Local",bird,Retail,11000,15000,17000,15000,,15000,14000,14000,8000,6500,11000,16000,13500,9000,13000,17000,11500,15000
"",,Wholesale,9000,13000,15000,14000,11500,13000,11000,13000,6000,5000,8500,14500,1200,8000,10000,16000,9000,14000
Coffee (Unprocessed),Kg,Retail,,2100,1400,,,,2020,1200,,3100,,,,,,2900,1000,
"",,Wholesale,,1700,1200,,,,1820,1100,,2900,,,,,,2800,800,
Cotton (Unprocessed),Kg,Retail,,,1800,,,,,,,,,,,,,,,
"",,Wholesale,,,1600,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1800,1600,2000,1800,2600,1800,1800,1800,1400,1500,2500,,1400,,2000,2200,1300
"",,Wholesale,1800,1700,1500,1900,1400,2300,1600,1600,1700,1200,1300,,,1300,,1800,2000,1100
"Dried Beans, Agwede",Kg,Retail,,,2000,,1200,1100,1350,1200,,,1400,,,1400,,,,
"",,Wholesale,,,1800,,1000,1000,1200,1100,,,1250,,,1300,,,,
