"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,Organic
Commodity Name,,Pricetype,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,GUL LRA,KAS,KLE MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,5000 5000,5000,5000,5000,4400,6000 5000,4500,4500,5000 5000,4200,5000 4200,4870.6,
"",,Wholesale,4500,4500,4500 3800,4500,4500,5000,3800,5000 4500,4300,4000,4500 4500,4000,4800 4000,4394.1,
Goat Meat,Kg,Retail,6000,6000,5500 6000,6000,7000,5000,5000,6000 6000,,5000,6000 6000,5000,6000 6000,5781.3,
"",,Wholesale,5000,5000,4500 4800,5500,4500,4800,4500,5000 5500,,4800,5500 5500,4800,5700 5800,5075,
"Honey, Processed",Kg,Retail,,7000,5500 6500,7500,,15000,8800,6000,,7000,,,8000 6000,7730,
"",,Wholesale,,6000,4500 6000,7000,,14000,7200,5000,,6500,,,7500 5500,6920,4000
"Honey, Unprocessed",Kg,Retail,,3500,7250,4500,,,5400,4000,,5000,,,6000 5000,5081.3,
"",,Wholesale,,3100,6500,4000,,,4600,3000,,4500,,,5000 4500,4400,
Milk,Ltrs,Retail,800,1100,1200 1000,1200,,1200,1000,800 550,800,800,1200 900,800,800 1000,946.88,
"",,Wholesale,500,1000,600 900,1000,,800,900,700 400,700,700,1000 700,750,700 800,759.38,
Pork,Kg,Retail,5000,6500,5000 5000,,,4000,,5000 4000,4400,4000,5000,4200,6000 6000,4930.8,
"",,Wholesale,4500,6000,4000 3500,,,3800,,4500 3600,3700,3800,4000,4000,5000 5500,4300,
Cereals,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1000,800,850 1000,1500,750,700,700,600 800,600,800,1150 800,800,1000 1100,879.41,
"",,Wholesale,800,700,750 700,1200,670,500,600,500 600,500,600,900 600,700,900 1000,718.82,
Maize Grain,Kg,Retail,1000,350,350 600,1000,300,300,260,180 250,240,350,300 500,200,600 950,454.71,
"",,Wholesale,800,300,250 400,800,220,220,210,170 300,220,250,265 400,150,500 820,369.12,
Millet Flour,Kg,Retail,1800,1300,1400 2000,1700,1800,,1400,1500 1800,1800,1500,1700 1500,1300,1500 2000,1625,
"",,Wholesale,1600,1200,1100 1600,1500,1500,,1200,1400 1700,1600,1350,1450 1000,1200,1300 1800,1406.3,
Millet Grain,Kg,Retail,1600,1100,1500 1200,1300,750,800,1100,1300 1200,1000,800,1000 600,1100,900 1000,1073.5,
"",,Wholesale,1500,1000,1300 1000,1100,680,683,1000,1200 1100,800,630,800 500,1000,700 700,923.12,
Rice (Kayiso),Kg,Retail,1800,2600,2100 1600,1700,1600,1200,1200,1800 2000,1500,1500,1500 1500,,2500,1740,
"",,Wholesale,1600,2400,1700 1400,1500,1300,1000,1000,1600 1900,1000,1300,1300 1400,,2300,1513.3,
Rice (Super),Kg,Retail,2000,2200,2100 1800,2500,1800,1350,1900,2200 2000,1500,1800,2550 1800,,2200 2400,2006.3,
"",,Wholesale,1800,2100,1700 1600,2200,1550,1200,1850,1800 1950,1300,1500,2300 1600,,2000 2100,1784.4,
Rice (Upland),Kg,Retail,1700,2000,2600 1600,2500,1450,1550,1700,1800 1800,,,1425 1700,,2800,1894.2,
"",,Wholesale,1500,1800,1950 1400,2200,1300,1300,1600,1600 1600,,,1225 1400,,2500,1644.2,
Simsim,Kg,Retail,4000,,3200 2800,5000,4000,2300,2900,2600 2500,2600,2500,2550 2600,3000,3700,3083.3,
"",,Wholesale,3500,,2800 2500,4000,3000,2150,2700,2500 2400,2400,2200,2325 2500,2800,3500,2751.7,
Sorghum Flour,Kg,Retail,2200,700,1000,1800,600,,900,700 1000,350,600,1450 1000,1300,900 950,1030,
"",,Wholesale,2000,600,700,1600,550,,570,600 900,300,500,1200 500,1250,800 900,864.67,
Sorghum Grain,Kg,Retail,2000,600,800,1500,350,250,650,400,250,230,200 300,800,450 950,648.67,
"",,Wholesale,1700,500,500,1400,320,220,470,300,200,200,150 200,750,300 900,540.67,
Fish,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,6500 7500,,8000,4500,5300,7000,5500,5000,5000,7500,8000,6316.7,
"",,Wholesale,5000,,5000 6500,,6500,4300,4300,6500,5000,4500,4000,7200,7500,5525,
"Fish, Tilapia",whole,Retail,4000,6500,3500 4500,6000,6000,4300,6600,9000 4000,7000,6000,5000 4000,4500,10000 7500,5788.2,
"",,Wholesale,3000,5500,2500 4000,5000,5000,4100,5200,8000 3000,6000,4500,4200 3500,4000,9000 7000,4911.8,
Fruits,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,600,900 1200,800,1200,1200,1200,220 500,,800,1450,850,800 800,901.33,
"",,Wholesale,800,550,500 900,700,1100,1000,1000,190 400,,700,1200,800,700 700,749.33,2000
Cavendish (Bogoya),Kg,Retail,1250,800,920 1200,750,1600,1600,2600,600 1200,2000,800,1700 2300,1600,2500 1600,1471.8,
"",,Wholesale,1100,700,600 900,650,1500,1250,2000,500 1000,1500,700,1400 1800,1500,2000 1200,1194.1,
Matooke,Kg,Retail,220,150,375 360,350,270,600,300,170 250,1000,800,1200 1000,440,800,517.81,
"",,Wholesale,160,100,150 270,300,220,500,250,140 200,800,700,1000 800,400,700,418.13,
Matooke (Bunch),Bunch,Retail,6000,6000,12500 8500,12000,8500,8500,11300,8500 5000,10000,20000,17750 9000,8000,6500 4300,9550,
"",,Wholesale,5000,4000,8500 6000,9000,6500,7000,9500,7000 4000,8000,17000,15250 5000,7400,5000 4000,7538.2,
Pineapple,whole,Retail,1000,1100,1000 1500,1500,1000,600,1500,2000 1200,1500,2700,1550 3000,2000,700 700,1444.1,
"",,Wholesale,700,900,500 1200,1300,700,500,1000,1800 1000,1000,2350,1350 1000,1800,600 600,1076.5,2500
"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,Organic
Commodity Name,,Pricetype,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,GUL LRA,KAS,KLE MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2800,2100 2600,3000,2400,2400,2550,2200 3200,2000,2200,2400 2500,2400,2500 2400,2497.1,
"",,Wholesale,2500,2600,2000 2200,2500,2050,2200,2400,2000 3000,1700,2000,2050 2300,2300,2400 2150,2255.9,
Soya Beans,Kg,Retail,2000,1300,1800 1500,1600,1200,900,1470,1600 1800,,1400,800,,2500 2300,1583.6,
"",,Wholesale,1800,1100,1700 1200,1400,900,850,1220,1500 1700,,1000,600,,2300 2000,1376.4,
Sunflower,Kg,Retail,,,,3000,,,,,,600,,,2900,2166.7,
"",,Wholesale,,,,2500,,,,,,450,,,2700,1883.3,
Poultry Products,,,,,,,,,,,,,,,,,
