"",,,,,CENTRAL,,,,,,EASTERN,,,NORTHERN,,WESTERN,,,Organic
CommodityName,Weight,Pricetype,KAL,KIB,MSK,NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS KLE,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,5000,5000,5000,5000,5000,4400,6000 5000,4500,4500,5000 5000,4500,4200 5000,4200,4850,
"",,Wholesale,4500,4500,4500,3800,4500,4500,5000,3800,5000 4500,4300,4100,5000 4500,4500,4000 4800,4000,4433.3,
Goat Meat,Kg,Retail,6000,6000,5500,6000,6000,7000,5000,4800,6000 6000,,5000,5500 6000,6000,5000 6000,6000,5752.9,
"",,Wholesale,5000,5000,4500,4800,5500,5500,5000,4300,5000 5500,,4700,5500 5000,6000,4800 5700,5800,5152.9,
"Honey, Processed",Kg,Retail,,7000,5500,6500,7500,,15000,8800,6000,,7000,5000,12000,8000,7300,7966.7,
"",,Wholesale,,6000,4500,6000,7000,,13000,7200,5000,,6500,4670,10000,7500,6800,7014.2,4000
"Honey, Unprocessed",Kg,Retail,,3500,,8000,4500,,,5400,4000,,5000,,,6000,5000,5175,
"",,Wholesale,,3100,,7000,4000,,,4600,3000,,4500,,,5000,4500,4462.5,
Milk,Ltrs,Retail,1200,1100,1200,1200,1200,,1200,1000,800 550,800,800,1000 1000,800,800 800,1000,967.65,
"",,Wholesale,800,1000,600,1000,1000,,800,900,700 400,700,700,800,500,750 700,800,759.38,
Pork,Kg,Retail,5000,6500,5000,5000,,,4000,,6000 4500,4400,4000,6000 5000,4000,4200 6000,6000,5040,
"",,Wholesale,4500,6000,4000,3500,,,3800,,5000 4000,3700,3700,6000 4000,3500,4000 5000,5500,4413.3,
Cereals,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1000,,800 850,1200,1500,800,700,700,700 800,500,800,1200 800,1200,800 1000,1000,908.33,
"",,Wholesale,800,,700 750,800,1200,600,600,500,600 600,400,600,900 600,1000,700 900,800,725,
Maize Grain,Kg,Retail,1000,,400 350,600,1000,300,300,220,220 250,200,350,800 250,700,210 450,950,475,
"",,Wholesale,800,,350 250,400,800,240,270,170,200 200,180,250,600 180,300,190 400,820,366.67,
Millet Flour,Kg,Retail,2000,1300,1400,2000,1700,1800,,1400,1500 1600,1800,1500,2000 1500,2500,1300 1800,1500,1682.4,
"",,Wholesale,1800,1200,1100,1600,1500,1500,,1200,1400 1400,1600,1300,1500 1000,1700,1200 1600,1300,1405.9,
Millet Grain,Kg,Retail,2000,1100,1500,1200,1300,700,900,1100,1100 800,1000,700,1000 600,1500,1100 1200,1000,1100,
"",,Wholesale,1700,1000,1300,1000,1100,620,700,1000,1000 600,800,600,800 500,1200,1000 100,700,873.33,
Rice (Kayiso),Kg,Retail,1800,2600,2100,1600,,1600,1250,1100,1800 1600,1500,1500,2000 1500,2300,,2500,1783.3,
"",,Wholesale,1600,2400,1700,1400,,1300,1100,980,1600 1400,1000,1300,1800 1250,2000,,2300,1542,
Rice (Super),Kg,Retail,2000,2200,2100,1800,2500,1800,1300,1800,2200 2000,1500,1800,2500 1800,2500,2000,2800,2035.3,
"",,Wholesale,1800,2100,1700,1600,2200,1550,1150,1550,1800 1800,1300,1500,1800 1270,2100,1800,2500,1736.5,
Rice (Upland),Kg,Retail,1700,2000,2600,1600,2500,1450,1200,1700,1700 1300,,,2000 1700,2000,,2800,1875,
"",,Wholesale,1500,1800,1950,1400,2200,1350,1100,1600,1500 1200,,,1800 1150,1600,,2500,1617.9,
Simsim,Kg,Retail,4000,,3200,2800,5000,4000,2400,2900,2500 2500,3000,2500,2100 2800,4000,3000,3700,3150,
"",,Wholesale,3500,,2900,2500,4000,3000,2200,2700,2300 2400,2800,2100,1800 2700,3000,2800,3500,2762.5,
Sorghum Flour,Kg,Retail,2200,,700,1000,1800,600,,900,700 1000,400,600,1000,,1300 900,950,1003.6,
"",,Wholesale,2000,,600,700,1600,500,,570,500 900,350,450,800,,1250 800,900,851.43,
Sorghum Grain,Kg,Retail,2000,,750,800,1500,350,300,650,300,250,230,600 300,1000,800 450,950,701.88,
"",,Wholesale,180,,650,500,1400,300,260,470,200,200,200,500 150,700,750 300,900,478.75,
Fish,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,,,6500,7500,,8000,4800,5300,7000,5000,5000,5000 5500,,7500,9000,6341.7,
"",,Wholesale,,,5000,6500,,6500,4400,4300,6000,3500,4500,5000,,7200,800,4881.8,
"Fish, Tilapia",whole,Retail,,6500,3500,4500,7000,6000,4600,6600,9000 4000,7000,6000,6500 8000,3500,4500,8000,5950,
"",,Wholesale,,5500,2500,4000,6000,5000,4300,5200,7500 3000,6000,4600,7000,3000,4000,7500,5006.7,
Fruits,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,,600 900,1200,600,1300,1200,1200,200 600,,800,600 1800,500,900,1200,912.5,
"",,Wholesale,800,,550 600,900,550,1200,1000,1000,150 500,,700,500 1500,300,850,1000,756.25,2000
Cavendish (Bogoya),Kg,Retail,1300,,800 920,1200,750,1600,1600,2700,700 1200,2000,800,650 3000,1500,1600 2500,2000,1490,
"",,Wholesale,1150,,700 600,1000,650,1500,1300,2200,600 100,1500,700,550 2000,1000,1500 2000,1500,1141.7,
Matooke,Kg,Retail,250,,175 375,360,900,270,600,300,200 250,1000,800,350 1000,800,440,800,521.76,
"",,Wholesale,190,,150 150,270,700,240,500,250,160 200,800,700,300 800,500,400,700,412.35,
Matooke (Bunch),Bunch,Retail,7000,7000,11500,8500,14000,8500,12000,11300,10000 5000,10000,20000,10000 10000,3000,9000 6500,4300,9311.1,
"",,Wholesale,5000,6000,7500,6000,12000,6500,9500,9500,8000 4000,8000,17500,9000 8000,2500,8500 5000,4000,7583.3,
Pineapple,whole,Retail,1000,,600 1000,1500,2000,1000,600,1500,2000 1200,1500,2700,3000,4000,2000 700,1000,1605.9,
"",,Wholesale,700,,500 500,1200,1500,700,500,1000,1800 1000,1000,2350,1000,3500,1800 600,800,1202.9,2500
"",,,,,CENTRAL,,,,,,EASTERN,,,NORTHERN,,WESTERN,,,Organic
CommodityName,Weight,Pricetype,KAL,KIB,MSK,NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS KLE,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2100,2600,3000,2450,2400,2300,2500 2800,2200,2200,3000 2500,2500,2400 2500,2700,2525,
"",,Wholesale,2500,2400,2000,2200,2500,2150,2200,2200,2300 2500,1950,2000,2500 1800,2200,2300 2400,2500,2255.6,
Soya Beans,Kg,Retail,1500,1400,1900,1500,1600,1200,1200,1200,1600 1800,,1400,1500 900,1500,2500,2300,1562.5,
"",,Wholesale,1300,1300,1800,1200,1400,900,39,1000,1500 1700,,1000,850,1000,2300,2000,1285.9,
Sunflower,Kg,Retail,,,,,3000,,,,,,600,,,,2900,2166.7,
"",,Wholesale,,,,,2500,,,,,,450,,,,2700,1883.3,
Poultry Products,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,8500,,10000,6000,9000,8000,7000,5500,7000,7000,7500,8000 9000,10000,8500 10000,11500,8281.3,
"",,Wholesale,7500,,8500,5000,7000,6000,6500,4500,6000,6000,5500,8000,8000,8000 8000,11000,7033.3,
"Chicken, Local",bird,Retail,7500,13000,15500,,12000,15000,9000,12000,13000 10000,8000,11000,11000 13000,15000,18000 13000,14000,12353,
"",,Wholesale,7000,11000,10000,11500,15000,13000,7000,8800,10000 8000,6500,8000,10000 10000,13000,17500 11000,13000,10572,15000
"Eggs, Exotic",tray,Retail,,6000,5500,6000,5500,5300,8400,5400,5500 6000,,5800,7500 6000,7000,5500 6000,7300,6168.8,
"",,Wholesale,,5500,4500,5000,5000,5000,6100,5000,5000 5500,,5600,6000 5800,5000,5200 5500,6800,5406.3,
"Eggs, Local",tray,Retail,,7500,10000,12000,14000,13000,9000,8200,11000 7000,9000,9000,7500 7000,9000,8800 9000,7500,9323.5,
"",,Wholesale,,6000,9500,10000,12000,10000,7500,6200,10000 6500,7500,8500,6200,7000,8500 8500,6800,8168.8,
Turkey,bird,Retail,,,,42000,30000,36000,8000,32500,42000,,25000,,,,,30786,
"",,Wholesale,,,,35000,25000,25000,8000,29500,40000,,24000,,,,,26643,
Pulses,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,2000,2800,2000,3500,3500,,1850,2200 1800,1500,1300,2500 1300,2500,2300,1400,2228.1,
"",,Wholesale,3000,1900,2400,1800,3000,3000,,1700,2000 1700,1200,1000,1600 1200,2200,2200,1200,1943.8,
"Dried Beans, Agwede",Kg,Retail,,,1400,1400,,1200,,1250,1200,,,1300,,,,1291.7,
"",,Wholesale,,,1200,1200,,1100,,1100,1100,,,1200,,,,1150,
"Dried Beans, Nambale",Kg,Retail,,,1200,1800,2200,1200,1600,1350,1500 1500,1500,1500,1600 1400,1800,2000 1300,1700,1571.9,
"",,Wholesale,,,1100,1500,2000,1100,1348,1250,1400 1300,1400,1300,1450 1300,1600,1900 1200,1600,1421.8,
"Dried Beans, Yellow",Kg,Retail,,1300,1000,2400,2400,2200,1750,1450,1800,,1600,1700 1500,2500,2200 1200,1700,1780,
"",,Wholesale,,1200,800,2000,2000,1900,1151,1300,1600,,1350,1600 1400,2100,2100 1100,1600,1546.7,
Root Crops,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,300,,250,120,,330,400,,450,1000,407.14,
"",,Wholesale,,,,,,250,,210,100,,200,300,,430,800,327.14,
"Cassava, Flour",Kg,Retail,800,1000,1200,700,900,600,500,650,500 1000,500,600,500 1000,800,750 1500,1000,805.56,
"",,Wholesale,500,,800 700,450,800,480,450,400,400 900,400,450,380 800,500,720 1000,800,607.22,
"Cassava, Fresh",Kg,Retail,,,550 1000,355,450,350,600,700,170 500,120,250,400 600,1000,900 1500,1000,614.41,
"",,Wholesale,,,450 500,250,400,300,500,500,150 400,110,200,300 550,500,800 1000,800,453.53,
"Cassava, Sun dried",Kg,Retail,,,,700,,300,300,250,150,120,350,330 650,,430,1100,425.45,
"",,Wholesale,,,,450,,250,260,200,130,110,220,300 600,,400,1000,356.36,
Irish Potatoes,Kg,Retail,650,,541 1200,800,1500,800,500,800,1000 500,600,700,1000 1000,1000,800 570,1700,870.06,
"",,Wholesale,560,,500 700,720,1200,700,450,680,900 400,580,600,800 500,500,700 550,1500,696.67,1500
Sweet Potatoes,Kg,Retail,,,166 1200,350,400,300,600,800,160 500,120,300,550 700,1000,900 900,1400,608.59,
"",,Wholesale,,,150 600,225,350,250,500,600,140 400,100,250,500 650,500,800 800,1200,471.47,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,,900,4700,,,,4000,,2620,
"",,Wholesale,,1900,800,,,,,,800,4500,,,,3900,,2380,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,,3500,,,,,,,,,3200,3350,
"",,Wholesale,,,,,,2700,,,,,,,,,3000,2850,
