"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,4500,5000,5000 5000,600,5000,4500,6000 5000,4500,4500,5000 5000,4500,4400,5000 4000,4200,4539,
"",,Wholesale,4500,4500,4500 3800,5000,5000,4000,5000 4500,4300,4100,5000 4500,4500,4300,4800 3700,4000,4444,
Goat Meat,Kg,Retail,6000,6000,6500 6000,6500,5000,4800,6000 6000,,5000,5500 6000,6000,6000,6000 6000,6000,5841,
"",,Wholesale,5000,5000,5000 4800,5500,4800,4300,5000 5500,,4800,5500 5000,6000,5800,5800 4000,5500,5135,
"Honey, Processed",Kg,Retail,,7000,7500 6500,7500,16000,8800,6000,,7000,5000,12000,,8000 10000,6000,8254,
"",,Wholesale,,6000,5500 6000,7000,,7200,5000,,6500,4670,10000,,7000 8000,5500,6531,4000
"Honey, Unprocessed",Kg,Retail,,3500,8000,4500,,5400,4000,,5000,,,,7000 8000,5000,5600,
"",,Wholesale,,3100,7000,4000,,4600,3000,,4500,,,,6000 7000,4500,4856,
Milk,Ltrs,Retail,1200,1100,1200 1200,1200,1200,1000,800 550,800,800,1000 1000,800,800,800 1000,900,964,
"",,Wholesale,800,1000,600 1000,1000,,900,700 400,700,700,1000 900,500,750,700 600,700,762,
Pork,Kg,Retail,5000,5000,5000 5000,,4000,,5000 4500,4400,4000,6000,4000,4800,6000 4000,6000,4847,
"",,Wholesale,4500,4500,4000 3500,,,,4000 4000,3700,3800,6000,3500,4500,5000 3500,5500,4286,
Cereals,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1000,800,850 1200,1500,800,750,700 800,500,1000,1200 800,1200,800,1000 1200,1000,950,
"",,Wholesale,800,700,750 800,1200,,530,600 600,450,750,900 500,1000,750,900 1000,820,768,
Maize Grain,Kg,Retail,1000,400,350 600,1000,300,280,240 400,250,350,800 250,700,220,400 240,950,485,
"",,Wholesale,800,350,250 400,800,,250,220 300,230,250,600 210,300,200,350 200,800,383,
Millet Flour,Kg,Retail,1800,1300,1400 2000,1700,,1300,1500 1600,1800,1500,2000,3000,1600,1600 1700,1800,1725,
"",,Wholesale,1600,1200,1100 1600,1500,,1000,1400 1400,1600,1300,1500,2500,1500,1500 1500,1500,1481,
Millet Grain,Kg,Retail,1600,1100,1500 1200,1300,890,900,850 800,1000,700,1000 700,1500,1300,700 1300,1000,1074,
"",,Wholesale,1500,1000,1400 1000,1100,,800,800 600,900,620,700 600,1200,1200,600 1200,700,936,
Rice (Kayiso),Kg,Retail,1600,2600,2100 1600,,1200,1300,1400 1600,1200,1400,2000 1400,2300,,2500,2500,1780,
"",,Wholesale,1400,2400,1700 1400,,,1100,1200 1400,1100,1300,1800 1200,2000,,2300,2300,1614,
Rice (Super),Kg,Retail,2000,2200,2100 1800,2200,1500,1800,1800 2000,1500,1800,2500 1500,2500,,2000 2600,2800,2035,
"",,Wholesale,1800,2100,1700 1600,2000,,1590,1700 1800,1300,1500,1800 1200,2100,,1800 2300,2000,1768,
Rice (Upland),Kg,Retail,1700,2000,2600 1600,2500,1300,1700,1400 1300,,,2000 1400,2000,,2100,2800,1886,
"",,Wholesale,1500,1800,1950 1400,2200,1100,1600,1200 1200,,,1800 1200,1600,,1800,2500,1632,
Simsim,Kg,Retail,4000,,3200 2800,5000,2500,2850,2500 2500,3000,2800,2600 3000,4000,2800,2700,3700,3122,
"",,Wholesale,3500,,2900 2500,4000,,2650,2200 2400,2600,2400,2400 2800,3000,2700,2300,3500,2790,
Sorghum Flour,Kg,Retail,2200,700,1000,1800,,900,600 1000,500,600,1000,,1400,900,950,1042,
"",,Wholesale,2000,600,700,1600,,570,500 900,400,450,800,,1300,800,900,886,
Sorghum Grain,Kg,Retail,2000,750,800,1500,300,650,400,350,240,600 200,1000,1100,450 800,950,756,
"",,Wholesale,1600,650,500,1400,,470,300,250,220,500 140,700,1000,300 700,900,642,
Fish,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,,,5500 7500,,4900,5300,6000,,6000,5000 5500,,,,,5713,
"",,Wholesale,,,4500 6500,,4600,4300,5000,,4600,5000,,,,,4929,
"Fish, Tilapia",whole,Retail,,6500,3500 4500,7000,4700,6600,8000 2800,7000,6000,6000 8000,7000,6800,5000,7800,6075,
"",,Wholesale,,5500,2000 4000,6000,4400,5200,700 2500,6000,4600,7000,5500,6500,4000,7300,4747,
Fruits,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,600,1000 1200,900,1100,1800,180 600,,800,800 2100,600,1000,800 500,1200,952,
"",,Wholesale,800,550,600 900,800,900,1200,160 500,,750,700 1600,400,900,700 350,1000,754,2000
Cavendish (Bogoya),Kg,Retail,1300,800,1200 1200,1300,1600,2800,700 1200,,800,650 3500,1500,1500,2500 550,2500,1506,
"",,Wholesale,1150,700,700 1000,1000,1300,2300,600 1000,,700,550 3000,1000,1450,2000 430,2000,1228,
Matooke,Kg,Retail,240,200,375 380,900,700,360,200 250,1000,900,350 1000,1000,400,400,950,565,
"",,Wholesale,190,175,150 290,700,,310,180 200,800,750,300 800,700,380,300,800,439,
Matooke (Bunch),Bunch,Retail,7000,8000,12500 8500,12000,9000,12000,10000 5000,8500,20000,10000 10500,3000,8500,6500 7000,6200,9122,
"",,Wholesale,5000,7000,10500 6500,9000,,10000,9000 4000,7000,18500,9000 10000,2500,8000,5000 5000,5500,7735,
Pineapple,whole,Retail,800,600,1500 1000,2000,900,1700,2000 1200,1500,2700,2900,1500,1800,600 1600,1400,1512,
"",,Wholesale,500,500,700 700,1500,,1200,1800 1000,1000,2300,2600,1000,1700,500 900,1200,1194,2500
"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2100 2600,3500,2400,2500,2500 2800,2400,2200,3000 2500,2500,2400,2500 3100,2700,2611,
"",,Wholesale,2500,2400,2000 2200,3000,,2400,2200 2500,2100,2000,2800 1800,2200,2200,2400 2800,2500,2353,
Soya Beans,Kg,Retail,1500,1400,1900 1500,1600,1300,1200,1500 1800,,1000,1500 1000,1500,,2500 1600,2300,1569,
"",,Wholesale,1300,1300,1800 1200,1400,,1000,1300 1700,,850,800,1000,,2300 1300,2000,1375,
Sunflower,Kg,Retail,,,,3000,,,,,600,900,,,,2900,1850,
"",,Wholesale,,,,2500,,,,,450,800,,,,2700,1613,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,6000,,9500 6500,8500,7500,6700,7000,8500,8000,8000 10000,10000,8500,10000 10000,10000,8419,
"",,Wholesale,5500,,8000 5500,7000,6500,5400,6000,6500,6500,9000,8000,8300,8000 7500,9000,7113,
"Chicken, Local",bird,Retail,12000,12000,15500,1600,12000,14000,15000 10000,8500,11000,15000 14000,15000,17000,13000 11000,14000,12388,
"",,Wholesale,10000,10000,10000 12000,13500,8000,11000,14000 8000,6500,8500,14000 12500,13000,16000,10000 9000,12500,11028,15000
"Eggs, Exotic",tray,Retail,,6300,5500 6000,5500,7500,5600,6000 6000,,5800,7500 7500,6500,5800,6000 6200,7300,6313,
"",,Wholesale,,6000,4500 5000,5000,6300,5200,5000 5500,,5700,6300 6200,5500,5500,5500 5000,6800,5563,
"Eggs, Local",tray,Retail,,9000,10000 12000,14000,9000,8200,10000 7000,9000,9000,7500 10500,9000,9000,10000 12000,9000,9659,
"",,Wholesale,,7500,9500 10000,12000,7500,6200,9000 6500,7500,8500,8000,7000,8800,9000 9000,8000,8375,
