"",,,,Central,,Eastern,,,Northern,Southwestern,Western,,
Commodity,Unit,,Kalerwe Kiboga,Luwero Masaka Nakawa Owino,Busia,Jinja Mbale,Soroti,Gulu,Lira Arua,Kabale Kisoro,Fort PortHoima Kasese,Avg,Organic prices
Animal Products,,,,,,,,,,,,,
Beef,1Kg wholesal,,4500 3800,4500 4500 4500 5000,5800,6000 5000,4800,5500,4500 5500,4900 5000,5000 3500 4500,4822.2,
"",Retail,,5000 5000,5000 5500 5500 6000,6000,7000 5000,5000,6000,5000 5500,5000 6000,5000 5000 5000,5416.7,
Goat Meat,1Kg wholesal,,6000 4500,5000 5000 5500 6500,5800,6500 5500,5800,5500,5000 6500,5800 6000,6000 5000 5500,5633.3,
"",Retail,,7000 6500,8000 6500 7000 7500,5000,7000 6000,6000,6000,6000 6500,6000 7000,6000 6000 6000,6444.4,
Milk,Ltrs wholesal,,800 600,800 500 900 800,800,700 900,900,800,800 1000,500 700,500 1000 1000,778,
"",Retail,,1000 800,1200 100 1000 900,1200,800 1000,1000,1000,1000 1000,600 800,900 1200 1000,917,
Pork,1Kg wholesal,,4600 3800,5000 4500 3500,4400,5000 3800,3800,5000,6000,5800 4500,3500 4000 6000,4575,
"",Retail,,5000 5000,6000 5500 5000,4600,6000 4200,4000,6000,6000,6000 5000,4000 5000 6000,5206.3,
Processed Honey,1Kg wholesale,,8000,7500 7000,,5000,6800,,4650,7500 6000,12500,7216.7,
"",Retail,,10000,9500 8000,,6000,7000,,6000,8000 7000,14000,8388.9,
Unprocessed Honey,1Kg wholesale,,7000,6000,,4000,4900,,,5500 3100,,5083.3,
"",Retail,,8000,6500,,5000,5400,,,6000 3500,,5733.3,
Cereals,,,,,,,,,,,,,
Kayiso Rice,1Kg wholesal,,1200 2300,1400 2000 1600 1450,1200,1600 1400,1350,1400,1400,2000,2000 1400 900,1537.5,
"",Retail,,1600 2500,1600 2200 1800 1600,1400,1700 1600,1500,1800,2000,2200,2300 1600 1100,1781.3,
Maize Flour,1Kg wholesal,,400 1000,1200 850 900 900,800,1000 800,650,1000,600 1000,900 1000,500 700 900,839,
"",Retail,,700 1200,1500 950 1200 1100,900,1100 900,1000,1300,900 1200,1000 1100,800 800 1000,1036.1,
Maize Grain,1Kg wholesal,,300 300,800 430 500 500,448,500 800,350,300,480 300,500,500 450 400,462,
"",Retail,,500 400,1200 470 600 700,450,530 900,400,600,500 500,600,800 500 400,591.18,
Millet Flour,1Kg wholesal,,1800 1500,1650 1300 1600 1500,,1500,1300,1500,1500,1400 1000,3000 800 1300,1510,
"",Retail,,2000 1700,1300 1500 2000 1800,,1600,1500,2000,1800,1500 1100,3500 1400 1400,1740,
Millet Grain,1Kg wholesal,,1400 1200,1300 1500 1000 730,850,1100 900,780,1100,600,800 900,1200 600 700,980,
"",Retail,,1600 1300,1600 1700 1200 800,860,1200 1000,800,1300,800,900 1000,1500 800 750,1124.1,
Simsim,1Kg wholesal,,3000,3000 3000 3000 2500,2565,2400 2500,2700,2500,2400 2250,,3000 2500,2665.4,
"",Retail,,3500,3600 3300 3500 3000,2560,2800 3000,3000,2800,2500 2500,,4000 3000,3075.7,
Sorghum Flour,1Kg wholesal,,1400,700 500,,700 1050,550,1200,600,900 1000,1000 2000,967,
"",Retail,,1800,1000 600,,800 1200,700,1500,1000,1000 1100,1500 2200,1200,
Sorghum Grain,1Kg wholesal,,1200 700,500 320,484,600 350,350,300,330 300,700 900,1350,599,
"",Retail,,1600 800,800 350,490,700 400,370,450,400 500,800 1000,1500,726,
Super Rice,1Kg wholesal,,1600 2300,1700 1700 1900 1600,1500,1800 1800,1300,1900,1300 1500,2000 1800,2300 2000 1750,1763.9,
"",Retail,,2000 2500,2000 2100 2100 1800,1800,2000 2000,1500,2400,1500 2200,2200 2000,2500 2500 1800,2050,
Upland Rice,wholesal,,1600 1700,1950 1600 1500,1800,1600,,1300,1250 1400,1900 1600,1600 1500 1000,1553.3,
"",Retail,,2000 1900,2600 1800 1700,2000,1700,,1800,1400 2000,2000 1800,1800 1800,1878.6,
Fish,,,,,,,,,,,,,
Tilapia,whole wholesal,,3000 4000,7000 3500 4000 6000,5600,8000,4000,6000,7400,5000 6500,2500 3000 7050,5159.4,
"",Retail,,3500 5000,9000 8500 4500 7000,6000,9000,4500,6800,8200 10000,6000 7500,3000 4500 8000,6529.4,
Nile Perch,whole wholesal,,5500 4500,14000 5500 6500 7000,4000,7000,4500,5000,4500,8000,3500 7000,6178.6,
"",Retail,,6500 5500,17000 6500 8000 9000,4200,8000,5000,6500,6000 6500,10000,4500 7500,7380,
Fruits,,,,,,,,,,,,,
Apple Bananas,1Kg wholesal,,1000 300,500 600 700 1200,1200,180 800,900,1000,3300 1000,500 550,600 1500,931.18,
"",Retail,,1500 350,700 1000 1000 1300,1300,200 1000,1000,1000,3700 1200,600 600,800 1600,1108.8,
Cavendish (Bogoya),1Kg wholesal,,1500 350,2000 500 800 1600,1300,600 1000,900,1400,3300 800,2300 700,1000 1400,1261.8,
"",Retail,,2000 400,2500 900 1000 1700,1600,700 1500,1000,2000,3700 1000,2500 800,1500 1600,1552.9,
Matooke,bunch wholesal,,9000 8000,15000 15000 12000 13000,25000,11000 10000,20000,14000,12000 9000,16000 12000,6500 6500 15000,12722,
"",Retail,,10000 15000,18000 16000 14000 15000,27000,13000 12000,23000,18000,13500 10000,2000 13000,8000 12000 18000,14306,
Matooke (kg),1Kg wholesal,,300,1200 150 545 320,600,220 800,900,1000,300,300,1000 1000 1000,642,
"",Retail,,500,1500 375 635 350,700,260 1000,1000,1200,350,325,1500 1200 1000,793,
"",,,,Central,,Eastern,,,Northern,,Southwestern,Western,,,
Commodity,Unit,,Kalerwe Kiboga,Luwero Masaka Nakawa Owino Busia,Jinja,Mbale,Soroti,Gulu,Lira,Arua,Kabale Kisoro,Fort PortHoima,Kasese,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,
Groundnuts,1Kg,wholesal,2500 2800,2200 2000 2400 2100 2707,2200,2300,2300,2000,2400,2500,2800,2500 2200,2900,2400.4,
"",,Retail,3000 3200,2300 2200 3000 2700 2750,2400,2500,2500,2500,2800,3000,3000,3000 2600,3000,2732.4,
Soya Beans,1Kg,wholesal,1200 1300,1700 2000 1200 1050 1260,1600,1100,950,,1150,1500,900,1000 2500,,1360.7,
"",,Retail,1600 1600,2200 2100 1500 1150 1300,1700,1200,1200,,1200,2000,1000,1500 3000,,1616.7,
Sunflower,1Kg,wholesale,,800 750,,,500,,1000,,,,,763,
"",,Retail,,1000 850,,,600,,1100,,,,,888,
Pulses,,,,,,,,,,,,,,,
Cow Peas,1Kg,wholesal,2700 2000,2400 1200 1800 3500,2000,2400,1000,,1800,1200,1400,2700 2500,4000,2173.3,
"",,Retail,3000 2400,3000 1400 2000 4500,2100,2500,1200,,2000,2000,1500,3000 4000,4000,2573.3,
Yellow Beans,1Kg,wholesal,2000 1200,1800 850 1800 1700 1490,1800,1200,1500,1700,1600,1500,800,1800 1600,1500,1520,
"",,Retail,2200 1400,2400 1050 2000 1900 1493,2000,2000,1700,2000,1900,1700,900,2000 1900,1600,1773.1,
Agwedde Beans,1Kg,wholesale,1200,1500 1100 1200 1100,1100,,,1000,1400,,1100,,,1188.9,
"",,Retail,1400,1800 1200 1400 1200,1200,,,1300,1500,,1200,,,1355.6,
Nambale Beans,1Kg,wholesal,1800 1200,1700 1000 1400 1000 1180,1600,1450,1300,1800,1400,,1200,1600 1800,1500,1433.1,
"",,Retail,2000 1400,1850 1200 1700 1200 1182,1700,1500,1500,2000,1500,1500,1300,1800 2000,1600,1584.2,
Poultry Products,,,,,,,,,,,,,,,
Exotic Chicken,bird,wholesal,7000 7500,7000 7500 7000 6000 7000,7000,6000,8000,7500,11000,,9000,9000 7000,9000,7656.3,
"",,Retail,7500 9000,10000 9500 8000 8000 7500,8000,7000,10000,10000,12000,9000,10000,11000 9000,10000,9147.1,
Local Chicken,bird,wholesal,10000 9000,15000 9500 11500 13000 14000,13000,8000,11000,13500,15000,10000,12000 14000,15000 16000,16000,12528,
"",,Retail,12000 12000,17000 15000 15000 15000,15000,10000,13000,16800,17000,12000,13000 15000,18000 23000,20000,15224,
Local Eggs,tray,wholesal,10000 9000,5500 7500 8000 10000 7500,10000,9000,10000,5000,8000,,8500 6000,7500 7000,9000,8088.2,
"",,Retail,15000 12000,6500 9100 12000 13000 9000,11000,12000,11000,6500,10500,,9000 7500,9000 8500,9500,10065,
Exotic Eggs,tray,wholesal,5500 5800,4200 5700 5000 6300,7500,6300,6400,6500,6500,6400,6800 5800,6500 6000,5600,6047.1,
"",,Retail,6000 6500,5500 7500 5500 7500,8500,6500,6500,8500,7500,7500,7000 6500,7500 7000,6000,6911.8,
Turkey,bird,wholesale,,45000 35000 28000 8000,35000,,36000,,,,,,,31167,
"",,Retail,,50000 42000 35000 8000,37000,,40000,,,,,,,35333,
Root Crops,,,,,,,,,,,,,,,
Cassava Flour,1Kg,wholesal,500 550,1400 800 450 400 500,,400,500,1800,500,380,800 800,400 800,300,664,
"",,Retail,700 900,1600 1300 800 500 600,,500,600,2000,700,500,900 1000,800 1200,350,879,
Dry Fermented Cassava,1Kg,wholesale,,400 300,170,,200,1300,,320,,,200,413,
"",,Retail,,650 350,180,,250,1700,,350,,,220,529,
Fresh Cassava,1Kg,wholesal,300 300,1200 600 300 350 600,160,120,200,400,270,300,900 400,800,1000,482,
"",,Retail,500 350,1500 1200 400 400 700,180,130,250,600,320,350,1000 500,1000,1000,611,
Irish Potatoes,1Kg,wholesal,500 700,1500 1200 500 400 500,700,600,800,1000,1200,1000,400 291,1000 1000,1000,794,
"",,Retail,1000 900,1800 1700 600 500 600,800,700,1000,1300,1300,1200,450 333,1500 2000,1000,1037.9,
Orange Fleshed S.Potato,1Kg,wholesale,,350 400 600,,310,,600,320,,170,,1000,469,
"",,Retail,,450 500 700,,320,,800,350,,190,,1000,539,
Sun Dried Cassava,1Kg,wholesale,350,1000 450 300 270,180,250,210,1500,250,320,,,,462,
"",,Retail,400,1500 800 350 300,200,300,260,1800,300,350,,,,596,
White fleshed s.Potato,1Kg,wholesal,300 400,2500 700 350 300 500,220,,200,400,320,250,1300 170,500 1000,900,606,
"",,Retail,500 500,3000 1000 450 350 600,250,,250,600,350,300,1500 190,100 1500,1000,732,
Traditional Cash Crops,,,,,,,,,,,,,,,
Coffee (Arabica),,wholesale,1300,750,800,6200,,,,,1900,,6500,2908.3,
"",,Retail,1500,950,1000,6400,,,,,2500,,7000,3225,
Coffee (Robusta),1Kg,wholesale,,1700,,,,,,,,,3200,2450,
"",,Retail,,1800,,,,,,4000,,,3300,3033.3,
Unprocessed Cotton,1Kg,wholesale,,2400,,,,,,,,,,2400,
"",,Retail,,2800,,,,,,,,,,2800,
Unprocessed Tea,1Kg,wholesal,4000,350,,,,,,,,,,2175,
"",,Retail,5000,2500 400,,,,,,,,,,2633.3,
Unprocessed Vanilla,1Kg,wholesale,,2800,,,,,,,,,4000,3400,
"",,Retail,,3500,,,,,,,,,5000,4250,
"",This document is not for sale. The comments and illustrations above represent analysis made by FIT Uganda’s MIS division – Infotrade and are subject to change based on market or any other natural causes. All,,,,,,,,,,,,,,
