"","date","year","week","CHIRADZULU","MISUKU","NTCHISI","NSUNDWE","BALAKA","RUMPHI","DWANGWA","CHIKWAWA","LIMBE","LUNZU","NCHALO","NGABU","CHITIPA","NTHALIRE","BEMBEKE TURN OFF","CHIMBIYA","MTAKATAKA","THETE","BOWE","DOWA","MADISI","MPONELA","NAMBUMA","CHILUMBA","KARONGA","CHAMAMA","CHATOLOMA","KASUNGU","NKHAMENYA","SANTHE","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","LIWONDE","NAMWERA","NTAJA","MANGOCHI","MONKEY BAY","MCHINJI","MKANDA","MULOZA","MWANZA","EMBANGWENI","JENDA","MZIMBA","MZUZU","NENO","CHINTHECHE","MPAMBA","NKHATABAY","MWANSAMBO","NKHOTAKOTA","BANGULA","NSANJE","LIZULU","NTCHEU","NTONDA","SHARPEVALEY","TSANGANO TURN OFF","MALOMO","PHALOMBE","HEWE","SALIMA","BVUMBWE","LUCHENZA","JALI","MAYAKA","THONDWE","ZOMBA","MIGOWI"
"1",2007-12-30,2007,52,NA,28.74,0,NA,NA,34.86,33,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,30,0,0,NA,0,32,33.77,NA,36.03,NA,35.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.2,24,38.09,NA,38,0,30,37.94,30,NA,NA,NA,NA,NA,NA,NA,30.58,NA,26.8,27.78,NA,NA,NA,NA,NA,NA,NA
"2",2008-01-06,2008,1,30,20,42.86,24.99,32.56,35.56,32.43,0,33,38.5,0,0,35.68,38.71,33,30,36,0,0,35,28,33.55,31,0,44.44,0,0,31.45,0,33,0,30,31,30,27.12,38.09,0,36,25,32.18,26.05,0,0,37.94,0,0,33.5,37.96,27.78,20.25,39.82,44.11,38.75,0,37.78,33.77,33.11,28.79,0,0,28.74,41,30.58,0,33,30.07,30,30,0,0,30.2,0
"3",2008-01-13,2008,2,30,18.34,43.55,25.18,32.56,35.56,0,42.04,38.58,38,37.78,0,37.38,39.45,0,30,32,0,0,35,28,33.55,31.5,0,42.72,0,0,33.15,0,33,36.78,30,31,32.32,25.79,40,0,37,26.8,33.06,26.1,0,32.33,37.94,0,0,33.51,39,27.78,21.65,46.45,48.8,41.67,0,36.03,33.77,33.11,33.11,0,0,32.5,45.9,30.26,33.33,22.5,25,30,30,0,0,30,0
"4",2008-01-20,2008,3,30,23.33,42.86,25.18,32.56,35.56,32.57,42.04,38.58,38,37.78,0,37.38,41.35,0,30,40,0,0,35,28,37.77,31.5,0,34.24,0,0,33.15,0,33,36.78,30,29.33,32.32,25.64,40,0,37,26.8,37.02,26.17,0,33.33,37.94,0,0,33.51,39,27,21.95,46.45,49.37,51.25,0,36.03,33.77,33.11,31.2,0,0,32.5,50,30,33.33,31,35.15,30,30,0,0,30,0
"5",2008-01-27,2008,4,0,0,43.55,41.12,33.33,0,32.89,43.11,0,0,0,35,38.21,39.45,0,0,40,0,0,0,0,0,0,0,42.16,0,0,33.15,0,0,39.45,55.88,30,0,24.4,0,0,0,27.52,47.48,0,0,33.33,37.94,0,0,0,0,27,0,0,44.33,55.88,0,0,35.11,0,31.2,0,0,0,54.67,0,34.26,0,0,35,0,0,0,30,0
"6",2008-02-03,2008,5,40,23.33,44.44,42,38.22,50.62,38.42,50.14,37.64,50,44.44,0,41.08,41.39,0,40,0,30,0,0,0,37.77,33.5,30,68.72,0,0,34.25,0,30,0,40,30.34,32.32,0,40,0,44,28.75,54.46,28,0,41.11,37.94,0,0,0,37.5,37.78,32.58,0,0,59.9,0,44.12,40,0,37.28,0,38.2,36.5,53.13,0,35.8,0,35.19,0,29.66,0,0,0,0
"7",2008-02-10,2008,6,45,0,42.86,43,0,50,41,0,0,50,40,40,54.39,43.31,41.57,0,39,30,30,40,0,40,34,0,0,0,47.05,38.5,42.5,33,0,40,39,32.32,31.07,40,30,45,36.14,42.17,29,0,41.11,37.94,0,0,0,47,36.67,33.16,0,0,51.67,35,44.12,0,33.11,40.28,0,33.71,38.11,0,42.68,0,0,42.15,30,27.8,0,0,37.8,0
"8",2008-02-17,2008,7,45,30.22,43.55,43.5,38.22,50.31,41,37.6,0,50,37.5,40,43.12,0,45.67,0,47.67,30,0,45,0,0,34.5,0,46.86,0,47.05,42.25,40,0,42.58,40,0,32.32,34.28,40,30,44,35.51,35.44,30,0,37.57,37.94,0,0,0,52.06,0,33.16,0,0,46.08,38,41.62,0,0,49.15,0,60,0,0,40.36,48.06,40,44,0,30,0,36,38.5,0
"9",2008-02-24,2008,8,40,30.22,58.82,45,0,50.31,35.52,33.85,0,40,35.56,40,50.69,0,50,40,47.5,0,0,50,40,0,35,0,37.31,0,47.5,0,0,34,0,45,37.5,36.94,0,0,0,45,0,0,30,0,32.33,34.63,0,0,0,0,0,34.08,28.4,49.8,54.12,40,0,32.44,40.66,49.15,0,0,41.09,0,36.37,56.79,39.44,0,29,29.66,0,40.8,35.4,0
"10",2008-03-02,2008,9,40,30.22,65.77,46,40.15,72.47,43.03,32.22,43.27,40,33.33,37,51.52,55.69,50,40,50.5,50,0,50,40,45.66,35.67,33.71,53.31,0,0,45,42.5,36,0,45,37,38.94,35,40,30,48,38.9,43.99,30,0,31.33,34.63,0,0,0,42.9,0,35.1,0,46.33,68,45,29.46,32.44,40.26,48.61,0,0,41.09,55.15,34.58,60.11,32.06,0,0,30.42,0,40.8,40,0
