"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
Commodity,Unit,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Gulu,Lira Arua,Hoima,Kasese Mbarara,AVG
Apple Bananas,1Kg,Retail,"1,000",400,600,"1,000",400,600,180,500,350,300,700,"1,800 900","1,000",600,689
"",,Wholesale,800,300,500,700,370,400,170,400,300,250,500,"1,500 750",400,550,526
"Cassava, Dry farmented",1Kg,Retail,,,,,470,400,350,,,450,450,400 650,,,453
"",,Wholesale,,,,,450,300,300,,,380,350,300 540,,,374
"Cassava, Flour",1Kg,Retail,800,700,650,800,750,600,600,,900,600,850,"1,200 800",550,800 800,760
"",,Wholesale,700,500,400,650,670,500,500,,700,500,800,"1,000 650",500,750 700,635
"Cassava, Fresh",1Kg,Retail,500,500,600,460,430,450,170,,700,200,600,"1,000 650",250,270,484
"",,Wholesale,400,350,450,430,380,350,160,,600,150,500,500 600,170,250,378
"Cassava, Sun dried",1Kg,Retail,,400,,800,470,400,400,,700,450,600,500 650,400,,525
"",,Wholesale,,300,,650,450,300,350,,600,400,450,400 550,350,,436
Cattle Steak,1Kg,Retail,,"4,000","5,000","4,500","4,500","4,500","5,000","4,000","4,000","4,000","5,000","5,000 5,000","4,000","4,000 4,500","4,467"
"",,Wholesale,,"3,300",,"3,800","3,800","4,300","4,500","3,500","3,800","3,800","4,500","5,000 5,000",,"4,000 4,000","4,100"
Cavendish (Bogoya),1Kg,Retail,"2,000",500,"1,000","1,000",450,700,460,600,600,400,"3,500","1,700 1,000",800,600,"1,021"
"",,Wholesale,"1,500",350,800,800,400,500,440,500,500,350,"3,000","1,500 800",400,600,829
Chicken (Exotic),bird,Retail,"6,000","6,000","7,000","5,500","8,000","6,000","7,000","10,000","6,000","8,000","8,000","7,500 8,000","6,000","7,000 7,000","7,063"
"",,Wholesale,"5,500","4,800","6,000","4,500","6,000","4,500","6,000","8,000","6,000","7,500","6,800","7,000","5,000","6,500 6,500","6,040"
Chicken (Local),bird,Retail,,"9,500","12,000",,"18,000","8,000","10,000","8,000","13,000","8,500","13,000","15,000 8,000","10,000","11,000 15,000","11,357"
"",,Wholesale,,"8,000","9,000","9,000","13,000","6,000","8,500","6,000","10,000","8,000","11,000","13,000","8,000","10,000 13,000","9,464"
