"",11/26/2008,11/24/2008
150,,
050,,
950,11/29/2008,1M1a/i2z6e/ G20ra0i8n ‐ Retail
850,,
"",,Maize Grain ‐Wholesale
750,,11/29/2008
650,12/1/2008,Millet Grain ‐ Retail
550,,M1i2ll/e1t/ G2r0a0i8n ‐Wholesale
450,,
"",12/3/2008,
Table 1: Chicken price by region,,,,,,,,
Commodity,Type,Central,,Eastern,,Northern,,Western
Chicken (Exotic),Retail,"6,800",,"7,800",,,"7,333","7,167"
"",Wholesale,"5,600",,"6,800",,,"6,667","6,000"
Chicken (Local),Retail,"15,250",,"11,400",,,"15,250","12,300"
"",Wholesale,"11,700",,"8,800",,,"13,000","10,700"
Commodity,Weight,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,"1,000",450,600,800,450,600,200,500,350,350,900,700,,700,800,600,400,600,588
"",,Wholesale,800,350,500,500,420,400,180,400,300,300,800,600,,400,750,550,300,500,474
"Cassava, Dry Fermented",Kg,Retail,,,,,370,400,350,,,300,650,600,400,,,,,,439
"",,Wholesale,,,,,350,300,300,,,270,550,450,350,,,,,,367
"Cassava, Flour",Kg,Retail,800,800,650,700,700,600,700,,900,600,700,700,500,550,600,600,"1,000",,694
"",,Wholesale,700,600,400,600,630,500,600,,700,500,650,600,500,500,550,560,800,,587
"Cassava, Fresh",Kg,Retail,500,500,600,400,550,450,280,,700,250,700,500,850,250,800,240,800,700,534
"",,Wholesale,400,350,450,340,520,350,250,,600,200,600,400,700,185,550,200,600,500,423
"Cassava, Sun dried",Kg,Retail,,400,,700,370,400,400,,700,300,650,400,500,400,,,,"1,200",535
"",,Wholesale,,300,,600,350,300,350,,600,280,550,300,400,350,,,,"1,000",448
Cattle Steak,Kg,Retail,"4,500","4,000","6,000","5,000","4,500","5,000","5,000","4,000","4,000","4,000",,,"5,000","4,000","3,500","4,000","5,000","5,000","4,531"
"",,Wholesale,"4,200","3,300",,"4,200","3,800","4,500","4,500","3,300","3,800","3,800",,,"5,000",,"3,000","4,000","4,500","4,500","4,029"
