800,,,
750,,,
700,,,
650,,,
600,,,
"",2/16/2009,2/21/2009,2/23/2009
Kisoro ‐ Retail,800,800,750
Kisoro ‐Wholesale,700,700,650
Apple Bananas,Kg,Retail 1000,500,800,500,550,800,700,850,230,500,500,400,800,600,1200,650,550,400,800,230,1200,649
"",,Wholesale 700,400,650,300,500,500,600,650,210,400,400,300,700,400,1000,600,500,300,500,210,1000,506
Beef,Kg,Retail 4500,4000,4500,5000,5000,5000,5000,,7500,,4500,5000,5000,6000,,4000,4100,5000,4000,4000,7500,4881
"",,Wholesale 4000,3400,4500,4500,4500,3800,4500,,6500,,4300,4800,5000,5800,,3500,4000,4500,3500,3400,6500,4444
"Cassava, Dry Fermented",Kg,Retail,,,,,,500,600,300,,,350,700,450,500,,460,,,300,700,483
"",,Wholesale,,,,,,450,500,270,,,300,650,400,400,,450,,,270,650,428
"Cassava, Flour",Kg,Retail 800,800,800,650,900,800,700,850,700,,1000,525,750,500,1000,900,700,1000,900,500,1000,793
"",,Wholesale 700,600,700,400,800,600,650,650,600,,800,425,700,400,1000,700,680,800,800,400,1000,667
"Cassava, Fresh",Kg,Retail 333,500,1000,700,500,400,550,800,220,,600,250,700,600,800,600,1000,400,700,220,1000,592
"",,Wholesale 266,350,650,500,450,350,500,600,200,,400,150,600,500,500,500,800,300,500,150,800,451
"Cassava, Sun dried",Kg,Retail,400,500,,,800,500,500,300,,700,325,650,600,500,,480,,900,300,900,550
"",,Wholesale,300,450,,,600,450,400,280,,500,275,600,450,500,,460,,700,275,700,459
Cavendish (Bogoya),Kg,Retail 1000,450,1200,1000,650,800,1000,1000,540,600,600,400,800,3500,K1a2l0e0rwe 800,,1000,400,1800,400,3500,986
"",,Wholesale 800,350,1000,700,600,600,800,850,520,500,500,350,600,3000,1000,600,900,300,1300,300,3000,804
"Chicken, Exotic",bird,Retail 6000,7500,7000,8000,8000,6000,8000,8000,7500,,6000,8250,8000,8500,7000,9000,5800,,7000,5800,9000,7385
"",,Wholesale 5000,5500,6000,7000,6500,5000,6000,6500,7000,,6000,7750,8000,7500,K6i0b0o0ga,,5500,,6000,5000,8000,6328
"Chicken, Local",bird,Retail 19000,16000,13500,13000,10000,,16000,13000,9500,8000,12000,9000,13000,14500,9000 11000,,10000,13000,10000,8000,19000,12194
