"Page1Date Collected",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16‐Mar,Retail,789,600,5371,5580,5590,1243,748,1217,4574,,,,,,,,,,,,,,,,,,
"",Wholesale,,64,,,45,,,471,,,474,,,497,,,108,,,88,,,101,,,434,
18‐Mar,Retail,808,588,5787,5321,5670,1253,792,1428,4929,,,,,,,,,,,,,,,,,,
"",Wholesale,,67,,,44,,,483,,,460,,,476,,,109,,,67,,,106,,,433,
"Page1Date Collected"
Date Collected
""
""
"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,Min,Avg,Max
pple Bananas,Kg,Retail,1000,500,700,500,550,700,650,850,250,600,450,800,600,1000,1000,600,400,400,600,250,639,100
"",,Wholesale,600,350,600,300,500,400,600,650,230,500,350,700,450,1000,700,500,350,300,400,230,499,100
eef,Kg,Retail,5000,4000,4500,5000,5000,5000,5000,4500,6000,5000,5000,5000,6000,4500,4000,4000,4100,5000,4000,4000,4768,6000
"",,Wholesale,4500,3400,4500,4500,4500,3800,4500,4000,5000,5000,4800,5000,5800,4000,,3500,4000,4500,3500,3400,4378,5800
"assava, Dry Fermented",Kg,Retail,,,,,,,550,510,280,,400,650,600,400,,,460,,,280,481,650
"",,Wholesale,,,,,,,520,410,260,,350,600,500,400,,,450,,,260,436,600
"assava, Flour",Kg,Retail,800,800,800,650,1000,800,700,750,1000,1000,700,700,500,1200,550,900,700,1000,800,500,808,120
"",,Wholesale,700,600,700,400,900,600,630,600,800,800,650,650,450,1000,500,750,680,800,600,400,674,100
"assava, Fresh",Kg,Retail,450,500,1000,700,350,400,550,650,270,600,350,800,650,800,500,600,1000,400,600,270,588,100
"",,Wholesale,380,300,650,500,300,300,520,500,240,400,300,750,500,600,210,500,800,300,400,210,445,80
"assava, Sun dried",Kg,Retail,,400,500,,,800,520,500,270,700,400,650,550,500,450,,480,,700,270,530,80
"",,Wholesale,,300,450,,,600,500,380,240,500,350,600,450,500,380,,460,,500,240,444,600
avendish (Bogoya),Kg,Retail,1000,450,1200,1000,650,800,1000,1100,560,700,450,600,,1400,1000,2000,900,400,1800,400,945,200
"",,Wholesale,800,300,1000,700,600,600,900,900,520,500,400,550,,1200,500,1500,800,300,1300,300,743,150
"hicken, Exotic",bird,Retail,7500,7000,7000,8000,8000,6000,8000,6000,7000,7000,9000,8000,8500,7500,8000,11000,5800,,6500,5800,7544,1100
"",,Wholesale,7000,5500,6000,7000,6500,5000,6000,5000,6500,6000,8500,,8000,6000,7000,9000,5500,,5500,5000,6471,9000
"hicken, Local",bird,Retail,15000,10000,13500,10000,10000,,15000,14000,12000,12000,10000,13000,,8500,15000,13000,10000,13000,8000,8000,11882,1500
"",,Wholesale,13000,8500,12000,8000,9500,9500,13000,11000,10000,10000,9500,12000,,7000,13000,10000,9400,10000,6500,6500,10106,1300
offee (Unprocessed),Kg,Retail,,1100,1250,,,,,1600,1200,3500,,,,,,,2500,2000,,1100,1879,3500
"",,Wholesale,,1000,1100,,,,,1400,1100,2500,,,,,,,2400,1600,,1000,1586,2500
otton (Unprocessed),Kg,Retail,,,,,,,,,800,800,,,,400,,,,,,400,667,80
"",,Wholesale,,,,,,,,,700,600,,,,400,,,,,,400,567,70
ow Peas,Kg,Retail,2000,2200,1400,1600,3000,1400,2500,1800,2300,2000,1200,,,1600,,1500,2100,1400,1200,1200,1825,3000
"",,Wholesale,1800,2000,1300,1400,2500,1200,2200,1600,2000,1800,950,,,1400,,1400,2000,1300,1000,950,1616,2500
"ried Beans, Agwede",Kg,Retail,,,1300,1400,,,800,1400,1200,,1200,1200,850,700,,,,,,700,1117,140
"",,Wholesale,,,1200,1200,,,700,1200,1100,,1100,,750,500,,,,,,500,969,120
"ried Beans, Nambale",Kg,Retail,1400,1100,1500,1200,2000,1500,1100,1200,1500,1200,1400,1300,1300,1000,1000,1300,1100,,800,800,1272,200
"",,Wholesale,1300,900,1300,1000,1700,1200,1000,1000,1400,1000,1300,1200,1250,800,800,900,1000,,600,600,1092,170
"ried Beans, Others",Kg,Retail,1600,1300,1500,1200,2000,1500,1200,1200,1300,1500,1200,1400,900,1200,1000,800,1300,1100,1000,800,1274,200
"",,Wholesale,1400,1100,1200,1000,1700,1100,1100,1100,1200,1200,1100,1300,850,1000,800,780,1200,900,800,780,1096,170
"ried Beans, Yellow",Kg,Retail,1600,1300,1500,1200,2000,1600,1450,1400,1600,,1500,1500,1300,1400,1200,1300,1200,800,1000,800,1381,2000
"",,Wholesale,1400,1100,1200,1000,1700,1300,1400,1250,1500,,1400,1400,1250,1200,1000,900,1100,700,900,700,1206,170
"ggs, Exotic",tray,Retail,5000,6000,4800,6000,7000,6000,4700,6200,5200,,5800,7500,6000,6000,6000,6000,5500,6000,5500,4700,5844,7500
