"",,,,,,Central,,,,,,Eastern,,,Northern,,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kasese Kisoro,Mbarara Avg
Apple Bananas,Kg,Retail,1000,500,600,800,550,800,750,900,300,500,500,750,800 1000,1000,700,700 400,1000 713
"",,Wholesale,700,400,500,500,500,500,700,800,280,400,450,600,650 1000,650,600,600 350,900 583
Beef,Kg,Retail,5000,4000,4500,5000,5000,5000,5000,4500,6000,,5000,5000,6000 5000,4000,4000,4200 5000,4000 4789
"",,Wholesale,4500,3500,4500,4500,4500,3800,4500,4000,5000,,4800,5000,5800 4500,,3500,4000 4500,3800 4394
"Cassava, Dry Fermented",Kg,Retail,,,,,,,550,500,270,,700,1000,650 1200,,,550,678
"",,Wholesale,,,,,,,520,400,250,,650,1000,600 1000,,,500,615
"Cassava, Flour",Kg,Retail,800,800,700,650,1000,1100,700,900,1000,,850,1100,800 900,700,1100,700 1000,700 861
"",,Wholesale,700,600,500,400,900,900,630,750,800,,750,1000,700 700,650,750,680 800,500 706
"Cassava, Fresh",Kg,Retail,500,500,700,700,400,450,530,750,270,,450,700,900 900,650,600,800 400,800 611
"",,Wholesale,400,300,500,500,350,400,500,650,250,,400,600,800 700,260,500,700 300,500 478
"Cassava, Sun dried",Kg,Retail,,400,650,,,1100,550,500,240,,760,1000,900 500,650,,600,700 658
"",,Wholesale,,300,500,,,900,520,400,230,,700,1000,800 500,600,,500,500 573
Cavendish (Bogoya),Kg,Retail,1000,500,1000,1100,550,800,1000,1200,700,600,500,600,4500 1200,1000,1100,1200 400,2000 1103
"",,Wholesale,850,300,800,800,500,600,900,1000,600,500,450,500,4300 1000,500,900,1000 300,1500 911
"Chicken, Exotic",bird,Retail,6000,8000,6500,9000,8000,6000,8000,6500,8000,,9500,,8500 6000,7000,9500,6400,6500 7463
"",,Wholesale,5000,6500,6000,7000,7500,5000,6000,5500,7000,,9000,,7500 6000,6000,8000,6000,5000 6438
"Chicken, Local",bird,Retail,15000,10000,15000,10000,12000,,15000,13000,15000,8000,9500,14000,16000 10000,12000,12000,16000 15000,8500 12556
"",,Wholesale,12000,9000,12000,8000,9000,11500,13000,11000,13000,6000,9000,13000,15000 8000,10000,9000,15000 13000,7500 10737
Coffee (Unprocessed),Kg,Retail,,1100,1250,1000,,,,1750,1200,,,,,,,2000,1383
"",,Wholesale,,1000,1100,800,,,,1550,1100,,,,,,,1600,1192
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,800
"",,Wholesale,,,,,,,,,700,,,,,,,,700
Cow Peas,Kg,Retail,2000,2300,1500,2500,2500,1500,2500,1700,2400,1800,1200,1800,1350 3500,3000,1500,2200 1500,2042
"",,Wholesale,1800,2000,1400,2300,2000,1300,2200,1550,2300,1700,1000,1200,1300 2300,,1400,2100 1400,1721
"Dried Beans, Agwede",Kg,Retail,,,1300,1400,,1200,800,1400,1200,,1200,1200,900 1400,,,,1200
"",,Wholesale,,,1200,1200,,1000,700,1300,1100,,1100,,850 1200,,,,1072
"Dried Beans, Nambale",Kg,Retail,1500,1000,1500,1200,2000,1500,1300,1250,1500,1200,1500,1300,1450 1200,1000,1300,1200,800 1317
"",,Wholesale,1300,800,1400,1000,1700,1200,1200,1100,1400,1100,1400,1200,1350 1000,800,900,1000,600 1136
"Dried Beans, Others",Kg,Retail,1600,1200,1300,1200,2000,1580,1200,1300,1300,1200,1200,1400,1350 1600,,1000,1400 1100,900 1324
"",,Wholesale,1400,1000,1300,1000,1700,1500,1100,1200,1200,1100,1100,1300,1200 1400,,850,1200 900,700 1175
"Dried Beans, Yellow",Kg,Retail,1600,1400,1500,1200,2000,1600,1600,1400,1600,,1600,1500,1500 1600,1400,1200,1000 900,900 1417
"",,Wholesale,1400,1100,1400,1000,1700,1300,1550,1250,1500,,1450,1450,1450 1400,1300,900,900 800,800 1258
"Eggs, Exotic",tray,Retail,5500,6000,5000,6500,6000,6000,4700,6300,5400,9000,5700,7500,6000 6000,6000,6500,5500 6500,6000 6111
"",,Wholesale,4500,5500,4800,4700,5800,5000,4400,5300,5200,7000,5600,6000,5800 6000,5500,5500,5000 5500,5000 5374
"Eggs, Local",tray,Retail,10000,8500,5500,9000,14000,9000,11000,8500,7000,,7000,7500,6500,9000,9000,7200 9900,9000 8682
"",,Wholesale,9000,7000,5200,7500,12500,7000,9000,6600,6000,,6800,,6000,6000,7500,7000 9000,8500 7538
"Fish, Nile Perch",Kg,Retail,6000,6000,5000,,,7000,7000,5000,6000,,4000,5000,5200 7000,,,,5000 5683
"",,Wholesale,5500,4500,4000,,,6000,6000,4000,5000,,3500,5000,4700 6000,,,,4500 4892
"Fish, Tilapia",whole,Retail,3500,4700,3550,4500,5000,4000,5500,5000,10000,2000,5500,4500,4600 6000,6000,7000,3500 6000,5000 5045
"",,Wholesale,3000,4000,3000,3500,4500,3500,5000,4000,8500,1800,5000,4000,4300 5000,,6500,3000 4000,4500 4283
Goat Meat,Kg,Retail,6000,5000,5000,5500,6000,6000,6000,5000,6000,4500,5000,5500,6000 4500,5000,5000,6000 6000,5000 5421
"",,Wholesale,5500,3700,5000,4500,5500,5000,4500,4500,5500,4000,4800,5500,5800 4000,,4500,5800 5000,4000 4839
"Groundnuts, Unpounded",Kg,Retail,2500,2400,2800,2200,3000,2600,2500,2500,2400,2800,2200,2500,2700 3000,2600,5000,2300 2500,2500 2684
"",,Wholesale,2300,2100,2500,2000,2500,2250,2150,2300,2100,2700,2000,2200,2500 2800,2200,4500,2200 2300,2400 2421
"Honey, Processed",Kg,Retail,7500,10000,3500,8800,8000,8000,,7000,6000,,6400,3000,3700,,4000,7000,6377
"",,Wholesale,7000,8000,3500,6800,7500,7000,,6000,5000,,6000,2700,3200,,3400,6000,5546
"Honey, Unprocessed",Kg,Retail,6500,7500,2600,,5000,6500,,3200,4000,,2200,2500,4500,5000,7000,3500,4615
"",,Wholesale,6000,6500,2200,,4500,6000,,2900,3000,,2000,2100,4000,4000,6500,3100,4062
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara Avg
Irish Potatoes,Kg,Retail,720,1000,1150,1000,1500,600,570,750,800,,1000,900,1000,800,700,450,800,416,900 836
"",,Wholesale,600,800,850,700,1350,500,550,650,700,,900,800,900,800,660,420,700,400,500 710
Maize Flour,Kg,Retail,1400,1500,1200,1300,800,1400,1200,1400,1300,1400,1500,1500,1500,1500,1400,1300,1200,1000,1100 1311
"",,Wholesale,1300,1250,1100,1100,750,1200,1050,1200,1200,1300,1300,1360,1400,1500,1200,1150,1100,800,1000 1172
Maize Grain,Kg,Retail,1000,600,750,1000,1000,900,710,,740,800,800,850,580,1500,700,950,1000,500,1000 854
"",,Wholesale,900,500,700,700,900,800,700,,720,750,700,750,550,1500,650,620,900,450,800 755
Matooke,Kg,Retail,400,600,1200,212,450,430,350,,330,400,500,450,3600,1200,500,440,800,250,1000 728
"",,Wholesale,320,400,700,188,400,390,320,,300,300,450,400,3200,1000,,400,700,225,800 617
Matooke (Bunch),Bunch,Retail,8000,9000,7400,8500,9000,9500,11000,,16500,400,10000,9000,16300,10000,7000,11000,12000,10000,5500 9450
"",,Wholesale,7000,5200,6800,7500,8000,8500,9000,,15000,300,9500,8800,15800,7000,,8500,10000,9000,5000 8288
Milk,Ltrs,Retail,800,800,500,700,800,800,900,,800,500,800,1000,1000,1200,700,600,750,700,500 769
"",,Wholesale,700,600,500,400,700,700,800,,700,400,700,800,800,1000,600,500,700,500,400 639
Millet Flour,Kg,Retail,1200,1600,1150,1500,1800,1900,2000,,1500,,1450,1600,1100,1500,2500,1500,1400,1300,1200 1541
"",,Wholesale,900,1400,850,1300,1700,1500,1600,,1300,,1350,1500,900,1400,,1200,1350,1200,1000 1278
Millet Grain,Kg,Retail,1200,1200,900,1400,,1100,1150,1000,1000,1200,1100,1200,1300,800,1200,1200,1300,1200,1000 1136
"",,Wholesale,900,800,700,1200,,1000,1100,850,900,1100,1000,1000,1100,800,1000,950,1200,1100,800 972
Pineapple,whole,Retail,1200,2300,1000,800,2500,1700,1200,2500,2500,,1500,2200,1900,3000,2000,500,1400,800,1000 1667
"",,Wholesale,1000,1200,700,700,2200,1400,1000,2000,2300,,1400,2000,1700,2500,1000,350,1200,500,800 1331
Pork,Kg,Retail,5000,4000,4300,4000,,5000,4800,,5000,,4000,,4500,4500,5000,4800,4800,5000,7000 4780
"",,Wholesale,4500,2900,4000,3500,,3500,4200,,4500,,3800,,4300,4000,,3800,4500,4500,6500 4179
Rice (Kayiso),Kg,Retail,2000,2250,2000,2400,,2100,2200,2200,2200,2200,2200,2400,1900,2200,,2700,,2800,2300 2253
"",,Wholesale,1900,2100,1800,2000,,1900,1800,1900,2000,2100,2100,2300,1840,2000,,2200,,2500,2000 2028
Rice (Super),Kg,Retail,1900,2600,2500,2000,,2600,2500,2500,2600,2400,2400,2500,2400,2500,2700,,2400,2200,2000 2394
"",,Wholesale,1800,2400,2300,1800,,2300,2200,2300,2400,2300,2200,2400,2300,2200,,,2300,2000,1550 2172
Rice (Upland),Kg,Retail,1900,2200,2500,2000,2500,2100,2100,2000,2200,,,2400,1730,2000,2400,2500,1540,2000,1800 2110
"",,Wholesale,1800,2000,2000,1800,2200,1900,1800,1800,2000,,,2000,1680,1800,2200,1850,1530,1800,1500 1862
Simsim,Kg,Retail,3000,3000,2700,,5000,1000,2500,2300,2000,2500,2600,2200,2780,2200,,3800,2100,,2300 2624
"",,Wholesale,2800,2500,2500,,4500,700,1900,2150,1800,2400,2400,1700,2700,2000,,2800,2000,,2000 2303
Sorghum Flour,Kg,Retail,1000,,1400,,1800,1000,1000,900,800,800,800,1500,750,500,,1700,1400,1000,1000 1084
"",,Wholesale,700,,1400,,1700,700,820,700,700,600,750,1400,700,400,,1400,1300,900,800 936
Sorghum Grain,Kg,Retail,700,700,1400,,1700,800,700,650,700,,600,1100,850,400,1000,1400,1100,900,700 906
"",,Wholesale,500,500,1300,,1500,500,650,550,600,,550,1000,750,350,700,1100,1100,800,500 762
Soya Beans,Kg,Retail,2500,1500,1200,1400,3000,1500,1100,1250,2000,1800,1500,1500,,1000,900,1800,1200,1000,2400 1586
"",,Wholesale,2300,1200,800,1300,1400,1200,900,1100,1800,1700,1350,1000,,800,800,1450,1000,800,2200 1283
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,400
"",,Wholesale,,,,,,,350,,,,,,,,,,,,350
Sweet Potatoes,Kg,Retail,440,500,1200,800,400,350,500,1000,320,,500,600,850,1200,650,250,1000,200,1000 653
"",,Wholesale,380,400,800,500,350,300,450,800,300,,400,500,750,1000,350,150,800,150,800 510
Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,,5000
"",,Wholesale,,,,,,,,,,,,,,,,,,,
Turkey,bird,Retail,,27000,30000,,35000,35000,43000,27000,35000,,29000,,,,,,,,35000 32889
"",,Wholesale,,24000,25000,,30000,30000,30000,25000,33000,,28000,,,,,,,,28125
Vanilla (Unprocessed),Kg,Retail,,3000,,,5500,,2700,,,,,,,,,,,,3500 3675
"",,Wholesale,,2500,,,5000,,2300,,,,,,,,,,,,1500 2825
