Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Kasese,Mbra,Avg
Apple Bananas,Kg,Retail,,600,800,500,800,750,800,210,500,600,500,700,750,1200,1000,650,400,700,600,67
"",,Wholesale,,400,600,300,500,700,700,190,400,500,400,600,650,1000,500,600,300,600,400,51
Beef,Kg,Retail,5000,,4500,5000,5000,5000,4500,7500,,600,5000,5000,6000,4500,4000,4000,5000,4400,4000,464
"",,Wholesale,4500,,4500,4500,3500,4500,4000,7000,,500,4800,5000,5800,4000,,3500,4500,4200,3500,4269
"Cassava, Dry Fermented",Kg,Retail,,,,,,500,500,260,,,600,750,750,500,,,,,,55
"",,Wholesale,,,,,,480,380,240,,,500,700,650,450,,,,,,486
"Cassava, Flour",Kg,Retail,800,800,700,650,900,700,800,1000,,1000,750,,750,1000,800,900,1000,550,650,80
"",,Wholesale,700,600,500,400,700,620,650,800,,800,700,,650,800,700,750,800,500,400,651
"Cassava, Fresh",Kg,Retail,600,500,1000,700,600,550,700,240,,700,450,900,900,800,500,600,400,700,800,64
"",,Wholesale,500,300,650,500,500,520,600,200,,500,400,800,800,600,250,500,300,680,500,50
"Cassava, Sun dried",Kg,Retail,,400,650,,900,500,480,230,,700,600,750,900,500,600,,,600,700,60
"",,Wholesale,,300,500,,700,480,360,210,,500,550,700,800,400,500,,,500,500,50
Cavendish (Bogoya),Kg,Retail,1100,450,1250,1000,800,1100,1200,500,600,600,500,700,,1200,1000,1200,400,1000,,85
"",,Wholesale,850,300,1100,700,600,1000,1000,480,500,500,450,600,,1000,,900,300,900,,699
"Chicken, Exotic",bird,Retail,10000,8000,8000,9000,7000,8000,6700,7500,,7000,10000,,9000,6000,8000,11000,,6400,6500,800
"",,Wholesale,8500,6000,7000,7000,6000,6500,5700,7000,,6000,9000,,8500,5000,7000,9000,,6000,5000,682
"Chicken, Local",bird,Retail,19000,11000,14000,13000,,16000,15000,12000,8000,10000,10000,12000,,9000,15000,13000,15000,15000,8500,12676
