Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorw,Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,450,800,800,550,800,800,900,170,500,550,700,,1000,700,800,400,,683
"",,Wholesale,790,300,700,500,500,500,700,600,150,400,500,600,,600,600,750,300,,531
Beef,Kg,Retail,5000,4000,4500,5000,5500,5000,5000,5000,7000,,5000,5000,5000,4000,4000,4400,5000,4000,4847
"",,Wholesale,4500,3500,4500,4500,4500,4000,4500,4500,6000,,4800,5000,4500,,3500,42000,4500,3800,6788
"Cassava, Dry Fermented",Kg,Retail,,,,,,,750,500,,,750,1100,600,,,,,,740
"",,Wholesale,,,,,,,700,420,,,700,1000,450,,,,,,654
"Cassava, Flour",Kg,Retail,800,800,1200,650,1000,1100,1000,900,1000,,1000,1200,800,1200,1150,900,,1200,994
"",,Wholesale,700,600,900,400,900,900,900,800,800,,950,1100,600,1000,750,850,,1000,822
"Cassava, Fresh",Kg,Retail,430,500,700,700,400,450,650,800,220,,500,800,1500,500,550,800,400,1000,641
"",,Wholesale,370,300,500,500,350,375,600,700,200,,450,700,1000,300,450,700,300,800,506
"Cassava, Sun dried",Kg,Retail,,400,750,,,1100,750,500,800,,800,1100,600,850,,700,,700,754
"",,Wholesale,,300,700,,,900,700,400,700,,750,1000,400,800,,650,,500,650
Cavendish (Bogoya),Kg,Retail,1200,500,1100,1100,600,1000,1200,,520,,550,700,1000,1000,1100,,,,890
"",,Wholesale,1000,300,1000,800,550,800,1100,,490,,500,600,800,600,900,,,,726
"Chicken, Exotic",bird,Retail,8000,8000,7500,7500,9000,6000,8000,7000,7000,,9500,,9000,7000,9500,6400,,6500,7727
"",,Wholesale,7500,6000,7000,6000,8500,5000,6000,5500,6500,,9000,,7000,6000,8000,6000,,5000,6600
"Chicken, Local",bird,Retail,10000,10000,13000,10000,14000,,15000,13000,14000,,9000,12000,9000,12000,13000,13000,16000,6500,11844
"",,Wholesale,8000,9000,12000,8000,12000,10000,13000,10000,12000,,8500,10000,7500,8000,9000,12000,14000,5000,9882
Coffee (Unprocessed),Kg,Retail,,1100,,,,,,1900,1300,,,,,,,,2000,,1575
"",,Wholesale,,1000,,,,,,1700,1200,,,,,,,,1600,,1375
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,800
"",,,,,,,,,,,,,,,,,,,,,
