CentralEasternNorthernWestern,,,,,,,,,,,,,,,,,,,,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Lira,Hoima,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,750,800,500,600,800,,180,500,1000,550,1000,,1200,650,400,800
"",,Wholesale,900,300,600,500,400,300,700,,170,400,700,450,900,,,600,300,500
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4500,5000,5000,5000,4000,4200,4000,3800
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4300,4800,5000,4500,,4000,3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,,720,500,270,,,750,1000,600,,700,,
"",,Wholesale,,,,,,,700,420,250,,,650,900,400,,650,,
"Cassava, Flour",Kg,Retail,800,1000,1200,550,1200,1100,1000,1000,1000,900,,650,1100,800,1200,900,1200,1300
"",,Wholesale,700,800,1000,450,1100,850,950,800,900,700,,750,920,600,1000,800,700,1200
"Cassava, Fresh",Kg,Retail,520,400,700,700,450,400,600,1000,270,500,135,450,750,1200,700,1000,600,1000
"",,Wholesale,430,300,500,500,350,340,550,800,260,400,125,400,600,1000,400,900,450,700
"Cassava, Sun dried",Kg,Retail,,,650,,,1100,720,500,250,,700,750,1000,1200,1000,750,500,1000
"",,Wholesale,,,450,,,850,700,400,240,,600,700,910,1000,800,700,350,700
Cavendish (Bogoya),Kg,Retail,1300,400,1100,1100,650,1100,1400,2500,560,500,2000,550,800,1400,1200,1000,450,1200
"",,Wholesale,1100,300,1000,800,600,850,1300,1500,540,400,1500,500,700,1200,600,900,300,1000
"Chicken, Exotic",bird,Retail,7500,,4500,7500,9000,6000,8000,6000,8500,,7500,9000,,6000,7000,7000,8000,8000
"",,Wholesale,7000,,4000,6000,8000,5000,6000,4500,800,,6500,8000,,5000,6000,6500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,11000,15000,15000,,15000,12000,14000,600,8500,9500,14000,8000,130000,13500,10000,10000
"",,Wholesale,10000,13000,10000,13000,14000,12000,13000,8000,13000,500,7500,8500,13000,7000,10000,12000,9000,8000
Coffee (Unprocessed),Kg,Retail,,2000,1400,,,,,1900,,,2500,,,,,2600,,
"",,Wholesale,,1600,1200,,,,,1700,,,2300,,,,,2500,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,
Cow Peas,Kg,Retail,2000,1500,2300,2500,2500,1800,2700,1800,2200,1800,1800,1550,2500,2300,3000,2200,2100,1200
"",,Wholesale,1800,1400,2000,2300,2000,1400,2400,1600,2000,1700,1700,1450,,2000,,2100,2000,1000
"Dried Beans, Agwede",Kg,Retail,,,1800,1400,,1200,800,1400,1200,,,,1400,1400,,,,
"",,Wholesale,,,1650,1200,,1000,700,1200,1100,,,,1300,1200,,,,
"Dried Beans, Nambale",Kg,Retail,2000,,2000,1200,2000,1500,1100,1400,1500,1000,1100,1400,1400,1400,1400,,1200,1200
"",,Wholesale,1800,,1800,1000,1800,1200,1050,1200,1400,800,1000,1300,1300,1200,1200,,1050,1000
"Dried Beans, Yellow",Kg,Retail,1600,700,1400,1200,2000,1800,1400,1500,1500,,1500,1400,1600,1500,1600,1500,1400,1000
"",,Wholesale,1400,600,1300,1000,1900,1400,1300,1300,1400,,1300,1300,1450,1300,400,1400,1100,800
"Eggs, Exotic",tray,Retail,5000,6500,5500,6500,6500,6000,4800,6800,5500,6000,6500,5700,7500,6000,6000,6000,6000,6500
"",,Wholesale,4500,6000,5000,4700,5800,5000,4500,5400,5300,5500,5500,5500,5800,5800,5000,5800,5500,6000
"Eggs, Local",tray,Retail,10000,9000,6000,9000,15000,7500,11000,8800,7500,,10500,7100,7500,6500,9000,9000,8500,7000
"",,Wholesale,9000,75000,5500,7500,13500,5500,9000,6800,7300,,9000,6900,,6000,,8500,7000,6500
"Fish, Nile Perch",Kg,Retail,5500,,4500,5000,,7000,7000,5500,6000,,4800,4500,,4000,,,5500,
"",,Wholesale,5000,,4000,4500,,6000,6000,4000,5000,,4600,4000,,3500,,,4500,
"Fish, Tilapia",whole,Retail,3500,6000,4500,3500,4500,4500,5000,6000,9000,2200,6000,6000,,5000,6000,4000,4500,
"",,Wholesale,3000,4500,4000,3000,4000,4000,4000,4500,8000,2100,5000,5000,,4500,,3500,4000,
Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,6000,5500,6000,5000,4800,5000,5500,5000,5000,6000,4500,4500
"",,Wholesale,5500,5000,4800,4500,5500,4800,4500,4500,5000,4500,4500,4800,5500,4500,,5800,3600,4000
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,2300,3000,2600,2400,2300,2500,2800,2100,2100,3200,3000,3000,2500,2500,2500
"",,Wholesale,2700,2300,2300,2100,2500,2300,1950,2100,2400,2300,2000,1900,3000,2800,2000,2400,2300,2400
"Honey, Processed",ltr,Retail,7500,7000,3500,9300,8000,8000,,8200,4000,,,6400,,,10000,,10000,10000
"",,Wholesale,7000,6000,3500,7300,7500,7000,,6900,3000,,,6100,,,,,8000,8000
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4500,2500,,,3000,,,,,7500,9000
"",,Wholesale,,3100,2200,,4500,6000,,4000,2000,,,2800,,,,,6500,7000
Irish Potatoes,Kg,Retail,630,458,,1200,1000,650,550,,800,250,350,850,900,,600,650,800,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Lira,Hoima,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1400,1500,1400,1700,1500,1300,1200,1500,1400,1000,1400,1600,1400,1500,1400,1600,1000
"",,Wholesale,1400,1200,1350,1200,1500,1300,1100,1000,1300,1300,800,1350,1440,1200,1400,1300,1300,800
Maize Grain,Kg,Retail,1100,650,600,1000,1300,1000,600,700,560,900,650,1000,1000,1000,600,1000,650,1200
"",,Wholesale,1000,600,500,700,1000,900,580,600,540,850,620,900,900,800,550,900,600,1100
Matooke,Kg,Retail,280,150,800,200,450,360,270,400,150,400,1000,550,400,1200,500,600,600,800
"",,Wholesale,210,100,600,150,400,320,240,350,120,300,700,450,350,1000,,550,450,600
Matooke (Bunch),Bunch,Retail,6000,6000,13000,8000,9000,8000,8000,13000,7500,8000,10000,10000,10000,14000,8000,12000,9500,4500
"",,Wholesale,5000,4000,10000,6000,8500,7000,6000,10000,6000,6000,7000,9000,9500,7000,,11500,5300,4000
Milk,Ltrs,Retail,900,800,600,900,450,900,900,1000,800,400,800,800,900,1200,700,750,800,600
"",,Wholesale,800,700,500,800,400,800,800,800,700,350,700,700,800,1000,600,700,600,500
Millet Flour,Kg,Retail,1200,1400,1600,1500,2000,2000,2000,1500,1500,1800,1700,1400,1800,1000,,1400,1600,1700
"",,Wholesale,900,1300,1500,1300,1800,1600,1700,1200,1400,1700,1500,1350,1700,800,,1350,1400,1400
Millet Grain,Kg,Retail,1200,1300,1000,1400,1700,1100,1150,1100,1200,1300,1100,1000,1400,1400,1200,1100,1250,1300
"",,Wholesale,900,1200,800,1200,1600,1000,1050,900,1100,1200,1000,900,1300,1100,,1000,850,1000
Pineapple,whole,Retail,1200,800,900,,1800,1500,1200,1600,2000,,1000,1550,2000,2000,,1500,2000,1000
"",,Wholesale,1000,500,800,,1400,1200,800,1000,1800,,800,1400,1600,1500,,1300,1200,800
Pork,Kg,Retail,4500,5000,5000,4500,,5000,4900,,6000,4000,3000,4000,5000,,5000,4800,2500,
"",,Wholesale,4000,4500,4500,3500,,3500,4000,,5000,3600,2700,3800,5000,,,4500,2400,
Rice (Kayiso),Kg,Retail,2200,2800,2400,2400,,2000,2400,1700,1800,2200,1700,2200,,2400,,,2500,2500
"",,Wholesale,2000,2500,2300,2000,,1800,2200,1550,1600,2100,1550,2100,,2200,,,2400,2300
Rice (Super),Kg,Retail,2400,2500,2400,2300,2500,2400,2600,2200,2400,2400,2400,2400,2500,2700,2800,2500,2600,2500
"",,Wholesale,2200,2300,2250,1800,2200,2100,2400,2000,2100,2300,2200,2300,2000,2500,,2400,2500,2400
Rice (Upland),Kg,Retail,2000,2200,2100,2300,2500,2000,2300,1900,1800,,,,2400,2200,2000,1700,2300,2000
"",,,,,,,,,,,,,,,,,,,,
Simsim,Kg,Retail,3000,,2700,3000,4500,2800,2500,2200,2200,2500,2400,2400,2500,3000,,,3000,4000
"",,Wholesale,2800,,2500,2700,4000,2500,2000,2000,2000,2400,2300,2300,,2500,,,2000,3800
Sorghum Flour,Kg,Retail,1000,900,1400,,1600,1200,1000,1000,1000,900,,1000,2800,,1800,1400,,1200
"",,Wholesale,700,800,1300,,1500,900,800,800,900,700,,850,1500,,,1300,,1000
