CommodityName,Weight,Pricetype,Kalerwe Kiboga,Masaka Nakaser Nakawa Owino,Jinja,Kapchor Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Mbarara
Apple Bananas,Kg,Retail,1000 400,800 600 800 900,230,500 1000,550,1000,1000,,900,550,800
"",,Wholesale,900 300,500 500 500 800,220,400 800,500,800,800,,800,500,500
Beef,Kg,Retail,4500 4000,5000 5000 5000 4800,6000,5000 4400,6000,5000,5000,5000,4000,4200,4000
"",,Wholesale,4000 3500,4500 4700 3800 4500,5000,4500 4200,5800,5000,4800,4500,3600,4000,3800
"Cassava, Dry Fermented",Kg,Retail,,650,340,,750,1000,1000,600,,700,
"",,Wholesale,,600,320,,700,920,700,300,,650,
"Cassava, Flour",Kg,Retail,800 1200,1000 1200 1100 850,1000,900 1000,1000,1100,1500,1000,850,750,1300
"",,Wholesale,700 800,850 1100 900 800,900,700 900,800,930,1300,800,750,750,1200
"Cassava, Fresh",Kg,Retail,650 600,700 450 600 600,270,500 200,500,800,900,1000,600,1000,1000
"",,Wholesale,530 450,500 400 500 550,250,400 170,450,700,700,800,450,900,700
"Cassava, Sun dried",Kg,Retail,500,1100 650,500,800,800,1000,1200,900,,750,1000
"",,Wholesale,400,900 650,460,750,750,920,900,800,,700,700
Cavendish (Bogoya),Kg,Retail,1300 400,1100 700 1000 1500,600,600 2000,550,800,,1200,1000,900,2000
"",,Wholesale,1200 300,800 650 800 1400,580,500 1500,500,700,,1000,850,850,1500
"Chicken, Exotic",bird,Retail,7500 8000,7500 9000 6000 8000,9000,7500,9000,,8000,6000,8000,7500,8000
"",,Wholesale,7000 6000,6000 8500 5000 6000,8500,6000,8000,,7000,5000,6900,6500,7000
"Chicken, Local",bird,Retail,12000 10000,14000 14000 14000,18000,8000 8000,10000,10000,14000,8000,12000,12000,14000
"",,Wholesale,10000 9000,12000 13000 12000 13000,15000,6000 6500,9000,9500,13000,6000,9000,10000,12000
Coffee (Unprocessed),Kg,Retail,950,1000,1200,2500,,,,,,2700,
"",,Wholesale,850,800,1100,2350,,,,,1000,2500,
Cotton (Unprocessed),Kg,Retail,,,800,,,,,,,,
"",,Wholesale,,,700,,,,,,,,
Cow Peas,Kg,Retail,2000 2100,2500 2500 1800 2500,2700,1800 2000,1500,2500,1550,1400,1600,2200,1400
"",,Wholesale,1800 2000,2300 2000 1400 2200,2500,1700 1700,1350,,1400,1200,1550,2100,1200
"Dried Beans, Agwede",Kg,Retail,,1400 1200,1400,,,1400,,1400,,,
"",,Wholesale,,1200 1000,1300,,,,,1200,,,
"Dried Beans, Nambale",Kg,Retail,1600 1200,1400 2000 1600 1200,1600,1000 1500,1500,1400,2100,1400,1200,1300,1200
"",,Wholesale,1400 1100,1200 1800 1350 1100,1500,800 1350,1400,1300,1900,1200,900,1200,1100
"Dried Beans, Others",Kg,Retail,,1200 1800 1800 1200,1400,1300,,,1900,1200,,1200,1100
"",,Wholesale,,1000 1700 1450 1150,1300,1200,,,1700,1000,,1100,900
"Dried Beans, Yellow",Kg,Retail,1800 1400,1200 2000 1800 1500,1600,1600,1500,1700,1900,1400,1000,1500,1000
"",,Wholesale,1600 1100,1000 1900 1450 1450,1500,,1400,1500,1700,1200,900,1400,800
"Eggs, Exotic",tray,Retail,5000 6000,6500 6500 6000 4800,5300,6000 5500,5900,7500,6000,6000,6000,6000,6500
"",,Wholesale,4500 5500,4700 6000 5000 4500,5000,5500 5300,5800,5800,5800,5800,5500,5800,6000
"Eggs, Local",tray,Retail,10000 8500,9000 13500 7500 10000,8000,5500,7200,7500,,6200,9000,9000,7000
"",,Wholesale,9000 7000,7500 13000 5500 9000,7000,5300,7000,,,6000,7500,8800,6500
"Fish, Nile Perch",Kg,Retail,5500 5500,5000 7000 7500,6000,5500,4500,,4300,4500,,,6000
"",,Wholesale,5000 4500,4500 6000 6000,5000,4800,4000,,3800,4000,,,5500
"Fish, Tilapia",whole,Retail,3500 4500,3500 5000 4500 5500,8500,6000,6000,,5000,4000,,4000,5500
"",,Wholesale,3000 4000,3000 4500 4000 4500,7500,5000,5000,,4500,3500,,3500,5000
Goat Meat,Kg,Retail,6000 4500,5500 6000 6000 6000,6000,5000 5200,5000,5500,6000,6000,5000,6000,6000
"",,Wholesale,5500 3600,4500 5500 5000 4500,5000,4500 4500,4800,5500,5800,5500,4500,5800,5500
Groundnuts,Kg,Retail,2700 2400,2400 3000 2600 2400,2000,2800 2300,2100,3200,2600,3000,2500,2500,2500
"",,Wholesale,2600 2200,2200 2300 2300 1950,1800,2700 2000,1900,3000,2400,2500,2200,2400,2400
"Honey, Processed",ltr,Retail,7500 11000,8000 8000,4000,,6400,3600,,,7000,,7000
"",,Wholesale,7000 8000,7500 7000,3000,,6100,3300,,,6500,,5000
"Honey, Unprocessed",ltr,Retail,7500,5000 6500,2500,,3000,,,,4500,15000,6000
"",,Wholesale,6500,4500 6000,2000,,2800,,,,3000,14000,4000
Irish Potatoes,Kg,Retail,650 900,1000 1000 750 600,800,250 350,550,800,1500,1200,360,650,1200
"",,Wholesale,560 700,700 900 600 540,700,220 300,500,750,1200,1000,365,600,800
Maize Flour,Kg,Retail,1500 1600,1400 1600 1500 1200,1300,1400 1000,1400,1600,1500,1300,1400,1400,1600
CommodityName,Weight,Pricetype,Kalerwe Kiboga,Masaka Nakaser Nakawa Owino,Jinja,Kapchor Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Mbarara
"",,Wholesale,1400 1300,1200 1500 1300 1100,1150,1300 900,1350,1500,1200,1000,1150,1300,1400
Maize Grain,Kg,Retail,1100 620,1000 1100 1000 660,600,900 700,800,850,880,800,700,1000,1200
"",,Wholesale,1000 530,700 1000 900 650,580,850 650,750,700,780,700,620,900,1100
Matooke,Kg,Retail,330 600,200 500 360 320,170,400 1000,550,450,,1000,250,550,600
"",,Wholesale,270 450,150 450 320 280,140,300 800,500,400,,800,220,450,500
Matooke (Bunch),Bunch,Retail,6500 9000,9000 13000 8000 10000,8500,8000 12000,10000,10000,13000,,7000,12000,5500
"",,Wholesale,5500 5500,7000 10000 7000 8000,7000,6000 10000,9500,9000,12000,,6000,10500,5000
Milk,Ltrs,Retail,1000 800,900 800 900 1000,800,550 800,800,1000,1000,800,750,750,600
"",,Wholesale,900 600,800 700 800 900,700,300 700,700,900,800,600,600,700,500
Millet Flour,Kg,Retail,1200 1600,1500 2000 2000 2000,1600,1800 1300,1500,1800,1300,2000,1600,1400,1800
"",,Wholesale,900 1400,1300 1800 1600 1700,1500,1700 1100,1350,1600,1200,1800,1300,1350,1600
Millet Grain,Kg,Retail,1200 1250,1400 1700 1200 1200,1200,1300 1500,1000,1450,1200,1200,1200,,1300
"",,Wholesale,900 850,1200 1600 1000 1150,1100,1200 1300,900,1400,1000,1000,1050,,1000
Pineapple,whole,Retail,1000 2200,800 1800 1500 1400,2000,1500,1500,1800,2500,1700,500,1600,800
"",,Wholesale,800 1200,600 1500 1200 1000,1800,1200,1350,1500,2200,1500,350,1400,500
Pork,Kg,Retail,4500 4000,4000 5000 4800,6000,4000 4000,4000,5000,4500,3500,4500,4800,6000
"",,Wholesale,4000 3000,3500 3500 4000,5000,3600 3500,3800,5000,4300,3000,3800,4500,5000
Rice (Kayiso),Kg,Retail,2000 2500,2400 2000 2400,1800,2200 1800,2200,2400,2600,2200,2400,,2500
"",,Wholesale,1800 2400,2000 1800 2200,1600,2100 1600,2100,,2400,2000,2200,,2300
Rice (Super),Kg,Retail,2400 2600,2300 2500 2400 2600,2000,2400 2200,2400,2500,3000,2500,2300,2500,2500
"",,Wholesale,2200 2500,1800 2300 2100 2400,1800,2300 1900,2300,2000,2700,2300,,2400,2400
Rice (Upland),Kg,Retail,2000 2300,2300 2500 2000 2300,1800,,,2400,2600,2200,2400,,2200
"",,Wholesale,1800 2100,1800 2300 1800 2100,1600,,,2200,2400,2000,1850,,2000
Simsim,Kg,Retail,3000 3000,3300 4500 2800 2500,3000,2500 2500,2500,3000,2400,2100,,,4000
"",,Wholesale,2800 2500,2900 4000 2400 2000,2800,2400 2400,2300,,2200,2100,,,3800
Sorghum Flour,Kg,Retail,1000,1800 1200 1000,1000,900 900,1000,1600,1200,1500,1600,1400,1200
"",,Wholesale,700,1500 900 850,900,700 800,850,1500,1100,1200,1400,1300,1000
Sorghum Grain,Kg,Retail,700 800,1500 1000 700,900,1000,800,1200,1100,900,1100,1100,1000
"",,Wholesale,500 600,1400 700 650,800,650,700,1000,900,700,1000,1000,800
Soya Beans,Kg,Retail,2000,1400 1600 1600 1400,1400,1800 1200,1100,2000,1600,1000,1450,,1500
"",,Wholesale,1800,1300 1500 1300 1100,1200,1700 1000,1000,,1400,800,1400,,1400
Sunflower,Kg,Retail,,400,,,,,,,,,
"",,Wholesale,,370,,,,,,,,,
Sweet Potatoes,Kg,Retail,670 650,1000 450 500 400,350,300 190,500,550,900,1200,200,1000,
"",,Wholesale,550 450,600 400 400 550,230,200 170,400,500,700,1000,170,900,
Turkey,bird,Retail,29000,35000 42000 30000,45000,25000,33000,,,,,,35000
"",,Wholesale,26000,28000 35000 25000,43000,20000,32000,,,,,,30000
Vanilla (Unprocessed),Kg,Retail,3000,2700,,,,,,,,,3000
"",,Wholesale,2700,2300,,,,,,,,,2000
