Commodity Name,Weight,Pricetype,Kalerwe Kiboga Luwero Masaka,Nakasero Nakawa Owino,Iganga,Jinja,KapchorwaMbale Soroti Arua,Gulu,Lira,Hoima Kabale Kasese Kisoro,Mbarar
Apple Bananas,Kg,Retail,1000 400 700 800,500 1000 900,1500,170,500 1000 550 670,750,,1500 1100 550 600,1000
"",,Wholesale,800 300 600 500,450 700 800,1000,140,400 800 500 600,600,,1000 800 500 350,800
Beef,Kg,Retail,4500 5000 4500 5000,5000 5000 5000,4500,6000,5000 4500 6000 5000,5000,5000,4000 4000 4200 4000,3800
"",,Wholesale,4000 4500 4500 4500,4500 3800 4500,4000,5000,4500 4300 5800 5000,4800,4800,3600 4000 3500,3500
"Cassava, Dry Fermented",Kg,Retail,,650,520,330,700 950,850,1200,700,
"",,Wholesale,,600,430,310,650 850,700,1000,650,
"Cassava, Flour",Kg,Retail,800 1200 1300 1000,1000 1100 1000,950,1100,900 900 1000 950,1200,1200,4000 800 900 1200,1350
"",,Wholesale,700 1000 1200 850,800 900 850,780,1000,700 800 800 850,1000,1000,750 800 800,1220
"Cassava, Fresh",Kg,Retail,666 400 1000 1000,550 550 650,850,280,500 200 450 600,1000,900,1200 600 1000 700,1000
"",,Wholesale,555 300 1000 700,500 450 600,650,260,400 180 400 550,800,700,450 700 500,700
"Cassava, Sun dried",Kg,Retail,1400,1100 650,520,520,850 700 1000,900,800,500 750 500,1000
"",,Wholesale,1200,900 600,420,500,700 650 870,700,600,300 700 400,700
Cavendish (Bogoya),Kg,Retail,1370 400 1300 1100,750 1000 1500,2500,550,600 2000 550 750,,1200,1500 1100 800 500,2000
"",,Wholesale,1300 300 1100 800,700 800 1400,1600,500,500 1500 450 650,,1000,850 750 300,1500
"Chicken, Exotic",bird,Retail,7500 6500 7500,9000 6000 8000,6200,8000,6500 8500,8000,5000,7000 8500 7500 8000,9000
"",,Wholesale,7000 6000 6000,8500 5000 6000,4800,7000,5500 8000,6500,4000,6500 7500 6500 6000,7000
"Chicken, Local",bird,Retail,12000 15000 13000 14000,15000 18000,13000,14000,10000 8500 9000 10000,13700,8000,14000 11000 11000 10000,1400
"",,Wholesale,10000 13000 10000 12000,14000 12000 15000,9500,13000,8000 7000 8500 9000,12500,7000,10000 9000 10000 9000,900
Coffee (Unprocessed),Kg,Retail,2000 1400 1000,,1750,1200,2450,,,2700 900,
"",,Wholesale,1600 1200 800,,1600,1100,2000,,,2500 800,
Cotton (Unprocessed),Kg,Retail,,,,800,,,,,
"",,Wholesale,,,,700,,,,,
Cow Peas,Kg,Retail,2000 2000 2300 2500,2500 2000 2700,1800,2400,1800 2000 1600 2500,1550,1200,3000 1600 2200 2100,1400
"",,Wholesale,1800 1600 2000 2300,2000 1500 2400,1600,2200,1700 1800 1450,1350,1000,1550 2100 2000,1200
"Dried Beans, Agwede",Kg,Retail,1800,12000 1300,1400,1400,,,1500,,
"",,Wholesale,1650,1000 1100,1200,1300,,,1400,,
"Dried Beans, Nambale",Kg,Retail,1600 2000 1300,2000 1800 1500,1400,1500,1000 1500 1500 1500,1800,1500,1600 1000 1400 1300,1200
"",,Wholesale,1400 1800 1100,1800 1550 1400,1200,1400,900 1450 1400,1700,1400,1400 900 1300 1100,1100
"Dried Beans, Others",Kg,Retail,1400,,,,,,,,1100
"",,Wholesale,1300,,,,,,,,900
"Dried Beans, Yellow",Kg,Retail,1800 900 2000 1200,2200 2000 2000,1500,1600,1600 1500 1700,1800,1500,1800 900 1500 1400,1000
"",,Wholesale,1600 800 1800 1000,2000 1750 1800,1300,1500,1500 1450 1500,1600,1500,1600 880 1400 1200,800
"Eggs, Exotic",tray,Retail,5000 6500 5500 6500,6500 6000 5000,6800,5200,6000 6000 5800 7500,6000,6000,6000 6000 6000 6000,6500
"",,Wholesale,4500 6000 5000 4700,6000 5000 4500,5400,5000,5500 5500 5600 5800,5800,5700,5500 5500 5800 5500,6000
"Eggs, Local",tray,Retail,10000 9000 6000 9000,15000 7500 11000,8800,7000,9000 7200,,6500,9000 8500 9000 8500,8000
"",,Wholesale,9000 7500 5500 7500,14500 5500 9000,6800,6500,7500 7000,,6000,7000 7500 8500 7000,7000
"Fish, Nile Perch",Kg,Retail,6000 6000 6500,7000 7000,5000,6000,5000,4000,8000,5500,6000
"",,Wholesale,5500 5000 5500,6000 6000,4000,5000,4800,3000,7000,4500,5500
"Fish, Tilapia",whole,Retail,3500 5000 3500 6500,4500 4500 5500,6200,8000,5000 5500 8000,4800,6000,4000 4500,5500
"",,Wholesale,3000 4000 3000 5000,4000 4000 4500,4600,7000,4000 5000,4300,5000,3800 4000,5000
Goat Meat,Kg,Retail,6000 6000 5000 5500,6000 6000 6000,5600,6000,5000 5000 5000 5500,6000,5000,5000 5000 6000 4500,7000
"",,Wholesale,5500 5000 5000 4500,5500 4800 4500,4700,5000,4500 4500 4800 5500,5800,5000,4500 5800 3600,5500
"Groundnuts, Unpounded",Kg,Retail,2700 2400 2800 2100,3000 2600 2500,2200,2500,2200 2100 3000,2500,3000,2500 2500 2400,2600
"",,Wholesale,2600 2200 2300 2000,2500 2300 2150,2000,2400,1900 2000 2800,2300,2500,2000 2200 2400 2200,2450
"Honey, Processed",ltr,Retail,7500 7000 3500 7000,8000 8000,8200,4000,6400 3600,,,13000 7000 10000,6000
"",,Wholesale,7000 6000 3500 5000,7500 7000,6900,3000,6100 3300,,,6500 8000,5000
"Honey, Unprocessed",ltr,Retail,3500 2500,5000 6580,4500,2500,3100,,,4800 7500,
"",,Wholesale,3100 2200,4500 6000,4000,2000,3000,,,3050 6500,
Irish Potatoes,Kg,Retail,650 458 1000 1000,1000 700 600,800,900,250 300 550 1000,1500,1400,700 400 1000,1600
"",,Wholesale,570 416 1000 700,900 600 550,700,800,210 250 500 900,1400,1200,600 370 600 800,1400
Commodity Name,Weight,Pricetype,Kalerwe Kiboga Luwero Masaka,Nakasero Nakawa Owino,Iganga,Jinja,KapchorwaMbale Soroti Arua,Gulu,Lira,Hoima Kabale Kasese Kisoro,Mbarar
Maize Flour,Kg,Retail,1500 1400 1500 1400,1700 1500 1200,1300,1500,1300 1000 1400 1600,1350,1200,1400 1400 1400 1600,1600
"",,Wholesale,1400 1200 1200 1200,1500 1300 1100,1150,1400,1100 900 1350 1360,1200,1000,1300 1150 1300 1300,1400
Maize Grain,Kg,Retail,1100 650 800 1000,1000 1000 600,680,600,600 550 750 700,860,900,500 700 1400 680,1200
"",,Wholesale,1000 600 750 700,950 900 550,580,580,500 500 600 650,780,700,470 620 1300 550,1100
Matooke,Kg,Retail,350 175 1000 10000,450 440 350,320,220,400 1300 500 450,,1200,500 270 800 700,700
"",,Wholesale,290 125 1000 8000,400 390 300,280,190,300 1000 450 400,,1000,220 750 500,500
Matooke (Bunch),Bunch,Retail,7500 7000 100000 10000,13000 9500 12000,12000,11000,8000 12000 10000 14000,14500,9000,10000 9000 14000 11000,6000
"",,Wholesale,6500 5000 80000 8000,10000 8500 9000,8500,9500,6000 10000 9000 13000,13000,6800,6800 13500 6000,4000
Milk,Ltrs,Retail,1200 800 700 1600,1200 1000 1200,1000,800,400 900 800 1000,1000,800,1000 700 750 800,1000
"",,Wholesale,1000 700 600 1400,900 900 1100,900,700,300 700 700 1000,800,600,700 500 700 600,900
Millet Flour,Kg,Retail,1200 1400 1500 1500,1100 2000 2000,1300,1600,1800 1800 1500 1800,1300,,1200 1600 1400 1600,1800
"",,Wholesale,900 1300 1400 1300,1000 1600 1700,1050,1500,1700 1600 1350 1700,1200,,1000 1300 1350 1400,1600
Millet Grain,Kg,Retail,1200 1300 1000 1400,1700 1200 1300,1000,1200,1300 1250 1000 1500,1200,,1200 1250 1100 1250,1500
"",,Wholesale,900 1200 800 1200,1600 1000 1200,850,1100,1200 1200 900 1300,1100,,1000 1050 1000 900,1300
Pineapple,whole,Retail,1300 800 1200 800,1800 800 1500,2000,2400,1000 1600 1800,2500,3000,500 1100 2000,800
"",,Wholesale,1000 500 1000 600,1400 500 800,1500,2200,800 1400 1500,1800,1000,350 1000 1100,500
Pork,Kg,Retail,4700 5000 5000 4500,5000 2200,,6000,4000 3500 4000 5000,4500,4000,4000 4800 4000,7000
"",,Wholesale,4000 4500 4500 3500,3500 2000,,5000,3600 3000 3800 5000,4300,3500,3500 4500 3000,6000
Rice (Kayiso),Kg,Retail,2000 2800 2400 2400,2000 2200,1700,1700,2200 1900 2300,2400,2200,2400 2500,2500
