"",,,,,Central,,,,Eastern,,Northern,,,,Western,,
Commodity,Pricetype,,,,,,,,,,,,,,,,
Apple Bananas,Retail,Kg,1000,400,900 650,1000,1100,260,1000,550,800,1500,800,,600,600,900
"",Wholesale,Kg,850,300,600 450,700,1000,220,800,450,700,1000,700,,500,400,750
Beef,Retail,Kg,4500,5000,5000 5000,5000,5000,6000,4500,6000,5000,4000,4000,,4200,4000,4000
"",Wholesale,Kg,4000,4500,4500 4500,3800,4500,5000,4300,5800,5000,,3500,,4000,3500,3800
"Cassava, Dry Fermented",Retail,Kg,,,,,650,260,,650,750,,,,700,,800
"",Wholesale,Kg,,,,,600,250,,600,700,,,,650,,700
"Cassava, Flour",Retail,Kg,800,1200,1000 900,1000,850,1200,1000,1000,900,1200,1200,,900,1200,1350
"",Wholesale,Kg,700,1000,850 700,850,720,1100,800,800,780,1000,900,,800,800,1220
"Cassava, Fresh",Retail,Kg,620,400,1100 650,400,600,280,200,500,600,400,1000,,1000,700,1000
"",Wholesale,Kg,500,300,800 600,360,570,260,190,450,550,300,800,,900,500,800
"Cassava, Sun dried",Retail,Kg,,,,1000,650,470,880,700,750,700,,,750,500,1000
"",Wholesale,Kg,,,,850,600,460,750,600,700,600,,,700,400,700
Cavendish (Bogoya),Retail,Kg,1250,500,1100 750,1000,1600,600,2000,550,700,1500,,,1200,550,2000
"",Wholesale,Kg,1150,400,800 700,800,1500,580,1500,500,650,1000,,,1000,350,1500
"Chicken, Exotic",Retail,bird,7000,,9500 9000,6000,8000,8000,6000,9000,7000,7000,12000,,7800,8000,9000
"",Wholesale,bird,6500,,8000 8500,5000,6000,7000,5000,8000,,6500,10000,,7500,6000,7000
"Chicken, Local",Retail,bird,12000,15000,18000 12000,,18000,16000,7500,9000,9000,13000,15000,,16000,10000,14000
"",Wholesale,bird,10000,13000,16000 10000,,15000,15000,6000,8500,8000,100W0e0ight12000,,,15000,9000,12000
Coffee (Unprocessed),Retail,Kg,,,1000,,,1100,2400,,,,,,2600,900,
"",Wholesale,Kg,,,800,,,1000,2250,,,,,,2500,800,
Cotton (Unprocessed),Retail,Kg,,,,,,800,,,,Kalerwe,,,,,
"",Wholesale,Kg,,,,,,700,,,,,,,,,
Cow Peas,Retail,Kg,2000,1600,2500 2500,2000,2700,2300,2000,3000,2500,3000,,,2200,2100,1100
"",Wholesale,Kg,1800,1500,2300 2000,1500,2400,2200,1700,2900,,Kiboga,,,2100,2000,1000
"Dried Beans, Agwede",Retail,Kg,,,1400,1400,1300,2000,,1300,,,,,,,
"",Wholesale,Kg,,,1200,1200,1200,1800,,1200,,,,,,,
"Dried Beans, Nambale",Retail,Kg,2400,,1300 2000,2100,1800,2200,1700,1550,1600,22M0a0saka1500,,,1600,1700,1600
"",Wholesale,Kg,2200,,1100 1800,1900,1600,1900,1500,1450,,1800,1300,,1500,1400,1500
"Dried Beans, Yellow",Retail,Kg,2400,1200,1200 2200,2500,2000,2500,2000,1600,1600,2200,1400,,2000,2000,1000
"",Wholesale,Kg,2200,1100,1000 2000,2200,1750,2400,1800,1500,1500,20N0a0kaser1o200,,,1800,1400,800
"Eggs, Exotic",Retail,tray,5000,6500,6500 6000,6000,5000,5000,6000,5800,75000,6000,8500,,6000,8000,6500
"",Wholesale,tray,4500,6000,4700 5800,5000,4500,4800,5500,5700,6000,5500,7000,,5800,6000,6000
"Eggs, Local",Retail,tray,10000,9000,9000 15000,7000,11000,6500,9000,7100,7500,90N0a0kaw1a0000,,,9000,10000,8000
"",Wholesale,tray,9000,7500,7500 14500,6000,9000,6000,7500,6900,,7500,8000,,8500,9000,7000
"Fish, Nile Perch",Retail,Kg,6000,,6500,7500,8000,7000,5000,4500,5000,,9500,,,5500,6000
"",Wholesale,Kg,5500,,5500,5500,7000,6000,4500,4200,5000,Owino 8000,,,,4500,5500
"Fish, Tilapia",Retail,whole,4000,4000,5500 4500,4500,5500,9000,5000,5500,8000,7000,9000,,3700,4500,6500
"",Wholesale,whole,3500,3500,4000 4000,4000,5000,8500,4500,5000,,,7500,,3000,4000,6000
Goat Meat,Retail,Kg,6000,6000,5500 6000,6000,6000,6000,4800,5000,5500,50Ji0n0ja,5000,,6000,4500,5500
"",Wholesale,Kg,5500,5000,4500 5500,4800,4500,5000,4500,4800,5500,,4800,,5800,3600,5000
"Groundnuts, Unpounded",Retail,Kg,2700,2400,2300 3000,2700,2600,2500,2400,2100,3000,3000,2200,,2600,2600,2800
"",Wholesale,Kg,2600,2200,2200 2500,2300,2300,2400,2250,1900,,25M0b0ale,2000,,2500,2400,2600
"Honey, Processed",Retail,ltr,7500,7000,8000,8000,,4000,,,4000,,6000,,,10000,5500
"",Wholesale,ltr,7000,6000,7500,7000,,3000,,,3600,,5500,,,8000,5000
"SorotiHoney, Unprocessed",Retail,ltr,,3500,5500,6500,,2500,,4850,,,4500,,,7500,
"",Wholesale,ltr,,3100,5000,6000,,2000,,4700,,,4000,,,6500,
Irish Potatoes,Retail,Kg,700,516,1500 1000,750,600,900,500,600,1300,800,550,,900,1000,
"",,,,,,,,,,,,Arua,,,,,
"",Wholesale,Kg,620,500,1200 900,650,550,800,450,550,,650,470,,800,800,
Maize Flour,Retail,Kg,1500,1400,1400 1700,1500,1300,1200,1000,1400,1600,1400,1600,,1200,1600,1600
"",Wholesale,Kg,1400,1200,1200 1500,1300,1150,1000,900,1300,1360,1200,1400,,1100,1300,1400
"",,,,,,,,,,,,Hoima,,,,,
"",,,,,Central,,,,Eastern,,Northern,,,,Western,,
Maize Grain Retail,Kg,1100,900,1000,1100,1100,620,590,520,700,650,600 900,,900,700,1200
Wholesale,Kg,1000,800,700,1000,1000,570,580,500,650,600,550 800,,800,500,1100
Matooke Retail,Kg,430,300,200,650,700,370,250,1500,500,450,700,,800,700,700
Wholesale,Kg,370,250,175,600,600,350,220,1200,450,400,,,600,500,600
Matooke (Bunch) Retail,Bunch,8500,12000,8000,12000,15000,15000,12500,13000,10000,10000,13000 17000,,13500,10000,6000
Wholesale,Bunch,7500,10000,7000,10000,13000,13000,11000,11000,9000,9500,13000,,13000,7300,5000
Milk Retail,Ltrs,1200,1000,1200,1200,1200,1300,800,900,800,1000,1000 700,,800,800,1000
Wholesale,Ltrs,1000,900,1000,1000,1000,1200,700,800,700,1000,800 600,,750,600,900
Millet Flour Retail,Kg,1200,1600,1500,2000,2000,2000,1600,1800,1500,2000,3000 1800,,1500,1600,1800
Wholesale,Kg,900,1500,1300,1800,1600,1700,1400,1600,1400,1800,1500,,1400,1400,1600
Millet Grain Retail,Kg,1200,1500,1400,1950,1200,1150,1500,1100,1000,1600,1200 1600,,1100,1250,1500
Wholesale,Kg,900,1400,1200,1700,1000,1000,1400,980,950,1500,1000 1450,,1000,950,1300
Pineapple Retail,whole,1200,800,800,2000,1500,1500,2500,,1600,2000,500,,1400,2000,800
Wholesale,whole,1000,500,600,1500,1200,1000,2400,,1500,1800,450,,1300,1200,500
Pork Retail,Kg,4700,,4500,,5000,5000,6000,3500,4000,5000,6000,,4800,4000,
Wholesale,Kg,4000,,3500,,3500,4000,5000,2700,3800,5000,5000,,4500,3000,
Rice (Kayiso) Retail,Kg,2000,2800,2400,,2000,2400,2200,1900,2200,2300,,,,2500,2500
Wholesale,Kg,1800,2500,2000,,1800,2000,1850,1800,2100,,,,,2400,2400
Rice (Super) Retail,Kg,2500,2300,2300,2500,2600,2300,2500,2400,2200,2300,250W0 eigh2t500,,2500,2600,2500
Wholesale,Kg,2200,2200,1800,2200,2300,2000,2200,2200,2100,2100,2350,,2400,2400,2400
Rice (Upland) Retail,Kg,2000,2000,2300,2700,2000,2300,2000,,,2300,2200 2600,,1700,2300,
Wholesale,Kg,1800,1800,1800,2400,1800,2000,1800,,,2100,195K0alerw2e400,,1600,2100,
Simsim Retail,Kg,3000,,3300,4500,3000,3000,3000,2600,2500,2400,,,,3000,3800
Wholesale,Kg,2800,,2900,4000,2500,2300,2800,2400,2300,,,,,2500,3500
KibogaSorghum Flour Retail,Kg,1000,900,,1800,1200,1000,1100,800,1000,1600,700,,1400,,1100
Wholesale,Kg,700,800,,1500,900,850,1000,700,900,1500,600,,1300,,1000
Sorghum Grain Retail,Kg,700,800,,1600,1200,700,800,600,600,1000,,,1100,800,850
"",,,,,,,,,,,,Masaka,,,,
Wholesale,Kg,500,700,,1400,900,650,700,550,500,850,,,1000,600,500
Soya Beans Retail,Kg,2000,1400,1400,1600,1800,1000,1800,1000,,2000,2000 2700,,,1600,1500
Wholesale,Kg,1800,1200,1300,1500,1400,800,1700,900,,,1000 2500,,,1300,1400
"",,,,,,,,,,,,Nakasero,,,,
Sunflower Retail,Kg,,,,,,400,,,,,,,,,
Wholesale,Kg,,,,,,370,,,,,,,,,
Sweet Potatoes Retail,Kg,650,150,1000,650,550,600,380,200,500,450,800 900Nakawa450,,1200,700,
Wholesale,Kg,500,100,600,600,450,550,360,180,450,400,600 300,,1000,500,800
Turkey Retail,bird,,,,35000,42000,45000,42000,250000,34000,,,,,29000,32000
Wholesale,bird,,,,30000,35000,38000,38000,20000,32000,,Owino,,,26000,30000
Vanilla (Unprocessed) Retail,Kg,,,,,,2700,,,,,,,,3500,3000
Wholesale,Kg,,,,,,2400,,,,,,,,3000,2000
