"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,850,900,,800,1100,1600,,,,550,700,800,,1500,800,700,,1000
"",,Wholesale,900,300,800,600,,500,1000,1200,,,,450,600,600,,,700,650,,800
Beef,Kg,Retail,4500,5000,5000,5000,5000,5000,5000,4500,6000,5000,4500,6000,5000,5000,5000,4000,4000,4200,4000,4000
"",,Wholesale,4000,4500,5000,4500,4500,3800,4500,4200,5000,4500,4300,5800,5000,4800,5000,,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,650,530,,,,650,700,900,1200,,,750,,800
"",,Wholesale,,,,,,,600,440,,,,600,680,700,1000,,,700,,700
"Cassava, Flour",Kg,Retail,900,1200,1200,1000,1200,1100,850,1050,1200,1000,1000,650,800,1400,1000,1200,1300,900,1200,1350
"",,Wholesale,700,1000,1000,850,1100,880,730,850,1100,900,900,600,750,1200,800,1000,1100,800,800,1220
"Cassava, Fresh",Kg,Retail,580,400,1000,1100,450,500,600,1000,240,500,210,500,550,900,800,400,1200,1200,650,1000
"",,Wholesale,500,300,1000,800,350,430,550,800,220,400,190,400,500,700,700,300,1000,1000,470,800
"Cassava, Sun dried",Kg,Retail,,,500,,,1100,650,520,500,,800,700,700,1100,1000,700,,750,500,1000
"",,Wholesale,,,400,,,880,600,420,450,,700,600,680,900,800,600,,700,400,700
Cavendish (Bogoya),Kg,Retail,1250,500,1300,1200,650,1000,1600,2500,630,600,2000,,700,,2500,1500,,1400,,1800
"",,Wholesale,1100,400,1000,900,600,800,1500,1600,600,500,1500,,600,,1700,1000,,1300,,1400
"Chicken, Exotic",bird,Retail,7500,,,9500,9000,6000,8000,5500,8000,,6000,8500,,8500,5000,7500,12000,8000,8000,12000
"",,Wholesale,7000,,,8000,8500,5000,6000,4800,7000,,5000,8000,,7500,4500,6000,10000,7500,6000,10000
"Chicken, Local",bird,Retail,12000,15000,18000,18000,15000,,18000,12000,15000,10000,6500,10000,10000,14000,9000,15000,15000,16000,10000,14000
"",,Wholesale,10000,13000,15000,16000,14000,11500,15000,9000,14000,8000,5500,9500,9000,12500,7000,12000,12000,15000,9000,12000
Coffee (Unprocessed),Kg,Retail,,,1400,1000,,,,,1100,,,,,,,,,,900,
"",,Wholesale,,,1200,800,,,,,1000,,,,,,,,,,800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1600,2000,2500,2500,,2700,1800,2300,1800,2000,2900,2500,1400,2000,,,2200,2100,1400
"",,Wholesale,1800,1500,1800,2300,2000,11500,2400,1600,2200,1700,1800,2400,,1300,1600,,,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1500,1400,,1400,,1700,2000,,,1450,1600,,2000,,,,,
"",,Wholesale,,,1400,1200,,1200,,1500,1800,,,1350,1400,,1400,,,,,
"Dried Beans, Nambale",Kg,Retail,2400,,1700,1300,2000,2000,1600,1700,2300,1200,1350,1600,1600,1600,1800,2200,1700,1600,1800,1700
"",,Wholesale,2200,,1600,1100,1800,1800,1400,1500,2000,1000,1300,1450,1400,1400,1400,1800,1500,1500,1500,1500
"Dried Beans, Yellow",Kg,Retail,2400,1200,1700,1200,2000,2200,1800,1900,2600,,1550,1600,1600,1700,1800,2300,1600,2000,2000,1000
"",,Wholesale,2200,1100,1600,1000,1900,2000,1550,1750,2400,,1400,1450,1500,1600,1500,2000,1400,1800,1600,800
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500,6500,2200,5000,6600,5000,6500,5700,5800,7500,6000,6000,6000,10000,6000,6000,6500
"",,Wholesale,4700,6000,5500,4700,5800,2000,4500,5200,4800,5500,5400,5600,6000,5800,5700,5500,8000,5800,5500,6000
"Eggs, Local",tray,Retail,10000,9000,6500,9000,15000,9000,11000,8800,7500,,9000,7100,7500,,5000,9000,9500,9000,10000,8000
"",,Wholesale,9000,7500,6000,7500,13500,7000,9000,6800,7000,,7500,7000,,,5000,7500,8000,8500,9000,7000
"Fish, Nile Perch",Kg,Retail,6000,,7000,6500,,6500,8000,5000,7000,,5000,4500,5000,4500,8000,,9500,,5500,6000
"",,Wholesale,5500,,7000,5500,,6000,6500,4000,6500,,4800,4100,5000,3500,8000,,8000,,4500,5500
"Fish, Tilapia",whole,Retail,3500,4000,3500,4500,4500,4500,5500,6000,8000,,4500,5500,7500,4800,8000,9000,9000,3800,4500,6500
"",,Wholesale,3000,3500,3000,3500,4000,4000,4000,4800,7500,,4000,4500,,4300,8000,,7500,3500,4000,6000
Goat Meat,Kg,Retail,6000,6000,6000,5500,6000,6000,6000,6000,6000,,5000,5000,5500,6000,5000,9000,5000,6000,4500,6000
"",,Wholesale,5500,5000,6000,4500,5500,4800,4500,5000,5000,,4800,4800,5500,5800,5000,,4800,5800,3600,5500
"Groundnuts, Unpounded",Kg,Retail,3000,2400,2600,2300,3000,2300,2600,2400,2700,2300,2400,2200,3000,2500,3000,3000,2200,2600,2600,2800
"",,Wholesale,2800,2200,2200,2200,2500,2000,2350,2200,2500,2200,2200,2000,,2300,2500,2500,2000,2500,2400,2600
"Honey, Processed",ltr,Retail,,7000,3500,,8000,9000,,8800,4000,,,,4000,,,,6000,,10000,6000
"",,Wholesale,,6000,3500,,7500,7000,,7500,3000,,,,3600,,,,5500,,8000,5000
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,5500,2500,,,4850,,,,,4500,,7500,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Irish Potatoes,Kg,Retail,700,516,1500,1400,1000,800,620,1300,800,300,600,600,1200,1400,1200,800,600,700,1000,
"",,Wholesale,630,500,1200,1200,900,700,570,1100,700,250,500,550,,1200,1000,650,500,600,800,
Maize Flour,Kg,Retail,1500,1400,1500,1400,1700,1500,590,1300,1200,1200,1000,1400,1600,1200,1600,1400,1600,1200,1600,1600
"",,Wholesale,1400,1200,1200,1200,1500,1300,580,1100,1100,1000,900,1250,1360,1100,1200,1300,1400,1100,1300,1400
Maize Grain,Kg,Retail,1200,900,1000,1200,1300,1100,400,650,620,600,570,650,650,700,700,580,1200,,600,1200
"",,Wholesale,1000,800,800,700,1000,1000,370,580,600,500,540,550,600,540,600,520,1000,,500,1100
Matooke,Kg,Retail,440,300,1000,250,450,510,400,450,220,400,1500,500,400,,1200,1000,,750,800,700
"",,,,,,,,,,,,,,,,,,,,,,
Matooke (Bunch),Bunch,Retail,10000,12000,12000,9000,15000,12000,18000,14000,11000,8000,14500,10000,9000,14000,,15000,17000,14500,10000,8000
"",,Wholesale,8000,10000,10000,8500,12000,10000,15000,11000,10000,6000,13000,8000,8500,13000,,,12000,14000,7000,7000
Milk,Ltrs,Retail,1200,1000,750,1200,800,,1000,1000,800,550,800,800,1000,1000,800,1000,700,800,900,1000
"",,Wholesale,1000,900,700,1000,700,,900,900,700,400,700,700,1000,800,600,,600,750,650,900
Millet Flour,Kg,Retail,1200,1600,1300,1500,2000,2000,2000,1300,1600,1800,1800,1500,2000,1400,,2000,2000,,1700,1800
"",,Wholesale,900,1500,1200,1300,1800,1600,1700,1100,1500,1700,1700,1400,1800,1200,,,1800,,1400,1600
Millet Grain,Kg,Retail,1200,1500,1000,1400,1700,1200,1150,1000,1300,1300,1300,1000,1600,1000,,1200,1700,,1250,1500
"",,Wholesale,900,1400,800,1200,1600,1000,1000,900,1200,1200,1200,900,1500,800,,1000,1600,,950,1300
Pineapple,whole,Retail,1000,800,1500,800,2500,2000,1400,2000,2200,,,1500,2300,2600,,,500,1600,2000,800
"",,,,,,,,,,,,,,,,,,,,,,
Pork,Kg,Retail,4700,,5000,4500,,4000,5000,,6000,4000,4400,4000,5000,4500,4000,,6000,4800,4000,
"",,Wholesale,4000,,4500,3500,,3500,4500,,5000,3600,4000,3800,5000,4300,3500,,5000,4500,3000,
Rice (Kayiso),Kg,Retail,2000,2800,2500,2400,,2000,2400,1800,2200,2200,1700,2200,2200,2500,2400,,,,2500,2500
"",,Wholesale,1800,2500,2400,2000,,1800,2000,1680,1900,2100,1600,2000,,2300,2200,,,,2400,2400
Rice (Super),Kg,Retail,2500,2300,2500,2300,2500,2500,2500,2300,2500,2400,2200,2400,2400,2800,2500,2500,2500,2500,2600,2550
"",,Wholesale,2200,2200,2400,1800,2200,2200,2300,2100,2100,2300,2000,2300,2000,2600,2200,,2350,2400,2400,2400
Rice (Upland),Kg,Retail,2000,2000,2200,2300,2500,2000,2300,1900,2200,2000,,,2200,2400,2200,2200,2600,1700,2300,
"",,Wholesale,1800,1800,2000,1800,2300,1800,2000,1750,2000,1800,,,2000,2250,2200,2000,2400,1600,2100,
Simsim,Kg,Retail,3000,,2700,3300,4500,3000,3000,2400,3000,2500,2500,2500,2500,2900,2600,,,,,
"",,Wholesale,2800,,2500,2900,4000,2500,2300,2200,2700,2400,2300,2300,,2700,2300,,,,,
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,950,1200,1000,650,1000,1500,1200,,,700,1400,,850
"",,Wholesale,700,800,1200,,1500,900,850,800,1100,900,600,800,1400,900,,,600,1300,,500
Sorghum Grain,Kg,Retail,700,800,800,,1600,1000,700,750,800,,520,600,1000,900,,,,1100,800,1100
"",,Wholesale,500,700,800,,1400,700,650,570,700,,500,550,900,750,,,,1000,600,1000
Soya Beans,Kg,Retail,2000,1400,1800,1400,3000,1800,1100,1400,1800,1800,1000,,2000,,1000,2000,2700,,1600,1500
"",,Wholesale,1800,1200,1500,1300,2500,1400,800,1150,1600,1700,800,,,,800,1000,2500,,1300,1400
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
