Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,800 900,650,1000,1100,1600,190,500,1200,500,1000,1000,,800,700,500,1000
"",,Wholesale,850,300,700 600,450,700,1000,1200,150,400,1000,450,800,800,,700,600,350,800
Beef,Kg,Retail,4500,5000,5000 5000,5000,5000,5000,5000,6000,5000,4500,6000,5000,5000,5000,4000,4200,4000,4000
"",,Wholesale,4000,4500,5000 4500,4500,3800,4500,4500,5000,4500,4300,5800,5000,4800,5000,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,620,500,,,,600,700,1000,1200,,750,,800
"",,Wholesale,,,,,,570,400,,,,550,680,800,1000,,700,,700
"Cassava, Flour",Kg,Retail,800,1200,1200 1000,500,1100,850,1000,1200,1000,1000,550,800,1250,1200,1300,900,1200,1350
"",,Wholesale,700,1000,1000 850,450,900,720,800,1100,900,850,500,750,1000,1000,1100,800,800,1220
"Cassava, Fresh",Kg,Retail,530,400,1000 1100,650,450,600,900,260,500,190,500,550,1000,800,1200,1200,600,1000
"",,Wholesale,470,300,1000 800,600,370,550,700,240,400,1870,400,500,800,700,1000,1000,450,800
"Cassava, Sun dried",Kg,Retail,,,500,,1100,620,500,520,,900,650,700,1200,900,,750,500,1000
"",,Wholesale,,,400,,900,580,400,470,,800,550,680,900,700,,700,400,700
Cavendish (Bogoya),Kg,Retail,1300,500,1200 1200,750,1000,1600,2800,700,600,3000,550,700,2500,2500,,1500,500,1800
"",,Wholesale,1200,400,1000 900,700,800,1500,1800,650,500,2500,500,650,2000,2000,,1400,350,1400
"Chicken, Exotic",bird,Retail,7500,,9500,9000,6000,8000,5500,8000,,7500,8500,7000,9000,4500,10000,8000,8000,12000
"",,Wholesale,7000,,8000,8500,5000,6000,4800,7000,,6500,7500,,8000,4000,9000,7500,6000,10000
