""
"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,,850,1350,1000,1000,1200,1300,220,500,1200,550,600,,,900,,1300,
"",,Wholesale,750,,800,800,800,700,1100,900,200,400,1000,450,500,,,800,,1200,
Beef,Kg,Retail,4500,5000,5000,5000,5000,5000,5000,5000,6000,5000,4500,6000,5000,,5000,4000,4000,3800,
"",,Wholesale,4000,4500,5000,4500,4500,3800,4500,4500,5000,4500,4300,5800,5000,,5000,3500,3500,3500,
"Cassava, Dry Fermented",Kg,Retail,,,,,,,600,500,280,,,550,850,,1000,,,1000,
"",,Wholesale,,,,,,,550,400,260,,,500,800,,950,,,800,
"Cassava, Flour",Kg,Retail,900,1200,1200,1050,1300,1000,750,1000,1000,1000,800,1000,850,1300,1200,1200,1000,1350,
"",,Wholesale,700,1000,1000,800,1200,850,680,800,900,900,700,750,800,1000,1000,1000,700,1220,
"Cassava, Fresh",Kg,Retail,400,400,1000,1100,500,500,620,1000,290,500,160,500,600,1300,1000,1200,600,1000,
"",,Wholesale,340,300,1000,800,450,400,570,800,280,450,150,450,500,1000,800,1000,450,700,
"Cassava, Sun dried",Kg,Retail,,,500,,,1000,600,500,630,,700,600,750,1200,1000,,650,1400,
"",,Wholesale,,,400,,,850,550,400,600,,600,500,700,900,950,,400,1000,
Cavendish (Bogoya),Kg,Retail,400,500,2200,1200,650,1000,1700,2200,670,600,,550,600,,2000,2500,650,1800,
"",,Wholesale,340,400,2000,900,600,800,1000,1600,630,500,,500,500,,1800,2000,400,1500,
"Chicken, Exotic",bird,Retail,1200,,8500,9500,9000,6000,8000,5500,7000,,,8000,,9500,5000,10000,8000,12000,
"",,Wholesale,1150,,8000,8000,8500,5000,6000,4800,6000,,,7500,,8500,4500,9000,6000,12000,
"Chicken, Local",bird,Retail,12000,13000,18000,13500,15000,,18000,5500,14000,10000,7000,8500,12000,14500,9000,15000,10000,14000,
"",,Wholesale,10000,12000,15000,10000,14000,11500,15000,4800,13000,8000,5500,8000,10000,13500,7000,12000,9000,12000,
Coffee (Unprocessed),Kg,Retail,,,1400,,,,,1890,1100,,,,,,,,900,,
"",,Wholesale,,,1200,,,,,1800,1000,,,,,,,,800,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000,2800,2500,3000,2800,1800,2400,1800,2800,1600,1800,1400,1500,,2200,1400,
"",,Wholesale,1800,1800,1800,2500,2000,2500,2500,1600,2300,1700,2600,1350,,1200,1000,,2000,1200,
"Dried Beans, Agwede",Kg,Retail,,,1600,1600,,1200,1200,1650,1600,,,1500,,,1300,,,1600,
"",,Wholesale,,,1500,1300,,1000,1100,1480,1500,,,1350,,,1200,,,1500,
"Dried Beans, Nambale",Kg,Retail,2400,,2000,2800,2000,1600,1500,1700,1700,1200,1400,1600,1700,,1300,1600,1900,1700,
"",,Wholesale,2200,,1800,2000,1800,1400,1400,1550,1600,1000,1300,1450,,,1200,1400,1650,1300,
"Dried Beans, Yellow",Kg,Retail,2400,1300,2000,1500,1800,1700,1550,1700,2300,,2000,1600,1700,1500,1500,1400,2000,1000,
"",,Wholesale,2200,1200,1800,1200,1700,1500,1400,1600,2200,,1850,1500,1600,1400,1300,1200,1750,800,
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500,6500,6000,5000,6500,7000,6000,5500,5800,7500,6000,6000,8000,6000,7000,
"",,Wholesale,4500,6000,5500,4700,5800,5200,4500,5000,6000,5500,5300,5600,6000,5800,5700,6500,5500,6500,
"Eggs, Local",tray,Retail,10000,9000,6500,9000,15000,9000,11000,8800,8500,,9000,7200,7500,,6000,9000,10000,6500,
"",,Wholesale,9000,7500,6000,7500,13000,7000,9000,6800,8000,,7500,7000,6000,,5700,7500,9000,5500,
"Fish, Nile Perch",Kg,Retail,6000,,7000,5500,,7000,7000,5000,7000,,4800,5000,5000,3800,8000,6500,5500,6000,
"",,Wholesale,5500,,7000,4500,,6000,6000,4000,6000,,4500,4500,5000,3200,7000,5000,4500,6000,
"Fish, Tilapia",whole,Retail,3500,5000,3500,5500,4500,5000,5500,5500,8500,,3500,5000,6000,4300,8000,8000,4500,6500,
"",,Wholesale,3000,3500,3000,4500,4000,4500,4500,4400,7500,,3000,4500,,3600,7000,7000,4000,5500,
Goat Meat,Kg,Retail,6000,5000,6000,5500,6000,6000,5000,5500,6000,5000,5000,5000,5500,6000,5000,5000,4500,5500,
"",,Wholesale,5000,3500,6000,4500,5700,4800,4500,4500,5000,4500,4500,4800,5500,5800,5000,4800,3600,5000,
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200,3000,3000,2700,2800,2700,2800,2000,2300,3000,2600,2800,2800,2600,2800,
"",,Wholesale,2600,2200,2800,2100,2500,2500,2450,2650,2600,2700,1800,2100,,2400,2500,2700,2400,2500,
"Honey, Processed",ltr,Retail,7500,7000,,6500,8000,8000,,8300,,,,6400,,,,8000,10000,10000,
"",,Wholesale,7000,6000,,4500,7500,7000,,7200,,,,6000,,,,6500,8000,9000,
"Honey, Unprocessed",ltr,Retail,,3500,,,5000,6500,,5200,,,,3300,,,,6000,7500,8000,
"",,Wholesale,,3100,,,4500,6000,,4200,,,,3100,,,,5000,6500,7500,
Irish Potatoes,Kg,Retail,615,500,1200,1500,1000,700,,700,900,400,600,700,1000,1400,1200,455,,1500,
"",,Wholesale,540,475,1000,1200,900,600,,600,800,350,530,600,,1300,1000,450,,1400
Maize Flour,Kg,Retail,1500,1200,1500,1400,1500,1500,1300,1200,1400,1200,1000,1400,1600,1300,1800,2000,1500,1600
"",,Wholesale,1300,1100,1200,1200,1300,1300,1150,1050,1300,1000,850,1200,1400,1200,1400,1800,1250,1100
Maize Grain,Kg,Retail,1100,900,1000,1000,1000,550,650,600,630,600,620,600,600,650,800,1500,570,1200
"",,Wholesale,1000,800,800,700,800,460,630,550,620,500,600,500,550,600,700,1400,465,1000
Matooke,Kg,Retail,380,375,1000,250,450,550,400,450,260,500,1200,500,400,,1200,,800,700
"",,Wholesale,330,325,1000,200,400,460,370,400,220,400,1000,450,350,,1000,,600,600
Matooke (Bunch),Bunch,Retail,11000,15000,18000,11000,16000,12000,18000,16000,13000,10000,12000,10000,16000,15500,,20000,12000,9000
"",,Wholesale,9000,13000,17000,9000,13000,10000,16000,13000,11000,8000,10000,8500,14500,14500,,15000,7700,7000
Milk,Ltrs,Retail,1000,1000,750,1000,1000,1000,1000,1000,800,550,800,800,1000,1000,12000,500,900,700
"",,Wholesale,800,900,700,800,900,900,900,900,700,400,700,700,1000,800,5000,350,600,600
Millet Flour,Kg,Retail,1200,1600,1300,1500,2000,1200,2000,1600,1500,1800,1800,1500,2000,1400,,2000,1600,1350
"",,Wholesale,900,1500,1200,1300,1800,1000,1800,1300,1400,1700,1700,1400,1800,1200,,1800,1400,1300
Millet Grain,Kg,Retail,1200,1500,1000,1600,1700,2000,1200,1200,1100,1300,1300,1100,1600,1200,,1500,1250,1500
"",,Wholesale,900,1400,800,1400,1600,1600,1150,1100,1000,1200,1250,1000,1500,900,,1400,950,1200
Pineapple,whole,Retail,1000,,2200,,1500,2000,1500,2000,2400,,3000,1400,,2600,,700,2000,800
"",,Wholesale,700,,2000,,1300,1500,1000,1500,2200,,2500,1100,,2000,,600,1300,500
Pork,Kg,Retail,5000,5000,5000,4500,,2000,5000,,5000,4000,3500,4000,5000,5000,5000,6000,4000,
"",,Wholesale,4200,4500,4500,3500,,3500,4000,,4500,3600,3000,3800,5000,4500,4500,5000,3000,
Rice (Kayiso),Kg,Retail,2000,2800,2500,2400,,2000,2200,1800,1700,2200,1800,2200,,2200,2000,,2500,2500
"",,Wholesale,1800,2500,2400,2000,,1800,2000,1680,1600,2100,1700,2000,,2000,1800,,2300,2500
Rice (Super),Kg,Retail,2400,2800,2500,2300,2400,2600,2500,2200,2400,2400,2400,2400,2200,2600,2500,2500,2500,2250
"",,Wholesale,2200,2500,2400,1800,2300,2300,2200,2050,2300,2300,2250,2200,2000,2500,2300,2350,2300,2200
Rice (Upland),Kg,Retail,2000,2000,2700,2300,2500,2000,2100,1850,1900,2000,,,2200,2000,2000,2400,2300,
"",,Wholesale,1800,1800,2000,1800,2300,1800,1900,1700,1750,1800,,,2000,1800,1800,2200,2100,
Simsim,Kg,Retail,3000,,2700,3300,4500,3000,3000,2500,2800,2500,3000,2400,2500,2700,2800,,3000,4000
"",,Wholesale,2800,,2500,2900,4000,2500,2400,2350,2700,2400,2900,2200,,2500,2500,,2500,3800
Sorghum Flour,Kg,Retail,1000,900,800,,1800,1200,1000,1000,1200,1000,800,1000,1500,1300,,900,,1400
"",,Wholesale,700,800,800,,1500,900,800,850,1000,900,700,700,1000,1100,,800,,1200
Sorghum Grain,Kg,Retail,700,800,800,,1600,1000,700,1400,900,,550,600,850,950,,,800,1000
"",,Wholesale,500,700,800,,1400,700,650,1150,800,,520,500,750,850,,,600,750
Soya Beans,Kg,Retail,2000,1400,1800,1600,2300,1700,1000,1000,1800,1800,1000,1400,,1300,1000,,1400,1400
"",,Wholesale,1800,1200,1500,1400,2000,1300,800,800,1700,1700,800,1100,,1200,950,,1300,1000
Sunflower,Kg,Retail,,,,,,,400,,,,,450,,,,,,
"",,Wholesale,,,,,,,370,,,,,400,,,,,,
Sweet Potatoes,Kg,Retail,530,333,1000,1500,400,500,620,1000,380,500,230,450,400,1200,700,1000,570,
"",,Wholesale,450,300,1000,1000,350,400,570,800,360,400,200,350,350,900,500,800,430,
Turkey,bird,Retail,,,35000,,42000,45000,45000,35000,55000,,,35000,,,,,30000,
"",,Wholesale,,,30000,,35000,35000,35000,33000,54000,,,34000,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,3500,
"",,Wholesale,,,,,,,2400,,,,,,,,,,3000,
