"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale Kasese,Mbarara
Apple Bananas,Kg,Retail,1000,500,850 500,1000,1200,1200,280,500,1000,500,800,1200,1500,900 700,1300
"",,Wholesale,800,400,800 450,700,1100,800,260,400,700,400,600,1000,1000,800 650,1200
Beef,Kg,Retail,5000,5000,5000 5000,5000,5000,5000,6000,5000,4500,6000,5000,5000 5000,4000,4000 4200,3800
"",,Wholesale,4500,4500,5000 4500,3800,4500,4500,5000,4500,4300,5500,5000,4800 5000,,3500 4000,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,600,500,260,,,550,800,1400 1200,,650,1350
"",,Wholesale,,,,,550,400,250,,,500,760,1200 1000,,600,1220
"Cassava, Flour",Kg,Retail,900,1200,1300 900,1000,600,1000,1000,1000,900,1000,800,1400 1200,1200,1200 900,
"",,Wholesale,700,1000,1000 700,800,550,800,900,900,800,700,750,1200 1000,1000,1000 800,
"Cassava, Fresh",Kg,Retail,540,400,1000 650,500,620,900,260,500,220,450,700,1200 1000,350,1500 750,1000
"",,Wholesale,460,300,1000 600,430,570,700,250,400,210,400,600,1000 800,250,1300 700,700
"Cassava, Sun dried",Kg,Retail,,,550,1000,600,500,650,,750,600,800,1000 1000,700,750,1400
"",,Wholesale,,,450,800,550,400,640,,650,500,750,900 800,600,700,1000
Cavendish (Bogoya),Kg,Retail,1250,600,2000 750,1100,1700,2200,700,600,1500,550,700,2000,1500,2800 1200,1800
"",,Wholesale,1000,500,1500 700,900,1600,1600,670,500,1000,400,600,1800,1000,2400 1000,1500
"Chicken, Exotic",bird,Retail,7500,,7500,6000,8000,5500,7000,,7500,8000,,5000,7000,10000 8000,12000
"",,Wholesale,7000,,7000,5000,6000,4800,6500,,6000,7000,,4500,6000,9000 7500,12000
"Chicken, Local",bird,Retail,9000,13000,18000,,18000,12000,15000,10000,7500,8000,10000,14000 8000,9000,15000 16000,14000
"",,Wholesale,8000,12000,15000,11500,15000,9000,14000,8000,6000,7500,9500,13000 6500,7500,12000 15500,12000
Coffee (Unprocessed),Kg,Retail,,,1400,,,,1100,,,,,,,,
"",,Wholesale,,,1200,,,,1000,,,,,,,,
Cotton (Unprocessed),Kg,Retail,,,,,,,800,,,,,,,,
"",,Wholesale,,,,,,,700,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000 6000,3000,2700,1700,2000,1800,1800,1500,2000,1450 1500,,2000,1600
"",,Wholesale,1800,1800,1800 5500,2500,2500,1550,1800,1700,1600,1300,,1300 1000,,1900,1500
"Dried Beans, Agwede",Kg,Retail,,,1600,1200,1200,1600,1400,,,,,1400,,,1600
"",,Wholesale,,,1500,1000,1100,1450,1300,,,,,1300,,,1500
"Dried Beans, Nambale",Kg,Retail,2000,,2000 2000,1600,1400,1600,1600,1200,1300,1600,1600,1500 1400,2200,1700 1200,1700
"",,Wholesale,1800,,1800 1800,1400,1300,1500,1500,1000,1200,1400,1450,1350 1300,1800,1500 1100,1300
"Dried Beans, Yellow",Kg,Retail,2000,1400,2000 2200,1800,1500,1650,2000,,2000,1600,1600,1500 1400,2000,1500 1800,1000
"",,Wholesale,1800,1300,1800 2000,1600,1400,1570,1800,,1800,1400,1500,1300 1300,1800,1400 1700,800
"Eggs, Exotic",tray,Retail,5000,6500,6000 6000,6000,5000,6200,6000,6000,5500,8500,7500,6000,2000,8000 6000,8000
"",,Wholesale,4500,6000,5500 5800,5200,4500,5000,5500,5500,5300,5600,6000,5800,1800,6500 5800,5500
"Eggs, Local",tray,Retail,8000,9000,6500 15000,9000,11000,8600,7500,7000,9000,7200,7500,6500,9000,9000 9000,8000
"",,Wholesale,7500,7500,6000 14500,7000,9000,6800,7000,6500,7500,6900,,6000,7500,7500 8500,5500
"Fish, Nile Perch",Kg,Retail,6000,,7000,7000,7000,5000,7000,,4600,4500,5000,3500 8000,,8000,6000
"",,Wholesale,5000,,7000,6000,6000,4000,6000,,4000,4000,4500,3000 7500,,7000,6000
"Fish, Tilapia",whole,Retail,4000,5000,4000 6500,4500,5500,5500,6000,,3500,6000,6300,4000 8000,7000,7000 4000,6500
"",,Wholesale,3500,3500,3500 5500,4000,4500,4400,5000,,3000,4500,,3500 7500,,5000 3700,5500
Goat Meat,Kg,Retail,6000,6000,6000 2800,6000,6000,5500,6000,5000,5000,5000,5500,6000 5000,5000,5000 6000,5000
"",,Wholesale,5000,5000,6000 2500,4800,4500,4500,5000,4500,4500,4600,5500,5800 5000,,4800 5800,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000 2800,3000,2800,2750,2800,2800,2300,2400,3300,2500 2600,3750,2800 2800,2800
"",,Wholesale,2600,2200,2800 2500,2500,2500,2600,2700,2700,2100,2100,,2300 2400,3000,2700 2700,2500
"Honey, Processed",ltr,Retail,7500,7000,3500 8000,8000,,8000,4000,,,6400,,,,9000,8000
"",,Wholesale,7000,6000,3000 7500,7000,,7000,3000,,,6100,,,,7500,7500
"Honey, Unprocessed",ltr,Retail,,3500,3000 10000,6500,,5000,2500,,10000,3300,,,,7000,8000
"",,Wholesale,,3100,2500 9000,6000,,4000,2000,,8000,3000,,,,6000,7500
Irish Potatoes,Kg,Retail,650,500,1200 1500,600,620,700,800,400,600,700,1000,1400 1200,800,458 1200,
"",,Wholesale,580,475,1000 1400,500,580,600,700,350,500,650,,1200 100,,450 1100,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Nakasero,Nakawa,Owino,Iganga Jinja,,Kapchorwa,Mbale,Soroti Arua,Gulu Lira,,,Hoima,Kabale,Kasese,Mbarara
"",,Wholesale,1400,1100,1200,1100,1300,1150,1150 1300,,1000,900,1000 1360,1100 1000,,,1300,1800,1100,1100
Maize Grain,Kg,Retail,1100,250,1000,1200,1100,640,620 640,,600,580,600 650,630 700,,,580,1500,,1200
"",,Wholesale,1000,800,800,1000,1000,620,570 630,,500,560,500 550,580 600,,,550,1400,,1000
Matooke,Kg,Retail,460,900,1200,800,690,400,440 240,,400,1500,500 400,1200,,,300,,1000,9000
"",,Wholesale,400,800,1200,600,590,370,410 220,,300,1200,450 350,1000,,,,,850,7000
Matooke (Bunch),Bunch,Retail,13000,10000,12000,8000,15000,18000,16000 12000,,8000,13000,10000 11000 15000,,,,8000,25000,18000,
"",,Wholesale,11000,8000,9000,7000,13000,16000,14000 11000,,6000,11000,8500 10000 13500,,,,,18000,17000,
Milk,Ltrs,Retail,1000,1000,700,700,1000,900,1000 800,,550,800,800 1000,1000 1000,,,700,500,750,700
"",,Wholesale,800,900,700,600,900,800,900 700,,400,700,700 1000,800 800,,,600,450,700,600
Millet Flour,Kg,Retail,1200,1600,1200,1350,1200,2000,1600 1500,,1800,1800,1500 2000,1400,,,2400,2000,1400,1350
"",,Wholesale,900,1500,1000,1300,1000,1800,1300 1400,,1700,1600,1350 1800,1200,,,,1800,1350,1300
Millet Grain,Kg,Retail,1200,1500,1000,1500,1700,1150,1200 800,,1300,1300,1100 1600,1100,,,1200,1500,1100,1500
"",,Wholesale,900,1400,1000,1200,1600,1100,1100 700,,1200,1250,1000 1500,950,,,1000,1400,1000,1200
Pineapple,whole,Retail,1200,800,2500,800,1500,1500,2000 1500,,,1500,1500 2500,2600,,,,1000,,800
"",,Wholesale,1000,500,2000,500,1000,1000,1500 1400,,,1000,1100,2000,,,,700,,500
Pork,Kg,Retail,5000,5000,4500,,5000,5000,5000,,4000,4400,4000 5000,5000 5000,,,5000,6000,,
"",,Wholesale,4500,4500,4500,,3500,4000,4500,,3600,4000,3800 5000,4500 4500,,,,5000,,
Rice (Kayiso),Kg,Retail,1800,2800,2500,,2000,2200,1700 1800,,2200,1800,2000 2000,2200 2000,,,,,,2600
"",,Wholesale,1600,2500,2100,,1800,2000,1600 1700,,2100,1700,1900,2100 1800,,,,,,2550
Rice (Super),Kg,Retail,2400,2300,2500,2500,2500,2400,2100 2000,,2400,2400,2300 2000,2550 2500,,,2000,2500,2400,2500
"",,Wholesale,2200,2200,2400,2300,2300,2200,1950 1800,,2300,2250,2100 1800,2400 2300,,,1800,2350,2200,2300
Rice (Upland),Kg,Retail,1700,2000,2000,,2000,2100,1750 2000,,2000,,2000,2000 2000,,,2000,2400,,
"",,Wholesale,1500,1800,2000,,1800,1900,1670 1500,,1800,,1800,1950 1800,,,1800,2200,,
Simsim,Kg,Retail,3000,,2800,4000,2800,3000,2500 3000,,2500,3000,2400 2600,2650 2600,,,,,2000,4000
"",,Wholesale,2800,,2500,3800,2400,2650,2350 2800,,2400,2800,2000,2450 2400,,,,,1800,3800
Sorghum Flour,Kg,Retail,1000,900,1200,1000,1200,1000,950 1100,,1000,900,1000 1500,1300,,,,900,1400,1000
"",,Wholesale,700,800,1000,750,900,850,750 1000,,900,700,750 13000,1100,,,,800,1300,750
Sorghum Grain,Kg,Retail,700,800,1000,,1000,700,650 1100,,,650,550 850,1000,,,,,1100,1200
"",,Wholesale,500,700,900,1100,700,650,550 1000,,,600,500 750,800,,,,,1000,1100
Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1000,1450 1700,,1800,1650,1200,1000,,,2000,2700,,1400
"",,Wholesale,1800,1200,1500,1000,1400,800,1250 1500,,1700,1500,1000,950,,,,2500,,1000
Sunflower,Kg,Retail,,,,,,400,,,,,500,,,,,,,
"",,Wholesale,,,,,,370,,,,,450,,,,,,,
Sweet Potatoes,Kg,Retail,670,333,1000,1500,400,600,1000 370,,500,230,400 400,1200 500,,,200,1000,1000,
"",,Wholesale,560,300,1000,1100,350,550,800 330,,400,220,350 350,1000 400,,,150,800,800,
Turkey,bird,Retail,,,35000,,45000,45000,33000 54000,,,,33000,,,,,,,
"",,Wholesale,,,30000,30000,35000,35000,30000 50000,,,,32000,,,,,,,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,,
"",,Wholesale,,,,,,2400,,,,,,,,,,,,
