"",,,,,,Central,,,,Eastern,,,,Northern,,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,800,800 1200,1000 1100,1000,,500,1000,500,700,1000,1500,900,750 600,1300
"",,Wholesale,800,400,700,600 1100,700 900,700,,400,800,400,600,800,,800,700 400,1200
Beef,Kg,Retail,5000,4000,5000,5000 5000,5000 5000,5000,6000,5000,4400,6000,5000,5000 5000,4000,4000,4200 4000,3800
"",,Wholesale,4500,3500,4500,4500 4500,3800 4500,4500,5000,4500,4000,5600,5000,4800 5000,,3500,4000 3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,600,500,260,,,550,800,1500 1200,,,700,1000
"",,Wholesale,,,,,550,400,250,,,450,770,1200 1000,,,650,800
"Cassava, Flour",Kg,Retail,800,1200,1300,1100 1300,1000 800,1000,1200,1000,1000,1000,850,1500 1000,1200,1200,900 1000,1300
"",,Wholesale,700,1000,1000,800 1200,780 700,800,1100,900,800,700,770,1300 950,1000,1000,800 700,1220
"Cassava, Fresh",Kg,Retail,,400,1000,1100 550,500 620,900,260,500,220,450,700,1300 1000,350,1800,260 550,800
"",,Wholesale,,300,1000,800 500,420 570,700,240,400,210,400,600,1000 800,250,1500,240 400,700
"Cassava, Sun dried",Kg,Retail,,,600,,1000 600,500,650,,750,600,800,1500 1000,650,,750 500,1100
"",,Wholesale,,,500,,780 550,400,630,,650,500,750,1300 800,600,,700 400,1000
Cavendish (Bogoya),Kg,Retail,1300,600,1800,1000 1200,1000 1300,2200,720,600,2000,550,700,2500 1800,1500,,1300 500,1500
"",,Wholesale,1100,500,1500,800 1000,800 1100,1600,680,500,1500,500,600,2000 1600,1000,,1200 350,1350
"Chicken, Exotic",bird,Retail,7500,,18000,10000 9000,6500 8000,5800,7500,,6500,8000,,9000 4500,7000,9000,7800 8000,12000
"",,Wholesale,7000,,15000,8500 8000,5500 6000,5000,6500,,5000,7000,,8000 4000,6000,7000,7000 5000,10000
"Chicken, Local",bird,Retail,10000,13000,18000,15000 14000,18000,13000,15000,10000,6500,8000,8000,13800 9000,12000,12000,17000 10000,11000
"",,Wholesale,8500,12000,15000,13000 12000,11500 15000,10000,14000,8000,5000,7000,7500,13000 7000,10000,9000,16500 9000,10000
Coffee (Unprocessed),Kg,Retail,,2100,1400,1000,,1900,1200,,,,,,,,1000,
"",,Wholesale,,1700,1200,800,,1785,1100,,,,,,,,850,
Cotton (Unprocessed),Kg,Retail,,,,,,,800,,,,,,,,,
"",,Wholesale,,,,,,,700,,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000,2600 3000,2500 2700,1800,2400,1800,2000,1500,2000,2000 1500,3000,,2400 2200,
"",,Wholesale,1800,1800,1800,2400 2000,2000 2500,1600,2200,1700,1800,1200,,1800 1000,,,2200 2000,
"Dried Beans, Agwede",Kg,Retail,,,1600,1600,1200 1100,1600,1500,,,1400,,1400,,,,
"",,Wholesale,,,1500,1300,1000 1000,1450,1400,,,1200,,1200,,,,
"Dried Beans, Nambale",Kg,Retail,2000,,2000,2700 2500,1500 1200,1600,1700,1200,1300,1500,1700,1400 1400,1800,1700,1700 1800,1500
"",,Wholesale,1800,,1800,2200 2200,1300 1100,1500,1600,1000,1200,1250,1500,1200 1200,1400,1500,1600 1600,1400
"Dried Beans, Yellow",Kg,Retail,2000,1400,2000,1500 2300,1700 1350,1650,2000,,2500,1500,1700,1600 1500,1800,1500,2000 1800,1650
"",,Wholesale,1800,1300,1800,1200 2200,1400 1250,1570,1800,,1800,1400,1500,1400 1300,1400,1400,1800 1700,1500
"Eggs, Exotic",tray,Retail,5000,6500,6000,6700 5800,6000 5000,6200,6000,6000,5500,5800,7500,6000 6000,6000,8000,6000 6000,6500
"",,Wholesale,4500,6000,5500,4500 5500,5000 4500,5000,5700,5500,5300,5600,6000,5800 5700,4500,6500,5700 5500,6000
"Eggs, Local",tray,Retail,8000,9000,6500,9000 12000,9000 11000,8600,7500,7000,6500,7200,9000,7000,9000,9000,7500 10000,6000
"",,Wholesale,7000,7500,6000,7500 11000,7000 9000,6800,7000,6500,5000,7000,,6000,,7500,7000 9000,5500
"Fish, Nile Perch",Kg,Retail,5500,,7000,6700,7000 7000,4800,7000,,5000,4500,5000,4500 8000,,10000,5500,7000
"",,Wholesale,5000,,7000,4500,6000 6000,3800,6500,,4500,4000,4500,3500 7000,,8000,4500,6500
"Fish, Tilapia",whole,Retail,3500,5000,3500,6000 6000,4000 5000,5200,8500,,4500,6000,6000,5000 8000,7000,8000,8500 4500,6000
"",,Wholesale,3000,3500,3000,5000 5000,3500 4500,4000,8000,,4000,5000,,4000 7000,,7000,8000 4000,5500
Goat Meat,Kg,Retail,6000,6000,6000,5500 6000,6000 6000,5500,600,5000,5000,5000,5500,6000 5000,5000,5000,6000 4500,4500
"",,Wholesale,5000,5000,5500,4500 5500,4800 4500,4500,5000,4500,4500,4700,5500,5800 5000,,4800,5000 3600,4000
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200 3000,3000 2800,2800,3000,2800,2400,2400,3300,2650 2700,3300,2800,3000 2700,3000
"",,Wholesale,2600,2200,2800,2100 2500,2700 2500,2620,2800,2700,2000,2000,,2450 2500,2600,2700,2800 2400,2800
"Honey, Processed",ltr,Retail,,7000,3500,5500 8000,8000,7800,6000,,,6400,,,,9000,10000,7000
"",,Wholesale,,6000,3000,4000 7500,7000,6700,4500,,,6100,,,,7500,8000,6500
"Honey, Unprocessed",ltr,Retail,,3500,3000,5000,6000,4900,4000,,,3200,,,,7000,7500,7500
"",,Wholesale,,3100,2500,4500,5500,3900,3000,,,3000,,,,6000,6500,7000
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Irish Potatoes,Kg,Retail,650,333,1200,1500 900,600 620,700,800,500,500,800,1000,1400,1200,700,400,800,,
"",,Wholesale,58,316,1000,1200 800,500 580,600,700,400,450,650,,1250,1000,600,360,700,,
Maize Flour,Kg,Retail,1500,1300,1200,1800 1700,1500 1300,1300,1300,1200,1000,1400,1600,1400,1200,1400,2000,1300,1500,1500
"",,Wholesale,1400,1100,1200,1000 1500,1300 1100,1150,1200,1000,850,1000,1400,1200,1000,1300,1800,1200,1250,1400
Maize Grain,Kg,Retail,1100,800,1000,1000 1400,1000 635,620,640,600,560,600,650,710,700,600,1500,,600,1100
"",,Wholesale,1000,700,800,700 1000,900 625,570,320,500,520,550,550,640,600,550,1400,,550,1000
Matooke,Kg,Retail,470,250,1200,450 500,640 405,420,240,400,1000,500,350,,1200,400,,240,800,
"",,Wholesale,410,200,1000,375 450,550 380,400,200,300,900,450,300,,1000,,,200,600,
Matooke (Bunch),Bunch,Retail,13000,10000,10000,19000 15000,14000 19000,15000,12000,8000,10000,10000,9000,15500,,10000,25000,12000,12000,10000
"",,Wholesale,11000,8000,9000,16000 13000,12000 16000,13600,10000,6000,7000,8000,8500,14500,,,18000,10000,8000,9000
Milk,Ltrs,Retail,1000,1000,800,1000 900,1000 800,1000,800,550,900,800,1000,1000,1000,800,,800,800,600
"",,Wholesale,800,900,700,800 800,900 700,900,700,400,800,650,1000,800,800,650,,700,600,500
Millet Flour,Kg,Retail,1000,1600,1200,1500 2000,2000 2000,1600,1600,1800,1800,1500,2000,1400,,2800,2000,1600,1600,1600
"",,Wholesale,900,1500,1000,1300 1800,1600 1800,1300,1500,1700,1700,1300,1800,1200,,,1800,1500,1200,1500
Millet Grain,Kg,Retail,1000,1500,1000,1600 1700,1200 1200,1200,1100,1300,1300,1100,1600,1200,,1200,1500,1100,1600,2000
"",,Wholesale,900,1400,1000,1400 1600,1000 1150,1100,1000,1200,1200,1000,1500,1100,,1000,1400,1000,1200,1800
Pineapple,whole,Retail,1000,800,2000,1000 1300,1000 1500,2000,1600,,2500,1800,2000,2300,,,1000,,2500,700
"",,Wholesale,800,500,1800,800 1000,700 1200,1500,1400,,2000,1400,,2000,,,700,,1950,500
Pork,Kg,Retail,5000,5000,4500,,4000 5000,,6000,4000,4400,4000,5000,4500,5000,5000,6000,,4000,
"",,Wholesale,4500,4500,4500,,3500 4500,,5000,3600,3700,3800,5000,4300,4500,,5000,,3300,
Rice (Kayiso),Kg,Retail,1800,2800,2500,2400,1900 2200,1700,1700,2200,1700,2000,2200,2200,2000,,,,2500,2600
"",,Wholesale,1600,2500,2400,2000,1700 2000,1600,1600,2100,1500,1900,,2100,1800,,,,2300,2550
Rice (Super),Kg,Retail,2400,2300,2500,2400 2600,2600 2400,2050,2200,2400,2400,2400,2500,1700,2500,2000,2500,2200,2500,2500
"",,Wholesale,2100,2200,2400,1900 2500,2200 2200,1920,2000,2300,2200,2000,1800,1550,2300,1750,2350,2000,2350,1000
Rice (Upland),Kg,Retail,1600,2200,2000,2300,1900 2100,1750,1800,2000,,,2000,1700,2000,2000,2400,,2300,
"",,Wholesale,1500,2000,2000,1800,1700 1800,1670,1700,1800,,,1800,1550,1800,1700,2200,,2100,
Simsim,Kg,Retail,3000,,2800,3300 5000,3500 3000,2600,3000,2500,3000,2400,2500,2700,2600,,,3000,3000,3800
"",,Wholesale,2800,,2500,2900 4000,2800 2600,2400,2800,2400,2800,2000,,2550,2400,,,2800,2500,3500
Sorghum Flour,Kg,Retail,1000,900,1200,1800,1000 1000,950,1000,1000,900,1000,1500,1300,,,1000,1000,,900
"",,Wholesale,700,800,1000,1500,700 850,750,900,900,850,700,1300,1200,,,800,900,,750
Sorghum Grain,Kg,Retail,700,800,1000,1600,800 700,650,900,,600,500,850,1100,,,,900,1000,1000
"",,Wholesale,500,700,900,1400,500 650,550,850,,550,450,750,900,,,,850,750,900
Soya Beans,Kg,Retail,2000,1400,1800,1900 2300,1600 1000,1500,1800,1800,1700,1200,,,1000,2000,2700,,1600,
"",,Wholesale,1800,1200,1500,1800 2000,1300 800,1300,1700,1700,1500,1000,,,900,1200,2500,,1300,
Sunflower,Kg,Retail,,,,,,,,,,500,,,,,,,,
"",,Wholesale,,,,,,,,,,450,,,,,,,,
Sweet Potatoes,Kg,Retail,530,333,1000,1500 400,400 600,1000,350,500,220,550,350,1200,500,250,1500,350,650,
"",,Wholesale,450,300,1000,1000 350,350 550,800,320,400,210,450,300,900,400,150,1000,320,450,
Turkey,bird,Retail,,,35000,32000,45000 45000,33000,,,,36000,,,,,,,30000,
"",,Wholesale,,,30000,25000,35000 40000,30000,,,,34000,,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,2700,,,,,,,,,,,,3500,
"",,Wholesale,,,,,2400,,,,,,,,,,,,3000,
