"",Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,700,800,500,1000,1100,1000,270,500,1000,500,700,1000,,1500,900,700,600,
"",,Wholesale,800,400,650,600,450,700,900,700,240,400,800,450,600,800,,,800,650,400,
Beef,Kg,Retail,5000,4000,5000,5000,5000,5000,5000,5000,6000,5000,4400,6000,5000,5000,5000,4000,4000,4200,4000,3800
"",,Wholesale,4500,3500,4500,4500,4500,3800,4500,4500,5000,4500,4000,5500,5000,4800,5000,,3500,4000,3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,,,500,270,,,550,800,1300,1000,,,700,,1000
"",,Wholesale,,,,,,,,400,260,,,450,770,1100,950,,,680,,800
"Cassava, Flour",Kg,Retail,900,1200,1300,1100,900,1000,800,1000,1200,1000,1000,1000,900,1700,1000,1200,1200,900,1000,1300
"",,Wholesale,700,1000,1000,800,700,800,700,800,1100,900,800,700,850,1500,900,800,1000,800,700,1220
"Cassava, Fresh",Kg,Retail,,400,1000,1100,650,430,620,900,280,500,220,450,700,1200,1000,350,1800,800,550,800
"",,Wholesale,,300,1000,800,600,350,570,700,260,400,210,400,600,900,800,280,1500,700,400,700
"Cassava, Sun dried",Kg,Retail,,,600,,,1000,600,500,650,,750,550,800,1300,1000,650,,750,500,1200
"",,Wholesale,,,500,,,800,550,400,640,,650,450,750,1100,800,550,,700,400,1000
Cavendish (Bogoya),Kg,Retail,1200,600,1700,900,1450,1000,1300,2200,720,600,2000,550,700,2500,2000,1500,2500,1400,500,1500
"",,Wholesale,1000,500,1500,700,1300,800,1100,1600,680,500,1500,500,600,2000,1500,,2300,1200,350,1350
"Chicken, Exotic",bird,Retail,7500,,10000,10000,9000,6000,8000,5800,7500,,6500,8000,,8500,4500,6500,9000,7800,8000,12000
