CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,500,750,800,1000,1300,1000,270,600,700,550,650,1300,,900,700,600,1300,81
"",,Wholesale,800,400,700,600,900,1200,700,260,500,500,500,600,1000,,800,700,450,1200,69
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,5000,6000,5000,4500,6000,5000,5000,5000,4000,4200,4000,3800,483
"",,Wholesale,4500,4500,4500,4500,4700,4500,4500,5000,4500,4000,5500,5000,4800,5000,3500,4000,3500,3500,444
"Cassava, Dry Fermented",Kg,Retail,,,,,,,500,280,,,550,900,1500,1200,,700,,,80
"",,Wholesale,,,,,,,400,270,,,500,800,1300,1000,,680,,,70
"Cassava, Flour",Kg,Retail,800,1200,1300,1100,1300,800,1000,1200,1000,900,1000,900,1800,1000,1200,900,1000,1300,109
"",,Wholesale,700,1000,1000,800,1200,700,800,1100,900,700,700,800,1500,900,1000,800,700,1220,91
"Cassava, Fresh",Kg,Retail,500,400,1000,1100,450,620,900,250,500,900,450,700,1300,1000,1800,1100,550,800,79
"",,Wholesale,350,300,1000,800,400,570,700,230,400,700,400,600,1000,800,1500,800,400,700,64
"Cassava, Sun dried",Kg,Retail,,,600,,,600,500,680,,600,550,850,1500,1000,,750,500,1100,76
"",,Wholesale,,,500,,,550,400,660,,550,500,800,1300,800,,700,400,1000,68
Cavendish (Bogoya),Kg,Retail,1200,600,1700,900,1300,1800,2000,800,1000,1500,550,650,,2000,2500,1400,500,1300,127
"",,Wholesale,1100,500,1600,700,1200,1600,1400,750,800,1000,500,600,,1800,2300,1200,350,1000,108
"Chicken, Exotic",bird,Retail,7500,,10000,10000,9000,8000,5500,8000,,7000,8000,,9000,4500,9000,7800,8000,12000,822
"",,Wholesale,6500,,9000,8500,8500,6000,5000,7000,,5500,7500,,8000,4000,7000,7000,6000,10000,703
"Chicken, Local",bird,Retail,10000,13000,18000,15000,15000,18000,13500,15000,10000,6500,8000,8000,13500,8000,12000,17000,10000,11000,1230
"",,Wholesale,8500,12000,15000,13000,13000,15000,11000,14000,8000,5000,7500,7500,12500,6500,9000,16000,9000,10000,1069
Coffee (Unprocessed),Kg,Retail,,,1400,1000,,,,1200,,,,,,,,,,,120
"",,Wholesale,,,1200,800,,,,1100,,,,,,,,,,,103
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,,,80
"",,Wholesale,,,,,,,,700,,,,,,,,,,,70
Cow Peas,Kg,Retail,2000,1900,2000,2600,3000,2800,1800,2500,1800,1700,1350,2500,1500,1500,,2100,2200,,207
"",,Wholesale,1800,1800,1800,2400,2500,2500,1600,2300,1700,1500,1200,,1300,1000,,2000,2000,,182
"Dried Beans, Agwede",Kg,Retail,,,2000,1600,,,1600,1600,,,1350,,,1500,,,,,160
