"",,,,,Central,,,,,,Eastern,,,Northern,,Western,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Gulu Lira,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,700 1200,750,1000,1200,1500,240,500,1200,500,1400,800,1200 500,850
"",,Wholesale,800,400,600 800,700,700,1100,1000,200,400,1000,450,1200,700,1000 320,800
Beef,Kg,Retail,5000,4500,4500 5000,5000,5000,5000,4500,6000,5000,4500,4500,5000 5000,4000,4200 4000,4200
"",,Wholesale,4500,4500,4500 4500,4500,3800,4500,4000,5000,4000,4300,3900,4500 5000,3500,4000 3500,4000
"Cassava, Dry Fermented",Kg,Retail,,,,,,480,510,350,,700,550,1700 1100,,700,1000
"",,Wholesale,,,,,,450,410,280,,600,450,1500 900,,680,800
"Cassava, Flour",Kg,Retail,800,1200,1000 1200,1000,900,650,1050,800,1000,700,1000,2500 900,1200,900 1000,1000
"",,Wholesale,700,1000,800 800,900,730,570,810,700,900,600,700,2300 700,1000,800 700,800
"Cassava, Fresh",Kg,Retail,450,400,1000 1300,350,400,500,1000,240,500,130,400,1500 1200,1000,1100 500,800
"",,Wholesale,400,300,1000 800,300,325,480,800,200,400,120,380,1200 1000,900,1000 370,700
"Cassava, Sun dried",Kg,Retail,,,600,,900,480,500,720,,150,550,1500 600,,750 500,1100
"",,Wholesale,,,500,,730,450,400,700,,130,450,1200 500,,700 400,1000
Cavendish (Bogoya),Kg,Retail,1300,700,1500 1100,900,1000,1600,2500,800,1000,2000,600,2800 2000,3000,1500 500,900
"",,Wholesale,1200,600,1400 800,800,800,1500,1700,730,800,1500,450,2200 1800,2500,1400 300,800
"Chicken, Exotic",bird,Retail,7500,,7000 7000,7500,6000,7000,6000,8000,,7000,8000,9000 5000,8000,8500 9000,13000
"",,Wholesale,7000,,6500 5000,6500,5000,5500,5000,7000,,6000,7000,7500 4500,7000,8000 7000,10000
