"",,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,WESTERN,,,,
CommodityName,Unit,,KAL KIB,LUW,MSK,NAK,OWI,BUS IGA,JJA,MBA,SOR,ARU GUL,LRA,HOI KLE,KSR,MBR,Avg,Organic prices
Animal Products,,,,,,,,,,,,,,,,,,
Beef,Kg Retail,,5000 5000,4500,5500,5000,6000,5200 4500,7000,5000,4500,5500 6000,5000,5000 5000,4500,4500,5150,
"",Wholesale,,4800 4500,4000,4500,3800,5500,5100 4000,6500,4500,4300,5500 5500,4500,4000 4800,3700,4000,4639,
Goat Meat,Kg Retail,,6000 6000,7000,6500,6000,6000,5000 4700,6000,6000,5000,6000 6500,6000,6000 6000,6000,6000,5927.8,
"",Wholesale,,5500 5000,5500,5000,4800,5000,4800 4200,5000,5000,4800,6000 6000,5000,4500 5800,4000,5500,5077.8,
"Honey, Processed",Kg Retail,,7000,,7500,8000,,8800,6000,,7000,7000,,5000,10000,6000,7230,
"",Wholesale,,6000,,5500,7000,,7200,5000,,6600,4300,,4800,8000,5500,5990,4000
"Honey, Unprocessed",Kg Retail,,3500,,,6500,,5400,4000,,5500,,,4500,8000,5000,5300,
"",Wholesale,,3100,,,6000,,4600,3000,,4800,,,4000,7000,4500,4625,
Milk,Ltrs Retail,,1200 800,1000,1000,1000,,1200 1000,800,1000,800,1000 1000,800,1500 500,1000,800,965,
"",Wholesale,,1000 700,800,500,900,,800 900,700,900,700,1000 800,700,1200 450,600,600,779,
Pork,Kg Retail,,5000,5000,5000,5000,,4000,7000,4200,4000,6000 6000,,5500,4000,6000,5130.8,
"",Wholesale,,4500,4300,4000,3500,,3800,6000,3700,3800,6000 5000,,5000,3500,5500,4507.7,
Cereals,,,,,,,,,,,,,,,,,,
Maize Flour,Kg Retail,,700 900,1800,750,1200,800,800 750,700,600,1000,1000 800,800,1100 1000,1200,1600,972,
"",Wholesale,,400 800,1500,650,900,600,700 530,600,500,650,900 600,580,900 800,1000,1400,778,
Maize Grain,Kg Retail,,500 400,1100,320,700,350,300 280,280,280,350,400 350,300,500 500,240,900,447,
"",Wholesale,,300 350,800,230,600,265,295 250,270,270,280,300 300,250,200 450,200,800,356,
Millet Flour,Kg Retail,,2000 1300,1500,1400,2000,1800,1400,1500,1800,1500,2000 1800,,1500 1500,1700,1800,1656.3,
"",Wholesale,,1000 1200,1400,1200,1600,1500,1100,1400,1600,1350,1500 1500,,1000 1400,1500,1500,1359.4,
Millet Grain,Kg Retail,,1600 1100,1000,1500,1200,850,1000 1100,1000,1000,800,1000 1000,1000,1300 1000,1300,1500,1125,
"",Wholesale,,1400 1000,750,1400,1000,800,930 900,900,800,780,650 800,750,1000 900,1200,1300,959,
Rice (Kayiso),Kg Retail,,1600 2300,1800,2100,1600,1400,1300 1250,1700,1200,1400,1600 2200,1500,,2500,2700,1759.4,
"",Wholesale,,1200 2100,1600,1700,1400,1200,1200 1100,1600,1100,1300,1400 1800,1250,,2300,2500,1546.9,
Rice (Super),Kg Retail,,2000 2100,2000,2100,2000,1600,1600 1800,1800,1800,1800,2000 2500,1500,1500 2000,2600,2500,1955.6,
"",Wholesale,,1600 2000,1800,1700,1600,1350,1400 1590,1700,1600,1500,1500 2000,1250,1250 1800,2300,2000,1663.3,
Rice (Upland),Kg Retail,,2000 1600,,2600,1600,1600,1300 1700,1600,,,2000 1600,1400,3000,2100,2800,1921.4,
"",Wholesale,,1600 1500,,1950,1400,1350,1200 1600,1500,,,1400 1300,1250,2500,1800,2500,1632.1,
Simsim,Kg Retail,,3500,3000,3200,3000,4000,2800,2800,3500,3000,2400 2700,3000,,2700,3700,3092.9,
"",Wholesale,,3000,2600,2900,2500,3000,2630,2700,2800,2700,2000 2500,2800,,2300,3500,2709.3,
Sorghum Flour,Kg Retail,,1800 800,,,1000,600,850,700,350,600,1000 1400,,1500,,1000,967,
"",Wholesale,,1400 700,,,700,550,550,600,300,450,800 1300,,1400,,850,800,
Sorghum Grain,Kg Retail,,1600 750,,,800,350,350 600,500,280,270,600 300,300,1100,800,850,630,
"",Wholesale,,1200 650,,,500,300,300 400,450,260,250,350 250,190,900,700,700,493,
Fish,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg Retail,,7000,7000,5500,7500,8000,5500,7000,4000,5000,5000 4500,5000,,,,5916.7,
"",Wholesale,,6000,6000,4500,6000,6500,4500,6500,3200,4500,3800,4500,,,,5090.9,
"Fish, Tilapia",whole Retail,,4000 7500,8500,5500,4500,6000,4300 7000,9000,8000,6500,7500 5300,8000,5000 12000,4500,6500,6644.4,
"",Wholesale,,3500 6500,7000,4500,4000,5000,3900 5600,8000,7000,4600,4500,7000,4000 10000,3600,6000,5570.6,
Fruits,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg Retail,,2500 600,,,1000,1300,1200 1400,180,1000,900,800 1600,3000,700 1000,450,1700,1208.1,
"",Wholesale,,1800 550,,,700,1200,1000 900,170,800,800,650 1300,2600,500 800,320,1500,974,2000
Cavendish (Bogoya),Kg Retail,,3000 800,2200,1000,1200,1900,1600 2700,550,2000,950,850 1500,3000,5000 3000,500,2500,1902.8,
"",Wholesale,,2500 700,1800,500,800,1600,1350 2200,450,1500,800,600 1200,2400,2500 2500,400,2000,1433.3,
Matooke,Kg Retail,,800 200,1000,375,475,320,800 350,270,1000,1000,350 1200,1000,1500,400,900,702,
"",Wholesale,,500 175,900,150,385,280,600 300,220,800,850,300 1000,800,1000,300,800,551,
Matooke (Bunch),Bunch Retail,,10000 8000,12000,8500,11000,11000,12000 15200,13500,10000,21000,10000 17500,10000,7000 15000,8000,7500,11511,
"",Wholesale,,9000 7000,8000,6000,9000,9000,10000 12500,11000,8000,18000,9000 15500,8000,5500 10000,6300,7000,9377.8,
Pineapple,whole Retail,,2500 800,1500,1600,2000,1000,1700 1500,1700,1500,2500,2500 1500,3100,1000 600,2000,1300,1683.3,
"",Wholesale,,1700 700,1000,600,1700,800,1500 1000,1500,1000,2200,1000,2700,800 500,1600,1000,1252.9,2500
"",,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,WESTERN,,,,
CommodityName,Unit,,KAL KIB,LUW,MSK,NAK,OWI,BUS IGA,JJA,MBA,SOR,ARU GUL,LRA,HOI KLE,KSR,MBR,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000 2500,3600,2200,3000,2600,2400 2600,2700,2600,2500,3000 2300,2800,2400 2800,3100,2800,2716.7,
"",,Wholesale,2500 2400,3000,2000,2600,2350,2200 2500,2600,2300,2100,2800 2300,2300,2300 2700,2800,2600,2463.9,
Soya Beans,Kg,Retail,1600 1400,2500,1900,1500,1200,1200 1200,1700,1300,1200,1500,1000,1500,1600,2300,1537.5,
"",,Wholesale,1200 1300,2000,1800,1200,1050,1000 1100,1600,1200,950,,900,800,1300,2000,1293.3,
Sunflower,Kg,Retail,,,,,,,,,,,800,,,2900,1850,
"",,Wholesale,,,,,,,,,,,700,,,2700,1700,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,5500,12000,6500,7000,8000,6500 5600,7000,7000,8500,8000,10000,7500 10000,9700,10000,8050,
"",,Wholesale,5000,10000,5500,6000,6000,6000 5000,6000,6000,6500,,9000,6500 9000,7900,9000,6893.3,
"Chicken, Local",bird,Retail,10000 12000,18000,8000,,15000,10000 12000,14000,8000,12000,12000 12500,17000,11000 15000,11000,14000,12441,
"",,Wholesale,8500 10000,15000,7000,11500,13000,9000 9000,13000,6500,9500,10000 10000,15000,8500 13000,9000,12500,10556,15000
"Eggs, Exotic",tray,Retail,6000 6500,6000,5500,6000,5500,7500 6700,6000,6500,6500,7500 7200,7500,7500 6500,6500,9000,6688.9,
"",,Wholesale,5500 6300,5000,4500,5000,5000,6300 6300,5500,6300,6400,6500 5700,6500,6000 6000,5800,8000,5922.2,
"Eggs, Local",tray,Retail,15000 9000,10000,10000,12000,13000,9000 8800,10000,9000,9000,7500,10500,8500 10500,12000,7300,10065,
"",,Wholesale,10000 7500,8000,9500,8000,10000,7500 7000,9500,7500,8500,,8000,7500 9000,9000,6800,8331.3,
Turkey,bird,Retail,,38000,,42000,40000,8000 33000,42000,30000,30000,,,,30000,,32556,
"",,Wholesale,,30000,,35000,30000,8000 31000,38000,25000,25000,,,,26000,,27556,
Pulses,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3000 2700,3000,1400,2200,4000,1800,2300,,1500,2500 900,,3000,2200,1400,2278.6,
"",,Wholesale,2700 2500,2800,1200,1800,3500,1680,2100,,1300,1600 700,,2200,2000,1200,1948.6,
"Dried Beans, Agwede",Kg,Retail,,1800,1200,1400,1300,1450,1000,,,,1000,,,,1307.1,
"",,Wholesale,,1600,1100,1200,1200,1220,900,,,,800,,,,1145.7,
"Dried Beans, Nambale",Kg,Retail,2000,1600,1200,1800,1500,1700 1600,1500,1200,1600,1500 1700,1500,2000 1100,,1700,1575,
"",,Wholesale,1800,1400,1100,1500,1350,1500 1400,1300,1100,1450,1400 1300,1200,1800 1000,,1500,1381.3,
"Dried Beans, Yellow",Kg,Retail,2200 1400,1800,1050,2000,1800,2000 1800,1800,1500,1800,1600 1600,1400,2000,1800,1800,1726.5,
"",,Wholesale,2000 1300,1700,850,1700,1600,1800 1650,1600,1300,1550,1500 1300,1200,1800,1500,1600,1526.5,
Root Crops,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,350,260,140,,300,300 1500,,,,1000,550,
"",,Wholesale,,,,,300,220,130,,210,250 1200,,,,800,444,
"Cassava, Flour",Kg,Retail,700 1000,800,1100,800,600,600 400,700,500,650,500 1700,800,1000 1000,1000,1000,825,
"",,Wholesale,500 800,500,600,500,450,500 320,600,400,450,370 1400,700,800 900,700,800,627,
"Cassava, Fresh",Kg,Retail,500 550,1500,1000,350,400,650 750,160,,300,500 600,350,2000 1500,300,700,712,
