"",,,,Central,,,EASTERN,,ORTHERTHWEST Southwestern WESTERN,,,,,Organic
commodity,Units,,Kalerwe Kiboga,Masaka Nakawa Owino,Busia,Iganga,Jinja Kapchor Mbale,Soroti,Lira Arua Kabale Kisoro Mbarara Fort PortHoima,,,Avg,,prices
Animal Products,,,,,,,,,,,,,,
Beef,1kg Retail,,6000 5000,5500 6000 6000,6000,5500,8000 5400 6000,4200,5000 6000 5000 6000 6000 6000 5000,,,5700,,
"",Wholesale,,5500 3800,5000 4800 5500,5800,5000,7000 5100 6000,4000,4500 6000 4900 5000 5750 6000 4000,,,5203,,
Goat Meat,1kg Retail,,8000 6500,6500 7000 8000,6000,6800,8000 6000 7000,8000,6000 7000 7000 7000 7250 7000 6000,,,6947,,
"",Wholesale,,6500 4500,5500 6000 600,5800,5800,7000 5500 7000,6500,5000 7000 6800 6000 6750 7000 4500,,,5764,,
Milk,1kg Retail,,1200 1000,1000 1200 1200,1400,1000,800 550 1200,1250,1000 1000 600 800 1100 900 1200,,,1022,,
"",Wholesale,,1000 800,600 1000 1000,1200,900,700 400 1000,1100,950 500 700 1000 500 1000,,,844,,
Pork,1kg Retail,,6000 5000,5500 6000,4600,,6500 4500 5000,4700,6000 6000 5000 7000 5000 5000,,,5453,,
"",Wholesale,,5500 3800,4500 4000,4400,,5500 4000 4500,4350,5800 4500 6500 4500 3500,,,4668,,
Processed Honey,1kg Retail,,10000,10500 9000,,8000,6000,7000,4500 8000 7000 12500 20000,,,9318,,
"",Wholesale,,8000,7800 8000,,7400,5000,6800,4000 7500 6000 10000 18000,,,8045,,4000
Unprocessed Honey,1kg Retail,,8000,7500,,5400,5000,5500,3000 6000 3500 6500,,,5600,,
"",Wholesale,,7000,7000,,4700,4000,5000,5500 3100 5000,,,5163,,
Cereals,,,,,,,,,,,,,,
Kayiso Rice,1kg Retail,,2400 2500,2200 2400 2200,1400,1700,2300 1600 2400,2300,2500 2450 2500 2400,,,2217,,
"",Wholesale,,2000 2300,2000 2100 2100,1300,1600,2100 1400 2200,1850,2200 2250 2200 2200,,,1987,,
Maize Flour,1kg Retail,,1500 1600,1750 2000 1600,1700,1200,1500 1400 1400,1550,1500 1400 1800 1200 1900 1700 1500,,,1567,,
"",Wholesale,,1200 1300,900 1600 1400,1600,950,1400 1200 1200,1225,1200 1300 1700 1100 1650 1400 1400,,,1318,,
Maize Grain,1kg Retail,,600 650,490 1000 800,784,550,830 800 750,1000,800 600 1000 550 1400 800 650,,,781,,
"",Wholesale,,450 480,470 900 710,743,500,800 700 700,775,750 500 800 450 1200 500 560,,,666,,
Millet Flour,1kg Retail,,2000 1700,3000 2200 2000,,1500,1600 1600 1800,1675,1400 1800 1600 1100 2000 3000 3000,,,1940,,
"",Wholesale,,1800 1500,1500 1800 1800,,1300,1500 1400 1600,1450,1200 1500 1500 1000 1850 2500 2300,,,1618,,
Millet Grain,1kg Retail,,1800 1300,1500 1400 1000,1100,1100,1300 1100 1000,1300,900 900 700 900 1600 1500 1300,,,1206,,
"",Wholesale,,1600 1200,1300 1200 900,1000,1000,1250 950 900,1100,770 700 600 800 1350 1200 900,,,1040,,
Simsim,1kg Retail,,4000 2700,3500 3500 3500,2717,3300,2700 3000 3500,3300,2800 2500 3900 4000 3000,,,3245,,
"",Wholesale,,3500 2300,3200 2800 2700,2700,3100,2600 2800 3000,2950,2450 2300 3750 3000 2500,,,2853,,
Sorghum Flour,Retail,,1800,1200 800,,1000,1000 1000 800,800,1000 1000 1000 1550 1500,,,1112,,
"",1kg Wholesale,,1400,900 700,,670,900 900 700,600,800 900 900 1300 1000,,,898,,
Sorghum Grain,Retail,,1600 800,1000 600,715,650,800 500,550,500 400 1000 900 750,,,769,,
"",1kg Wholesale,,1200 700,700 550,700,500,750 350,490,330 250 900 800 700,,,637,,
Super Rice,Retail,,2500 2500,2100 3000 2500,2000,2000,2400 2600 2700,2600,1800 2500 2500 2200 2600 2600 3000,,,2450,,
"",Wholesale,,2200 2300,1700 2500 2200,1800,1850,2300 2400 2400,2050,1700 2000 2200 2000 2450 2400 2800,,,2181,,
Upland Rice,1kg Retail,,2400 1900,2600 2400 2300,1600,1700,2200 1300,,1800 2200 2200 2000 2200 2000 2500,,,2081,,
"",Wholesale,,2000 1700,1950 2100 2100,1500,1600,2000 1200,,1700 1700 2000 1800 1800 1800 2200,,,1822,,
Fish,,,,,,,,,,,,,,
Nile Perch,1kg Retail,,7000 5500,10500 8000 10000,4400,6500,8500 5500,11500,5500 6500 10000 7500 4500,,,7427,,
"",Wholesale,,6000 4500,6500 6500 8000,4200,5300,7500 5000,9800,5000 8000 7000 3500,,,6200,,
Tilapia,Whole Retail,,3500 5000,8500 6000 8000,6500,7500,8000 10000,7000,8500 8000 8000 8000 7250 4000 4000,,,6926,,
"",Wholesale,,2700 4100,3500 5000 6500,6000,6000,7000 8000,6150,7700 7000 7000 6500 3500 3000,,,5603,,
Fruits,,,,,,,,,,,,,,
Apple Bananas,1kg Retail,,1500 350,1050 1200 1400,1400,1400,230 600 1000,1100,3800 1300 600 600 2500 700,,,1219,,
"",Wholesale,,1000 300,600 900 1300,1200,1000,210 500 800,850,3500 1000 500 550 2050 400,,,980,,2000
Cavendish (Bogoya),1kg Retail,,2000 400,900 1000 1800,1600,3200,420 2800 1500,1750,3900 1200 3000 800 3250 3000 1200,,,1873,,
"",Wholesale,,1500 350,500 800 1700,1300,2600,380 2500 1000,1375,3500 1000 2500 700 2650 2500 700,,,1531,,
Pineapple,1kg Retail,,2000 1800,2000 1000 1500,1500,1300,2000 1300 1500,2550,3200 2000 700 500 2150 1500 1500,,,1667,,
"",Wholesale,,1500 1300,1000 700 1000,1200,1000,1800 1200 1000,2000,2500 600 400 1750 1000 1000,,,1232,,2500
"",,,,Central,,,EASTERN,,ORTHERTHWEST Southwestern WESTERN,,,,,Organic
Rev Ncom.m00odity,Units,,Kalerwe Kiboga,Masaka Nakawa Owino,Busia,Iganga,Jinja Kapchor Mbale,SoroItsisuLeir aDateAr:u JauneK a2ba0le10Kisoro,Mbarara Fort PortHoima,,,Avg,,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,,
Groundnuts,1kg Retail,,3500,3000,2200,3500,3500,3360,2800,3200,3800,3200,3500,3000,3000,3400,3000,3000,3000,2800,3153,
"",Wholesale,,3000,2500,2000,2800,2800,3000,2600,3000,3000,3000,3175,2700,2500,3300,2800,2750,2700,2400,2779,
Sunflower,1kg Retail,,,,,,1000,,,,,,1050,1200,,,,,,,1083,
"",Wholesale,,,,,,900,,,,,,875,1000,,,,,,,925,
Plantains,,,,,,,,,,,,,,,,,,,,,,
Matooke,bunch Retail,,1200,12000,16000,12000,17000,24000,25500,17000,6000,14000,19500,13000,12000,18000,15000,18000,8000,12000,14456,
"",Wholesale,,9500,8000,13000,12500,14000,23000,22800,16000,5000,10000,17250,12000,10000,13000,13000,14250,6000,8000,12628,
Matooke (kg),1kg Retail,,800,650,375,660,370,1000,500,340,300,1000,1400,670,450,,375,1400,1500,1500,782,
"",Wholesale,,500,520,150,580,340,800,450,320,250,1000,1150,580,350,,325,1250,1000,1000,621,
Poultry Products,,,,,,,,,,,,,,,,,,,,,,
Exotic Chicken,Bird Retail,,5000,9500,10000,8000,8000,8000,6800,8500,,7000,12500,11000,11000,9000,,9750,8500,8000,8784,
"",Wholesale,,4500,8000,8000,7000,6000,7000,6500,8000,,6000,8750,10000,,8000,,7000,7000,6000,7183,
Exotic Eggs,Tray Retail,,6500,6500,5500,7500,6000,7500,6700,7500,6000,6700,6700,7500,9000,7000,7000,7750,8400,8000,7097,
"",Wholesale,,5500,6000,4200,5800,5400,6300,6200,7000,5500,6500,6500,6500,7000,6800,6500,7000,6500,6800,6222,15000
Local Chicken,Bird Retail,,12000,12000,25000,,15000,14000,15000,15000,8000,10000,16000,15000,17000,12000,15000,18000,15000,16000,14706,
"",Wholesale,,9000,9000,10500,12000,13000,13000,12000,14000,6000,8000,13750,13500,15000,9000,14000,14250,13000,12000,11722,
Local Eggs,Tray Retail,,15000,12000,9100,12000,14000,9000,9000,10000,7000,12000,9500,10500,10000,9000,9000,11000,11500,9000,10478,
"",Wholesale,,1000,9000,8500,8000,11000,7500,7300,8500,6500,10500,8750,8000,,8500,7500,10000,8500,8500,8091,
Turkey,Bird Retail,,,,35000,45000,35000,8000,37000,,,15000,40000,,,,,,,,30714,
"",Wholesale,,,,25000,40000,28000,8000,34000,,,12000,36000,,,,,,,,26143,
Pulses,,,,,,,,,,,,,,,,,,,,,,
Agwede Beans,1kg Retail,,,,1200,1600,1400,,1700,2000,,,2400,1600,,1500,,2200,,,1733,
"",Wholesale,,,,1100,1400,1300,,1450,1900,,,1800,1500,,1400,,1850,,,1522,
Cow Peas,1kg Retail,,4000,2400,1300,2400,5000,,2300,1800,1800,2500,2500,,2500,,2200,3200,3300,3400,2707,
"",Wholesale,,3500,2000,1100,2000,3500,,2150,1700,1700,2400,2100,,1800,,2000,3200,3000,3000,2343,
Nambale Beans,1kg Retail,,2000,1700,1500,2000,1600,1600,1800,,1400,2000,2200,1700,1800,1400,,2250,1800,2400,1822,
"",Wholesale,,1800,1500,1300,1600,1500,1573,1600,,1300,1800,1875,1500,1500,1300,,1900,1600,2000,1603,
Soya Beans,1kg Retail,,2000,1600,2100,1600,1500,1430,1300,1800,1800,,2500,1200,1500,,1000,1600,1700,2200,1677,
"",Wholesale,,1600,1300,1800,1400,1350,1400,1150,1750,1700,,1875,1150,,,900,1500,1500,2000,1492,
Yellow Beans,1kg Retail,,2500,1800,1050,2800,2400,2240,2000,2300,,2500,2400,2000,2000,,1200,2500,2500,3000,2199,
"",Wholesale,,2200,1600,850,2300,2200,2000,1850,2100,,2300,2025,1800,1800,,1100,2000,2300,1800,1889,
Root Crops,,,,,,,,,,,,,,,,,,,,,,
Cassava Flour,1kg Retail,,1000,950,1300,800,700,700,800,900,1000,700,700,700,500,1500,1000,1650,800,1200,939,
"",Wholesale,,800,600,800,500,550,600,600,800,900,500,600,500,450,1200,800,1400,500,800,717,
Dry Fermented Cassava,1kg Retail,,,,,,450,,350,220,,,700,,400,,,1800,,,653,
"",Wholesale,,,,,,400,,300,200,,,575,,300,,,1500,,,546,
Fresh Cassava,1kg Retail,,500,500,1200,500,500,700,1000,230,500,220,2000,330,500,2000,500,1250,1000,1500,829,
"",Wholesale,,300,350,600,400,400,600,800,210,400,200,1600,280,400,1500,400,1100,800,1000,630,
Irish Potatoes,1kg Retail,,1000,800,1700,670,800,800,800,900,500,900,1850,1200,1200,700,416,1450,1500,2000,1066,
"",Wholesale,,500,600,1300,580,700,700,750,800,400,800,1400,1100,1000,650,375,1250,1000,1500,856,
Orange Fleshed S.Potato,1kg Retail,,1000,600,1100,,550,700,,,500,,,340,,,240,1250,,1500,778,
"",Wholesale,,500,500,700,,500,600,,,400,,,300,,,220,1150,,1000,587,
Sun Dried Cassava,1kg Retail,,,400,,1000,450,511,350,300,,300,975,300,400,,,1600,,560,596,
"",Wholesale,,,300,,500,400,500,300,280,,250,750,250,250,,,1250,,480,459,1500
White fleshed s.Potato,1kg Retail,,,,1200,600,500,600,1200,330,400,580,2600,340,700,2000,230,1150,1500,1500,964,
"",Wholesale,,,,800,500,400,500,900,300,300,540,2400,300,550,1700,200,1050,1000,1000,778,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,,
Coffee (Arabica),1kg Retail,,,2000,950,,,,2500,900,,7000,,,,,2500,,,,2642,
"",Wholesale,,,1750,750,,,,2400,800,,6000,,,,,1900,,,,2267,
Coffee (Robusta),1kg Retail,,,,,,,1800,,2200,,,,,4500,,,,,,2833,
"",Wholesale,,,,,,,1700,,2000,,,,,,,,,,,1850,
Unprocessed Cotton,1kg Retail,,,,2800,,,2000,,2300,,,,,1600,,,,,,2175,
"",Wholesale,,,,2400,,,1800,,2000,,,,,,,,,,,2067,
Unprocessed Tea,1kg Retail,,5000,,,,400,,,35000,,,55000,,,,,,,,23850,
"",Wholesale,,4000,,,,350,,,33000,,,48000,,,,,,,,21338,
Unprocessed Vanilla,1kg Retail,,,,,,3500,,,,,,,,,,,,,,3500,
"",Wholesale,,,,,,3000,,,,,,,,,,,,,,,
